,Sales Rank
2022-12-14,628
2022-12-15,675
2022-12-16,697
2022-12-17,699
2022-12-18,703
2022-12-19,674
2022-12-20,683
2022-12-21,674
2022-12-22,604
2022-12-23,544
2022-12-24,580
2022-12-25,608
2022-12-26,469
2022-12-27,462
2022-12-28,539
2022-12-29,515
2022-12-30,477
2022-12-31,510
2023-01-01,546
2023-01-02,430
2023-01-03,464
2023-01-04,468
2023-01-05,487
2023-01-06,480
2023-01-07,478
2023-01-08,484
2023-01-09,481
2023-01-10,499
2023-01-11,503
2023-01-12,516
2023-01-13,480
2023-01-14,452
2023-01-15,466
2023-01-16,480
2023-01-17,462
2023-01-18,429
2023-01-19,484
2023-01-20,468
2023-01-21,502
2023-01-22,465
2023-01-23,473
2023-01-24,461
2023-01-25,409
2023-01-26,378
2023-01-27,382
2023-01-28,445
2023-01-29,512
2023-01-30,436
2023-01-31,450
2023-02-01,466
2023-02-02,486
2023-02-03,454
2023-02-04,509
2023-02-05,593
2023-02-06,448
2023-02-07,526
2023-02-08,494
2023-02-09,502
2023-02-10,483
2023-02-11,458
2023-02-12,494
2023-02-13,441
2023-02-14,510
2023-02-15,462
2023-02-16,461
2023-02-17,416
2023-02-18,450
2023-02-19,507
2023-02-20,441
2023-02-21,362
2023-02-22,402
2023-02-23,427
2023-02-24,403
2023-02-25,404
2023-02-26,474
2023-02-27,426
2023-02-28,418
2023-03-01,468
2023-03-02,447
2023-03-03,355
2023-03-04,409
2023-03-05,444
2023-03-06,416
2023-03-07,390
2023-03-08,429
2023-03-09,393
2023-03-10,393
2023-03-11,426
2023-03-12,395
2023-03-13,384
2023-03-14,660
2023-03-15,907
2023-03-16,893
2023-03-17,215
2023-03-18,273
2023-03-19,329
2023-03-20,314
2023-03-21,398
2023-03-22,487
2023-03-23,493
2023-03-24,454
2023-03-25,459
2023-03-26,488
2023-03-27,394
2023-03-28,342
2023-03-29,338
2023-03-30,351
2023-03-31,329
2023-04-01,299
2023-04-02,352
2023-04-03,284
2023-04-04,348
2023-04-05,322
2023-04-06,294
2023-04-07,374
2023-04-08,466
2023-04-09,486
2023-04-10,339
2023-04-11,373
2023-04-12,544
2023-04-13,527
2023-04-14,522
2023-04-15,579
2023-04-16,635
2023-04-17,503
2023-04-18,452
2023-04-19,406
2023-04-20,395
2023-04-21,399
2023-04-22,437
2023-04-23,480
2023-04-24,385
2023-04-25,373
2023-04-26,388
2023-04-27,497
2023-04-28,436
2023-04-29,484
2023-04-30,493
2023-05-01,404
2023-05-02,453
2023-05-03,503
2023-05-04,430
2023-05-05,432
2023-05-06,456
2023-05-07,472
2023-05-08,449
2023-05-09,481
2023-05-10,453
2023-05-11,507
2023-05-12,561
2023-05-13,609
2023-05-14,757
2023-05-15,506
2023-05-16,533
2023-05-17,521
2023-05-18,512
2023-05-19,566
2023-05-20,517
2023-05-21,542
2023-05-22,490
2023-05-23,469
2023-05-24,474
2023-05-25,438
2023-05-26,470
2023-05-27,590
2023-05-28,682
2023-05-30,480
2023-05-31,493
2023-06-01,399
2023-06-02,427
2023-06-03,609
2023-06-04,701
2023-06-05,480
2023-06-06,546
2023-06-07,372
2023-06-08,394
2023-06-09,412
2023-06-10,562
2023-06-11,674
2023-06-12,550
2023-06-13,471
2023-06-14,526
2023-06-15,549
2023-06-16,477
2023-06-17,616
2023-06-18,674
2023-06-19,545
2023-06-20,487
2023-06-21,437
2023-06-22,451
2023-06-23,464
2023-06-24,381
2023-06-25,428
2023-06-26,395
2023-06-27,388
2023-06-28,377
2023-06-29,401
2023-06-30,358
2023-07-01,490
2023-07-02,488
2023-07-03,398
2023-07-04,406
2023-07-05,410
2023-07-06,412
2023-07-07,384
2023-07-08,471
2023-07-09,476
2023-07-10,365
2023-07-11,455
2023-07-12,793
2023-07-13,672
2023-07-14,523
2023-07-15,521
2023-07-16,503
2023-07-17,399
2023-07-18,372
2023-07-19,398
2023-07-20,373
2023-07-21,399
2023-07-22,385
2023-07-23,452
2023-07-24,371
2023-07-25,358
2023-07-26,378
2023-07-27,417
2023-07-28,389
2023-07-29,435
2023-07-30,481
2023-07-31,387
2023-08-02,361
2023-08-03,375
2023-08-04,361
2023-08-05,339
2023-08-06,351
2023-08-07,366
2023-08-08,356
2023-08-09,368
2023-08-10,358
2023-08-11,347
2023-08-12,385
2023-08-13,411
2023-08-14,309
2023-08-15,337
2023-08-16,327
2023-08-17,343
2023-08-18,337
2023-08-19,376
2023-08-20,393
2023-08-21,317
2023-08-22,300
2023-08-23,301
2023-08-24,334
2023-08-25,266
2023-08-26,297
2023-08-27,325
2023-08-28,246
2023-08-29,257
2023-08-30,275
2023-08-31,291
2023-09-01,297
2023-09-02,339
2023-09-03,383
2023-09-04,314
2023-09-05,290
2023-09-06,296
2023-09-07,292
2023-09-08,292
2023-09-09,350
2023-09-10,294
2023-09-11,234
2023-09-12,227
2023-09-13,247
2023-09-14,251
2023-09-15,243
2023-09-16,254
2023-09-17,4589
2023-09-18,5125
2023-09-19,4257
2023-09-20,13
2023-09-21,15
2023-09-22,17
2023-09-23,19
2023-09-24,18
2023-09-25,20
2023-09-26,18
2023-09-27,28
2023-09-28,13
2023-09-29,16
2023-09-30,20
2023-10-01,19
2023-10-02,17
2023-10-03,28
2023-10-04,21
2023-10-05,22
2023-10-06,23
2023-10-07,23
2023-10-08,25
2023-10-09,23
2023-10-10,47
2023-10-11,44
2023-10-12,35
2023-10-13,24
2023-10-14,25
2023-10-15,19
2023-10-16,25
2023-10-17,19
2023-10-18,10
2023-10-19,14
2023-10-20,16
2023-10-21,16
2023-10-22,13
2023-10-23,14
2023-10-24,16
2023-10-25,17
2023-10-26,12
2023-10-27,14
2023-10-28,17
2023-10-29,14
2023-10-30,17
2023-10-31,17
2023-11-01,16
2023-11-02,16
2023-11-03,16
2023-11-04,18
2023-11-05,14
2023-11-06,13
2023-11-07,15
2023-11-08,13
2023-11-09,15
2023-11-10,15
2023-11-11,16
2023-11-12,16
2023-11-13,16
2023-11-14,21
2023-11-15,18
2023-11-16,21
2023-11-17,9
2023-11-18,15
2023-11-19,19
2023-11-20,17
2023-11-21,25
2023-11-22,21
2023-11-23,23
2023-11-24,41
2023-11-25,40
2023-11-26,35
2023-11-27,45
2023-11-28,37
2023-11-29,23
2023-11-30,21
2023-12-01,19
2023-12-02,20
2023-12-03,21
2023-12-04,20
2023-12-05,23
2023-12-07,22
2023-12-08,25
2023-12-09,27
2023-12-10,26
2023-12-11,26
2023-12-12,29
2023-12-13,20
2023-12-14,22
2023-12-15,28
2023-12-16,32
2023-12-17,38
2023-12-18,40
2023-12-19,43
2023-12-20,36
2023-12-21,37
2023-12-22,40
2023-12-23,40
2023-12-24,283
2023-12-25,159
2023-12-26,178
2023-12-27,206
2023-12-28,289
2023-12-29,296
2023-12-30,406
2023-12-31,439
2024-01-01,261
2024-01-02,240
2024-01-03,246
2024-01-04,221
2024-01-05,226
2024-01-06,240
2024-01-07,288
2024-01-08,214
2024-01-09,247
2024-01-10,230
2024-01-11,146
2024-01-12,118
2024-01-13,150
2024-01-14,176
2024-01-15,170
2024-01-16,165
2024-01-17,201
2024-01-18,204
2024-01-19,265
2024-01-20,256
2024-01-21,282
2024-01-22,242
2024-01-23,168
2024-01-24,199
2024-01-25,232
2024-01-26,224
2024-01-27,266
2024-01-28,233
2024-01-29,183
2024-01-30,200
2024-01-31,213
2024-02-01,230
2024-02-02,179
2024-02-03,161
2024-02-04,204
2024-02-05,176
2024-02-06,172
2024-02-07,174
2024-02-08,178
2024-02-09,168
2024-02-10,214
2024-02-11,233
2024-02-12,169
2024-02-13,171
2024-02-14,168
2024-02-15,188
2024-02-16,197
2024-02-17,236
2024-02-18,243
2024-02-19,195
2024-02-20,191
2024-02-21,243
2024-02-22,188
2024-02-23,189
2024-02-24,291
2024-02-25,314
2024-02-26,215
2024-02-27,229
2024-02-28,267
2024-02-29,272
2024-03-01,223
2024-03-02,324
2024-03-03,291
2024-03-04,232
2024-03-05,253
2024-03-06,253
2024-03-07,242
2024-03-08,241
2024-03-09,250
2024-03-10,277
2024-03-11,240
2024-03-12,240
2024-03-13,249
2024-03-14,255
2024-03-15,245
2024-03-16,308
2024-03-17,290
2024-03-18,243
2024-03-19,230
2024-03-20,273
2024-03-21,285
2024-03-22,276
2024-03-23,290
2024-03-24,422
2024-03-25,243
2024-03-26,274
2024-03-27,245
2024-03-28,219
2024-03-29,213
2024-03-30,228
2024-03-31,223
2024-04-01,169
2024-04-02,222
2024-04-03,268
2024-04-04,206
2024-04-05,209
2024-04-06,217
2024-04-07,271
2024-04-08,201
2024-04-09,203
2024-04-10,292
2024-04-11,282
2024-04-12,253
2024-04-13,272
2024-04-14,374
2024-04-15,281
2024-04-16,279
2024-04-17,293
2024-04-18,300
2024-04-19,311
2024-04-20,354
2024-04-21,398
2024-04-22,261
2024-04-23,269
2024-04-24,248
2024-04-25,283
2024-04-26,311
2024-04-27,344
2024-04-28,382
2024-04-29,293
2024-04-30,331
2024-05-01,366
2024-05-02,343
2024-05-03,321
2024-05-04,472
