,Sales Rank
2022-12-14,265
2022-12-15,280
2022-12-16,290
2022-12-17,294
2022-12-18,279
2022-12-19,263
2022-12-20,278
2022-12-21,257
2022-12-22,257
2022-12-23,291
2022-12-24,295
2022-12-25,285
2022-12-26,265
2022-12-27,249
2022-12-28,248
2022-12-29,242
2022-12-30,243
2022-12-31,216
2023-01-01,227
2023-01-02,213
2023-01-03,205
2023-01-04,210
2023-01-05,193
2023-01-06,236
2023-01-07,237
2023-01-08,258
2023-01-09,258
2023-01-10,264
2023-01-11,276
2023-01-12,246
2023-01-13,213
2023-01-14,184
2023-01-15,147
2023-01-16,173
2023-01-17,158
2023-01-18,178
2023-01-19,167
2023-01-20,175
2023-01-21,147
2023-01-22,117
2023-01-23,131
2023-01-24,126
2023-01-25,121
2023-01-26,115
2023-01-27,110
2023-01-28,111
2023-01-29,95
2023-01-30,103
2023-01-31,102
2023-02-01,107
2023-02-02,123
2023-02-03,110
2023-02-04,106
2023-02-05,109
2023-02-06,101
2023-02-07,109
2023-02-08,164
2023-02-09,285
2023-02-10,338
2023-02-11,341
2023-02-12,373
2023-02-13,409
2023-02-14,410
2023-02-15,400
2023-02-16,432
2023-02-17,465
2023-02-18,446
2023-02-19,450
2023-02-20,454
2023-02-21,459
2023-02-22,452
2023-02-23,455
2023-02-24,398
2023-02-25,401
2023-02-26,403
2023-02-27,398
2023-02-28,415
2023-03-01,395
2023-03-02,396
2023-03-03,444
2023-03-04,401
2023-03-05,404
2023-03-06,403
2023-03-07,437
2023-03-08,371
2023-03-09,423
2023-03-10,119
2023-03-11,140
2023-03-12,163
2023-03-13,190
2023-03-14,179
2023-03-15,167
2023-03-16,157
2023-03-17,151
2023-03-18,152
2023-03-19,138
2023-03-20,170
2023-03-21,154
2023-03-22,146
2023-03-23,156
2023-03-24,165
2023-03-25,163
2023-03-26,148
2023-03-27,173
2023-03-28,155
2023-03-29,136
2023-03-30,144
2023-03-31,166
2023-04-01,152
2023-04-02,147
2023-04-03,145
2023-04-04,159
2023-04-05,143
2023-04-06,134
2023-04-07,130
2023-04-08,133
2023-04-09,145
2023-04-10,156
2023-04-11,143
2023-04-12,145
2023-04-13,159
2023-04-14,155
2023-04-15,155
2023-04-16,151
2023-04-17,155
2023-04-18,154
2023-04-19,152
2023-04-20,155
2023-04-21,144
2023-04-22,151
2023-04-23,155
2023-04-24,164
2023-04-25,161
2023-04-26,154
2023-04-27,160
2023-04-28,161
2023-04-29,148
2023-04-30,138
2023-05-01,132
2023-05-02,150
2023-05-03,140
2023-05-04,150
2023-05-05,152
2023-05-06,162
2023-05-07,161
2023-05-08,146
2023-05-09,152
2023-05-10,157
2023-05-11,158
2023-05-12,141
2023-05-13,162
2023-05-14,137
2023-05-15,136
2023-05-16,127
2023-05-17,136
2023-05-18,134
2023-05-19,130
2023-05-20,132
2023-05-21,135
2023-05-22,139
2023-05-23,134
2023-05-24,142
2023-05-25,159
2023-05-26,156
2023-05-27,157
