,Sales Rank
2022-12-14,1041
2022-12-15,877
2022-12-16,904
2022-12-17,937
2022-12-18,976
2022-12-19,929
2022-12-20,933
2022-12-21,996
2022-12-22,1114
2022-12-23,1037
2022-12-24,964
2022-12-25,910
2022-12-26,876
2022-12-27,719
2022-12-28,765
2022-12-29,793
2022-12-30,725
2022-12-31,681
2023-01-01,701
2023-01-02,675
2023-01-03,685
2023-01-04,684
2023-01-05,705
2023-01-06,732
2023-01-07,779
2023-01-08,772
2023-01-09,743
2023-01-10,698
2023-01-11,713
2023-01-12,682
2023-01-13,669
2023-01-14,408
2023-01-15,542
2023-01-16,649
2023-01-17,753
2023-01-18,833
2023-01-19,854
2023-01-20,824
2023-01-21,1004
2023-01-22,1050
2023-01-23,1259
2023-01-24,1108
2023-01-25,1095
2023-01-26,1108
2023-01-27,1041
2023-01-28,837
2023-01-29,812
2023-01-30,819
2023-01-31,868
2023-02-01,890
2023-02-03,848
2023-02-04,840
2023-02-05,757
2023-02-06,822
2023-02-07,847
2023-02-08,861
2023-02-09,856
2023-02-10,782
2023-02-11,789
2023-02-12,811
2023-02-13,915
2023-02-14,952
2023-02-15,997
2023-02-16,860
2023-02-17,875
2023-02-18,911
2023-02-19,855
2023-02-20,908
2023-02-21,953
2023-02-22,989
2023-02-23,889
2023-02-24,811
2023-02-25,909
2023-02-26,812
2023-02-27,845
2023-02-28,768
2023-03-01,783
2023-03-02,966
2023-03-03,906
2023-03-04,931
2023-03-05,993
2023-03-06,917
2023-03-07,941
2023-03-08,968
2023-03-09,885
2023-03-10,846
2023-03-11,888
2023-03-12,900
2023-03-13,796
2023-03-14,904
2023-03-15,974
2023-03-16,1000
2023-03-17,795
2023-03-18,1057
2023-03-19,835
2023-03-20,836
2023-03-21,885
2023-03-22,823
2023-03-23,944
2023-03-24,815
2023-03-25,976
2023-03-26,1031
2023-03-27,939
2023-03-28,1118
2023-03-29,2273
2023-03-30,2142
2023-03-31,2481
2023-04-01,2310
2023-04-02,2377
2023-04-03,2852
2023-04-04,2874
2023-04-05,2867
2023-04-06,3228
2023-04-07,2941
2023-04-08,2943
2023-04-09,3027
2023-04-10,2734
2023-04-11,2723
2023-04-12,2887
2023-04-13,2664
2023-04-14,14469
2023-04-15,886
2023-04-16,897
2023-04-17,993
2023-04-18,894
2023-04-19,957
2023-04-20,903
2023-04-21,926
2023-04-22,783
2023-04-23,865
2023-04-24,890
2023-04-25,854
2023-04-26,861
2023-04-27,907
2023-04-28,921
2023-04-29,819
2023-04-30,830
2023-05-01,791
2023-05-02,980
2023-05-03,936
2023-05-04,939
2023-05-05,838
2023-05-06,758
2023-05-07,725
2023-05-08,954
2023-05-09,1019
2023-05-10,1003
2023-05-11,941
2023-05-12,919
2023-05-13,837
2023-05-14,850
2023-05-15,947
2023-05-16,910
2023-05-17,828
2023-05-18,928
2023-05-19,914
2023-05-20,791
2023-05-21,843
2023-05-22,909
2023-05-23,928
2023-05-24,859
2023-05-25,859
2023-05-26,869
2023-05-27,836
2023-05-28,810
2023-05-30,896
2023-05-31,824
2023-06-01,884
2023-06-02,914
2023-06-03,1050
2023-06-04,1041
2023-06-05,1020
2023-06-06,1110
2023-06-07,980
2023-06-08,1057
2023-06-09,1080
