,Sales Rank
2022-12-14,518
2022-12-15,559
2022-12-16,620
2022-12-17,607
2022-12-18,612
2022-12-19,594
2022-12-20,615
2022-12-21,599
2022-12-22,628
2022-12-23,655
2022-12-24,665
2022-12-25,646
2022-12-26,641
2022-12-27,638
2022-12-28,605
2022-12-29,581
2022-12-30,638
2022-12-31,627
2023-01-01,562
2023-01-02,566
2023-01-03,546
2023-01-04,547
2023-01-05,555
2023-01-06,546
2023-01-07,550
2023-01-08,564
2023-01-09,579
2023-01-10,591
2023-01-11,591
2023-01-12,551
2023-01-13,563
2023-01-14,617
2023-01-15,606
2023-01-16,625
2023-01-17,644
2023-01-18,627
2023-01-19,607
2023-01-20,598
2023-01-21,634
2023-01-22,594
2023-01-23,575
2023-01-24,567
2023-01-25,522
2023-01-26,562
2023-01-27,530
2023-01-28,521
2023-01-29,497
2023-01-30,475
2023-01-31,488
2023-02-01,438
2023-02-02,437
2023-02-03,457
2023-02-04,487
2023-02-05,481
2023-02-06,440
2023-02-07,440
2023-02-08,457
2023-02-09,454
2023-02-10,428
2023-02-11,412
2023-02-12,452
2023-02-13,457
2023-02-14,419
2023-02-15,428
2023-02-16,365
2023-02-17,363
2023-02-18,348
2023-02-19,373
2023-02-20,399
2023-02-21,373
2023-02-22,367
2023-02-23,385
2023-02-24,387
2023-02-25,386
2023-02-26,394
2023-02-27,398
2023-02-28,373
2023-03-01,401
2023-03-02,365
2023-03-03,380
2023-03-04,419
2023-03-05,432
2023-03-06,455
2023-03-07,421
2023-03-08,424
2023-03-09,387
2023-03-10,395
2023-03-11,428
2023-03-12,460
2023-03-13,405
2023-03-14,405
2023-03-15,450
2023-03-16,526
2023-03-17,555
2023-03-18,560
2023-03-19,600
2023-03-20,616
2023-03-21,592
2023-03-22,521
2023-03-23,559
2023-03-24,525
2023-03-25,526
2023-03-26,552
2023-03-27,619
2023-03-28,556
2023-03-29,539
2023-03-30,571
2023-03-31,509
2023-04-01,623
2023-04-02,691
2023-04-03,645
2023-04-04,627
2023-04-05,679
2023-04-06,658
2023-04-07,678
2023-04-08,749
2023-04-09,777
2023-04-10,775
2023-04-11,894
2023-04-12,454
2023-04-13,383
2023-04-14,504
2023-04-15,545
2023-04-16,572
2023-04-17,527
2023-04-18,526
2023-04-19,502
2023-04-20,511
2023-04-21,463
2023-04-22,488
2023-04-23,499
2023-04-24,509
2023-04-25,521
2023-04-26,538
2023-04-27,534
2023-04-28,527
2023-04-29,604
2023-04-30,597
2023-05-01,564
2023-05-02,374
2023-05-03,411
2023-05-04,398
2023-05-05,460
2023-05-06,517
2023-05-07,623
2023-05-08,577
2023-05-09,477
2023-05-10,486
2023-05-11,546
2023-05-12,648
2023-05-13,609
2023-05-14,662
2023-05-15,629
2023-05-16,512
2023-05-17,594
2023-05-18,573
2023-05-19,532
2023-05-20,624
2023-05-21,616
2023-05-22,617
2023-05-23,618
2023-05-24,612
2023-05-25,538
2023-05-26,558
2023-05-27,525
2023-05-28,632
2023-05-30,545
2023-05-31,525
2023-06-01,562
2023-06-02,538
2023-06-03,566
2023-06-04,572
2023-06-05,579
2023-06-06,589
2023-06-07,583
2023-06-08,571
2023-06-09,541
2023-06-10,625
2023-06-11,1004
2023-06-12,925
2023-06-13,985
2023-06-14,952
2023-06-15,1077
2023-06-16,1181
2023-06-17,1203
2023-06-18,1181
2023-06-19,1099
2023-06-20,984
2023-06-21,858
2023-06-22,774
2023-06-23,724
2023-06-24,751
2023-06-25,991
2023-06-26,1073
2023-06-27,824
2023-06-28,744
2023-06-29,728
2023-06-30,595
