,Sales Rank
2022-12-14,33
2022-12-15,45
2022-12-16,49
2022-12-17,48
2022-12-18,50
2022-12-19,51
2022-12-20,62
2022-12-21,61
2022-12-22,59
2022-12-23,61
2022-12-24,63
2022-12-25,51
2022-12-26,22
2022-12-27,44
2022-12-28,13
2022-12-29,34
2022-12-30,56
2022-12-31,55
2023-01-01,57
2023-01-02,61
2023-01-03,53
2023-01-04,51
2023-01-05,50
2023-01-06,52
2023-01-07,51
2023-01-08,49
2023-01-09,48
2023-01-10,47
2023-01-11,49
2023-01-12,47
2023-01-13,46
2023-01-14,44
2023-01-15,41
2023-01-16,45
2023-01-17,47
2023-01-18,48
2023-01-19,54
2023-01-20,55
2023-01-21,53
2023-01-22,47
2023-01-23,50
2023-01-24,46
2023-01-25,45
2023-01-26,45
2023-01-27,50
2023-01-28,51
2023-01-29,53
2023-01-30,49
2023-01-31,37
2023-02-01,7
2023-02-02,8
2023-02-03,17
2023-02-04,26
2023-02-05,29
2023-02-06,39
2023-02-07,33
2023-02-08,39
2023-02-09,45
2023-02-10,48
2023-02-11,40
2023-02-12,40
2023-02-13,47
2023-02-14,46
2023-02-15,39
2023-02-16,49
2023-02-17,50
2023-02-18,39
2023-02-19,32
2023-02-20,35
2023-02-21,38
2023-02-22,38
2023-02-23,36
2023-02-24,40
2023-02-25,38
2023-02-26,40
2023-02-27,39
2023-02-28,37
2023-03-01,39
2023-03-02,40
2023-03-03,38
2023-03-04,44
2023-03-05,43
2023-03-06,49
2023-03-07,49
2023-03-08,45
2023-03-09,46
2023-03-10,46
2023-03-11,45
2023-03-12,47
2023-03-13,46
2023-03-14,37
2023-03-15,48
2023-03-16,45
2023-03-17,48
2023-03-18,39
2023-03-19,41
2023-03-20,46
2023-03-21,43
2023-03-22,50
2023-03-23,55
2023-03-24,61
2023-03-25,47
2023-03-26,49
2023-03-27,42
2023-03-28,44
2023-03-29,42
2023-03-30,49
2023-03-31,54
2023-04-01,49
2023-04-02,46
2023-04-03,46
2023-04-04,42
2023-04-05,46
2023-04-06,49
2023-04-07,47
2023-04-08,50
2023-04-09,53
2023-04-10,49
2023-04-11,43
2023-04-12,46
2023-04-13,46
2023-04-14,47
2023-04-15,52
2023-04-16,51
2023-04-17,51
2023-04-18,46
2023-04-19,47
2023-04-20,48
2023-04-21,54
2023-04-22,50
2023-04-23,47
2023-04-24,48
2023-04-25,46
2023-04-26,44
2023-04-27,49
2023-04-28,49
2023-04-29,44
2023-04-30,47
2023-05-01,52
2023-05-02,64
2023-05-03,75
2023-05-04,65
2023-05-05,71
2023-05-06,66
2023-05-07,60
2023-05-08,61
2023-05-09,58
2023-05-10,61
2023-05-11,56
2023-05-12,63
2023-05-13,56
2023-05-14,59
2023-05-15,52
2023-05-16,57
2023-05-17,49
2023-05-18,53
2023-05-19,54
2023-05-20,53
2023-05-21,56
2023-05-22,54
2023-05-23,46
2023-05-24,54
2023-05-25,56
2023-05-26,59
2023-05-27,53
2023-05-28,51
2023-05-31,47
2023-06-01,51
2023-06-02,49
2023-06-03,66
2023-06-04,65
2023-06-05,57
2023-06-06,54
2023-06-07,55
2023-06-08,42
2023-06-09,42
2023-06-10,48
2023-06-11,55
2023-06-12,53
2023-06-13,48
2023-06-14,50
2023-06-15,53
2023-06-16,53
2023-06-17,55
2023-06-18,55
2023-06-19,52
2023-06-20,51
2023-06-21,46
2023-06-22,45
2023-06-23,51
2023-06-24,47
2023-06-25,56
2023-06-26,53
2023-06-27,56
2023-06-28,59
2023-06-29,57
2023-06-30,51
2023-07-01,62
2023-07-02,58
2023-07-03,51
2023-07-04,50
2023-07-05,58
2023-07-06,55
2023-07-07,61
2023-07-08,61
2023-07-09,66
2023-07-10,63
2023-07-11,119
2023-07-12,134
2023-07-13,108
2023-07-14,93
2023-07-15,84
2023-07-16,82
2023-07-17,62
2023-07-18,48
2023-07-19,46
2023-07-20,62
2023-07-21,59
2023-07-22,64
2023-07-23,64
2023-07-24,56
2023-07-25,54
2023-07-26,53
2023-07-27,60
2023-07-28,62
2023-07-29,68
2023-07-30,61
2023-07-31,58
2023-08-01,54
2023-08-02,56
2023-08-03,60
2023-08-04,56
2023-08-05,53
2023-08-06,63
2023-08-07,55
2023-08-08,49
2023-08-09,55
2023-08-10,63
2023-08-11,58
2023-08-12,56
2023-08-13,59
2023-08-14,56
2023-08-15,55
2023-08-16,61
2023-08-17,66
2023-08-18,63
2023-08-19,58
2023-08-20,61
2023-08-21,52
2023-08-22,54
2023-08-23,57
2023-08-24,68
2023-08-25,64
2023-08-26,71
2023-08-27,68
2023-08-28,56
2023-08-29,58
2023-08-30,62
2023-08-31,57
2023-09-01,58
2023-09-02,59
2023-09-03,57
2023-09-04,56
2023-09-05,57
2023-09-06,62
2023-09-07,55
2023-09-08,54
2023-09-09,51
2023-09-10,56
2023-09-11,52
2023-09-12,51
2023-09-13,56
2023-09-14,58
2023-09-15,53
2023-09-16,55
2023-09-17,55
2023-09-18,52
2023-09-19,50
2023-09-20,60
2023-09-21,58
2023-09-22,54
2023-09-23,46
2023-09-24,50
2023-09-25,55
2023-09-26,49
2023-09-27,51
2023-09-28,62
2023-09-29,49
2023-09-30,49
2023-10-01,62
2023-10-02,52
2023-10-03,58
2023-10-04,54
2023-10-05,63
2023-10-06,62
2023-10-07,60
2023-10-08,60
2023-10-09,58
2023-10-10,57
2023-10-11,81
2023-10-12,71
2023-10-13,72
2023-10-14,65
2023-10-15,61
2023-10-16,57
2023-10-17,66
2023-10-18,51
2023-10-19,55
2023-10-20,44
2023-10-21,45
2023-10-22,16
2023-10-23,16
2023-10-24,29
2023-10-25,35
2023-10-26,41
2023-10-27,41
2023-10-28,40
2023-10-29,40
2023-10-30,36
2023-10-31,43
2023-11-01,50
2023-11-02,52
2023-11-03,52
2023-11-04,50
2023-11-05,51
2023-11-06,47
2023-11-07,48
2023-11-08,43
2023-11-09,51
2023-11-10,45
2023-11-11,44
2023-11-12,48
2023-11-13,45
2023-11-14,46
2023-11-15,50
2023-11-16,51
2023-11-17,50
2023-11-18,49
2023-11-19,3
2023-11-20,3
2023-11-21,4
2023-11-22,3
2023-11-23,1
2023-11-24,2
2023-11-25,3
2023-11-26,1
2023-11-28,2
2023-11-29,1
2023-12-07,1
2023-12-08,69
2023-12-09,39
2023-12-10,46
2023-12-11,43
2023-12-12,47
