,Sales Rank
2022-12-14,556
2022-12-15,604
2022-12-16,612
2022-12-17,603
2022-12-18,623
2022-12-19,619
2022-12-20,492
2022-12-21,372
2022-12-22,292
2022-12-23,259
2022-12-24,208
2022-12-25,213
2022-12-26,265
2022-12-27,295
2022-12-28,308
2022-12-29,318
2022-12-30,315
2022-12-31,363
2023-01-01,354
2023-01-02,374
2023-01-03,342
2023-01-04,349
2023-01-05,367
2023-01-06,384
2023-01-07,402
2023-01-08,415
2023-01-09,420
2023-01-10,430
2023-01-11,440
2023-01-12,437
2023-01-13,390
2023-01-14,372
2023-01-15,385
2023-01-16,304
2023-01-17,310
2023-01-18,331
2023-01-19,345
2023-01-20,352
2023-01-21,358
2023-01-22,311
2023-01-23,392
2023-01-24,356
2023-01-25,370
2023-01-26,413
2023-01-27,428
2023-01-28,446
2023-01-29,362
2023-01-30,371
2023-01-31,381
2023-02-01,399
2023-02-02,371
2023-02-03,379
2023-02-04,358
2023-02-05,352
2023-02-06,377
2023-02-07,361
2023-02-08,350
2023-02-09,319
2023-02-10,349
2023-02-11,337
2023-02-12,343
2023-02-13,192
2023-02-14,174
2023-02-15,167
2023-02-16,158
2023-02-17,154
2023-02-18,154
2023-02-19,127
2023-02-20,207
2023-02-21,298
2023-02-22,298
2023-02-23,311
2023-02-24,306
2023-02-25,309
2023-02-26,299
2023-02-27,329
2023-02-28,344
2023-03-01,302
2023-03-02,322
2023-03-03,301
2023-03-04,326
2023-03-05,291
2023-03-06,272
2023-03-07,300
2023-03-08,332
2023-03-09,336
2023-03-10,308
2023-03-11,292
2023-03-12,317
2023-03-13,289
2023-03-14,268
2023-03-15,262
2023-03-16,295
2023-03-17,332
2023-03-18,321
2023-03-19,285
2023-03-20,309
2023-03-21,285
2023-03-22,305
2023-03-23,301
2023-03-24,313
2023-03-25,328
2023-03-26,294
2023-03-27,265
2023-03-28,180
2023-03-29,194
2023-03-30,197
2023-03-31,186
2023-04-01,161
2023-04-02,152
2023-04-03,205
2023-04-04,221
2023-04-05,223
2023-04-06,208
2023-04-07,222
2023-04-08,228
2023-04-09,228
2023-04-10,247
2023-04-11,260
2023-04-12,228
2023-04-13,254
2023-04-14,300
2023-04-15,213
2023-04-16,197
2023-04-17,255
2023-04-18,246
2023-04-19,236
2023-04-20,277
2023-04-21,312
2023-04-22,252
2023-04-23,238
2023-04-24,304
2023-04-25,270
2023-04-26,324
2023-04-27,293
2023-04-28,338
2023-04-29,318
2023-04-30,340
2023-05-01,376
2023-05-02,335
2023-05-03,347
2023-05-04,311
2023-05-05,296
2023-05-06,292
2023-05-07,275
2023-05-08,358
2023-05-09,391
2023-05-10,401
2023-05-11,385
2023-05-12,385
2023-05-13,416
2023-05-14,379
2023-05-15,387
2023-05-16,404
2023-05-17,385
2023-05-18,414
2023-05-19,439
2023-05-20,433
2023-05-21,447
2023-05-22,424
2023-05-23,414
2023-05-24,384
2023-05-25,426
2023-05-26,405
2023-05-27,406
2023-05-28,407
2023-05-31,412
2023-06-01,363
2023-06-02,360
2023-06-03,386
2023-06-04,421
2023-06-05,358
2023-06-06,281
2023-06-07,260
2023-06-08,269
2023-06-09,238
2023-06-10,223
2023-06-11,201
2023-06-12,231
