,Sales Rank
2022-12-13,1401
2022-12-14,1155
2022-12-15,1174
2022-12-16,1164
2022-12-17,1183
2022-12-18,1079
2022-12-19,1102
2022-12-20,1038
2022-12-21,1025
2022-12-22,973
2022-12-23,988
2022-12-24,952
2022-12-25,930
2022-12-26,1021
2022-12-27,958
2022-12-28,932
2022-12-29,900
2022-12-30,882
2022-12-31,961
2023-01-01,1048
2023-01-02,1137
2023-01-03,1001
2023-01-04,975
2023-01-05,1057
2023-01-06,1018
2023-01-07,1041
2023-01-08,1042
2023-01-09,1076
2023-01-10,1124
2023-01-11,1132
2023-01-12,1154
2023-01-13,1096
2023-01-14,1025
2023-01-15,908
2023-01-16,946
2023-01-17,868
2023-01-18,914
2023-01-19,868
2023-01-20,861
2023-01-21,883
2023-01-22,1128
2023-01-23,1144
2023-01-24,1414
2023-01-25,1252
2023-01-26,1391
2023-01-27,1434
2023-01-28,1432
2023-01-29,1484
2023-01-30,1368
2023-01-31,1278
2023-02-01,1365
2023-02-02,1383
2023-02-03,1405
2023-02-04,1579
2023-02-05,1377
2023-02-06,1429
2023-02-07,1240
2023-02-08,1084
2023-02-09,1051
2023-02-10,1052
2023-02-11,1224
2023-02-12,1049
2023-02-13,1071
2023-02-14,1087
2023-02-15,1167
2023-02-16,1181
2023-02-17,1253
2023-02-18,1454
2023-02-19,1377
2023-02-20,1178
2023-02-21,1145
2023-02-22,1240
2023-02-23,1367
2023-02-24,1154
2023-02-25,1219
2023-02-26,954
2023-02-27,1032
2023-02-28,739
2023-03-01,781
2023-03-02,865
2023-03-03,856
2023-03-04,935
2023-03-05,979
2023-03-06,940
2023-03-07,926
2023-03-08,999
2023-03-09,952
2023-03-10,801
2023-03-11,946
2023-03-12,830
2023-03-13,867
2023-03-14,910
2023-03-15,830
2023-03-16,977
2023-03-17,763
2023-03-18,828
2023-03-19,757
2023-03-20,810
2023-03-21,868
2023-03-22,731
2023-03-23,861
2023-03-24,854
2023-03-25,785
2023-03-26,807
2023-03-27,331
2023-03-28,463
2023-03-29,553
2023-03-30,634
2023-03-31,678
2023-04-01,741
2023-04-02,703
2023-04-03,713
2023-04-04,734
2023-04-05,734
2023-04-06,826
2023-04-07,938
2023-04-08,970
2023-04-09,936
2023-04-10,835
2023-04-11,944
2023-04-12,1027
2023-04-13,927
2023-04-14,1000
2023-04-15,1079
2023-04-16,1101
2023-04-17,963
2023-04-18,999
2023-04-19,982
2023-04-20,1034
2023-04-21,1143
2023-04-22,991
2023-04-23,910
2023-04-24,1057
2023-04-25,995
2023-04-26,1040
2023-04-27,1067
2023-04-28,1239
2023-04-29,1144
2023-04-30,1191
2023-05-01,1252
2023-05-02,1067
2023-05-03,1002
2023-05-04,1048
2023-05-05,1114
2023-05-06,1308
2023-05-07,1239
2023-05-08,1297
2023-05-09,1082
2023-05-10,1119
2023-05-11,1125
2023-05-12,1082
2023-05-13,1245
2023-05-14,1276
2023-05-15,1262
2023-05-16,1156
2023-05-17,1152
2023-05-18,1108
2023-05-19,1083
2023-05-20,1230
2023-05-21,1153
2023-05-22,971
2023-05-23,954
2023-05-24,1016
2023-05-25,952
2023-05-26,889
2023-05-27,1019
2023-05-28,1013
2023-05-30,1104
2023-05-31,1005
2023-06-01,912
