,Sales Rank
2022-12-14,389
2022-12-15,348
2022-12-16,364
2022-12-17,379
2022-12-18,397
2022-12-19,433
2022-12-20,554
2022-12-21,578
2022-12-22,583
2022-12-23,630
2022-12-24,679
2022-12-25,776
2022-12-26,857
2022-12-27,985
2022-12-28,912
2022-12-29,1102
2022-12-30,1040
2022-12-31,1051
2023-01-01,1004
2023-01-02,927
2023-01-03,833
2023-01-04,871
2023-01-05,798
2023-01-06,811
2023-01-07,768
2023-01-08,781
2023-01-09,812
2023-01-10,829
2023-01-11,834
2023-01-12,771
2023-01-13,733
2023-01-14,586
2023-01-15,557
2023-01-16,599
2023-01-17,610
2023-01-18,487
2023-01-19,497
2023-01-20,466
2023-01-21,476
2023-01-22,462
2023-01-23,511
2023-01-24,479
2023-01-25,463
2023-01-26,478
2023-01-27,469
2023-01-28,497
2023-01-29,510
2023-01-30,501
2023-01-31,513
2023-02-01,500
2023-02-02,490
2023-02-03,487
2023-02-04,493
2023-02-05,508
2023-02-06,529
2023-02-07,496
2023-02-08,549
2023-02-09,553
2023-02-10,587
2023-02-11,589
2023-02-12,682
2023-02-13,675
2023-02-14,671
2023-02-15,679
2023-02-16,655
2023-02-17,636
2023-02-18,642
2023-02-19,683
2023-02-20,679
2023-02-21,731
2023-02-22,645
2023-02-23,662
2023-02-24,610
2023-02-25,559
2023-02-26,610
2023-02-27,587
2023-02-28,608
2023-03-01,578
2023-03-02,604
2023-03-03,549
2023-03-04,551
2023-03-05,585
2023-03-06,583
2023-03-07,576
2023-03-08,530
2023-03-09,514
2023-03-10,519
2023-03-11,560
2023-03-12,605
2023-03-13,621
2023-03-14,545
2023-03-15,559
2023-03-16,575
2023-03-17,543
2023-03-18,477
2023-03-19,555
2023-03-20,566
2023-03-21,554
2023-03-22,540
2023-03-23,452
2023-03-24,465
2023-03-25,408
2023-03-26,413
2023-03-27,483
2023-03-28,577
2023-03-29,521
2023-03-30,490
2023-03-31,565
2023-04-01,568
2023-04-02,577
2023-04-03,582
2023-04-04,610
2023-04-05,583
2023-04-06,661
2023-04-07,574
2023-04-08,605
2023-04-09,643
2023-04-10,734
2023-04-11,656
2023-04-12,549
2023-04-13,618
2023-04-14,619
2023-04-15,634
2023-04-16,684
2023-04-17,714
2023-04-18,691
2023-04-19,650
2023-04-20,674
2023-04-21,597
2023-04-22,604
2023-04-23,700
2023-04-24,695
2023-04-25,669
2023-04-26,594
2023-04-27,599
2023-04-28,514
2023-04-29,550
2023-04-30,598
2023-05-01,586
2023-05-02,643
2023-05-03,678
2023-05-04,713
2023-05-05,697
2023-05-06,643
2023-05-07,778
2023-05-08,704
2023-05-09,702
2023-05-10,713
2023-05-11,610
2023-05-12,584
2023-05-13,536
2023-05-14,568
2023-05-15,510
2023-05-16,552
2023-05-17,545
2023-05-18,571
2023-05-19,484
2023-05-20,463
2023-05-21,548
2023-05-22,558
2023-05-23,529
2023-05-24,499
2023-05-25,476
2023-05-26,525
2023-05-27,560
2023-05-28,583
2023-05-30,617
2023-05-31,591
2023-06-01,498
2023-06-02,549
2023-06-03,554
2023-06-04,513
2023-06-05,606
2023-06-06,593
2023-06-07,530
2023-06-08,495
2023-06-09,488
2023-06-10,452
2023-06-11,445
2023-06-12,504
2023-06-13,496
2023-06-14,543
2023-06-15,534
2023-06-16,591
2023-06-17,552
2023-06-18,541
2023-06-19,633
2023-06-20,631
2023-06-21,613
2023-06-22,608
2023-06-23,650
2023-06-24,599
2023-06-25,524
2023-06-26,574
2023-06-27,628
2023-06-28,612
2023-06-29,714
2023-06-30,679
2023-07-01,679
2023-07-02,678
2023-07-03,694
2023-07-04,750
2023-07-05,602
2023-07-06,521
2023-07-07,471
2023-07-08,448
2023-07-09,480
2023-07-10,499
2023-07-11,722
2023-07-12,808
2023-07-13,712
2023-07-14,609
2023-07-15,615
2023-07-16,554
2023-07-17,688
