,Sales Rank
2022-12-14,2188
2022-12-15,2109
2022-12-16,1915
2022-12-17,1873
2022-12-18,1809
2022-12-19,1759
2022-12-20,1443
2022-12-21,1266
2022-12-22,1084
2022-12-23,1006
2022-12-24,1053
2022-12-25,1120
2022-12-26,833
2022-12-27,1015
2022-12-28,1114
2022-12-29,1138
2022-12-30,1232
2022-12-31,1108
2023-01-01,1083
2023-01-02,1109
2023-01-03,1236
2023-01-04,1233
2023-01-05,1350
2023-01-06,1363
2023-01-07,1406
2023-01-08,1479
2023-01-09,1553
2023-01-10,1493
2023-01-11,1560
2023-01-12,1505
2023-01-13,1456
2023-01-14,1355
2023-01-15,1573
2023-01-16,1524
2023-01-17,1405
2023-01-18,1314
2023-01-19,1483
2023-01-20,1398
2023-01-21,1545
2023-01-22,1602
2023-01-23,1501
2023-01-24,1301
2023-01-25,1230
2023-01-26,1168
2023-01-27,1027
2023-01-28,1174
2023-01-29,1143
2023-01-30,1107
2023-01-31,1176
2023-02-01,1151
2023-02-02,1110
2023-02-03,1210
2023-02-04,1115
2023-02-05,1091
2023-02-06,1124
2023-02-07,1184
2023-02-08,1178
2023-02-09,1110
2023-02-10,1096
2023-02-11,1003
2023-02-12,1162
2023-02-13,1143
2023-02-14,1148
2023-02-15,1172
2023-02-16,1287
2023-02-17,1093
2023-02-18,1195
2023-02-19,1168
2023-02-20,1207
2023-02-21,1322
2023-02-22,1281
2023-02-23,1366
2023-02-24,1382
2023-02-25,1305
2023-02-26,1185
2023-02-27,1176
2023-02-28,1329
2023-03-01,1078
2023-03-02,901
2023-03-03,870
2023-03-04,794
2023-03-05,830
2023-03-06,795
2023-03-07,830
2023-03-08,867
2023-03-09,1184
2023-03-10,1492
2023-03-11,1416
2023-03-12,1369
2023-03-13,1117
2023-03-14,1078
2023-03-15,988
2023-03-16,951
2023-03-17,1046
2023-03-18,994
2023-03-19,1028
2023-03-20,1079
2023-03-21,955
2023-03-22,941
2023-03-23,979
2023-03-24,1097
2023-03-25,1265
2023-03-26,1200
2023-03-27,1330
2023-03-28,1231
2023-03-29,1148
2023-03-30,1168
2023-03-31,1115
2023-04-01,1139
2023-04-02,1227
2023-04-03,1151
2023-04-04,1239
2023-04-05,1047
2023-04-06,1105
2023-04-07,1224
2023-04-08,1245
2023-04-09,1130
2023-04-10,795
2023-04-11,696
2023-04-12,553
2023-04-13,601
2023-04-14,534
2023-04-15,493
2023-04-16,1043
2023-04-17,2121
2023-04-18,1098
2023-04-19,1000
2023-04-20,1029
2023-04-21,942
2023-04-22,904
2023-04-23,948
2023-04-24,1025
2023-04-25,981
2023-04-26,942
2023-04-27,912
2023-04-28,978
2023-04-29,977
2023-04-30,805
2023-05-01,994
2023-05-02,1183
2023-05-03,869
2023-05-04,941
2023-05-05,1013
2023-05-06,960
2023-05-07,993
2023-05-08,862
2023-05-09,878
2023-05-10,656
2023-05-11,566
2023-05-12,601
2023-05-13,539
2023-05-14,537
2023-05-15,639
2023-05-16,617
2023-05-17,641
2023-05-18,582
2023-05-19,684
2023-05-20,629
2023-05-21,719
2023-05-22,749
2023-05-23,756
2023-05-24,724
2023-05-25,676
2023-05-26,667
2023-05-27,504
2023-05-28,506
2023-05-30,550
2023-05-31,560
2023-06-01,572
2023-06-02,602
2023-06-03,614
2023-06-04,638
2023-06-05,572
2023-06-06,462
2023-06-07,423
2023-06-08,404
2023-06-09,424
2023-06-10,351
2023-06-11,328
2023-06-12,381
2023-06-13,357
2023-06-14,375
2023-06-15,368
2023-06-16,349
2023-06-17,369
2023-06-18,307
2023-06-19,351
2023-06-20,337
2023-06-21,312
2023-06-22,321
2023-06-23,330
2023-06-24,376
2023-06-25,436
2023-06-26,415
2023-06-27,293
2023-06-28,318
2023-06-29,228
2023-06-30,211
2023-07-01,172
2023-07-02,156
2023-07-03,211
2023-07-04,262
2023-07-05,318
2023-07-06,302
2023-07-07,382
2023-07-08,351
2023-07-09,351
2023-07-10,382
2023-07-11,315
2023-07-12,524
2023-07-13,454
2023-07-14,413
2023-07-15,385
2023-07-16,346
2023-07-17,388
2023-07-18,242
2023-07-19,371
2023-07-20,384
2023-07-21,377
2023-07-22,378
2023-07-23,425
2023-07-24,366
2023-07-25,339
2023-07-26,361
2023-07-27,332
2023-07-28,374
2023-07-29,322
2023-07-30,331
2023-07-31,332
2023-08-01,266
2023-08-02,252
2023-08-03,259
2023-08-04,280
2023-08-05,268
2023-08-06,256
2023-08-07,233
2023-08-08,306
2023-08-09,334
2023-08-10,330
2023-08-11,322
2023-08-12,351
2023-08-13,347
2023-08-14,373
2023-08-15,680
2023-08-16,423
2023-08-17,429
2023-08-18,411
2023-08-19,434
2023-08-20,421
2023-08-21,489
2023-08-22,547
2023-08-23,940
2023-08-24,605
2023-08-25,437
2023-08-26,488
2023-08-27,463
2023-08-28,349
2023-08-29,335
2023-08-30,340
2023-08-31,316
2023-09-01,317
2023-09-02,302
2023-09-03,288
2023-09-04,404
2023-09-05,449
2023-09-06,450
2023-09-07,419
2023-09-08,466
2023-09-09,326
2023-09-10,374
2023-09-11,414
2023-09-12,469
2023-09-13,454
2023-09-14,357
2023-09-15,372
2023-09-16,418
2023-09-17,413
2023-09-18,445
2023-09-19,461
2023-09-20,488
2023-09-21,518
2023-09-22,535
2023-09-23,393
2023-09-24,465
2023-09-25,513
2023-09-26,475
2023-09-27,333
2023-09-28,400
2023-09-29,424
2023-09-30,427
2023-10-01,460
2023-10-02,421
2023-10-03,421
2023-10-04,411
2023-10-05,409
2023-10-06,410
2023-10-07,458
2023-10-08,344
2023-10-09,443
2023-10-10,380
2023-10-11,360
2023-10-12,383
2023-10-13,423
2023-10-14,431
2023-10-15,409
2023-10-16,452
2023-10-17,418
2023-10-18,410
2023-10-19,427
2023-10-20,427
2023-10-21,425
2023-10-22,392
2023-10-23,477
2023-10-24,519
2023-10-25,498
2023-10-26,627
2023-10-27,498
2023-10-28,483
2023-10-29,530
2023-10-30,507
2023-10-31,614
2023-11-01,606
2023-11-02,636
2023-11-03,634
2023-11-04,654
2023-11-05,634
2023-11-06,673
2023-11-07,650
2023-11-08,629
2023-11-09,617
2023-11-10,615
2023-11-11,693
2023-11-12,706
2023-11-13,688
2023-11-14,660
2023-11-15,675
2023-11-16,445
2023-11-17,617
2023-11-18,693
2023-11-19,608
2023-11-20,539
2023-11-21,488
2023-11-22,458
2023-11-23,491
2023-11-24,662
2023-11-25,596
2023-11-26,590
2023-11-27,716
2023-11-28,741
2023-11-29,752
2023-11-30,765
2023-12-01,786
2023-12-02,840
2023-12-03,766
2023-12-04,861
2023-12-05,773
2023-12-06,768
2023-12-07,708
2023-12-08,825
2023-12-09,732
2023-12-10,839
2023-12-11,813
2023-12-12,822
2023-12-13,657
2023-12-14,493
2023-12-15,570
2023-12-16,609
2023-12-17,568
2023-12-18,486
2023-12-19,527
2023-12-20,496
2023-12-21,520
2023-12-22,452
2023-12-23,330
2023-12-24,245
2023-12-25,294
2023-12-26,286
2024-01-02,5802
2024-01-03,7155
2024-01-04,337
2024-01-05,681
2024-01-06,503
2024-01-07,373
2024-01-08,555
2024-01-09,526
2024-01-10,473
2024-01-11,469
2024-01-12,549
2024-01-13,514
2024-01-14,454
2024-01-15,520
2024-01-16,481
2024-01-17,478
2024-01-18,466
2024-01-19,440
2024-01-20,505
2024-01-21,463
2024-01-22,465
2024-01-23,594
2024-01-24,476
2024-01-25,512
2024-01-26,589
2024-01-27,739
2024-01-28,714
2024-01-29,1327
2024-01-30,2207
2024-01-31,3857
2024-02-01,4180
2024-02-02,1894
2024-02-03,1055
2024-02-04,875
2024-02-05,977
2024-02-06,879
2024-02-07,893
2024-02-08,819
2024-02-09,737
2024-02-10,859
2024-02-11,826
2024-02-12,792
2024-02-13,763
2024-02-14,637
2024-02-15,793
2024-02-16,874
2024-02-17,910
2024-02-18,810
2024-02-19,889
2024-02-20,883
2024-02-21,880
2024-02-22,829
2024-02-23,809
2024-02-24,818
2024-02-25,770
2024-02-26,778
2024-02-27,818
2024-02-28,822
2024-02-29,792
2024-03-01,756
2024-03-02,773
2024-03-03,814
2024-03-04,810
2024-03-05,755
2024-03-06,774
2024-03-07,814
2024-03-08,794
2024-03-09,867
2024-03-10,866
2024-03-11,906
2024-03-12,826
2024-03-13,884
2024-03-14,850
2024-03-15,905
2024-03-16,967
2024-03-17,934
2024-03-18,940
2024-03-19,942
2024-03-20,895
2024-03-21,944
2024-03-22,911
2024-03-23,713
2024-03-24,752
2024-03-25,841
2024-03-26,833
2024-03-27,819
2024-03-28,857
2024-03-29,722
2024-03-30,782
