,Sales Rank
2022-12-14,1374
2022-12-15,1612
2022-12-16,1494
2022-12-17,1802
2022-12-18,1778
2022-12-19,1741
2022-12-20,1722
2022-12-21,1629
2022-12-22,1516
2022-12-23,1389
2022-12-24,1345
2022-12-25,1311
2022-12-26,1216
2022-12-27,1121
2022-12-28,1160
2022-12-29,1282
2022-12-30,1140
2022-12-31,1335
2023-01-01,1267
2023-01-02,1158
2023-01-03,1081
2023-01-04,1125
2023-01-05,1110
2023-01-06,1077
2023-01-07,1096
2023-01-08,1168
2023-01-09,1253
2023-01-10,1302
2023-01-11,1322
2023-01-12,1257
2023-01-13,1320
2023-01-14,1526
2023-01-15,1230
2023-01-16,999
2023-01-17,1093
2023-01-18,1179
2023-01-19,1202
2023-01-20,1329
2023-01-21,1531
2023-01-22,1319
2023-01-23,1175
2023-01-24,1230
2023-01-25,1167
2023-01-26,1280
2023-01-27,1323
2023-01-28,1455
2023-01-29,1436
2023-01-30,1230
2023-01-31,1385
2023-02-01,1327
2023-02-02,1403
2023-02-03,1419
2023-02-04,1241
2023-02-05,1254
2023-02-06,1342
2023-02-07,1202
2023-02-08,1179
2023-02-09,1355
2023-02-10,1424
2023-02-11,1564
2023-02-12,1492
2023-02-13,1233
2023-02-14,1235
2023-02-15,1059
2023-02-16,1225
2023-02-17,1292
2023-02-18,1276
2023-02-19,1356
2023-02-20,1103
2023-02-21,897
2023-02-22,974
2023-02-23,1053
2023-02-24,1097
2023-02-25,1255
2023-02-26,1257
2023-02-27,1036
2023-02-28,1160
2023-03-01,1032
2023-03-02,1055
2023-03-03,963
2023-03-04,998
2023-03-05,1117
2023-03-06,1208
2023-03-07,1248
2023-03-08,1517
2023-03-09,1636
2023-03-10,1640
2023-03-11,1811
2023-03-12,1947
2023-03-13,1035
2023-03-14,1796
2023-03-15,2214
2023-03-16,2452
2023-03-17,2666
2023-03-18,2715
2023-03-19,2764
2023-03-20,684
2023-03-21,529
2023-03-22,771
2023-03-23,1120
2023-03-24,1135
2023-03-25,1158
2023-03-26,1202
2023-03-27,979
2023-03-28,1015
2023-03-29,916
2023-03-30,871
2023-03-31,917
2023-04-01,866
2023-04-02,848
2023-04-03,1064
2023-04-04,985
2023-04-05,1196
2023-04-06,1300
2023-04-07,1283
2023-04-08,1704
2023-04-09,2100
2023-04-10,1501
2023-04-11,1594
2023-04-12,1466
2023-04-13,1420
2023-04-14,1459
2023-04-15,2074
2023-04-16,1988
2023-04-17,1377
2023-04-18,1353
2023-04-19,1381
2023-04-20,1555
2023-04-21,1368
2023-04-22,1827
2023-04-23,1448
2023-04-24,1220
2023-04-25,1047
2023-04-26,1312
2023-04-27,840
2023-04-28,869
2023-04-29,930
2023-04-30,1107
2023-05-01,757
2023-05-02,774
2023-05-03,698
2023-05-04,697
2023-05-05,686
2023-05-06,736
2023-05-07,720
2023-05-08,778
2023-05-09,677
2023-05-10,669
2023-05-11,726
2023-05-12,738
2023-05-13,960
2023-05-14,1023
2023-05-15,724
2023-05-16,862
