,Sales Rank
2022-12-14,348
2022-12-15,316
2022-12-16,318
2022-12-17,342
2022-12-18,378
2022-12-19,367
2022-12-20,330
2022-12-21,339
2022-12-22,329
2022-12-23,293
2022-12-24,288
2022-12-25,232
2022-12-26,242
2022-12-27,257
2022-12-28,252
2022-12-29,275
2022-12-30,270
2022-12-31,256
2023-01-01,252
2023-01-02,273
2023-01-03,279
2023-01-04,260
2023-01-05,271
2023-01-06,259
2023-01-07,259
2023-01-08,274
2023-01-09,284
2023-01-10,289
2023-01-11,296
2023-01-12,289
2023-01-13,279
2023-01-14,232
2023-01-15,204
2023-01-16,207
2023-01-17,197
2023-01-18,208
2023-01-19,218
2023-01-20,205
2023-01-21,277
2023-01-22,307
2023-01-23,281
2023-01-24,261
2023-01-25,247
2023-01-26,258
2023-01-27,279
2023-01-28,233
2023-01-29,172
2023-01-30,178
2023-01-31,180
2023-02-01,179
2023-02-02,206
2023-02-03,177
2023-02-04,191
2023-02-05,158
2023-02-06,155
2023-02-07,170
2023-02-08,191
2023-02-09,232
2023-02-10,231
2023-02-11,259
2023-02-12,185
2023-02-13,174
2023-02-14,175
2023-02-15,184
2023-02-16,232
2023-02-17,251
2023-02-18,274
2023-02-19,225
2023-02-20,156
2023-02-21,173
2023-02-22,188
2023-02-23,194
2023-02-24,181
2023-02-25,244
2023-02-26,216
2023-02-27,212
2023-02-28,192
2023-03-01,222
2023-03-02,248
2023-03-03,194
2023-03-04,220
2023-03-05,251
2023-03-06,214
2023-03-07,189
2023-03-08,200
2023-03-09,211
2023-03-10,302
2023-03-11,282
2023-03-12,226
2023-03-13,186
2023-03-14,248
2023-03-15,234
2023-03-16,258
2023-03-17,310
2023-03-18,374
2023-03-19,451
2023-03-20,370
2023-03-21,368
2023-03-22,379
2023-03-23,409
2023-03-24,440
2023-03-25,477
2023-03-26,521
2023-03-27,422
2023-03-28,396
2023-03-29,387
2023-03-30,385
2023-03-31,398
2023-04-01,488
2023-04-02,530
2023-04-03,402
2023-04-04,381
2023-04-05,372
2023-04-06,346
2023-04-07,431
2023-04-08,512
2023-04-09,514
2023-04-10,411
2023-04-11,377
2023-04-12,410
2023-04-13,398
2023-04-14,426
2023-04-15,461
2023-04-16,829
2023-04-17,559
2023-04-18,535
2023-04-19,642
2023-04-20,504
2023-04-21,532
2023-04-22,731
2023-04-23,510
2023-04-24,411
2023-04-25,393
2023-04-26,392
2023-04-27,427
2023-04-28,426
2023-04-29,642
2023-04-30,857
2023-05-01,886
2023-05-02,587
2023-05-03,623
2023-05-04,569
2023-05-05,481
2023-05-06,639
2023-05-07,635
2023-05-08,407
2023-05-09,464
2023-05-10,458
2023-05-11,523
2023-05-12,401
2023-05-13,515
2023-05-14,605
