,Sales Rank
2022-12-14,6321
2022-12-15,9021
2022-12-16,14709
2022-12-17,14958
2022-12-18,17655
2022-12-19,18377
2022-12-20,17114
2022-12-21,16347
2022-12-22,21182
2022-12-23,20761
2022-12-24,22551
2022-12-25,12134
2022-12-26,16863
2022-12-27,20787
2022-12-28,31680
2022-12-29,25498
2022-12-30,32744
2022-12-31,36776
2023-01-01,24711
2023-01-02,25044
2023-01-03,22334
2023-01-04,24822
2023-01-05,22678
2023-01-06,24334
2023-01-07,21674
2023-01-08,22123
2023-01-09,22813
2023-01-10,21635
2023-01-11,21557
2023-01-12,21574
2023-01-13,26851
2023-01-14,25910
2023-01-15,37462
2023-01-16,25108
2023-01-17,22406
2023-01-18,27704
2023-01-19,31775
2023-01-20,28674
2023-01-21,33285
2023-01-22,24304
2023-01-23,24299
2023-01-24,20232
2023-01-25,16458
2023-01-26,29724
2023-01-27,21152
2023-01-28,24780
2023-01-29,25248
2023-01-30,26773
2023-01-31,26449
2023-02-01,32916
2023-02-02,24875
2023-02-03,38366
2023-02-04,31949
2023-02-05,21656
2023-02-06,34265
2023-02-07,35361
2023-02-08,33610
2023-02-09,49209
2023-02-10,43745
2023-02-11,24370
2023-02-12,37514
2023-02-13,29608
2023-02-14,18810
2023-02-15,19766
2023-02-16,18401
2023-02-17,24979
2023-02-18,21499
2023-02-19,20478
2023-02-20,23543
2023-02-21,22450
2023-02-22,20414
2023-02-23,28224
2023-02-24,25733
2023-02-25,23492
2023-02-26,23577
2023-02-27,18876
2023-02-28,17323
2023-03-01,21996
2023-03-02,21053
2023-03-03,18692
2023-03-04,23953
2023-03-05,22755
2023-03-06,21313
2023-03-07,26232
2023-03-08,20570
2023-03-09,19896
2023-03-10,16321
2023-03-11,28645
2023-03-12,32987
2023-03-13,26191
2023-03-14,30761
2023-03-15,18847
2023-03-16,16618
2023-03-17,11331
2023-03-18,17835
2023-03-19,14038
2023-03-20,12065
2023-03-21,23582
2023-03-22,28890
2023-03-23,33564
2023-03-24,37677
2023-03-25,40317
2023-03-26,49678
2023-03-27,17575
2023-03-28,23733
2023-03-29,20208
2023-03-30,16670
2023-03-31,18610
2023-04-01,20972
2023-04-02,13917
2023-04-03,19165
2023-04-04,18225
2023-04-05,17148
2023-04-06,14540
2023-04-07,15314
2023-04-08,17911
2023-04-09,21898
2023-04-10,20940
2023-04-11,22555
2023-04-12,24842
2023-04-13,26529
2023-04-14,29668
2023-04-15,31856
2023-04-16,42813
