,Sales Rank
2022-12-14,254
2022-12-15,222
2022-12-16,404
2022-12-17,461
2022-12-18,486
2022-12-19,515
2022-12-20,544
2022-12-21,584
2022-12-22,631
2022-12-23,705
2022-12-24,794
2022-12-25,800
2022-12-26,775
2022-12-27,850
2022-12-28,782
2022-12-29,794
2022-12-30,810
2022-12-31,758
2023-01-01,773
2023-01-02,764
2023-01-03,848
2023-01-04,845
2023-01-05,853
2023-01-06,856
2023-01-07,858
2023-01-08,846
2023-01-09,846
2023-01-10,848
2023-01-11,849
2023-01-12,848
2023-01-13,787
2023-01-14,634
2023-01-15,599
2023-01-16,660
2023-01-17,549
2023-01-18,590
2023-01-19,586
2023-01-20,597
2023-01-21,673
2023-01-22,645
2023-01-23,690
2023-01-24,592
2023-01-25,605
2023-01-26,614
2023-01-27,681
2023-01-28,606
2023-01-29,550
2023-01-30,579
2023-01-31,518
2023-02-01,602
2023-02-02,583
2023-02-03,608
2023-02-04,593
2023-02-05,668
2023-02-06,665
2023-02-07,119
2023-02-08,237
2023-02-09,351
2023-02-10,482
2023-02-11,412
2023-02-12,476
2023-02-13,555
2023-02-14,598
2023-02-15,645
2023-02-16,719
2023-02-17,691
2023-02-18,609
2023-02-19,664
2023-02-20,709
2023-02-21,702
2023-02-22,667
2023-02-23,710
2023-02-24,734
2023-02-25,542
2023-02-26,560
2023-02-27,586
2023-02-28,595
2023-03-01,637
2023-03-02,605
2023-03-03,587
2023-03-04,591
2023-03-05,552
2023-03-06,580
2023-03-07,580
2023-03-08,550
2023-03-09,566
2023-03-10,588
2023-03-11,547
2023-03-12,520
2023-03-13,572
2023-03-14,546
2023-03-15,527
2023-03-16,560
2023-03-17,576
2023-03-18,541
2023-03-19,482
2023-03-20,541
2023-03-21,578
2023-03-22,567
2023-03-23,628
2023-03-24,579
2023-03-25,583
2023-03-26,515
2023-03-27,570
2023-03-28,574
2023-03-29,528
2023-03-30,488
2023-03-31,571
2023-04-01,560
2023-04-02,506
2023-04-03,592
2023-04-04,583
2023-04-05,584
2023-04-06,583
2023-04-07,659
2023-04-08,714
2023-04-09,577
2023-04-10,639
2023-04-11,677
2023-04-12,698
2023-04-13,643
2023-04-14,732
2023-04-15,583
2023-04-16,558
2023-04-17,621
2023-04-18,610
2023-04-19,587
2023-04-20,543
2023-04-21,590
2023-04-22,600
2023-04-23,499
2023-04-24,521
2023-04-25,509
2023-04-26,540
2023-04-27,552
2023-04-28,603
2023-04-29,523
2023-04-30,465
2023-05-01,528
2023-05-02,229
2023-05-03,201
2023-05-04,321
2023-05-05,406
2023-05-06,434
2023-05-07,471
2023-05-08,539
2023-05-09,586
2023-05-10,562
2023-05-11,579
2023-05-12,609
2023-05-13,665
2023-05-14,617
2023-05-15,654
2023-05-16,591
2023-05-17,487
2023-05-18,523
2023-05-19,618
2023-05-20,569
2023-05-21,607
2023-05-22,661
2023-05-23,671
2023-05-24,605
2023-05-25,609
2023-05-26,634
2023-05-27,617
2023-05-28,590
2023-05-30,654
2023-05-31,609
2023-06-01,584
2023-06-02,604
2023-06-03,589
2023-06-04,554
2023-06-05,600
2023-06-06,556
2023-06-07,672
2023-06-08,702
2023-06-09,667
2023-06-10,702
2023-06-11,608
2023-06-12,628
2023-06-13,601
2023-06-14,701
2023-06-15,639
2023-06-16,696
2023-06-17,710
2023-06-18,708
2023-06-19,714
2023-06-20,781
2023-06-21,770
2023-06-22,755
2023-06-23,750
2023-06-24,823
2023-06-25,794
2023-06-26,789
2023-06-27,810
2023-06-28,448
2023-06-29,446
2023-06-30,433
2023-07-01,447
2023-07-02,716
2023-07-03,814
2023-07-04,828
2023-07-05,756
2023-07-06,698
2023-07-07,821
2023-07-08,785
2023-07-09,751
2023-07-10,701
2023-07-11,650
2023-07-12,634
2023-07-13,747
2023-07-14,949
2023-07-15,1203
2023-07-16,886
2023-07-17,769
2023-07-18,738
2023-07-19,713
2023-07-20,686
2023-07-21,748
2023-07-22,691
