,Sales Rank
2022-12-14,220
2022-12-15,227
2022-12-16,212
2022-12-17,227
2022-12-18,227
2022-12-19,239
2022-12-20,250
2022-12-21,250
2022-12-22,245
2022-12-23,243
2022-12-24,265
2022-12-25,257
2022-12-26,196
2022-12-27,200
2022-12-28,175
2022-12-29,173
2022-12-30,161
2022-12-31,181
2023-01-01,181
2023-01-02,168
2023-01-03,164
2023-01-04,165
2023-01-05,163
2023-01-06,167
2023-01-07,178
2023-01-08,187
2023-01-09,197
2023-01-10,212
2023-01-11,236
2023-01-12,207
2023-01-13,174
2023-01-14,152
2023-01-15,167
2023-01-16,161
2023-01-17,147
2023-01-18,144
2023-01-19,149
2023-01-20,148
2023-01-21,182
2023-01-22,202
2023-01-23,177
2023-01-24,179
2023-01-25,184
2023-01-26,173
2023-01-27,176
2023-01-28,200
2023-01-29,181
2023-01-30,156
2023-01-31,157
2023-02-01,183
2023-02-02,180
2023-02-03,161
2023-02-04,164
2023-02-05,178
2023-02-06,151
2023-02-07,169
2023-02-08,162
2023-02-09,157
2023-02-10,137
2023-02-11,142
2023-02-12,157
2023-02-13,129
2023-02-14,141
2023-02-15,153
2023-02-16,142
2023-02-17,141
2023-02-18,144
2023-02-19,167
2023-02-20,146
2023-02-21,135
2023-02-22,144
2023-02-23,139
2023-02-24,127
2023-02-25,142
2023-02-26,146
2023-02-27,141
2023-02-28,132
2023-03-01,138
2023-03-02,135
2023-03-03,131
2023-03-04,140
2023-03-05,139
2023-03-06,132
2023-03-07,131
2023-03-08,141
2023-03-09,142
2023-03-10,127
2023-03-11,146
2023-03-12,151
2023-03-13,145
2023-03-14,129
2023-03-15,124
2023-03-16,127
2023-03-17,128
2023-03-18,146
2023-03-19,133
2023-03-20,122
2023-03-21,131
2023-03-22,132
2023-03-23,140
2023-03-24,128
2023-03-25,143
2023-03-26,136
2023-03-27,118
2023-03-28,120
2023-03-29,120
2023-03-30,117
2023-03-31,125
2023-04-01,136
2023-04-02,151
2023-04-03,141
2023-04-04,131
2023-04-05,130
2023-04-06,140
2023-04-07,132
2023-04-08,146
2023-04-09,140
2023-04-10,135
2023-04-11,144
2023-04-12,131
2023-04-13,142
2023-04-14,129
2023-04-15,139
2023-04-16,140
2023-04-17,130
2023-04-18,133
2023-04-19,133
2023-04-20,139
2023-04-21,118
2023-04-22,149
2023-04-23,147
2023-04-24,135
2023-04-25,144
2023-04-26,127
2023-04-27,126
2023-04-28,135
2023-04-29,144
2023-04-30,144
2023-05-01,148
2023-05-02,166
2023-05-03,150
2023-05-04,149
2023-05-05,133
2023-05-06,158
2023-05-07,155
2023-05-08,139
2023-05-09,123
2023-05-10,118
2023-05-11,134
2023-05-12,125
2023-05-13,138
2023-05-14,149
2023-05-15,131
2023-05-16,136
2023-05-17,132
2023-05-18,128
2023-05-19,137
2023-05-20,153
2023-05-21,147
2023-05-22,147
2023-05-23,122
2023-05-24,112
2023-05-25,109
2023-05-26,131
2023-05-27,147
2023-05-28,160
2023-05-30,222
2023-05-31,199
2023-06-01,200
2023-06-02,223
2023-06-03,226
2023-06-04,194
2023-06-05,235
2023-06-06,245
2023-06-07,197
2023-06-08,219
2023-06-09,200
2023-06-10,207
2023-06-11,196
2023-06-12,234
2023-06-13,230
2023-06-14,189
2023-06-15,211
2023-06-16,208
2023-06-17,221
2023-06-18,190
2023-06-19,226
2023-06-20,245
2023-06-21,222
2023-06-22,200
2023-06-23,190
2023-06-24,183
2023-06-25,171
2023-06-26,187
2023-06-27,212
2023-06-28,166
2023-06-29,191
2023-06-30,174
2023-07-01,186
2023-07-02,178
2023-07-03,171
2023-07-04,212
2023-07-05,161
2023-07-06,148
2023-07-07,136
2023-07-08,160
2023-07-09,157
2023-07-10,172
2023-07-11,299
2023-07-12,318
2023-07-13,276
2023-07-14,213
2023-07-15,186
2023-07-16,182
2023-07-17,207
2023-07-18,210
2023-07-19,176
2023-07-20,187
2023-07-21,176
2023-07-22,178
2023-07-23,181
2023-07-24,235
2023-07-25,240
2023-07-26,215
2023-07-27,207
2023-07-28,224
2023-07-29,211
2023-07-30,218
2023-07-31,241
2023-08-01,247
2023-08-02,220
2023-08-03,187
2023-08-04,188
2023-08-05,181
2023-08-06,177
2023-08-07,205
2023-08-08,212
2023-08-09,210
2023-08-10,146
2023-08-11,155
2023-08-12,156
2023-08-13,149
2023-08-14,172
2023-08-15,173
2023-08-16,141
2023-08-17,161
2023-08-18,158
2023-08-19,153
2023-08-20,146
2023-08-21,168
2023-08-22,163
2023-08-23,114
2023-08-24,151
2023-08-25,153
2023-08-26,169
2023-08-27,146
2023-08-28,175
2023-08-29,169
2023-08-30,117
2023-08-31,106
2023-09-01,116
2023-09-02,127
2023-09-03,119
2023-09-04,158
2023-09-05,136
2023-09-06,109
2023-09-07,116
2023-09-08,119
2023-09-09,114
2023-09-10,101
2023-09-11,123
2023-09-12,107
2023-09-13,73
2023-09-14,67
2023-09-15,62
2023-09-16,51
2023-09-17,50
2023-09-18,67
2023-09-19,63
2023-09-20,62
2023-09-21,68
2023-09-22,64
2023-09-23,63
2023-09-24,65
2023-09-25,63
2023-09-26,62
2023-09-27,47
2023-09-28,54
2023-09-29,44
2023-09-30,44
2023-10-01,61
2023-10-02,85
2023-10-03,85
2023-10-04,86
2023-10-05,79
2023-10-06,77
2023-10-07,56
2023-10-08,62
2023-10-09,74
2023-10-10,132
2023-10-11,139
2023-10-12,90
2023-10-13,77
2023-10-14,72
2023-10-15,71
2023-10-16,86
2023-10-17,89
2023-10-18,71
2023-10-19,70
2023-10-20,59
2023-10-21,52
2023-10-22,54
2023-10-23,61
2023-10-24,60
2023-10-25,54
2023-10-26,56
2023-10-27,56
2023-10-28,51
2023-10-29,52
2023-10-30,73
2023-10-31,82
2023-11-01,69
2023-11-02,69
2023-11-03,69
2023-11-04,79
2023-11-05,80
2023-11-06,105
2023-11-07,108
2023-11-08,87
2023-11-09,105
2023-11-10,103
2023-11-11,106
2023-11-12,92
2023-11-13,131
2023-11-14,141
2023-11-15,112
2023-11-16,113
2023-11-17,100
2023-11-18,105
2023-11-19,115
2023-11-20,168
2023-11-21,168
2023-11-22,121
2023-11-23,162
2023-11-24,237
2023-11-25,200
2023-11-26,191
2023-11-27,261
2023-11-28,334
2023-11-29,140
2023-11-30,140
2023-12-01,135
2023-12-02,109
2023-12-03,103
2023-12-04,131
2023-12-05,143
2023-12-06,142
2023-12-07,129
2023-12-08,134
2023-12-09,142
2023-12-10,128
2023-12-11,169
2023-12-12,171
2023-12-13,136
2023-12-14,145
2023-12-15,176
2023-12-16,162
2023-12-17,153
2023-12-18,182
2023-12-19,184
2023-12-20,139
2023-12-21,145
2023-12-22,136
2023-12-23,104
2023-12-24,96
2023-12-25,132
2023-12-26,152
2023-12-27,95
2023-12-28,93
2023-12-29,104
2023-12-30,103
2023-12-31,107
2024-01-01,138
2024-01-02,129
2024-01-03,113
2024-01-04,116
2024-01-05,117
2024-01-06,125
2024-01-07,113
2024-01-08,152
2024-01-09,150
2024-01-10,107
2024-01-11,118
2024-01-12,103
2024-01-13,109
2024-01-14,98
2024-01-15,131
2024-01-16,123
2024-01-17,117
2024-01-18,106
2024-01-19,116
2024-01-20,104
2024-01-21,100
2024-01-22,138
2024-01-23,140
2024-01-24,103
2024-01-25,105
2024-01-26,113
2024-01-27,109
2024-01-28,97
2024-01-29,127
2024-01-30,131
2024-01-31,98
2024-02-01,102
2024-02-02,95
2024-02-03,107
2024-02-04,112
2024-02-05,131
2024-02-06,145
2024-02-07,115
2024-02-08,120
2024-02-09,114
2024-02-10,104
2024-02-11,97
2024-02-12,127
2024-02-13,138
2024-02-14,112
2024-02-15,106
2024-02-16,108
2024-02-17,106
2024-02-18,105
2024-02-19,132
2024-02-20,136
2024-02-21,103
2024-02-22,133
2024-02-23,113
2024-02-24,85
2024-02-25,87
2024-02-26,128
2024-02-27,129
2024-02-28,101
2024-02-29,101
2024-03-01,97
2024-03-02,104
2024-03-03,102
2024-03-04,119
2024-03-05,121
2024-03-06,113
2024-03-07,114
2024-03-08,107
2024-03-09,116
2024-03-10,106
2024-03-11,141
2024-03-12,137
2024-03-13,118
2024-03-14,128
2024-03-15,124
2024-03-16,124
2024-03-17,114
2024-03-18,169
2024-03-19,172
2024-03-20,141
2024-03-21,150
2024-03-22,163
2024-03-23,138
2024-03-24,143
2024-03-25,166
2024-03-26,201
2024-03-27,143
2024-03-28,145
2024-03-29,155
2024-03-30,154
2024-03-31,149
2024-04-01,176
2024-04-02,177
2024-04-03,139
2024-04-04,148
2024-04-05,137
2024-04-06,128
2024-04-07,136
2024-04-08,172
2024-04-09,185
2024-04-10,129
2024-04-11,137
2024-04-12,140
2024-04-13,140
2024-04-14,122
2024-04-15,166
2024-04-16,182
2024-04-17,134
2024-04-18,147
2024-04-19,147
2024-04-20,154
2024-04-21,145
2024-04-22,197
2024-04-23,194
2024-04-24,174
2024-04-25,133
2024-04-26,135
2024-04-27,130
2024-04-28,148
2024-04-29,198
2024-04-30,190
2024-05-01,128
2024-05-02,150
2024-05-03,143
2024-05-04,130
2024-05-05,134
2024-05-06,192
2024-05-07,252
2024-05-08,220
2024-05-09,204
2024-05-10,177
2024-05-11,152
2024-05-12,138
2024-05-13,173
2024-05-14,201
2024-05-15,118
2024-05-16,136
2024-05-17,139
2024-05-18,130
2024-05-19,149
2024-05-20,212
2024-05-21,212
2024-05-22,144
2024-05-23,160
2024-05-24,149
2024-05-25,131
2024-05-26,153
2024-05-27,199
2024-05-28,215
2024-05-29,160
2024-05-30,157
2024-05-31,157
2024-06-01,141
2024-06-02,141
2024-06-03,180
2024-06-04,206
2024-06-05,149
2024-06-06,153
2024-06-07,162
2024-06-08,155
2024-06-09,142
2024-06-10,191
2024-06-11,212
2024-06-12,156
2024-06-13,166
2024-06-14,168
2024-06-15,155
2024-06-16,154
2024-06-17,216
2024-06-18,244
2024-06-19,186
2024-06-20,180
2024-06-21,175
2024-06-22,177
2024-06-23,176
2024-06-24,233
2024-06-25,203
2024-06-26,152
2024-06-27,161
2024-06-28,172
2024-06-29,141
2024-06-30,164
2024-07-01,205
2024-07-02,220
2024-07-03,183
2024-07-04,187
2024-07-05,195
2024-07-06,189
2024-07-07,183
2024-07-08,247
2024-07-09,243
2024-07-10,177
2024-07-11,204
2024-07-12,210
2024-07-13,198
2024-07-14,192
2024-07-15,234
2024-07-16,502
2024-07-17,492
2024-07-18,380
2024-07-19,275
2024-07-20,218
2024-07-21,190
2024-07-22,237
2024-07-23,259
2024-07-24,190
2024-07-25,181
2024-07-26,214
2024-07-27,183
2024-07-28,177
2024-07-29,228
2024-07-30,230
2024-07-31,182
2024-08-01,206
2024-08-02,192
2024-08-03,188
2024-08-04,163
2024-08-05,236
2024-08-06,238
2024-08-07,214
2024-08-09,173
2024-08-10,157
2024-08-11,156
2024-08-12,221
2024-08-13,249
2024-08-14,186
2024-08-15,196
2024-08-16,172
2024-08-17,183
2024-08-18,190
2024-08-19,278
2024-08-20,263
2024-08-21,218
2024-08-22,220
2024-08-23,234
2024-08-24,233
2024-08-25,176
2024-08-26,307
2024-08-27,302
2024-08-28,186
2024-08-29,232
2024-08-30,235
2024-08-31,213
2024-09-01,195
2024-09-02,278
2024-09-03,262
2024-09-04,174
2024-09-05,208
2024-09-06,182
2024-09-07,173
2024-09-08,154
2024-09-09,217
2024-09-10,258
2024-09-11,180
2024-09-12,180
2024-09-13,170
2024-09-14,172
2024-09-15,172
2024-09-16,236
2024-09-17,292
2024-09-18,230
2024-09-19,197
2024-09-20,45
2024-09-21,21
2024-09-22,16
2024-09-23,26
2024-09-24,40
2024-09-25,39
2024-09-26,44
2024-09-27,52
2024-09-28,72
2024-09-29,81
2024-09-30,119
2024-10-01,125
2024-10-02,108
2024-10-03,103
2024-10-04,95
2024-10-05,80
2024-10-06,50
2024-10-07,43
2024-10-08,101
2024-10-09,117
2024-10-10,87
2024-10-11,71
2024-10-12,82
2024-10-13,82
2024-10-14,44
2024-10-15,128
2024-10-16,54
2024-10-17,158
2024-10-18,246
2024-10-19,268
2024-10-20,207
2024-10-21,269
2024-10-22,263
2024-10-23,178
2024-10-24,183
2024-10-25,192
2024-10-26,195
2024-10-27,163
2024-10-28,219
2024-10-29,216
2024-10-30,169
2024-10-31,179
2024-11-01,162
2024-11-02,155
2024-11-03,157
2024-11-04,220
2024-11-05,247
2024-11-06,146
2024-11-07,163
2024-11-08,162
2024-11-09,164
2024-11-10,150
2024-11-11,223
2024-11-12,260
2024-11-13,177
2024-11-14,184
2024-11-15,185
2024-11-16,177
2024-11-17,163
2024-11-18,230
2024-11-19,237
2024-11-20,155
2024-11-21,204
2024-11-22,238
2024-11-23,219
2024-11-24,235
2024-11-25,269
2024-11-26,307
2024-11-27,238
2024-11-28,279
2024-11-29,365
2024-11-30,339
2024-12-01,334
2024-12-02,468
2024-12-03,395
2024-12-04,295
2024-12-05,273
2024-12-06,272
2024-12-07,237
2024-12-08,236
2024-12-09,329
2024-12-10,319
2024-12-11,241
2024-12-12,277
2024-12-13,286
2024-12-14,293
2024-12-15,289
2024-12-16,380
2024-12-17,418
2024-12-18,260
2024-12-19,291
2024-12-20,309
2024-12-21,284
2024-12-22,244
2024-12-23,307
2024-12-24,297
2024-12-25,189
2024-12-26,244
2024-12-27,229
2024-12-28,205
2024-12-29,179
2024-12-30,244
2024-12-31,255
2025-01-01,197
2025-01-02,199
2025-01-03,185
2025-01-04,187
2025-01-05,187
2025-01-06,268
2025-01-07,253
2025-01-08,174
2025-01-09,208
2025-01-10,221
