,Sales Rank
2022-12-14,461
2022-12-15,447
2022-12-16,491
2022-12-17,524
2022-12-18,580
2022-12-19,558
2022-12-20,537
2022-12-21,493
2022-12-22,454
2022-12-23,382
2022-12-24,377
2022-12-25,340
2022-12-26,343
2022-12-27,340
2022-12-28,349
2022-12-29,292
2022-12-30,361
2022-12-31,360
2023-01-01,371
2023-01-02,331
2023-01-03,332
2023-01-04,332
2023-01-05,350
2023-01-06,339
2023-01-07,337
2023-01-08,335
2023-01-09,336
2023-01-10,339
2023-01-11,343
2023-01-12,346
2023-01-13,352
2023-01-14,507
2023-01-15,392
2023-01-16,436
2023-01-17,379
2023-01-18,460
2023-01-19,475
2023-01-20,418
2023-01-21,516
2023-01-22,499
2023-01-23,400
2023-01-24,416
2023-01-25,368
2023-01-26,378
2023-01-27,392
2023-01-28,528
2023-01-29,449
2023-01-30,382
2023-01-31,430
2023-02-01,446
2023-02-02,441
2023-02-03,493
2023-02-04,455
2023-02-05,458
2023-02-06,464
2023-02-07,417
2023-02-08,416
2023-02-09,449
2023-02-10,462
2023-02-11,547
2023-02-12,526
2023-02-13,392
2023-02-14,388
2023-02-15,417
2023-02-16,408
2023-02-17,398
2023-02-18,487
2023-02-19,513
2023-02-20,435
2023-02-21,366
2023-02-22,308
2023-02-23,394
2023-02-24,448
2023-02-25,441
2023-02-26,514
2023-02-27,401
2023-02-28,382
2023-03-01,369
2023-03-02,403
2023-03-03,398
2023-03-04,465
2023-03-05,546
2023-03-06,562
2023-03-07,477
2023-03-08,523
2023-03-09,490
2023-03-10,545
2023-03-11,584
2023-03-12,550
2023-03-13,513
2023-03-14,493
2023-03-15,526
2023-03-16,565
2023-03-17,556
2023-03-18,614
2023-03-19,648
2023-03-20,516
2023-03-21,532
2023-03-22,549
2023-03-23,483
2023-03-24,546
2023-03-25,490
2023-03-26,571
2023-03-27,446
2023-03-28,440
2023-03-29,445
2023-03-30,473
2023-03-31,466
2023-04-01,483
2023-04-02,485
2023-04-03,474
2023-04-04,431
2023-04-05,481
2023-04-06,462
2023-04-07,422
2023-04-08,468
2023-04-09,525
2023-04-10,389
2023-04-11,421
2023-04-12,476
2023-04-13,543
2023-04-14,471
2023-04-15,606
2023-04-16,573
2023-04-17,519
2023-04-18,560
2023-04-19,554
2023-04-20,487
2023-04-21,454
2023-04-22,467
2023-04-23,437
2023-04-24,380
2023-04-25,418
2023-04-26,409
2023-04-27,447
2023-04-28,383
2023-04-29,448
2023-04-30,510
2023-05-01,426
2023-05-02,507
2023-05-03,487
2023-05-04,499
2023-05-05,414
2023-05-06,522
2023-05-07,520
2023-05-08,388
2023-05-09,441
2023-05-10,467
2023-05-11,432
2023-05-12,405
2023-05-13,477
2023-05-14,567
2023-05-15,451
2023-05-16,493
