,Sales Rank
2022-12-14,265
2022-12-15,290
2022-12-16,289
2022-12-17,283
2022-12-18,223
2022-12-19,241
2022-12-20,251
2022-12-21,255
2022-12-22,237
2022-12-23,247
2022-12-24,236
2022-12-25,231
2022-12-26,133
2022-12-27,91
2022-12-28,80
2022-12-29,69
2022-12-30,72
2022-12-31,56
2023-01-01,34
2023-01-02,58
2023-01-03,79
2023-01-04,74
2023-01-05,84
2023-01-06,95
2023-01-07,93
2023-01-09,96
2023-01-10,94
2023-01-11,95
2023-01-12,92
2023-01-13,114
2023-01-14,117
2023-01-15,115
2023-01-16,147
2023-01-17,133
2023-01-18,149
2023-01-19,150
2023-01-20,153
2023-01-21,156
2023-01-22,133
2023-01-23,123
2023-01-24,115
2023-01-25,110
2023-01-26,107
2023-01-27,80
2023-01-28,49
2023-01-29,43
2023-01-30,75
2023-01-31,108
2023-02-01,121
2023-02-02,109
2023-02-03,116
2023-02-04,94
2023-02-05,93
2023-02-06,121
2023-02-07,140
2023-02-08,160
2023-02-09,168
2023-02-10,143
2023-02-11,116
2023-02-12,125
2023-02-13,176
2023-02-14,184
2023-02-15,197
2023-02-16,192
2023-02-17,171
2023-02-18,84
2023-02-19,117
2023-02-20,109
2023-02-21,136
2023-02-22,125
2023-02-23,92
2023-02-24,76
2023-02-25,57
2023-02-26,45
2023-02-27,88
2023-02-28,101
2023-03-01,115
2023-03-02,142
2023-03-03,154
2023-03-04,151
2023-03-05,132
2023-03-06,140
2023-03-07,164
2023-03-08,176
2023-03-09,119
2023-03-10,132
2023-03-11,111
2023-03-12,104
2023-03-13,114
2023-03-14,123
2023-03-15,134
2023-03-16,147
2023-03-17,140
2023-03-18,122
2023-03-19,101
2023-03-20,81
2023-03-21,117
2023-03-22,130
2023-03-23,154
2023-03-24,143
2023-03-25,131
2023-03-26,129
2023-03-27,112
2023-03-28,89
2023-03-29,91
2023-03-30,90
2023-03-31,89
2023-04-01,65
2023-04-02,54
2023-04-03,92
2023-04-04,127
2023-04-05,126
2023-04-06,135
2023-04-07,131
2023-04-08,112
2023-04-09,110
2023-04-10,151
2023-04-11,158
2023-04-12,116
2023-04-13,153
2023-04-14,150
2023-04-15,129
2023-04-16,109
2023-04-17,135
2023-04-18,132
2023-04-19,103
2023-04-20,135
2023-04-21,143
2023-04-22,111
2023-04-23,132
2023-04-24,130
2023-04-25,128
2023-04-26,116
2023-04-27,128
2023-04-28,113
2023-04-29,83
2023-04-30,89
2023-05-01,117
2023-05-02,171
2023-05-03,195
2023-05-04,176
2023-05-05,171
2023-05-06,136
2023-05-07,115
2023-05-08,162
2023-05-09,177
2023-05-10,196
2023-05-11,193
2023-05-12,198
2023-05-13,187
2023-05-14,167
2023-05-15,205
2023-05-16,198
2023-05-17,205
2023-05-18,212
2023-05-19,210
2023-05-20,175
2023-05-21,143
2023-05-22,169
2023-05-23,160
2023-05-24,126
2023-05-25,146
2023-05-26,136
2023-05-27,105
2023-05-28,91
2023-05-30,91
2023-05-31,158
2023-06-01,179
2023-06-02,194
2023-06-03,209
2023-06-04,154
2023-06-05,188
2023-06-06,206
2023-06-07,201
2023-06-08,211
2023-06-09,202
2023-06-10,191
2023-06-11,140
2023-06-12,158
2023-06-13,179
2023-06-14,200
2023-06-15,227
2023-06-16,215
2023-06-17,186
2023-06-18,121
2023-06-19,144
2023-06-20,155
2023-06-21,155
2023-06-22,165
2023-06-23,150
2023-06-24,167
2023-06-25,168
2023-06-26,164
2023-06-27,166
2023-06-28,189
2023-06-29,176
2023-06-30,186
2023-07-01,191
2023-07-02,168
2023-07-03,175
2023-07-04,161
2023-07-05,179
2023-07-06,207
2023-07-07,128
2023-07-08,143
2023-07-09,132
2023-07-10,169
2023-07-11,117
2023-07-12,95
2023-07-13,95
2023-07-14,110
2023-07-15,108
2023-07-16,88
2023-07-17,131
2023-07-18,160
2023-07-19,187
2023-07-20,176
2023-07-21,191
2023-07-22,185
2023-07-23,176
2023-07-24,192
2023-07-25,198
2023-07-26,190
2023-07-27,209
2023-07-28,203
2023-07-29,186
2023-07-30,178
2023-07-31,181
2023-08-01,219
2023-08-02,197
2023-08-03,218
2023-08-04,227
2023-08-05,181
