,Sales Rank
2023-03-04,153
2023-03-05,91
2023-03-06,120
2023-03-07,122
2023-03-08,109
2023-03-09,134
2023-03-10,116
2023-03-11,90
2023-03-12,92
2023-03-13,102
2023-03-14,120
2023-03-15,122
2023-03-16,111
2023-03-17,127
2023-03-18,102
2023-03-19,96
2023-03-20,120
2023-03-21,132
2023-03-22,160
2023-03-23,206
2023-03-24,151
2023-03-25,162
2023-03-26,135
2023-03-27,148
2023-03-28,137
2023-03-29,153
2023-03-30,138
2023-03-31,147
2023-04-01,121
2023-04-02,96
2023-04-03,116
2023-04-04,161
2023-04-05,152
2023-04-06,162
2023-04-07,174
2023-04-08,157
2023-04-09,142
2023-04-10,170
2023-04-11,194
2023-04-12,182
2023-04-13,194
2023-04-14,194
2023-04-15,160
2023-04-16,158
2023-04-17,198
2023-04-18,211
2023-04-19,261
2023-04-20,270
2023-04-21,213
2023-04-22,161
2023-04-23,189
2023-04-24,221
2023-04-25,203
2023-04-26,192
2023-04-27,219
2023-04-28,227
2023-04-29,194
2023-04-30,181
2023-05-01,116
2023-05-02,72
2023-05-03,67
2023-05-04,87
2023-05-05,95
2023-05-06,85
2023-05-07,67
2023-05-08,112
2023-05-09,151
2023-05-10,163
2023-05-11,170
2023-05-12,156
2023-05-13,145
2023-05-14,158
2023-05-15,188
2023-05-16,197
2023-05-17,234
2023-05-18,248
2023-05-19,239
2023-05-20,245
2023-05-21,182
2023-05-22,168
2023-05-23,189
2023-05-24,214
2023-05-25,215
2023-05-26,258
2023-05-27,176
2023-05-28,183
2023-05-31,205
2023-06-01,217
2023-06-02,227
2023-06-03,290
2023-06-04,265
2023-06-05,231
2023-06-06,229
2023-06-07,212
2023-06-08,284
2023-06-09,248
2023-06-10,229
2023-06-11,255
2023-06-12,247
2023-06-13,251
2023-06-14,273
2023-06-15,244
2023-06-16,217
2023-06-17,209
2023-06-18,171
2023-06-19,58
2023-06-20,36
2023-06-21,58
2023-06-22,88
2023-06-23,153
2023-06-24,156
2023-06-25,159
2023-06-26,156
2023-06-27,167
2023-06-28,190
2023-06-29,147
2023-06-30,181
2023-07-01,141
2023-07-02,168
2023-07-03,157
2023-07-04,177
2023-07-05,159
2023-07-06,149
2023-07-07,178
2023-07-08,82
2023-07-09,94
2023-07-10,113
2023-07-11,108
2023-07-12,6
2023-07-13,14
2023-07-14,21
2023-07-15,41
2023-07-16,46
2023-07-17,105
2023-07-18,110
2023-07-19,164
2023-07-20,185
2023-07-21,172
2023-07-22,171
2023-07-23,142
2023-07-24,159
2023-07-25,172
2023-07-26,203
2023-07-27,209
2023-07-28,197
2023-07-29,206
2023-07-30,182
2023-07-31,174
2023-08-01,189
2023-08-02,214
2023-08-03,206
2023-08-04,222
2023-08-05,223
2023-08-06,229
2023-08-07,240
2023-08-08,286
2023-08-09,277
2023-08-10,280
2023-08-11,270
2023-08-12,214
2023-08-13,179
2023-08-14,206
2023-08-15,211
2023-08-16,264
2023-08-17,263
2023-08-18,273
2023-08-19,221
2023-08-20,184
2023-08-21,221
2023-08-22,241
2023-08-23,250
2023-08-24,235
2023-08-25,243
2023-08-26,188
2023-08-27,48
2023-08-28,121
2023-08-29,175
2023-08-30,284
2023-08-31,308
2023-09-01,261
2023-09-02,233
2023-09-03,186
2023-09-04,166
2023-09-05,211
2023-09-06,288
2023-09-07,322
2023-09-08,347
2023-09-09,310
2023-09-10,231
2023-09-11,295
2023-09-12,365
2023-09-13,405
2023-09-14,430
2023-09-15,452
2023-09-16,403
2023-09-17,327
2023-09-18,440
2023-09-19,457
2023-09-20,461
2023-09-21,541
2023-09-22,560
2023-09-23,508
2023-09-24,436
2023-09-25,519
2023-09-26,590
2023-09-27,580
2023-09-28,633
2023-09-29,596
2023-09-30,461
2023-10-01,422
2023-10-02,416
2023-10-03,534
2023-10-04,418
2023-10-05,393
2023-10-06,411
2023-10-07,373
2023-10-08,328
2023-10-09,396
2023-10-10,161
2023-10-11,167
2023-10-12,239
2023-10-13,368
2023-10-14,440
2023-10-15,470
2023-10-16,522
2023-10-17,596
2023-10-18,628
2023-10-19,598
2023-10-20,598
2023-10-21,447
2023-10-22,490
2023-10-23,625
2023-10-24,638
2023-10-25,774
2023-10-26,830
2023-10-27,748
2023-10-28,758
2023-10-29,659
2023-10-30,750
2023-10-31,825
2023-11-01,906
2023-11-02,855
2023-11-03,946
2023-11-04,850
2023-11-05,734
2023-11-06,837
2023-11-07,940
2023-11-08,1086
2023-11-09,1089
2023-11-10,1118
2023-11-11,893
2023-11-12,850
2023-11-13,723
2023-11-14,694
2023-11-15,790
2023-11-16,771
2023-11-17,422
2023-11-18,296
2023-11-19,236
2023-11-20,237
2023-11-21,233
2023-11-22,206
2023-11-23,253
2023-11-24,160
2023-11-25,128
2023-11-26,167
2023-11-27,148
2023-11-28,200
2023-11-29,252
2023-11-30,306
2023-12-01,328
2023-12-02,342
2023-12-03,377
2023-12-04,386
2023-12-05,446
2023-12-06,386
2023-12-07,261
2023-12-08,426
2023-12-09,462
2023-12-10,471
2023-12-11,548
2023-12-12,534
2023-12-13,668
2023-12-14,742
2023-12-15,462
2023-12-16,455
2023-12-17,596
2023-12-18,700
2023-12-19,782
2023-12-20,752
2023-12-21,703
2023-12-22,377
2023-12-23,674
2023-12-24,740
2023-12-25,954
2023-12-26,937
2023-12-27,944
2023-12-28,1119
2023-12-29,1168
2023-12-30,1035
2023-12-31,1016
2024-01-01,1050
2024-01-02,1087
2024-01-03,1132
2024-01-04,1183
2024-01-05,1135
2024-01-06,521
2024-01-07,621
2024-01-08,995
2024-01-09,1220
2024-01-10,1414
2024-01-11,725
2024-01-12,815
2024-01-13,623
2024-01-14,617
2024-01-15,376
2024-01-16,600
2024-01-17,739
2024-01-18,949
2024-01-19,880
2024-01-20,880
2024-01-21,777
2024-01-22,592
2024-01-23,608
2024-01-24,764
2024-01-25,771
2024-01-26,894
2024-01-27,829
2024-01-28,861
2024-01-29,923
2024-01-30,622
2024-01-31,692
2024-02-01,777
2024-02-02,726
2024-02-03,363
2024-02-04,552
2024-02-05,626
2024-02-06,660
2024-02-07,628
2024-02-08,663
2024-02-09,668
2024-02-10,703
2024-02-11,333
2024-02-12,520
2024-02-13,784
2024-02-14,828
2024-02-15,790
2024-02-16,760
2024-02-17,401
2024-02-18,587
2024-02-19,721
2024-02-20,851
2024-02-21,938
2024-02-22,965
2024-02-23,901
2024-02-24,819
2024-02-25,479
2024-02-26,474
2024-02-27,611
2024-02-28,867
2024-02-29,919
2024-03-01,873
2024-03-02,777
2024-03-03,694
2024-03-04,829
2024-03-05,816
2024-03-06,859
2024-03-07,935
2024-03-08,635
2024-03-09,569
2024-03-10,480
2024-03-11,692
2024-03-12,739
2024-03-13,543
2024-03-14,722
2024-03-15,784
2024-03-16,668
2024-03-17,695
2024-03-18,774
2024-03-19,812
2024-03-20,864
2024-03-21,903
2024-03-22,876
2024-03-23,649
2024-03-24,642
2024-03-25,775
2024-03-26,582
2024-03-27,570
2024-03-28,560
2024-03-29,473
2024-03-30,584
2024-03-31,622
2024-04-01,797
2024-04-02,804
2024-04-03,853
2024-04-04,545
2024-04-05,674
2024-04-06,773
2024-04-07,662
2024-04-08,886
2024-04-09,795
2024-04-10,864
2024-04-11,868
2024-04-12,589
2024-04-13,632
2024-04-14,630
2024-04-15,723
2024-04-16,782
2024-04-17,840
2024-04-18,699
2024-04-19,842
2024-04-20,800
2024-04-21,725
2024-04-22,735
2024-04-23,887
2024-04-24,815
2024-04-25,828
2024-04-26,795
2024-04-27,432
2024-04-28,665
2024-04-29,732
2024-04-30,774
2024-05-01,734
2024-05-02,777
2024-05-03,517
2024-05-04,550
2024-05-05,572
2024-05-06,653
2024-05-07,318
2024-05-08,557
2024-05-09,600
2024-05-10,588
2024-05-11,572
2024-05-12,638
2024-05-13,699
2024-05-14,786
2024-05-15,846
2024-05-16,292
2024-05-17,345
2024-05-18,440
2024-05-19,462
2024-05-20,62
2024-05-21,112
2024-05-22,236
2024-05-23,338
2024-05-24,386
2024-05-25,475
2024-05-26,523
2024-05-27,405
2024-05-28,395
2024-05-29,500
2024-05-30,577
2024-05-31,627
2024-06-01,595
2024-06-02,628
2024-06-03,679
2024-06-04,539
2024-06-05,637
2024-06-06,684
2024-06-07,776
2024-06-08,750
2024-06-09,703
2024-06-10,751
2024-06-11,584
2024-06-12,493
2024-06-13,321
2024-06-14,493
2024-06-15,533
2024-06-16,578
2024-06-17,625
2024-06-18,742
2024-06-19,721
2024-06-20,836
2024-06-21,841
2024-06-22,735
2024-06-23,758
2024-06-24,815
2024-06-25,801
2024-06-26,753
2024-06-27,741
2024-06-28,500
2024-06-29,590
2024-06-30,697
2024-07-01,496
2024-07-02,445
2024-07-03,540
2024-07-04,442
2024-07-05,431
2024-07-06,424
2024-07-07,347
2024-07-08,494
2024-07-09,376
2024-07-10,470
2024-07-11,508
2024-07-12,547
2024-07-13,522
2024-07-14,469
2024-07-15,461
2024-07-16,133
2024-07-17,75
2024-07-18,96
2024-07-19,158
2024-07-20,244
2024-07-21,281
2024-07-22,380
2024-07-23,524
2024-07-24,628
2024-07-25,695
2024-07-26,735
2024-07-27,731
2024-07-28,695
2024-07-29,795
2024-07-30,746
2024-07-31,879
2024-08-01,908
2024-08-02,841
2024-08-03,675
2024-08-04,595
2024-08-05,624
2024-08-06,591
2024-08-07,564
2024-08-09,684
2024-08-10,571
2024-08-11,547
2024-08-12,607
2024-08-13,692
2024-08-14,754
2024-08-15,818
2024-08-16,776
2024-08-17,721
2024-08-18,683
2024-08-19,761
2024-08-20,842
2024-08-21,723
2024-08-22,867
2024-08-23,943
2024-08-24,829
2024-08-25,811
2024-08-26,872
2024-08-27,915
2024-08-28,996
2024-08-29,1072
2024-08-30,1029
2024-08-31,910
2024-09-01,897
2024-09-02,492
2024-09-03,594
2024-09-04,636
2024-09-05,673
2024-09-06,559
2024-09-07,506
2024-09-08,551
2024-09-09,520
2024-09-10,813
2024-09-11,1002
2024-09-12,1028
2024-09-13,988
2024-09-14,826
2024-09-15,923
2024-09-16,941
2024-09-17,1049
2024-09-18,1074
2024-09-19,1161
2024-09-20,1193
2024-09-21,1125
2024-09-22,1150
2024-09-23,1140
2024-09-24,1217
2024-09-25,1274
2024-09-26,1347
2024-09-27,1306
2024-09-28,1116
2024-09-29,1209
2024-09-30,1201
2024-10-01,1207
2024-10-02,1385
2024-10-03,1298
2024-10-04,1262
2024-10-05,1191
2024-10-06,849
2024-10-07,743
2024-10-08,310
2024-10-09,96
2024-10-10,128
2024-10-11,271
2024-10-12,340
2024-10-13,419
2024-10-14,587
2024-10-15,691
2024-10-16,771
2024-10-17,699
2024-10-18,868
2024-10-19,-1
2024-10-22,843
2024-10-23,864
2024-10-24,827
2024-10-25,909
2024-10-26,788
2024-10-27,819
2024-10-28,793
2024-10-29,855
2024-10-30,855
2024-10-31,879
2024-11-01,866
2024-11-02,799
2024-11-03,676
2024-11-04,941
2024-11-05,961
2024-11-06,705
2024-11-07,752
2024-11-08,771
2024-11-09,754
2024-11-10,732
2024-11-11,718
2024-11-12,648
2024-11-13,540
2024-11-14,688
2024-11-15,659
2024-11-16,567
2024-11-17,467
2024-11-18,547
2024-11-19,554
2024-11-20,643
2024-11-21,455
2024-11-22,364
2024-11-23,274
2024-11-24,234
2024-11-25,276
2024-11-26,295
2024-11-27,297
2024-11-28,268
2024-11-29,121
2024-11-30,125
2024-12-01,157
2024-12-02,116
2024-12-03,157
2024-12-04,242
2024-12-05,285
2024-12-06,260
2024-12-07,242
2024-12-08,244
2024-12-09,318
2024-12-10,395
2024-12-11,471
2024-12-12,318
2024-12-13,399
2024-12-14,444
2024-12-15,467
2024-12-16,457
2024-12-17,449
2024-12-18,311
2024-12-19,403
2024-12-20,540
2024-12-21,464
2024-12-22,374
2024-12-23,443
2024-12-24,483
2024-12-25,499
2024-12-26,471
2024-12-27,523
2024-12-28,401
2024-12-29,448
2024-12-30,518
2024-12-31,500
2025-01-01,561
2025-01-02,540
2025-01-03,525
2025-01-04,522
2025-01-05,491
2025-01-06,615
2025-01-07,625
2025-01-08,751
2025-01-09,734
2025-01-10,743
2025-01-11,597
2025-01-12,548
2025-01-13,668
