,Sales Rank
2022-12-14,1197
2022-12-15,1275
2022-12-16,1144
2022-12-17,1095
2022-12-18,1063
2022-12-19,1160
2022-12-20,1146
2022-12-21,1168
2022-12-22,1164
2022-12-23,1208
2022-12-24,1153
2022-12-25,1113
2022-12-26,1094
2022-12-27,852
2022-12-28,914
2022-12-29,790
2022-12-30,812
2022-12-31,733
2023-01-01,700
2023-01-02,785
2023-01-03,785
2023-01-04,742
2023-01-05,780
2023-01-06,805
2023-01-07,774
2023-01-08,778
2023-01-09,778
2023-01-10,801
2023-01-11,817
2023-01-12,797
2023-01-13,776
2023-01-14,799
2023-01-15,740
2023-01-16,709
2023-01-17,650
2023-01-18,725
2023-01-19,684
2023-01-20,680
2023-01-21,775
2023-01-22,711
2023-01-23,660
2023-01-24,696
2023-01-25,705
2023-01-26,716
2023-01-27,732
2023-01-28,637
2023-01-29,760
2023-01-30,699
2023-01-31,761
2023-02-02,785
2023-02-03,833
2023-02-04,789
2023-02-05,865
2023-02-06,710
2023-02-07,817
2023-02-08,923
2023-02-09,1006
2023-02-10,987
2023-02-11,1046
2023-02-12,1033
2023-02-13,954
2023-02-14,913
2023-02-15,932
2023-02-16,927
2023-02-17,918
2023-02-18,1002
2023-02-19,984
2023-02-20,1139
2023-02-21,1043
2023-02-22,1129
2023-02-23,936
2023-02-24,928
2023-02-25,910
2023-02-26,848
2023-02-27,830
2023-02-28,756
2023-03-01,762
2023-03-02,820
2023-03-03,849
2023-03-04,828
2023-03-05,836
2023-03-06,614
2023-03-07,817
2023-03-08,819
2023-03-09,784
2023-03-10,855
2023-03-11,871
2023-03-12,875
2023-03-13,794
2023-03-14,902
2023-03-15,809
2023-03-16,810
2023-03-17,829
2023-03-18,804
2023-03-19,626
2023-03-20,664
2023-03-21,655
2023-03-22,672
2023-03-23,734
2023-03-24,781
2023-03-25,687
2023-03-26,567
2023-03-27,693
2023-03-28,639
2023-03-29,619
2023-03-30,624
2023-03-31,588
2023-04-01,609
2023-04-02,550
2023-04-03,588
2023-04-04,668
2023-04-05,642
2023-04-06,628
2023-04-07,609
2023-04-08,632
2023-04-09,629
2023-04-10,570
2023-04-11,614
2023-04-12,628
2023-04-13,589
2023-04-14,593
2023-04-15,631
2023-04-16,548
2023-04-17,540
2023-04-18,574
2023-04-19,553
2023-04-20,657
2023-04-21,651
2023-04-22,629
2023-04-23,601
2023-04-24,597
2023-04-25,598
2023-04-26,603
2023-04-27,640
2023-04-28,619
2023-04-29,561
2023-04-30,537
2023-05-01,590
2023-05-02,584
2023-05-03,684
2023-05-04,740
2023-05-05,616
2023-05-06,676
2023-05-07,541
2023-05-08,609
2023-05-09,577
2023-05-10,515
2023-05-11,512
2023-05-12,537
2023-05-13,563
2023-05-14,549
2023-05-15,522
2023-05-16,644
2023-05-17,588
2023-05-18,643
2023-05-19,579
2023-05-20,556
2023-05-21,574
2023-05-22,565
2023-05-23,628
2023-05-24,658
2023-05-25,562
2023-05-26,648
2023-05-27,545
2023-05-28,510
2023-05-31,479
2023-06-01,479
2023-06-02,510
2023-06-03,588
2023-06-04,570
2023-06-05,615
2023-06-06,626
2023-06-07,651
2023-06-08,732
2023-06-09,802
2023-06-10,765
2023-06-11,788
2023-06-12,774
2023-06-13,866
2023-06-14,876
2023-06-15,820
2023-06-16,755
2023-06-17,744
2023-06-18,711
2023-06-19,715
2023-06-20,735
2023-06-22,734
2023-06-23,598
2023-06-24,592
2023-06-25,562
2023-06-26,540
2023-06-27,580
2023-06-28,632
2023-06-29,606
2023-07-01,562
2023-07-02,554
2023-07-03,558
2023-07-04,524
2023-07-05,506
2023-07-06,570
2023-07-07,493
2023-07-08,520
2023-07-09,522
2023-07-10,592
2023-07-11,785
2023-07-12,938
2023-07-13,1036
2023-07-14,684
2023-07-15,618
2023-07-16,558
2023-07-17,521
2023-07-18,510
2023-07-19,473
2023-07-20,509
2023-07-21,495
2023-07-22,423
2023-07-23,427
2023-07-24,422
2023-07-25,445
2023-07-26,444
2023-07-27,454
2023-07-28,447
2023-07-29,477
2023-07-30,489
2023-07-31,444
2023-08-01,395
2023-08-02,419
2023-08-03,391
2023-08-04,432
2023-08-05,420
2023-08-06,381
2023-08-07,347
2023-08-08,395
2023-08-11,395
2023-08-12,349
2023-08-13,307
2023-08-14,320
2023-08-15,360
2023-08-16,323
2023-08-17,416
2023-08-18,412
2023-08-19,441
2023-08-20,406
2023-08-21,399
2023-08-22,386
2023-08-23,475
2023-08-24,429
2023-08-25,467
2023-08-26,379
2023-08-27,456
2023-08-28,414
2023-08-29,425
2023-08-30,448
2023-08-31,499
2023-09-01,458
2023-09-02,479
2023-09-03,485
2023-09-04,534
2023-09-06,502
2023-09-07,510
2023-09-08,554
2023-09-09,496
2023-09-10,463
2023-09-11,511
2023-09-12,469
2023-09-13,528
2023-09-14,500
2023-09-15,521
2023-09-16,467
2023-09-17,488
2023-09-18,439
2023-09-19,496
2023-09-20,477
2023-09-21,505
2023-09-22,518
2023-09-23,504
2023-09-24,383
2023-09-25,401
2023-09-26,368
2023-09-27,405
2023-09-28,378
2023-09-29,432
2023-09-30,369
2023-10-01,362
2023-10-02,360
2023-10-03,375
2023-10-04,449
2023-10-05,443
2023-10-06,442
2023-10-07,470
2023-10-08,484
2023-10-09,570
2023-10-10,779
2023-10-11,890
2023-10-12,882
2023-10-13,823
2023-10-14,807
2023-10-15,689
2023-10-16,620
2023-10-17,635
2023-10-19,494
2023-10-20,591
2023-10-21,578
2023-10-22,603
2023-10-24,561
2023-10-25,587
2023-10-26,583
2023-10-27,622
2023-10-28,607
2023-10-29,471
2023-10-30,496
2023-10-31,587
2023-11-01,622
2023-11-02,599
2023-11-03,588
2023-11-04,613
2023-11-06,554
2023-11-07,518
2023-11-08,627
2023-11-10,563
2023-11-11,565
2023-11-12,621
2023-11-13,605
2023-11-14,578
2023-11-15,620
2023-11-16,615
2023-11-18,621
2023-11-19,598
2023-11-20,584
2023-11-21,653
2023-11-22,749
2023-11-23,655
2023-11-24,868
2023-11-25,879
2023-11-27,726
2023-11-28,844
2023-11-29,813
2023-11-30,792
2023-12-01,800
2023-12-02,657
2023-12-03,704
