,Sales Rank
2022-12-14,1731
2022-12-15,1851
2022-12-16,2017
2022-12-17,2167
2022-12-18,2299
2022-12-19,1936
2022-12-20,1820
2022-12-21,1800
2022-12-22,1833
2022-12-23,1930
2022-12-24,2089
2022-12-25,2243
2022-12-26,2492
2022-12-27,1976
2022-12-28,2334
2022-12-29,2177
2022-12-30,2372
2022-12-31,2276
2023-01-01,2390
2023-01-02,2429
2023-01-03,2464
2023-01-04,2288
2023-01-05,2260
2023-01-06,2246
2023-01-07,2310
2023-01-08,2344
2023-01-09,2333
2023-01-10,2355
2023-01-11,2389
2023-01-12,2433
2023-01-13,2297
2023-01-14,2370
2023-01-15,2656
2023-01-16,3159
2023-01-17,2665
2023-01-18,2102
2023-01-19,1802
2023-01-20,2243
2023-01-21,1828
2023-01-22,1593
2023-01-23,1694
2023-01-24,1839
2023-01-25,1863
2023-01-26,1587
2023-01-27,1627
2023-01-28,1850
2023-01-29,1747
2023-01-30,1993
2023-01-31,1738
2023-02-01,1867
2023-02-02,1778
2023-02-03,1687
2023-02-04,1628
2023-02-05,1888
2023-02-06,1776
2023-02-07,1572
2023-02-08,1667
2023-02-09,1430
2023-02-10,1542
2023-02-11,1489
2023-02-12,1409
2023-02-13,1277
2023-02-14,1406
2023-02-15,1539
2023-02-16,1349
2023-02-17,1426
2023-02-18,1455
2023-02-19,1569
2023-02-20,1633
2023-02-21,1625
2023-02-22,1734
2023-02-23,1288
2023-02-24,1494
2023-02-25,2124
2023-02-26,2151
2023-02-27,1916
2023-02-28,1689
2023-03-01,2428
2023-03-02,1605
2023-03-03,1922
2023-03-04,2032
2023-03-05,2171
2023-03-06,1889
2023-03-07,1278
2023-03-08,2256
2023-03-09,1554
2023-03-10,1754
2023-03-11,2061
2023-03-12,1800
2023-03-13,1794
2023-03-14,2021
2023-03-15,2127
2023-03-16,1667
2023-03-17,1791
2023-03-18,1640
2023-03-19,1850
2023-03-20,1597
2023-03-21,1657
2023-03-22,2034
2023-03-23,1514
2023-03-24,1516
2023-03-25,1727
2023-03-26,2011
2023-03-27,1833
2023-03-28,2288
2023-03-29,1716
2023-03-30,1718
2023-03-31,1871
2023-04-01,1805
2023-04-02,1867
2023-04-03,1615
2023-04-04,1565
2023-04-05,1443
2023-04-06,1303
2023-04-07,1209
2023-04-08,1365
2023-04-09,1364
2023-04-10,1534
2023-04-11,1551
2023-04-12,2003
2023-04-13,1493
2023-04-14,1301
2023-04-15,1261
2023-04-16,1195
2023-04-17,1071
2023-04-18,1061
2023-04-19,1133
2023-04-20,1017
2023-04-21,1252
2023-04-22,1278
2023-04-23,1239
2023-04-24,1231
2023-04-25,1525
2023-04-26,1694
2023-04-27,1213
2023-04-28,1207
2023-04-29,1265
2023-04-30,1229
2023-05-01,1441
2023-05-02,1436
2023-05-03,1682
2023-05-04,1315
2023-05-05,1391
2023-05-06,1618
2023-05-07,1601
2023-05-08,1696
2023-05-09,1605
2023-05-10,1617
2023-05-11,1652
2023-05-12,1379
2023-05-13,1156
2023-05-14,1191
2023-05-15,1092
2023-05-16,1211
2023-05-17,1319
2023-05-18,1008
2023-05-19,1055
2023-05-20,1104
2023-05-21,1035
2023-05-22,1325
2023-05-23,1353
2023-05-24,1736
2023-05-25,1076
2023-05-26,1154
2023-05-27,1277
2023-05-28,1319
2023-05-31,1355
2023-06-01,2493
2023-06-02,2299
2023-06-03,856
2023-06-04,1237
2023-06-05,1261
2023-06-06,1324
2023-06-07,1600
2023-06-08,1887
2023-06-09,1583
2023-06-10,1480
