,Sales Rank
2022-12-14,308
2022-12-15,320
2022-12-16,326
2022-12-17,303
2022-12-18,287
2022-12-19,292
2022-12-20,299
2022-12-21,302
2022-12-22,293
2022-12-23,299
2022-12-24,294
2022-12-25,278
2022-12-26,291
2022-12-27,245
2022-12-28,249
2022-12-29,251
2022-12-30,213
2022-12-31,210
2023-01-01,233
2023-01-02,220
2023-01-03,219
2023-01-04,208
2023-01-05,225
2023-01-06,233
2023-01-07,220
2023-01-08,224
2023-01-09,231
2023-01-10,219
2023-01-11,221
2023-01-12,202
2023-01-13,232
2023-01-14,204
2023-01-15,201
2023-01-16,189
2023-01-17,200
2023-01-18,193
2023-01-19,168
2023-01-20,143
2023-01-21,138
2023-01-22,115
2023-01-23,144
2023-01-24,141
2023-01-25,153
2023-01-26,160
2023-01-27,149
2023-01-28,139
2023-01-29,140
2023-01-30,156
2023-01-31,167
2023-02-01,146
2023-02-02,142
2023-02-03,148
2023-02-04,116
2023-02-05,127
2023-02-06,126
2023-02-07,135
2023-02-08,151
2023-02-09,149
2023-02-10,140
2023-02-11,138
2023-02-12,146
2023-02-13,163
2023-02-14,178
2023-02-15,174
2023-02-16,187
2023-02-17,168
2023-02-18,167
2023-02-19,155
2023-02-20,166
2023-02-21,193
2023-02-22,189
2023-02-23,201
2023-02-24,170
2023-02-25,149
2023-02-26,150
2023-02-27,160
2023-02-28,158
2023-03-01,168
2023-03-02,177
2023-03-03,175
2023-03-04,157
2023-03-05,146
2023-03-06,177
2023-03-07,195
2023-03-08,184
2023-03-09,194
2023-03-10,193
2023-03-11,170
2023-03-12,169
2023-03-13,217
2023-03-14,185
2023-03-15,186
2023-03-16,229
2023-03-17,222
2023-03-18,201
2023-03-19,185
2023-03-20,224
2023-03-21,212
2023-03-22,216
2023-03-23,240
2023-03-24,247
2023-03-25,214
2023-03-26,199
2023-03-27,230
2023-03-28,198
2023-03-29,213
2023-03-30,232
2023-03-31,233
2023-04-01,215
2023-04-02,194
2023-04-03,201
2023-04-04,209
2023-04-05,211
2023-04-06,202
2023-04-07,209
2023-04-08,182
2023-04-09,182
2023-04-10,199
2023-04-11,197
2023-04-12,193
2023-04-13,199
2023-04-14,204
2023-04-15,177
2023-04-16,176
2023-04-17,216
2023-04-18,219
2023-04-19,223
2023-04-20,245
2023-04-21,220
2023-04-22,212
2023-04-23,208
2023-04-24,244
2023-04-25,247
2023-04-26,296
2023-04-27,323
2023-04-28,326
2023-04-29,328
2023-04-30,272
2023-05-01,319
2023-05-02,353
2023-05-03,857
2023-05-04,908
2023-05-05,1027
2023-05-06,1348
2023-05-07,1312
2023-05-08,1572
2023-05-09,1481
2023-05-10,1529
2023-05-11,1522
2023-05-12,1515
2023-05-13,1594
2023-05-14,1697
2023-05-15,1817
2023-05-16,1956
2023-05-17,1700
2023-05-18,1706
2023-05-19,1768
2023-05-20,1735
2023-05-21,1662
2023-05-22,1682
2023-05-23,1891
2023-05-24,1858
2023-05-25,1671
2023-05-26,1795
2023-05-27,1935
2023-05-28,1998
2023-05-30,1924
2023-05-31,1372
2023-06-01,1257
2023-06-02,1037
2023-06-03,1542
2023-06-04,1207
2023-06-05,1089
2023-06-06,1063
2023-06-07,1003
2023-06-08,963
2023-06-09,916
2023-06-10,980
2023-06-11,974
2023-06-12,954
2023-06-13,949
2023-06-14,926
2023-06-15,783
2023-06-16,834
2023-06-17,745
2023-06-18,676
2023-06-19,592
2023-06-20,620
2023-06-21,585
2023-06-22,609
2023-06-23,570
2023-06-24,555
2023-06-25,520
2023-06-26,472
2023-06-27,509
2023-06-28,486
2023-06-29,462
2023-06-30,480
2023-07-01,444
2023-07-02,377
2023-07-03,387
2023-07-04,340
2023-07-05,404
2023-07-06,373
2023-07-07,270
2023-07-08,243
2023-07-09,216
2023-07-10,255
2023-07-11,366
2023-07-12,438
2023-07-13,358
2023-07-14,354
2023-07-15,336
2023-07-16,240
2023-07-17,256
2023-07-18,250
2023-07-19,262
2023-07-20,246
2023-07-21,249
2023-07-22,195
2023-07-23,197
2023-07-24,188
2023-07-25,200
2023-07-26,194
2023-07-27,230
2023-07-28,221
2023-07-29,209
2023-07-30,225
2023-07-31,194
2023-08-01,225
2023-08-02,235
2023-08-03,241
2023-08-04,252
2023-08-07,225
2023-08-08,234
2023-08-10,220
2023-08-11,254
2023-08-12,251
2023-08-13,199
2023-08-14,220
2023-08-15,229
2023-08-16,215
2023-08-17,299
2023-08-18,260
2023-08-19,283
2023-08-20,258
2023-08-21,258
2023-08-22,318
2023-08-23,358
2023-08-24,402
2023-08-25,358
2023-08-26,342
2023-08-27,348
2023-08-28,399
2023-08-29,380
2023-08-30,445
2023-08-31,463
2023-09-01,419
2023-09-02,419
2023-09-03,404
2023-09-04,407
2023-09-05,415
2023-09-06,393
2023-09-07,428
2023-09-08,448
2023-09-09,484
2023-09-10,404
2023-09-11,442
2023-09-12,491
2023-09-13,414
2023-09-14,415
2023-09-15,425
2023-09-16,422
2023-09-17,360
2023-09-18,423
2023-09-19,398
2023-09-20,417
2023-09-21,410
2023-09-22,437
2023-09-23,375
2023-09-24,389
2023-09-25,445
2023-09-26,451
2023-09-27,511
2023-09-28,511
2023-09-29,481
2023-09-30,474
2023-10-01,503
2023-10-02,519
2023-10-03,481
2023-10-04,476
2023-10-05,514
2023-10-06,553
2023-10-07,482
2023-10-08,499
2023-10-09,525
2023-10-10,543
2023-10-11,512
2023-10-12,522
2023-10-13,485
2023-10-14,478
2023-10-15,414
2023-10-16,427
2023-10-17,408
2023-10-18,431
2023-10-19,410
2023-10-20,425
2023-10-21,438
2023-10-22,487
2023-10-23,438
2023-10-24,427
2023-10-25,461
2023-10-26,553
2023-10-27,511
2023-10-28,474
2023-10-29,444
2023-10-30,446
2023-10-31,494
2023-11-01,531
2023-11-02,522
2023-11-03,505
2023-11-04,405
2023-11-05,431
2023-11-06,467
2023-11-07,460
2023-11-08,480
2023-11-09,518
2023-11-10,435
2023-11-11,441
2023-11-12,427
2023-11-13,458
2023-11-14,435
2023-11-15,489
2023-11-16,481
2023-11-17,504
2023-11-18,552
2023-11-19,490
2023-11-20,506
2023-11-21,435
2023-11-22,447
2023-11-23,590
2023-11-24,673
2023-11-25,590
2023-11-26,528
2023-11-27,590
2023-11-28,549
2023-11-29,492
2023-11-30,471
2023-12-01,445
2023-12-02,426
2023-12-03,385
2023-12-04,375
2023-12-05,401
2023-12-06,385
2023-12-07,448
2023-12-08,421
2023-12-09,486
2023-12-10,457
2023-12-11,434
2023-12-12,478
2023-12-13,473
2023-12-14,498
2023-12-15,490
2023-12-16,474
2023-12-17,461
2023-12-18,396
2023-12-19,304
2023-12-20,279
2023-12-21,232
2023-12-22,219
2023-12-23,219
2023-12-24,200
2023-12-25,186
2023-12-26,208
2023-12-27,178
2023-12-28,141
2023-12-29,131
2023-12-30,125
2023-12-31,148
2024-01-01,189
2024-01-02,206
2024-01-03,249
2024-01-04,248
2024-01-05,249
2024-01-06,213
2024-01-07,216
