,Sales Rank
2022-12-14,2364
2022-12-15,2174
2022-12-16,2373
2022-12-17,2277
2022-12-18,2474
2022-12-19,2458
2022-12-20,2468
2022-12-21,2475
2022-12-22,2589
2022-12-23,2626
2022-12-24,2395
2022-12-25,2123
2022-12-26,2120
2022-12-27,2341
2022-12-28,2189
2022-12-29,2036
2022-12-30,2099
2022-12-31,2192
2023-01-01,1927
2023-01-02,1972
2023-01-03,1974
2023-01-04,2003
2023-01-05,1966
2023-01-06,1867
2023-01-07,1987
2023-01-08,2016
2023-01-09,2029
2023-01-10,2081
2023-01-11,2091
2023-01-12,2091
2023-01-13,2539
2023-01-14,3143
2023-01-15,3621
2023-01-16,3842
2023-01-17,2354
2023-01-18,2372
2023-01-19,2648
2023-01-20,2453
2023-01-21,2485
2023-01-22,2900
2023-01-23,2811
2023-01-24,2684
2023-01-25,2496
2023-01-26,2668
2023-01-27,2684
2023-01-28,2638
2023-01-29,2675
2023-01-30,2197
2023-01-31,2514
2023-02-02,2059
2023-02-03,1995
2023-02-04,2081
2023-02-05,2209
2023-02-06,1503
2023-02-07,1588
2023-02-08,1492
2023-02-09,1483
2023-02-10,1342
2023-02-11,1378
2023-02-12,1315
2023-02-13,1365
2023-02-14,1339
2023-02-15,1196
2023-02-16,1348
2023-02-17,1268
2023-02-18,1273
2023-02-19,1180
2023-02-20,1132
2023-02-21,1056
2023-02-22,1102
2023-02-23,1179
2023-02-24,1155
2023-02-25,1076
2023-02-26,1065
2023-02-27,1120
2023-02-28,986
2023-03-01,1066
2023-03-02,1149
2023-03-03,1287
2023-03-04,1209
2023-03-05,1223
2023-03-06,1147
2023-03-07,1140
2023-03-08,1238
2023-03-09,1239
2023-03-10,82332
2023-03-11,1389
2023-03-12,1968
2023-03-13,2265
2023-03-14,2370
2023-03-15,2384
2023-03-16,2294
2023-03-17,2586
2023-03-18,2494
2023-03-19,2762
2023-03-20,2536
2023-03-21,2525
2023-03-22,2364
2023-03-23,2525
2023-03-24,2374
2023-03-25,2507
2023-03-26,2945
2023-03-27,2282
2023-03-28,1823
2023-03-29,1939
2023-03-30,2213
2023-03-31,2374
2023-04-01,2649
2023-04-02,2587
2023-04-03,2245
2023-04-04,2068
2023-04-05,2152
2023-04-06,2325
2023-04-07,2232
2023-04-08,2182
2023-04-09,1836
2023-04-10,1524
2023-04-11,1474
2023-04-12,1494
2023-04-13,2127
2023-04-14,2329
2023-04-15,2405
2023-04-16,2460
2023-04-17,2333
2023-04-18,1923
2023-04-19,1720
