,Sales Rank
2022-12-14,6565
2022-12-15,4941
2022-12-16,5041
2022-12-17,3437
2022-12-18,3104
2022-12-19,2296
2022-12-20,2138
2022-12-21,1882
2022-12-22,2488
2022-12-23,2686
2022-12-24,3084
2022-12-25,2109
2022-12-26,1976
2022-12-27,1570
2022-12-28,1468
2022-12-29,1493
2022-12-30,1257
2022-12-31,2336
2023-01-01,2234
2023-01-02,1783
2023-01-03,1744
2023-01-04,1745
2023-01-05,1920
2023-01-06,1780
2023-01-07,1898
2023-01-08,1862
2023-01-09,1903
2023-01-10,2069
2023-01-11,2166
2023-01-12,2142
2023-01-13,1807
2023-01-14,2693
2023-01-15,2456
2023-01-16,5552
2023-01-17,6190
2023-01-18,10342
2023-01-19,12305
2023-01-20,13363
2023-01-21,16519
2023-01-22,17919
2023-01-23,18624
2023-01-24,18631
2023-01-25,19331
2023-01-26,19957
2023-01-27,21250
2023-01-28,19490
2023-01-29,24330
2023-01-30,24280
2023-01-31,24818
2023-02-01,25762
2023-02-02,26879
2023-02-03,26120
2023-02-04,29705
2023-02-05,29893
2023-02-06,29793
2023-02-07,29630
2023-02-08,29354
2023-02-09,31126
2023-02-10,31157
2023-02-11,31749
2023-02-12,33185
2023-02-13,32435
2023-02-14,31355
2023-02-15,32671
2023-02-16,34270
2023-02-17,33883
2023-02-18,36164
2023-02-19,36624
2023-02-20,36793
2023-02-21,34404
2023-02-22,35488
2023-02-23,36700
2023-02-24,36929
2023-02-25,38292
2023-02-26,38524
2023-02-27,38636
2023-02-28,37622
2023-03-01,37875
2023-03-02,37135
2023-03-03,38112
2023-03-04,39146
2023-03-05,39576
2023-03-06,37161
2023-03-07,37644
2023-03-08,36919
2023-03-09,37163
2023-03-10,34112
2023-03-11,37114
2023-03-12,37337
2023-03-13,37060
2023-03-14,36663
2023-03-15,36904
2023-03-16,3861
2023-03-17,7778
2023-03-18,11034
2023-03-19,18411
2023-03-20,357
2023-03-21,135
2023-03-22,252
2023-03-23,1224
2023-03-24,1217
2023-03-25,2810
2023-03-26,4587
2023-03-27,4064
2023-03-28,2821
2023-03-29,2833
2023-03-30,6032
2023-03-31,4519
2023-04-01,3832
2023-04-02,3772
2023-04-03,3595
2023-04-04,3233
2023-04-05,3265
2023-04-06,3595
2023-04-07,3606
2023-04-08,4478
2023-04-09,5034
2023-04-10,3762
2023-04-11,4694
2023-04-12,1013
2023-04-13,622
2023-04-14,445
2023-04-15,456
2023-04-16,488
2023-04-17,405
2023-04-18,888
2023-04-19,1436
2023-04-20,1634
2023-04-21,1813
2023-04-22,2599
2023-04-23,2832
2023-04-24,1772
2023-04-25,1640
2023-04-26,572
2023-04-27,1501
2023-04-28,1572
2023-04-29,2667
2023-04-30,3574
2023-05-01,1355
2023-05-02,544
2023-05-03,484
2023-05-04,488
2023-05-05,409
2023-05-06,433
2023-05-07,531
2023-05-08,1140
2023-05-09,1437
2023-05-10,1842
2023-05-11,1973
2023-05-12,578
2023-05-13,1445
2023-05-14,2150
2023-05-15,1772
2023-05-16,2001
