,Sales Rank
2022-12-14,550
2022-12-15,585
2022-12-16,593
2022-12-17,624
2022-12-18,578
2022-12-19,537
2022-12-20,552
2022-12-21,526
2022-12-23,489
2022-12-24,491
2022-12-26,460
2022-12-27,481
2022-12-28,500
2022-12-29,472
2022-12-30,536
2022-12-31,507
2023-01-01,471
2023-01-02,516
2023-01-03,549
2023-01-04,527
2023-01-05,528
2023-01-06,512
2023-01-07,515
2023-01-08,505
2023-01-09,489
2023-01-10,487
2023-01-11,476
2023-01-12,475
2023-01-13,491
2023-01-14,552
2023-01-15,420
2023-01-16,500
2023-01-17,544
2023-01-18,492
2023-01-19,481
2023-01-20,459
2023-01-21,485
2023-01-22,463
2023-01-23,443
2023-01-24,438
2023-01-25,475
2023-01-26,513
2023-01-27,542
2023-01-28,463
2023-01-29,512
2023-01-30,501
2023-01-31,481
2023-02-01,478
2023-02-02,472
2023-02-03,541
2023-02-04,518
2023-02-05,440
2023-02-06,533
2023-02-07,499
2023-02-08,558
2023-02-09,585
2023-02-10,599
2023-02-11,605
2023-02-12,494
2023-02-13,472
2023-02-14,396
2023-02-15,458
2023-02-16,497
2023-02-17,569
2023-02-18,465
2023-02-19,431
2023-02-20,541
2023-02-21,659
2023-02-22,636
2023-02-23,534
2023-02-24,643
2023-02-25,557
2023-02-26,543
2023-02-27,532
2023-02-28,538
2023-03-01,519
2023-03-02,538
2023-03-03,522
2023-03-04,500
2023-03-05,507
2023-03-06,569
2023-03-07,516
2023-03-08,513
2023-03-09,525
2023-03-10,590
2023-03-11,555
2023-03-12,532
2023-03-13,571
2023-03-14,605
2023-03-15,474
2023-03-16,539
2023-03-17,503
2023-03-18,497
2023-03-19,476
2023-03-20,499
2023-03-21,565
2023-03-22,497
2023-03-23,564
2023-03-24,550
2023-03-25,507
2023-03-26,499
2023-03-27,526
2023-03-28,538
2023-03-29,469
2023-03-30,505
2023-03-31,504
2023-04-01,521
2023-04-02,474
2023-04-03,566
2023-04-04,519
2023-04-05,523
2023-04-06,499
2023-04-07,564
2023-04-08,513
2023-04-09,468
2023-04-10,589
2023-04-11,561
2023-04-12,552
2023-04-13,588
2023-04-14,682
2023-04-15,501
2023-04-16,413
2023-04-17,463
2023-04-18,544
2023-04-19,548
2023-04-20,512
2023-04-21,517
2023-04-22,516
2023-04-23,501
2023-04-24,602
2023-04-25,533
2023-04-26,537
2023-04-27,564
2023-04-28,613
2023-04-29,567
2023-04-30,475
2023-05-01,586
2023-05-02,587
2023-05-03,664
2023-05-04,618
2023-05-05,569
2023-05-06,590
2023-05-07,588
2023-05-08,621
2023-05-09,584
2023-05-10,556
2023-05-11,630
2023-05-12,575
2023-05-13,589
2023-05-14,557
2023-05-15,553
2023-05-16,599
2023-05-17,558
2023-05-18,571
2023-05-19,605
2023-05-20,564
2023-05-21,585
2023-05-22,561
2023-05-23,601
2023-05-24,542
2023-05-25,556
2023-05-26,680
2023-05-27,609
2023-05-28,568
2023-05-31,546
2023-06-01,521
2023-06-02,653
2023-06-03,662
2023-06-04,679
2023-06-05,633
2023-06-06,565
