,Sales Rank
2022-12-14,240
2022-12-15,233
2022-12-16,249
2022-12-17,268
2022-12-18,282
2022-12-19,257
2022-12-20,267
2022-12-21,268
2022-12-22,253
2022-12-23,222
2022-12-24,222
2022-12-25,203
2022-12-26,209
2022-12-27,224
2022-12-28,206
2022-12-29,211
2022-12-30,198
2022-12-31,198
2023-01-01,178
2023-01-02,196
2023-01-03,195
2023-01-04,201
2023-01-05,210
2023-01-06,218
2023-01-07,226
2023-01-08,233
2023-01-09,236
2023-01-10,257
2023-01-11,260
2023-01-12,216
2023-01-13,229
2023-01-14,212
2023-01-15,187
2023-01-16,194
2023-01-17,196
2023-01-18,209
2023-01-19,200
2023-01-20,194
2023-01-21,212
2023-01-22,179
2023-01-23,188
2023-01-24,240
2023-01-25,188
2023-01-26,189
2023-01-27,193
2023-01-28,167
2023-01-29,161
2023-01-30,165
2023-01-31,157
2023-02-01,162
2023-02-02,161
2023-02-03,144
2023-02-04,139
2023-02-05,147
2023-02-06,141
2023-02-07,166
2023-02-08,173
2023-02-09,180
2023-02-10,186
2023-02-11,169
2023-02-12,155
2023-02-13,168
2023-02-14,181
2023-02-15,191
2023-02-16,203
2023-02-17,227
2023-02-18,224
2023-02-19,202
2023-02-20,234
2023-02-21,205
2023-02-22,207
2023-02-23,239
2023-02-24,242
2023-02-25,204
2023-02-26,184
2023-02-27,194
2023-02-28,185
2023-03-01,199
2023-03-02,206
2023-03-03,174
2023-03-04,169
2023-03-05,170
2023-03-06,209
2023-03-07,207
2023-03-08,196
2023-03-09,198
2023-03-10,191
2023-03-11,191
2023-03-12,179
2023-03-13,195
2023-03-14,198
2023-03-15,195
2023-03-16,204
2023-03-17,187
2023-03-18,190
2023-03-19,192
2023-03-20,224
2023-03-21,211
2023-03-22,228
2023-03-23,223
2023-03-24,240
2023-03-25,243
2023-03-26,248
2023-03-27,237
2023-03-28,216
2023-03-29,209
2023-03-30,202
2023-03-31,202
2023-04-01,196
2023-04-02,187
2023-04-03,190
2023-04-04,165
2023-04-05,169
2023-04-06,170
2023-04-07,167
2023-04-08,160
2023-04-09,159
2023-04-10,178
2023-04-11,173
2023-04-12,187
2023-04-13,197
2023-04-14,182
2023-04-15,175
2023-04-16,174
2023-04-17,190
2023-04-18,200
2023-04-19,181
2023-04-20,181
2023-04-21,190
2023-04-22,195
2023-04-23,176
2023-04-24,177
2023-04-25,201
2023-04-26,178
2023-04-27,191
2023-04-28,182
2023-04-29,172
2023-04-30,179
2023-05-01,172
2023-05-02,193
2023-05-03,192
2023-05-04,179
2023-05-05,162
2023-05-06,136
2023-05-07,138
2023-05-08,156
2023-05-09,174
2023-05-10,175
2023-05-11,181
2023-05-12,195
2023-05-13,199
2023-05-14,193
2023-05-15,190
2023-05-16,218
2023-05-17,183
