,Sales Rank
2022-12-14,86
2022-12-15,88
2022-12-16,108
2022-12-17,106
2022-12-18,96
2022-12-19,90
2022-12-20,105
2022-12-21,98
2022-12-22,96
2022-12-23,92
2022-12-24,87
2022-12-25,65
2022-12-26,74
2022-12-27,75
2022-12-28,68
2022-12-29,83
2022-12-30,83
2022-12-31,74
2023-01-01,54
2023-01-02,60
2023-01-03,59
2023-01-04,58
2023-01-05,58
2023-01-06,59
2023-01-07,61
2023-01-08,62
2023-01-09,68
2023-01-10,71
2023-01-11,72
2023-01-12,66
2023-01-13,71
2023-01-14,62
2023-01-15,49
2023-01-16,58
2023-01-17,51
2023-01-18,50
2023-01-19,65
2023-01-20,65
2023-01-21,4555
2023-01-22,4625
2023-01-23,4647
2023-01-24,54
2023-01-25,61
2023-01-26,68
2023-01-27,75
2023-01-28,69
2023-01-29,67
2023-01-30,64
2023-01-31,4634
2023-02-01,5433
2023-02-02,66
2023-02-03,66
2023-02-04,64
2023-02-05,48
2023-02-06,4507
2023-02-07,62
2023-02-08,61
2023-02-09,4956
2023-02-10,4861
2023-02-11,5267
2023-02-12,5233
2023-02-13,4431
2023-02-14,4597
2023-02-15,3919
2023-02-16,5280
2023-02-17,6654
2023-02-18,5800
2023-02-19,5859
2023-02-20,5863
2023-02-21,4494
2023-02-22,4869
2023-02-23,5468
2023-02-24,6342
2023-02-25,4558
2023-02-26,5223
2023-02-27,5050
2023-02-28,4968
2023-03-01,4842
2023-03-02,4671
2023-03-03,4888
2023-03-04,4787
2023-03-05,4716
2023-03-06,5460
2023-03-07,5819
2023-03-08,5860
2023-03-09,5855
2023-03-10,7356
2023-03-11,5870
2023-03-12,4601
2023-03-13,4721
2023-03-14,5550
2023-03-15,4230
2023-03-16,5165
2023-03-17,4515
2023-03-18,5880
2023-03-19,4827
2023-03-20,6363
2023-03-21,4592
2023-03-22,4959
2023-03-23,4612
2023-03-24,4172
2023-03-25,5062
2023-03-26,4725
2023-03-27,5850
2023-03-28,4397
2023-03-29,63
2023-03-30,70
2023-03-31,77
2023-04-01,68
2023-04-02,52
2023-04-03,66
2023-04-04,81
2023-04-05,72
2023-04-06,84
2023-04-07,80
2023-04-08,78
2023-04-09,57
2023-04-10,68
2023-04-11,52
2023-04-12,57
2023-04-13,55
2023-04-14,71
2023-04-15,55
2023-04-16,40
2023-04-17,55
2023-04-18,50
2023-04-19,50
2023-04-20,55
2023-04-21,71
2023-04-22,66
2023-04-23,64
2023-04-24,66
2023-04-25,57
2023-04-26,61
2023-04-27,62
2023-04-28,78
2023-04-29,71
2023-04-30,56
2023-05-01,71
2023-05-02,52
2023-05-03,58
2023-05-04,75
2023-05-05,81
2023-05-06,78
2023-05-07,53
2023-05-08,75
2023-05-09,66
2023-05-10,67
2023-05-11,65
2023-05-12,82
2023-05-13,75
2023-05-14,54
2023-05-15,62
2023-05-16,75
2023-05-17,65
2023-05-18,62
2023-05-19,73
2023-05-20,82
2023-05-21,55
2023-05-22,61
2023-05-23,64
2023-05-24,58
2023-05-25,64
2023-05-26,81
2023-05-27,89
2023-05-28,73
2023-05-30,73
2023-05-31,62
2023-06-01,63
2023-06-02,76
2023-06-03,85
2023-06-04,60
2023-06-05,60
2023-06-06,53
2023-06-07,53
2023-06-08,60
2023-06-09,79
2023-06-10,82
2023-06-11,102
2023-06-12,103
2023-06-13,106
2023-06-14,112
2023-06-15,32
2023-06-16,68
2023-06-17,43
2023-06-18,41
2023-06-19,48
2023-06-20,52
2023-06-21,52
2023-06-22,56
2023-06-23,66
2023-06-24,85
2023-06-25,72
2023-06-26,66
2023-06-27,82
2023-06-28,85
2023-06-29,77
2023-06-30,76
2023-07-01,77
2023-07-02,50
2023-07-03,67
2023-07-04,4114
2023-07-05,4643
2023-07-06,5022
2023-07-07,5560
2023-07-08,92
2023-07-09,67
2023-07-10,71
2023-07-11,49
2023-07-12,48
2023-07-13,55
2023-07-14,79
2023-07-15,76
2023-07-16,75
2023-07-17,75
2023-07-18,60
2023-07-19,63
2023-07-20,71
2023-07-21,73
2023-07-22,68
2023-07-23,52
2023-07-24,56
2023-07-25,61
2023-07-26,67
2023-07-27,72
2023-07-28,82
2023-07-29,74
2023-07-30,62
2023-07-31,67
2023-08-01,70
2023-08-02,71
2023-08-03,77
2023-08-04,74
2023-08-05,78
2023-08-06,74
2023-08-08,61
2023-08-09,77
2023-08-10,83
2023-08-11,90
2023-08-12,99
2023-08-13,73
2023-08-14,86
2023-08-15,77
2023-08-16,82
2023-08-17,77
2023-08-18,86
2023-08-19,97
2023-08-20,74
2023-08-21,74
2023-08-22,76
2023-08-23,79
2023-08-24,88
2023-08-25,97
2023-08-26,81
2023-08-27,71
2023-08-28,80
2023-08-29,82
2023-08-30,73
2023-08-31,63
2023-09-01,81
2023-09-02,82
2023-09-03,59
2023-09-04,74
2023-09-05,78
2023-09-06,73
