,Sales Rank
2022-12-14,37
2022-12-15,46
2022-12-16,45
2022-12-17,41
2022-12-18,35
2022-12-19,36
2022-12-20,41
2022-12-21,41
2022-12-22,53
2022-12-23,71
2022-12-24,86
2022-12-25,97
2022-12-26,115
2022-12-27,122
2022-12-28,132
2022-12-29,134
2022-12-30,131
2022-12-31,104
2023-01-01,133
2023-01-02,150
2023-01-03,149
2023-01-04,127
2023-01-05,120
2023-01-06,111
2023-01-07,103
2023-01-08,100
2023-01-09,101
2023-01-10,98
2023-01-12,95
2023-01-13,118
2023-01-14,120
2023-01-15,126
2023-01-16,151
2023-01-17,165
2023-01-18,179
2023-01-19,182
2023-01-20,188
2023-01-21,169
2023-01-22,179
2023-01-23,181
2023-01-24,206
2023-01-25,203
2023-01-26,239
2023-01-27,229
2023-01-28,217
2023-01-29,201
2023-01-30,222
2023-01-31,269
2023-02-01,277
2023-02-02,308
2023-02-03,283
2023-02-04,271
2023-02-05,268
2023-02-06,279
2023-02-07,302
2023-02-08,327
2023-02-09,333
2023-02-10,332
2023-02-11,275
2023-02-12,262
2023-02-13,330
2023-02-14,312
2023-02-15,318
2023-02-16,275
2023-02-17,282
2023-02-18,233
2023-02-19,214
2023-02-20,233
2023-02-21,260
2023-02-22,292
2023-02-23,264
2023-02-24,232
2023-02-25,212
2023-02-26,176
2023-02-27,158
2023-02-28,154
2023-03-01,150
2023-03-02,155
2023-03-03,159
2023-03-04,133
2023-03-05,120
2023-03-06,137
2023-03-07,182
2023-03-08,157
2023-03-09,155
2023-03-10,151
2023-03-11,134
2023-03-12,147
2023-03-13,166
2023-03-14,157
2023-03-15,154
2023-03-16,167
2023-03-17,174
2023-03-18,160
2023-03-19,134
2023-03-20,152
2023-03-21,162
2023-03-22,165
2023-03-23,168
2023-03-24,166
2023-03-25,172
2023-03-26,151
2023-03-27,174
2023-03-28,192
2023-03-29,162
2023-03-30,180
2023-03-31,174
2023-04-01,169
2023-04-02,184
2023-04-03,199
2023-04-04,223
2023-04-05,229
2023-04-06,243
2023-04-07,237
2023-04-08,210
2023-04-09,208
2023-04-10,304
2023-04-11,358
2023-04-12,2480
2023-04-13,2691
2023-04-14,3207
2023-04-15,3021
2023-04-16,3521
2023-04-17,3645
2023-04-18,3485
2023-04-19,3625
2023-04-20,3664
2023-04-21,3825
2023-04-22,3829
2023-04-23,3680
2023-04-24,3966
2023-04-25,3880
2023-04-26,4105
2023-04-27,4041
2023-04-28,4051
2023-04-29,4455
2023-04-30,3634
2023-05-01,3722
2023-05-02,3982
2023-05-03,4377
2023-05-04,3291
2023-05-05,375
2023-05-06,397
2023-05-07,438
2023-05-08,458
2023-05-09,467
2023-05-10,456
2023-05-11,493
2023-05-12,458
2023-05-13,469
2023-05-14,410
2023-05-15,467
2023-05-16,447
2023-05-17,457
2023-05-18,476
2023-05-19,445
2023-05-20,422
2023-05-21,441
2023-05-22,476
2023-05-23,559
2023-05-24,505
2023-05-25,564
2023-05-26,633
2023-05-27,536
2023-05-28,453
2023-05-30,483
2023-05-31,469
2023-06-01,476
2023-06-02,480
2023-06-03,516
2023-06-04,467
2023-06-05,478
2023-06-06,475
2023-06-07,518
2023-06-08,573
2023-06-09,524
2023-06-10,530
2023-06-11,513
2023-06-12,467
2023-06-13,471
2023-06-14,508
2023-06-15,503
2023-06-16,500
2023-06-17,464
2023-06-18,435
2023-06-19,490
2023-06-20,434
2023-06-21,434
2023-06-22,435
2023-06-23,447
2023-06-24,444
2023-06-25,393
2023-06-26,442
2023-06-27,460
2023-06-29,486
2023-06-30,534
2023-07-01,533
2023-07-02,513
2023-07-03,467
2023-07-04,475
2023-07-05,547
2023-07-06,614
2023-07-07,603
2023-07-08,637
2023-07-09,525
2023-07-10,517
2023-07-11,521
2023-07-12,521
2023-07-13,477
2023-07-14,483
2023-07-15,514
2023-07-16,488
2023-07-17,507
2023-07-18,491
2023-07-19,516
2023-07-20,521
2023-07-21,499
2023-07-22,518
2023-07-23,471
2023-07-24,520
2023-07-25,502
2023-07-26,450
2023-07-27,395
2023-07-28,367
2023-07-29,324
2023-07-30,330
2023-07-31,335
2023-08-03,347
2023-08-04,374
2023-08-06,331
2023-08-07,379
2023-08-08,475
2023-08-09,434
2023-08-10,342
2023-08-11,361
2023-08-12,394
2023-08-13,334
2023-08-14,326
2023-08-15,394
2023-08-16,458
2023-08-17,426
2023-08-18,486
2023-08-19,417
2023-08-20,385
2023-08-21,439
2023-08-22,391
2023-08-23,400
2023-08-24,411
2023-08-25,438
2023-08-26,362
2023-08-27,320
2023-08-28,321
2023-08-29,333
2023-08-30,364
2023-08-31,377
2023-09-01,374
2023-09-02,365
2023-09-03,357
2023-09-04,322
2023-09-05,299
2023-09-06,337
2023-09-07,366
2023-09-08,369
2023-09-09,367
2023-09-10,324
2023-09-11,260
2023-09-12,309
2023-09-13,327
2023-09-14,355
2023-09-15,391
2023-09-16,348
2023-09-17,361
2023-09-18,359
