,Sales Rank
2022-12-14,1339
2022-12-15,1249
2022-12-16,1296
2022-12-17,1226
2022-12-18,995
2022-12-19,923
2022-12-20,1028
2022-12-21,1251
2022-12-22,1273
2022-12-23,1259
2022-12-24,1070
2022-12-25,1405
2022-12-26,1412
2022-12-27,1427
2022-12-28,1310
2022-12-29,1028
2022-12-30,1121
2022-12-31,1063
2023-01-01,1133
2023-01-02,1233
2023-01-03,1246
2023-01-04,1243
2023-01-05,1401
2023-01-06,1278
2023-01-07,1266
2023-01-08,1332
2023-01-09,1352
2023-01-10,1422
2023-01-11,1479
2023-01-12,1469
2023-01-13,1280
2023-01-14,789
2023-01-15,513
2023-01-16,733
2023-01-17,939
2023-01-18,975
2023-01-19,1020
2023-01-20,997
2023-01-21,897
2023-01-22,842
2023-01-23,978
2023-01-24,956
2023-01-25,1199
2023-01-26,1211
2023-01-27,1225
2023-01-28,1098
2023-01-29,1173
2023-01-30,1237
2023-01-31,1397
2023-02-01,1351
2023-02-02,1465
2023-02-03,1551
2023-02-04,1410
2023-02-05,1326
2023-02-06,1215
2023-02-07,1249
2023-02-08,1267
2023-02-09,1309
2023-02-10,1102
2023-02-11,1044
2023-02-12,1000
2023-02-13,1168
2023-02-14,1233
2023-02-15,1305
2023-02-16,1244
2023-02-17,1053
2023-02-18,893
2023-02-19,871
2023-02-20,904
2023-02-21,954
2023-02-22,1097
2023-02-23,802
2023-02-24,816
2023-02-25,798
2023-02-26,756
2023-02-27,850
2023-02-28,907
2023-03-01,942
2023-03-02,866
2023-03-03,880
2023-03-04,819
2023-03-05,720
2023-03-06,719
2023-03-07,688
2023-03-08,506
2023-03-09,496
2023-03-10,474
2023-03-11,450
2023-03-12,337
2023-03-13,491
2023-03-14,568
2023-03-15,553
2023-03-16,582
2023-03-17,586
2023-03-18,609
2023-03-19,552
2023-03-20,637
2023-03-21,702
2023-03-22,756
2023-03-23,663
2023-03-24,671
2023-03-25,513
2023-03-26,455
2023-03-27,557
2023-03-28,577
2023-03-29,533
2023-03-30,538
2023-03-31,570
2023-04-01,547
2023-04-02,472
2023-04-03,523
2023-04-04,535
2023-04-05,441
2023-04-06,380
2023-04-07,346
2023-04-08,280
2023-04-09,296
2023-04-10,430
2023-04-11,537
2023-04-12,673
2023-04-13,708
2023-04-14,704
2023-04-15,569
2023-04-16,688
2023-04-17,825
2023-04-18,844
2023-04-19,612
2023-04-20,348
2023-04-21,300
2023-04-22,230
2023-04-23,249
2023-04-24,372
2023-04-25,326
2023-04-26,346
2023-04-27,387
2023-04-28,483
2023-04-29,385
2023-04-30,355
2023-05-01,374
2023-05-02,462
2023-05-03,585
2023-05-04,546
2023-05-05,509
2023-05-06,467
2023-05-07,427
2023-05-08,536
2023-05-09,497
2023-05-10,479
2023-05-11,478
2023-05-12,429
2023-05-13,487
2023-05-14,431
2023-05-15,458
2023-05-16,403
2023-05-17,474
2023-05-18,473
2023-05-19,394
2023-05-20,451
2023-05-21,405
2023-05-22,486
2023-05-23,566
2023-05-24,572
2023-05-25,629
2023-05-26,600
2023-05-27,616
2023-05-28,574
2023-05-31,700
2023-06-01,725
2023-06-02,879
2023-06-03,751
2023-06-04,565
2023-06-05,546
2023-06-06,569
2023-06-07,562
2023-06-08,529
2023-06-09,505
2023-06-10,404
2023-06-11,466
2023-06-13,527
2023-06-14,570
2023-06-15,569
2023-06-16,626
2023-06-17,642
2023-06-18,638
2023-06-19,585
2023-06-21,549
2023-06-22,599
2023-06-23,587
2023-06-24,566
2023-06-26,551
2023-06-27,555
2023-06-28,575
2023-06-29,578
2023-06-30,590
2023-07-01,485
2023-07-02,601
2023-07-03,623
2023-07-04,699
2023-07-05,734
2023-07-06,682
2023-07-07,691
2023-07-08,671
2023-07-09,805
2023-07-10,963
2023-07-11,1180
2023-07-13,1386
2023-07-14,987
2023-07-15,910
2023-07-16,23632
2023-07-17,1072
2023-07-18,1109
2023-07-19,1148
2023-07-20,1156
2023-07-21,1030
2023-07-22,1004
2023-07-23,1154
2023-07-24,1079
2023-07-25,1217
2023-07-26,1253
2023-07-27,1085
2023-07-28,1134
2023-07-29,1139
2023-07-30,1124
2023-07-31,1135
2023-08-01,700
2023-08-02,583
2023-08-03,535
2023-08-04,348
2023-08-05,350
2023-08-06,322
2023-08-07,287
2023-08-08,390
2023-08-09,487
2023-08-10,519
2023-08-11,546
2023-08-12,593
2023-08-13,564
2023-08-14,662
2023-08-15,710
2023-08-16,781
2023-08-17,794
2023-08-18,825
2023-08-19,718
2023-08-20,710
2023-08-21,674
2023-08-22,791
2023-08-23,851
2023-08-24,785
2023-08-25,877
2023-08-26,745
2023-08-27,659
2023-08-28,814
2023-08-29,743
2023-08-30,855
2023-08-31,799
2023-09-01,861
2023-09-02,791
2023-09-03,732
2023-09-04,742
2023-09-05,753
2023-09-06,910
2023-09-07,829
2023-09-08,754
2023-09-09,644
2023-09-10,630
2023-09-11,602
2023-09-12,639
2023-09-13,616
2023-09-14,615
2023-09-15,646
2023-09-16,643
2023-09-17,516
2023-09-18,551
2023-09-19,524
2023-09-20,513
2023-09-21,515
2023-09-22,530
2023-09-23,408
2023-09-24,443
2023-09-25,489
2023-09-26,555
2023-09-27,583
2023-09-28,664
2023-09-29,654
2023-09-30,665
2023-10-01,730
2023-10-02,672
2023-10-03,696
2023-10-04,661
2023-10-05,606
2023-10-06,599
2023-10-07,564
2023-10-08,580
2023-10-09,593
2023-10-10,627
2023-10-11,1134
2023-10-12,1138
2023-10-13,1011
2023-10-14,86852
2023-10-15,653
2023-10-16,562
2023-10-17,620
2023-10-18,641
2023-10-19,595
2023-10-20,530
2023-10-21,533
2023-10-22,602
2023-10-23,812
2023-10-24,1076
2023-10-26,1613
2023-10-27,1622
2023-10-28,1709
2023-10-29,1559
2023-10-30,1364
2023-10-31,1365
2023-11-01,1132
2023-11-02,1097
2023-11-03,900
2023-11-04,843
2023-11-05,749
2023-11-06,810
2023-11-07,743
2023-11-08,832
2023-11-09,729
2023-11-10,674
2023-11-11,574
2023-11-12,604
2023-11-13,550
2023-11-14,639
2023-11-15,620
2023-11-16,594
2023-11-17,602
2023-11-18,566
2023-11-19,595
2023-11-20,586
2023-11-21,610
2023-11-22,645
2023-11-23,613
2023-11-24,608
2023-11-25,551
2023-11-26,587
2023-11-27,645
2023-11-28,698
2023-11-29,656
2023-11-30,690
2023-12-01,712
2023-12-02,640
2023-12-03,649
2023-12-04,753
2023-12-05,721
2023-12-06,704
2023-12-07,635
2023-12-08,608
2023-12-09,522
2023-12-10,528
2023-12-11,582
2023-12-12,577
2023-12-13,621
2023-12-14,608
2023-12-15,646
2023-12-16,588
2023-12-17,577
2023-12-18,584
2023-12-19,530
2023-12-20,530
2023-12-21,519
2023-12-22,504
2023-12-23,427
2023-12-24,397
2023-12-25,526
2023-12-26,531
2023-12-27,525
2023-12-28,548
2023-12-29,497
2023-12-30,479
2023-12-31,481
2024-01-01,518
2024-01-02,456
2024-01-03,494
2024-01-04,434
2024-01-05,373
2024-01-06,309
2024-01-07,278
2024-01-08,326
2024-01-09,357
2024-01-10,334
2024-01-11,331
2024-01-12,295
2024-01-13,245
2024-01-14,239
2024-01-15,239
2024-01-16,224
2024-01-17,210
2024-01-18,249
2024-01-19,196
2024-01-20,202
2024-01-21,161
2024-01-22,221
2024-01-23,276
2024-01-24,284
2024-01-25,259
2024-01-26,255
2024-01-27,212
2024-01-28,181
2024-01-29,242
2024-01-30,301
2024-01-31,269
2024-02-01,284
2024-02-02,241
2024-02-03,199
2024-02-04,179
2024-02-05,220
2024-02-06,240
2024-02-07,262
2024-02-08,247
2024-02-09,249
2024-02-10,177
2024-02-11,182
2024-02-12,202
2024-02-13,189
2024-02-14,203
2024-02-15,198
2024-02-16,191
2024-02-17,164
2024-02-18,141
2024-02-19,182
2024-02-20,228
2024-02-21,261
2024-02-22,283
2024-02-23,275
2024-02-24,257
2024-02-25,253
2024-02-26,308
2024-02-27,320
2024-02-28,326
2024-02-29,299
2024-03-01,291
2024-03-02,239
2024-03-03,236
2024-03-04,256
2024-03-05,263
2024-03-06,279
2024-03-07,292
2024-03-08,258
2024-03-09,215
2024-03-10,220
2024-03-11,250
2024-03-12,255
2024-03-13,270
2024-03-14,271
2024-03-15,291
2024-03-16,220
2024-03-17,214
2024-03-18,252
2024-03-19,220
2024-03-20,253
2024-03-21,257
2024-03-22,294
2024-03-23,217
2024-03-24,211
2024-03-25,275
2024-03-26,328
2024-03-27,357
2024-03-28,313
2024-03-29,304
2024-03-30,285
2024-03-31,284
2024-04-01,380
2024-04-02,367
2024-04-03,443
2024-04-04,438
2024-04-05,433
2024-04-06,412
2024-04-07,442
2024-04-08,562
2024-04-09,719
2024-04-10,828
2024-04-11,958
2024-04-12,969
2024-04-13,970
2024-04-14,1036
2024-04-15,1139
2024-04-16,1154
2024-04-17,773
2024-04-18,725
2024-04-19,558
2024-04-20,408
2024-04-21,421
2024-04-22,426
2024-04-23,407
2024-04-24,425
2024-04-25,435
2024-04-26,425
2024-04-27,401
2024-04-28,337
2024-04-29,430
2024-04-30,468
2024-05-01,501
2024-05-02,474
2024-05-03,2491
2024-05-04,4122
2024-05-05,6784
2024-05-06,7636
2024-05-07,9205
2024-05-08,1723
2024-05-09,930
2024-05-10,761
2024-05-11,368
2024-05-12,316
2024-05-13,365
2024-05-14,340
2024-05-15,308
2024-05-16,349
2024-05-17,333
2024-05-18,300
2024-05-19,307
2024-05-20,368
2024-05-21,374
2024-05-22,373
2024-05-23,488
2024-05-24,468
2024-05-25,669
2024-05-26,415
2024-05-27,499
2024-05-28,500
2024-05-29,537
2024-05-30,483
2024-05-31,428
2024-06-01,390
2024-06-02,376
2024-06-03,406
2024-06-04,496
2024-06-05,467
2024-06-06,528
2024-06-07,450
2024-06-08,460
2024-06-09,515
2024-06-10,569
2024-06-11,553
2024-06-12,597
2024-06-13,530
2024-06-14,548
2024-06-15,463
2024-06-16,426
