,Sales Rank
2022-12-14,1339
2022-12-15,1375
2022-12-16,1270
2022-12-17,1226
2022-12-18,995
2022-12-19,923
2022-12-20,1062
2022-12-21,1245
2022-12-22,1196
2022-12-23,1271
2022-12-24,1107
2022-12-25,1405
2022-12-26,1412
2022-12-27,1427
2022-12-28,1154
2022-12-29,1106
2022-12-30,1121
2022-12-31,1116
2023-01-01,1145
2023-01-02,1233
2023-01-03,1341
2023-01-04,1243
2023-01-05,1401
2023-01-06,1294
2023-01-07,1266
2023-01-08,1332
2023-01-09,1352
2023-01-10,1417
2023-01-11,1479
2023-01-12,1345
2023-01-13,1127
2023-01-14,627
2023-01-15,651
2023-01-16,739
2023-01-17,939
2023-01-18,975
2023-01-19,1022
2023-01-20,936
2023-01-21,838
2023-01-22,842
2023-01-23,978
2023-01-24,1016
2023-01-25,1199
2023-01-26,1116
2023-01-27,1225
2023-01-28,1199
2023-01-29,1169
2023-01-30,1237
2023-01-31,1361
2023-02-01,1472
2023-02-02,1493
2023-02-03,1542
2023-02-04,1329
2023-02-05,1307
2023-02-06,1189
2023-02-07,1276
2023-02-08,1213
2023-02-09,1329
2023-02-10,1175
2023-02-11,932
2023-02-12,1000
2023-02-13,1175
2023-02-14,1215
2023-02-15,1267
2023-02-16,1179
2023-02-17,1053
2023-02-18,893
2023-02-19,871
2023-02-20,904
2023-02-21,954
2023-02-22,1086
2023-02-23,802
2023-02-24,837
2023-02-25,798
2023-02-26,756
2023-02-27,850
2023-02-28,979
2023-03-01,914
2023-03-02,884
2023-03-03,836
2023-03-04,771
2023-03-05,754
2023-03-06,614
2023-03-07,688
2023-03-08,668
2023-03-09,523
2023-03-10,474
2023-03-11,450
2023-03-12,419
2023-03-13,494
2023-03-14,558
2023-03-15,553
2023-03-16,606
2023-03-17,586
2023-03-18,609
2023-03-19,547
2023-03-20,633
2023-03-21,702
2023-03-22,774
2023-03-23,700
2023-03-24,578
2023-03-25,513
2023-03-26,455
2023-03-27,557
2023-03-28,577
2023-03-29,576
2023-03-30,538
2023-03-31,569
2023-04-01,467
2023-04-02,475
2023-04-03,510
2023-04-04,535
2023-04-05,441
2023-04-06,380
2023-04-07,328
2023-04-08,317
2023-04-09,296
2023-04-10,430
2023-04-11,537
2023-04-12,673
2023-04-13,712
2023-04-14,704
2023-04-15,638
2023-04-16,688
2023-04-17,825
2023-04-18,835
2023-04-19,570
2023-04-20,348
2023-04-21,300
2023-04-22,193
2023-04-23,249
2023-04-24,372
2023-04-25,326
2023-04-26,368
2023-04-27,387
2023-04-28,483
2023-04-29,383
2023-04-30,355
2023-05-01,374
2023-05-02,462
2023-05-03,546
2023-05-04,577
2023-05-05,509
2023-05-06,467
2023-05-07,415
2023-05-08,536
2023-05-09,497
2023-05-10,479
2023-05-11,478
2023-05-12,443
2023-05-13,444
2023-05-14,423
2023-05-15,458
2023-05-16,379
2023-05-17,474
2023-05-18,473
2023-05-19,444
2023-05-20,412
2023-05-21,431
2023-05-22,494
2023-05-23,508
2023-05-24,572
2023-05-25,633
2023-05-26,600
2023-05-27,627
2023-05-28,574
2023-05-30,709
2023-05-31,784
2023-06-01,771
2023-06-02,785
2023-06-03,726
2023-06-04,518
2023-06-05,488
2023-06-06,507
2023-06-07,545
2023-06-08,520
2023-06-09,479
2023-06-10,481
2023-06-11,425
2023-06-12,429
2023-06-13,530
2023-06-14,629
2023-06-15,603
2023-06-16,595
2023-06-17,642
2023-06-19,602
2023-06-20,608
2023-06-22,549
2023-06-23,587
2023-06-24,560
2023-06-25,537
2023-06-26,495
2023-06-27,555
2023-06-28,548
2023-06-29,578
2023-06-30,545
2023-07-01,488
2023-07-02,589
2023-07-03,670
2023-07-04,696
2023-07-05,745
2023-07-06,682
2023-07-07,655
2023-07-08,684
2023-07-10,963
2023-07-12,1439
2023-07-14,1037
2023-07-15,5922
2023-07-16,6077
2023-07-17,1072
2023-07-18,1109
2023-07-19,1126
2023-07-20,1109
2023-07-21,1030
2023-07-22,1076
2023-07-23,1154
2023-07-24,1079
2023-07-25,1259
2023-07-26,1177
2023-07-27,1085
2023-07-28,1134
2023-07-29,1139
2023-07-30,1124
2023-07-31,1036
2023-08-01,752
2023-08-02,538
2023-08-03,448
2023-08-04,348
2023-08-05,318
2023-08-06,322
2023-08-07,306
2023-08-08,495
2023-08-09,522
2023-08-10,559
2023-08-11,559
2023-08-12,593
2023-08-13,552
2023-08-14,704
2023-08-15,710
2023-08-16,775
2023-08-17,794
2023-08-18,825
2023-08-19,718
2023-08-20,710
2023-08-21,769
2023-08-22,797
2023-08-23,851
2023-08-24,805
2023-08-25,877
2023-08-26,745
2023-08-27,722
2023-08-28,814
2023-08-29,743
2023-08-30,855
2023-08-31,811
2023-09-01,861
2023-09-02,791
2023-09-03,754
2023-09-04,742
2023-09-05,768
2023-09-06,836
2023-09-07,782
2023-09-08,754
2023-09-09,644
2023-09-10,698
2023-09-11,602
2023-09-12,639
2023-09-13,616
2023-09-14,615
2023-09-15,586
2023-09-16,562
2023-09-17,411
2023-09-18,551
2023-09-19,506
2023-09-20,538
2023-09-21,503
2023-09-22,506
2023-09-23,408
2023-09-24,390
2023-09-25,489
2023-09-26,535
2023-09-27,583
2023-09-28,602
2023-09-29,644
2023-09-30,644
2023-10-01,731
2023-10-02,749
2023-10-03,623
2023-10-04,653
2023-10-05,675
2023-10-06,598
2023-10-07,584
2023-10-08,553
