,Sales Rank
2022-12-14,1797
2022-12-15,1772
2022-12-16,2043
2022-12-17,2098
2022-12-18,1989
2022-12-19,1860
2022-12-20,1995
2022-12-21,2072
2022-12-22,2102
2022-12-23,1903
2022-12-24,1816
2022-12-25,1694
2022-12-26,1786
2022-12-27,1973
2022-12-28,1877
2022-12-29,1452
2022-12-30,1657
2022-12-31,1585
2023-01-01,1577
2023-01-02,1595
2023-01-03,1499
2023-01-04,1531
2023-01-05,1574
2023-01-06,1641
2023-01-07,1644
2023-01-08,1568
2023-01-09,1564
2023-01-10,1621
2023-01-11,1618
2023-01-12,1582
2023-01-13,1579
2023-01-14,1517
2023-01-15,1432
2023-01-16,1863
2023-01-17,1526
2023-01-18,1616
2023-01-19,1988
2023-01-20,1284
2023-01-21,1620
2023-01-22,1497
2023-01-23,1481
2023-01-24,1566
2023-01-25,1666
2023-01-26,1511
2023-01-27,1307
2023-01-28,1234
2023-01-29,1115
2023-01-30,1265
2023-01-31,1493
2023-02-01,1709
2023-02-02,1743
2023-02-03,1739
2023-02-04,1688
2023-02-05,1778
2023-02-06,1707
2023-02-07,1948
2023-02-08,1716
2023-02-09,1713
2023-02-10,1588
2023-02-11,1905
2023-02-12,1887
2023-02-13,1549
2023-02-14,1658
2023-02-15,1449
2023-02-16,1477
2023-02-17,1795
2023-02-19,1791
2023-02-20,1600
2023-02-21,1689
2023-02-22,1533
2023-02-23,1420
2023-02-24,1426
2023-02-25,1280
2023-02-26,1142
2023-02-27,1294
2023-02-28,1227
2023-03-01,1019
2023-03-02,1006
2023-03-03,1128
2023-03-04,1115
2023-03-05,1147
2023-03-06,1074
2023-03-07,1095
2023-03-08,1151
2023-03-09,1087
2023-03-10,1268
2023-03-11,1363
2023-03-12,1248
2023-03-13,1213
2023-03-14,1103
2023-03-15,1323
2023-03-16,1451
2023-03-17,1320
2023-03-18,1384
2023-03-19,1324
2023-03-20,1620
2023-03-21,1710
2023-03-22,1540
2023-03-23,1707
2023-03-24,1610
2023-03-25,1665
2023-03-26,1417
2023-03-27,1324
2023-03-28,1322
2023-03-29,1118
2023-03-30,1201
2023-03-31,1171
2023-04-01,1104
2023-04-02,1047
2023-04-03,1075
2023-04-04,739
2023-04-05,630
2023-04-06,723
2023-04-07,635
2023-04-08,588
2023-04-09,517
2023-04-10,867
2023-04-11,991
2023-04-12,1027
2023-04-13,838
2023-04-14,785
2023-04-15,982
2023-04-16,995
2023-04-17,887
2023-04-18,1070
2023-04-19,872
2023-04-20,905
2023-04-21,986
2023-04-22,903
2023-04-23,937
2023-04-24,958
2023-04-25,774
2023-04-26,678
2023-04-27,523
2023-04-28,622
2023-04-29,530
2023-04-30,510
2023-05-01,474
2023-05-02,404
2023-05-03,441
2023-05-04,410
2023-05-05,392
2023-05-06,388
2023-05-07,383
2023-05-08,440
2023-05-09,727
2023-05-10,696
2023-05-11,772
2023-05-12,1042
2023-05-13,837
2023-05-14,901
2023-05-15,915
2023-05-16,1000
2023-05-17,966
2023-05-18,968
2023-05-19,958
2023-05-20,971
2023-05-21,903
2023-05-22,977
2023-05-23,979
2023-05-24,957
2023-05-25,983
2023-05-26,1128
2023-05-27,1110
2023-05-28,1077
2023-05-30,771
2023-05-31,729
2023-06-01,764
2023-06-02,852
2023-06-03,824
2023-06-04,804
2023-06-05,949
2023-06-06,1006
2023-06-07,1164
2023-06-08,980
2023-06-09,893
2023-06-10,1121
2023-06-11,1009
2023-06-12,1052
2023-06-13,984
2023-06-14,1009
2023-06-15,1050
2023-06-16,942
2023-06-17,1005
2023-06-18,1036
2023-06-19,1051
2023-06-20,1108
2023-06-21,1144
2023-06-23,1080
2023-06-24,1231
2023-06-25,1261
2023-06-26,1322
2023-06-27,1369
2023-06-28,1388
2023-06-29,1348
2023-06-30,1293
2023-07-01,1277
2023-07-02,1225
2023-07-03,1246
2023-07-04,1429
2023-07-05,1328
2023-07-06,1307
2023-07-07,744
2023-07-08,1037
2023-07-09,1046
2023-07-10,1138
2023-07-11,1623
2023-07-12,2057
2023-07-13,1550
2023-07-14,1319
2023-07-15,1353
2023-07-16,1156
2023-07-17,1112
2023-07-18,1023
2023-07-19,1048
2023-07-20,1215
2023-07-21,1292
2023-07-22,1336
2023-07-23,1117
2023-07-24,1385
2023-07-25,1071
2023-07-26,1170
2023-07-27,1163
2023-07-28,1136
2023-07-29,1126
2023-07-30,1115
2023-07-31,1021
2023-08-01,953
2023-08-02,856
2023-08-03,924
2023-08-04,884
2023-08-05,907
2023-08-06,827
2023-08-07,810
2023-08-08,906
2023-08-09,901
2023-08-10,869
2023-08-11,936
2023-08-12,869
2023-08-13,829
2023-08-14,1038
2023-08-15,852
2023-08-16,840
2023-08-17,789
2023-08-18,835
2023-08-19,827
2023-08-20,804
2023-08-21,828
2023-08-22,874
2023-08-23,871
2023-08-24,794
2023-08-25,859
2023-08-26,836
2023-08-27,702
2023-08-28,832
2023-08-29,721
2023-08-30,712
2023-09-01,745
2023-09-02,582
2023-09-03,623
2023-09-04,937
2023-09-05,12257
2023-09-06,933
2023-09-07,865
2023-09-08,940
2023-09-09,945
2023-09-10,836
2023-09-11,3408
2023-09-12,3344
2023-09-13,624
2023-09-14,658
2023-09-15,652
2023-09-16,660
2023-09-17,614
2023-09-18,632
2023-09-19,665
2023-09-20,719
2023-09-21,653
2023-09-22,638
2023-09-23,619
2023-09-24,622
2023-09-25,711
2023-09-26,602
2023-09-27,592
2023-09-28,537
2023-09-29,596
2023-09-30,576
2023-10-01,541
2023-10-02,621
2023-10-03,595
2023-10-04,574
2023-10-05,510
2023-10-06,528
