,Sales Rank
2022-12-14,26806
2022-12-15,23990
2022-12-16,21722
2022-12-17,19427
2022-12-18,17858
2022-12-19,14199
2022-12-20,14933
2022-12-21,14862
2022-12-22,14216
2022-12-23,16903
2022-12-24,15885
2022-12-25,22312
2022-12-26,12494
2022-12-27,10623
2022-12-28,9832
2022-12-29,9638
2022-12-30,12602
2022-12-31,18297
2023-01-01,12738
2023-01-02,8351
2023-01-03,7609
2023-01-04,9029
2023-01-05,8941
2023-01-06,11375
2023-01-07,10827
2023-01-08,10675
2023-01-09,10307
2023-01-10,10294
2023-01-11,10797
2023-01-12,8830
2023-01-13,7561
2023-01-14,6232
2023-01-15,8105
2023-01-16,7905
2023-01-17,9278
2023-01-18,7135
2023-01-19,7626
2023-01-20,6537
2023-01-21,6738
2023-01-22,6268
2023-01-23,5106
2023-01-24,5310
2023-01-25,4209
2023-01-26,4228
2023-01-27,3525
2023-01-28,3529
2023-01-29,3999
2023-01-30,3140
2023-01-31,2409
2023-02-01,2920
2023-02-02,2692
2023-02-03,2532
2023-02-04,1900
2023-02-05,2558
2023-02-06,2549
2023-02-07,2463
2023-02-08,2543
2023-02-09,2464
2023-02-10,2323
2023-02-11,2515
2023-02-12,2371
2023-02-13,1917
2023-02-14,2375
2023-02-15,2328
2023-02-16,2080
2023-02-17,1865
2023-02-18,1599
2023-02-19,2020
2023-02-20,1740
2023-02-21,1562
2023-02-22,1586
2023-02-23,1585
2023-02-24,1735
2023-02-25,1852
2023-02-26,1863
2023-02-27,1736
2023-02-28,1463
2023-03-01,1401
2023-03-02,1350
2023-03-03,1279
2023-03-04,1286
2023-03-05,1414
2023-03-06,1228
2023-03-07,1399
2023-03-08,1201
2023-03-09,1105
2023-03-10,1202
2023-03-11,1146
2023-03-12,1034
2023-03-13,1284
2023-03-14,1148
2023-03-15,1274
2023-03-16,1065
2023-03-17,1208
2023-03-18,1188
2023-03-19,1341
2023-03-20,1164
2023-03-21,1133
2023-03-22,1212
2023-03-23,1141
2023-03-24,1186
2023-03-25,1078
2023-03-26,1086
2023-03-27,1068
2023-03-28,630
2023-03-29,746
2023-03-30,869
2023-03-31,878
2023-04-01,1037
2023-04-02,1180
2023-04-03,1210
2023-04-04,1021
2023-04-05,1037
2023-04-06,1095
2023-04-07,1065
2023-04-08,1092
2023-04-09,1173
2023-04-10,940
2023-04-11,1123
2023-04-12,975
2023-04-13,1066
2023-04-14,932
2023-04-15,939
2023-04-16,884
