,Sales Rank
2024-07-28,9097
2024-07-29,7589
2024-07-30,7587
2024-07-31,7583
2024-08-01,8173
2024-08-02,7863
2024-08-03,8412
2024-08-04,9270
2024-08-05,8799
2024-08-06,8579
2024-08-07,8666
2024-08-09,8220
2024-08-11,9327
2024-08-12,8050
2024-08-13,7542
2024-08-14,7598
2024-08-15,7506
2024-08-16,7218
2024-08-17,7609
2024-08-18,9244
2024-08-19,7242
2024-08-20,7877
2024-08-21,7743
2024-08-22,7484
2024-08-23,6951
2024-08-24,8653
2024-08-25,8592
2024-08-26,7700
2024-08-27,7613
2024-08-28,7103
2024-08-29,7050
2024-08-30,6969
2024-08-31,7302
2024-09-01,9128
2024-09-02,8078
2024-09-03,8003
2024-09-04,8385
2024-09-05,8501
2024-09-06,7717
2024-09-07,7847
2024-09-08,8406
2024-09-09,7792
2024-09-10,7428
2024-09-11,7426
2024-09-12,7283
2024-09-13,6726
2024-09-14,7784
2024-09-15,9362
2024-09-16,9128
2024-09-17,7986
2024-09-18,8473
2024-09-19,8540
2024-09-20,7346
2024-09-21,7943
2024-09-22,9967
2024-09-23,7433
2024-09-24,7734
2024-09-25,7905
2024-09-26,9355
2024-09-27,7568
2024-09-28,7962
2024-09-29,8996
2024-09-30,7964
2024-10-01,7854
2024-10-02,7720
2024-10-03,7673
2024-10-04,8035
2024-10-05,7964
2024-10-06,9259
2024-10-07,7762
2024-10-08,9438
2024-10-09,10818
2024-10-10,9543
2024-10-11,8320
2024-10-12,8959
2024-10-13,9874
2024-10-14,7615
2024-10-15,7275
2024-10-16,8544
2024-10-17,8059
2024-10-18,8178
2024-10-19,9437
2024-10-20,10190
2024-10-21,7719
2024-10-22,8168
2024-10-23,7822
2024-10-24,9009
2024-10-25,7064
2024-10-26,7613
2024-10-27,9124
2024-10-28,8032
2024-10-29,7412
2024-10-30,6936
2024-10-31,6869
2024-11-01,7262
2024-11-02,8194
2024-11-03,8723
2024-11-04,7783
2024-11-05,8391
2024-11-06,8200
2024-11-07,7743
2024-11-08,8137
2024-11-09,8116
2024-11-10,8837
2024-11-11,6846
2024-11-12,8249
2024-11-13,7210
2024-11-14,7561
2024-11-15,7408
2024-11-16,8284
2024-11-17,9502
2024-11-18,8244
2024-11-19,8137
2024-11-20,8387
2024-11-21,8470
2024-11-22,8135
2024-11-23,8478
2024-11-24,9096
2024-11-25,8952
2024-11-26,8208
2024-11-27,7898
2024-11-28,8186
2024-11-29,9408
2024-11-30,11093
2024-12-01,12114
2024-12-02,10621
2024-12-03,9154
2024-12-04,9139
2024-12-05,8627
2024-12-06,7776
2024-12-07,8737
2024-12-08,9153
2024-12-09,8357
2024-12-10,7967
2024-12-11,8411
2024-12-12,9554
2024-12-13,8526
2024-12-14,10107
2024-12-15,11160
2024-12-16,9163
2024-12-17,9119
2024-12-18,9733
2024-12-19,8377
2024-12-20,7331
2024-12-21,8689
2024-12-22,9677
2024-12-23,7337
2024-12-24,7617
2024-12-25,6349
2024-12-26,8225
2024-12-27,7479
2024-12-28,9046
2024-12-29,9028
2024-12-30,8259
2024-12-31,7433
2025-01-01,8141
2025-01-02,8389
2025-01-03,8139
2025-01-04,9444
2025-01-05,8962
2025-01-06,8998
2025-01-07,8243
2025-01-08,7958
2025-01-09,7911
2025-01-10,7746
2025-01-11,8603
2025-01-12,8941
