,Sales Rank
2022-12-14,235
2022-12-15,283
2022-12-16,326
2022-12-17,372
2022-12-18,419
2022-12-19,431
2022-12-20,462
2022-12-21,460
2022-12-22,365
2022-12-23,361
2022-12-24,315
2022-12-25,279
2022-12-26,253
2022-12-27,264
2022-12-28,254
2022-12-29,266
2022-12-30,266
2022-12-31,265
2023-01-01,257
2023-01-02,263
2023-01-03,272
2023-01-04,270
2023-01-05,265
2023-01-06,264
2023-01-07,264
2023-01-08,269
2023-01-09,262
2023-01-10,272
2023-01-11,276
2023-01-12,276
2023-01-13,269
2023-01-14,338
2023-01-15,341
2023-01-16,267
2023-01-17,317
2023-01-18,303
2023-01-19,341
2023-01-20,371
2023-01-21,382
2023-01-22,361
2023-01-23,320
2023-01-24,372
2023-01-25,318
2023-01-26,340
2023-01-27,329
2023-01-28,327
2023-01-29,361
2023-01-30,328
2023-01-31,313
2023-02-01,316
2023-02-02,340
2023-02-03,323
2023-02-04,347
2023-02-05,360
2023-02-06,329
2023-02-07,315
2023-02-08,310
2023-02-09,323
2023-02-10,289
2023-02-11,302
2023-02-12,335
2023-02-13,277
2023-02-14,287
2023-02-15,301
2023-02-16,317
2023-02-17,303
2023-02-18,314
2023-02-19,399
2023-02-20,360
2023-02-21,250
2023-02-22,234
2023-02-23,275
2023-02-24,297
2023-02-25,274
2023-02-26,384
2023-02-27,333
2023-02-28,392
2023-03-01,417
2023-03-02,515
2023-03-03,435
2023-03-04,414
2023-03-05,452
2023-03-06,478
2023-03-07,449
2023-03-08,68
2023-03-09,193
2023-03-10,271
2023-03-11,330
2023-03-12,383
2023-03-13,366
2023-03-14,367
2023-03-15,375
2023-03-16,340
2023-03-17,318
2023-03-18,321
2023-03-19,412
2023-03-20,335
2023-03-21,270
2023-03-22,312
2023-03-23,292
2023-03-24,359
2023-03-25,342
2023-03-26,375
2023-03-27,350
2023-03-28,305
2023-03-29,254
2023-03-30,290
2023-03-31,323
2023-04-01,334
2023-04-02,363
2023-04-03,310
2023-04-04,268
2023-04-05,265
2023-04-06,291
2023-04-07,289
2023-04-08,327
2023-04-09,324
2023-04-10,294
2023-04-11,275
2023-04-12,271
2023-04-13,270
2023-04-14,279
2023-04-15,325
2023-04-16,326
2023-04-17,302
2023-04-18,277
2023-04-19,260
2023-04-20,308
2023-04-21,313
2023-04-22,332
2023-04-23,268
2023-04-24,258
2023-04-25,267
