,Sales Rank
2022-12-14,1049
2022-12-15,1099
2022-12-16,1126
2022-12-17,1062
2022-12-18,1062
2022-12-19,1122
2022-12-20,1105
2022-12-21,1138
2022-12-22,1152
2022-12-23,1220
2022-12-24,1088
2022-12-25,1043
2022-12-26,983
2022-12-27,840
2022-12-28,896
2022-12-29,771
2022-12-30,760
2022-12-31,863
2023-01-01,871
2023-01-02,816
2023-01-03,911
2023-01-04,899
2023-01-05,870
2023-01-06,851
2023-01-07,930
2023-01-08,974
2023-01-09,989
2023-01-10,1025
2023-01-11,1064
2023-01-12,1039
2023-01-13,997
2023-01-14,954
2023-01-15,808
2023-01-16,771
2023-01-17,852
2023-01-18,768
2023-01-19,761
2023-01-20,787
2023-01-21,713
2023-01-22,712
2023-01-23,742
2023-01-24,767
2023-01-25,849
2023-01-26,884
2023-01-27,915
2023-01-28,858
2023-01-29,765
2023-01-30,871
2023-01-31,816
2023-02-01,887
2023-02-02,881
2023-02-03,902
2023-02-04,854
2023-02-05,832
2023-02-06,773
2023-02-07,734
2023-02-08,811
2023-02-09,790
2023-02-10,771
2023-02-11,753
2023-02-12,908
2023-02-13,769
2023-02-14,719
2023-02-15,856
2023-02-16,769
2023-02-17,758
2023-02-18,835
2023-02-19,706
2023-02-20,701
2023-02-21,719
2023-02-22,754
2023-02-23,673
2023-02-24,718
2023-02-25,762
2023-02-26,747
2023-02-27,727
2023-02-28,789
2023-03-01,685
2023-03-02,650
2023-03-03,729
2023-03-04,688
2023-03-05,677
2023-03-06,653
2023-03-07,699
2023-03-08,813
2023-03-09,738
2023-03-10,786
2023-03-11,636
2023-03-12,685
2023-03-13,681
2023-03-14,746
2023-03-15,634
2023-03-16,657
2023-03-17,583
2023-03-18,571
2023-03-19,506
2023-03-20,594
2023-03-21,615
2023-03-22,621
2023-03-23,515
2023-03-24,594
2023-03-25,522
2023-03-26,480
2023-03-27,445
2023-03-28,586
2023-03-29,595
2023-03-30,589
2023-03-31,576
2023-04-01,639
2023-04-02,561
2023-04-03,580
2023-04-04,580
2023-04-05,648
2023-04-06,739
2023-04-07,723
2023-04-08,698
2023-04-09,473
2023-04-10,422
2023-04-11,456
2023-04-12,424
2023-04-13,439
2023-04-14,451
2023-04-15,419
2023-04-16,348
2023-04-17,502
2023-04-18,481
2023-04-19,524
2023-04-20,474
2023-04-21,485
2023-04-22,456
2023-04-23,455
