,Sales Rank
2023-01-03,96072
2023-01-04,113789
2023-01-05,124838
2023-01-06,131067
2023-01-07,103000
2023-01-09,126122
2023-01-10,104888
2023-01-11,116904
2023-01-12,135952
2023-01-13,89846
2023-01-14,34808
2023-01-15,52939
2023-01-16,30619
2023-01-17,19952
2023-01-18,20512
2023-01-20,16369
2023-01-21,17902
2023-01-22,15887
2023-01-23,18794
2023-01-24,10879
2023-01-25,13205
2023-01-26,11767
2023-01-27,348
2023-01-28,354
2023-01-29,366
2023-01-30,435
2023-01-31,115
2023-02-01,30
2023-02-02,164
2023-02-03,236
2023-02-04,298
2023-02-05,268
2023-02-06,310
2023-02-07,298
2023-02-08,289
2023-02-09,287
2023-02-10,256
2023-02-11,272
2023-02-12,277
2023-02-13,247
2023-02-14,267
2023-02-15,272
2023-02-16,338
2023-02-17,305
2023-02-18,413
2023-02-19,191
2023-02-20,284
2023-02-21,333
2023-02-22,324
2023-02-23,331
2023-02-24,350
2023-02-25,321
2023-02-26,299
2023-02-27,231
2023-02-28,234
2023-03-01,206
2023-03-02,228
2023-03-03,261
2023-03-04,377
2023-03-05,374
2023-03-06,271
2023-03-07,294
2023-03-08,350
2023-03-09,331
2023-03-10,325
2023-03-11,212
2023-03-12,227
2023-03-13,218
2023-03-14,225
2023-03-15,217
2023-03-16,239
2023-03-17,170
2023-03-18,213
2023-03-19,257
2023-03-20,210
2023-03-21,227
2023-03-22,224
2023-03-23,265
2023-03-24,261
2023-03-25,270
2023-03-26,310
2023-03-27,246
2023-03-28,222
2023-03-29,235
2023-03-30,238
2023-03-31,234
2023-04-01,266
2023-04-02,283
2023-04-03,250
2023-04-04,251
2023-04-05,242
2023-04-06,261
2023-04-07,277
2023-04-08,296
2023-04-09,291
2023-04-10,263
2023-04-11,260
2023-04-12,272
2023-04-13,260
2023-04-14,257
2023-04-15,289
2023-04-16,313
2023-04-17,263
2023-04-18,254
2023-04-19,253
2023-04-20,228
2023-04-21,235
2023-04-22,322
2023-04-23,304
2023-04-24,229
2023-04-25,239
2023-04-26,218
2023-04-27,226
2023-04-28,263
2023-04-29,277
2023-04-30,308
2023-05-01,281
2023-05-02,298
2023-05-03,292
2023-05-04,298
2023-05-05,257
2023-05-06,297
2023-05-07,350
2023-05-08,216
2023-05-09,245
2023-05-10,239
2023-05-11,263
2023-05-12,235
2023-05-13,280
2023-05-14,327
2023-05-15,264
2023-05-16,267
2023-05-17,294
2023-05-18,231
2023-05-19,295
2023-05-20,332
2023-05-21,343
2023-05-22,286
2023-05-23,289
2023-05-24,296
2023-05-25,269
2023-05-26,284
2023-05-27,325
2023-05-28,327
2023-05-30,215
2023-05-31,262
2023-06-01,276
2023-06-02,272
2023-06-03,327
2023-06-04,333
2023-06-05,282
2023-06-06,265
2023-06-07,277
2023-06-08,288
2023-06-09,318
2023-06-10,342
2023-06-11,361
2023-06-12,269
2023-06-13,277
2023-06-14,313
2023-06-15,310
2023-06-16,305
2023-06-17,407
2023-06-18,443
2023-06-19,334
2023-06-20,333
2023-06-21,329
2023-06-22,250
2023-06-23,238
2023-06-24,227
2023-06-25,289
2023-06-26,252
2023-06-27,263
2023-06-28,259
2023-06-29,313
2023-06-30,245
2023-07-01,300
2023-07-02,334
2023-07-03,239
2023-07-04,265
2023-07-05,243
2023-07-06,248
2023-07-07,224
2023-07-08,275
2023-07-09,290
2023-07-10,234
2023-07-11,510
2023-07-12,598
2023-07-13,440
2023-07-14,350
2023-07-15,439
2023-07-16,430
2023-07-17,296
2023-07-18,328
2023-07-19,317
2023-07-20,367
2023-07-21,309
2023-07-22,311
2023-07-23,395
2023-07-24,302
2023-07-25,376
2023-07-26,395
2023-07-27,446
2023-07-28,391
2023-07-29,434
2023-07-30,479
2023-07-31,345
2023-08-02,389
2023-08-03,377
2023-08-04,365
2023-08-05,362
2023-08-06,462
2023-08-07,380
2023-08-08,313
2023-08-09,358
2023-08-10,366
2023-08-11,336
2023-08-12,418
2023-08-13,395
2023-08-14,303
2023-08-15,334
2023-08-16,453
2023-08-17,374
2023-08-18,377
2023-08-19,448
2023-08-20,447
2023-08-21,341
2023-08-22,347
2023-08-23,411
2023-08-24,353
2023-08-25,346
2023-08-26,131
2023-08-27,141
2023-08-28,107
2023-08-29,115
2023-08-30,131
2023-08-31,115
2023-09-01,124
2023-09-02,138
2023-09-03,154
2023-09-04,117
2023-09-05,110
2023-09-06,351
2023-09-07,373
2023-09-08,305
2023-09-09,376
2023-09-10,439
2023-09-11,339
2023-09-12,349
2023-09-13,373
2023-09-14,362
2023-09-15,331
2023-09-16,432
2023-09-17,479
2023-09-18,396
2023-09-19,426
2023-09-20,455
2023-09-21,390
2023-09-22,409
2023-09-23,427
2023-09-24,518
2023-09-25,380
2023-09-26,420
2023-09-27,483
2023-09-28,378
2023-09-29,369
2023-09-30,511
2023-10-01,551
2023-10-02,359
2023-10-03,358
2023-10-04,401
2023-10-05,375
2023-10-06,322
2023-10-07,388
2023-10-08,436
2023-10-09,342
2023-10-10,338
2023-10-11,609
2023-10-12,529
2023-10-13,411
2023-10-14,409
2023-10-15,457
2023-10-16,408
2023-10-17,395
2023-10-18,385
2023-10-19,381
2023-10-20,394
2023-10-21,520
2023-10-22,546
2023-10-23,526
2023-10-24,562
2023-10-25,477
2023-10-26,687
2023-10-27,462
2023-10-28,532
2023-10-29,519
2023-10-30,408
2023-10-31,435
2023-11-01,408
2023-11-02,123
2023-11-03,148
2023-11-04,285
2023-11-05,396
2023-11-06,370
2023-11-07,366
2023-11-08,345
2023-11-09,309
2023-11-10,309
2023-11-11,411
2023-11-12,485
2023-11-13,387
2023-11-14,425
2023-11-15,419
2023-11-16,411
2023-11-17,362
2023-11-18,473
2023-11-19,572
2023-11-20,430
2023-11-21,485
2023-11-22,566
2023-11-23,467
2023-11-24,671
2023-11-25,783
2023-11-26,747
2023-11-27,638
2023-11-28,553
2023-11-29,453
2023-11-30,455
2023-12-01,403
2023-12-02,513
2023-12-03,556
2023-12-04,409
2023-12-05,435
2023-12-06,453
2023-12-07,435
2023-12-08,415
2023-12-09,519
2023-12-10,648
2023-12-11,464
2023-12-12,500
2023-12-13,540
2023-12-14,449
2023-12-15,468
2023-12-16,623
2023-12-17,685
2023-12-18,525
2023-12-19,537
2023-12-20,544
2023-12-21,481
2023-12-22,554
2023-12-23,544
2023-12-24,580
2023-12-25,350
2023-12-26,349
2023-12-27,387
2023-12-28,392
2023-12-29,392
2023-12-30,454
2023-12-31,438
2024-01-01,297
2024-01-02,309
2024-01-03,311
2024-01-04,355
2024-01-05,323
2024-01-06,407
2024-01-07,419
2024-01-08,319
2024-01-09,357
2024-01-10,335
2024-01-11,362
2024-01-12,386
2024-01-13,425
2024-01-14,473
2024-01-15,367
2024-01-16,362
2024-01-17,350
2024-01-18,373
2024-01-19,417
2024-01-20,415
2024-01-21,424
2024-01-22,405
2024-01-23,409
2024-01-24,276
2024-01-25,390
2024-01-26,386
2024-01-27,400
2024-01-28,470
2024-01-29,338
2024-01-30,347
2024-01-31,350
2024-02-01,333
2024-02-02,387
2024-02-03,461
2024-02-04,493
2024-02-05,344
2024-02-06,380
2024-02-07,333
2024-02-08,338
2024-02-09,346
2024-02-10,418
2024-02-11,449
2024-02-12,361
2024-02-13,340
2024-02-14,366
2024-02-15,336
2024-02-16,388
2024-02-17,448
2024-02-18,549
2024-02-19,424
2024-02-20,360
2024-02-21,409
2024-02-22,358
2024-02-23,522
2024-02-24,579
2024-02-25,266
2024-02-26,438
2024-02-27,347
2024-02-28,322
2024-02-29,344
2024-03-01,445
2024-03-02,477
2024-03-03,458
2024-03-04,369
2024-03-05,344
2024-03-06,422
2024-03-07,362
2024-03-08,350
2024-03-09,450
2024-03-10,415
2024-03-11,343
2024-03-12,355
2024-03-13,366
2024-03-14,357
2024-03-15,366
2024-03-16,416
2024-03-17,478
2024-03-18,346
2024-03-19,361
2024-03-20,395
2024-03-21,403
2024-03-22,393
2024-03-23,478
2024-03-24,497
2024-03-25,330
2024-03-26,347
2024-03-27,350
2024-03-28,361
2024-03-29,370
2024-03-30,419
2024-03-31,395
2024-04-01,335
2024-04-02,372
2024-04-03,360
2024-04-04,452
2024-04-05,379
2024-04-06,420
2024-04-07,458
2024-04-08,302
2024-04-09,334
2024-04-10,345
2024-04-11,350
2024-04-12,331
2024-04-13,394
2024-04-14,452
2024-04-15,355
2024-04-16,411
2024-04-17,303
2024-04-18,434
2024-04-19,386
2024-04-20,495
2024-04-21,466
2024-04-22,336
2024-04-23,329
2024-04-24,471
2024-04-25,502
2024-04-26,297
2024-04-27,452
2024-04-28,469
2024-04-29,952
2024-04-30,1062
2024-05-01,1008
2024-05-02,1022
2024-05-03,891
2024-05-04,1074
2024-05-05,1188
2024-05-06,958
2024-05-07,1097
2024-05-08,1125
2024-05-09,1153
2024-05-10,1112
2024-05-11,1194
2024-05-12,1245
2024-05-13,1044
2024-05-14,1038
2024-05-15,1092
2024-05-16,1092
2024-05-17,1130
2024-05-18,1197
2024-05-19,1297
2024-05-20,959
2024-05-21,1010
2024-05-22,1014
2024-05-23,1054
2024-05-24,1122
2024-05-25,1133
2024-05-26,1366
2024-05-27,1113
2024-05-28,1052
2024-05-29,1099
2024-05-30,1048
2024-05-31,946
2024-06-01,1061
2024-06-02,1228
2024-06-03,947
2024-06-04,930
2024-06-05,1009
2024-06-06,1009
2024-06-07,1093
2024-06-08,1117
2024-06-09,1200
2024-06-10,993
2024-06-11,1088
2024-06-12,1072
2024-06-13,1174
2024-06-14,1081
2024-06-15,1207
2024-06-16,1222
2024-06-17,1072
2024-06-18,960
2024-06-19,1047
2024-06-20,1081
2024-06-21,1153
2024-06-22,1259
2024-06-23,1126
2024-06-24,947
2024-06-25,970
2024-06-26,1012
2024-06-27,1089
2024-06-28,1065
2024-06-29,1174
2024-06-30,1319
2024-07-01,959
2024-07-02,977
2024-07-03,968
2024-07-04,1097
2024-07-05,1000
2024-07-06,1151
2024-07-07,1291
2024-07-08,1058
2024-07-09,1086
2024-07-10,981
2024-07-11,1065
2024-07-12,1127
2024-07-13,1213
2024-07-14,1160
2024-07-15,905
2024-07-16,1514
2024-07-17,1662
2024-07-18,1522
2024-07-19,1259
2024-07-20,1317
2024-07-21,1488
2024-07-22,972
2024-07-23,1042
2024-07-24,1071
2024-07-25,1044
2024-07-26,1016
2024-07-27,1158
2024-07-28,1152
2024-07-29,1023
2024-07-30,1049
2024-07-31,1029
2024-08-01,1088
2024-08-02,1105
2024-08-03,1119
2024-08-04,1393
2024-08-05,1074
2024-08-06,1147
2024-08-07,1133
2024-08-09,1048
2024-08-10,1262
2024-08-11,1323
2024-08-12,925
2024-08-13,1030
2024-08-14,1035
2024-08-15,1088
2024-08-16,966
2024-08-17,1183
2024-08-18,1271
2024-08-19,1004
2024-08-20,1202
2024-08-21,918
2024-08-22,476
2024-08-23,425
2024-08-24,484
2024-08-25,516
2024-08-26,411
2024-08-27,519
2024-08-28,353
2024-08-29,490
2024-08-30,548
2024-08-31,495
2024-09-01,573
2024-09-02,450
2024-09-03,443
2024-09-04,434
2024-09-05,474
2024-09-06,582
