,Sales Rank
2023-02-09,2684
2023-02-10,2345
2023-02-11,2583
2023-02-12,2353
2023-02-13,2314
2023-02-14,2463
2023-02-15,1721
2023-02-16,2038
2023-02-17,2061
2023-02-18,2409
2023-02-19,2319
2023-02-20,1894
2023-02-21,1599
2023-02-22,1427
2023-02-23,1237
2023-02-24,998
2023-02-25,945
2023-02-26,885
2023-02-27,1046
2023-02-28,1216
2023-03-01,1368
2023-03-02,1053
2023-03-03,1039
2023-03-04,1218
2023-03-05,1196
2023-03-06,1351
2023-03-07,1338
2023-03-08,1291
2023-03-09,1245
2023-03-10,1232
2023-03-11,1316
2023-03-12,909
2023-03-13,987
2023-03-14,1234
2023-03-15,1280
2023-03-16,1402
2023-03-17,1349
2023-03-18,1450
2023-03-19,803
2023-03-20,1292
2023-03-21,1134
2023-03-22,1334
2023-03-23,1571
2023-03-24,1763
2023-03-25,1710
2023-03-26,1925
2023-03-27,1280
2023-03-28,1145
2023-03-29,1169
2023-03-30,967
2023-03-31,948
2023-04-01,693
2023-04-02,673
2023-04-03,920
2023-04-04,1342
2023-04-05,1396
2023-04-06,1440
2023-04-07,1499
2023-04-08,1523
2023-04-09,1700
2023-04-10,1495
2023-04-11,1685
2023-04-12,1309
2023-04-13,1708
2023-04-14,1606
2023-04-15,1484
2023-04-16,1368
2023-04-17,1757
2023-04-18,1639
2023-04-19,1527
2023-04-20,1458
2023-04-21,1427
2023-04-22,1210
2023-04-23,861
2023-04-24,1029
2023-04-25,1109
2023-04-26,1117
2023-04-27,1066
2023-04-28,803
2023-04-29,714
2023-04-30,564
2023-05-01,775
2023-05-02,828
2023-05-03,1002
2023-05-04,1095
2023-05-05,1159
2023-05-06,1075
2023-05-07,1163
2023-05-08,1213
2023-05-09,1041
2023-05-10,1087
2023-05-11,1142
2023-05-12,1236
2023-05-13,1081
2023-05-14,1070
2023-05-15,1153
2023-05-16,1079
2023-05-17,900
2023-05-18,1081
2023-05-19,1251
2023-05-20,1202
2023-05-21,1128
2023-05-22,1019
2023-05-23,855
2023-05-24,732
2023-05-25,742
2023-05-26,653
2023-05-27,603
2023-05-28,606
2023-05-30,676
2023-05-31,850
2023-06-01,885
2023-06-02,1049
2023-06-03,1186
2023-06-04,1162
2023-06-05,1355
2023-06-06,1400
2023-06-07,1444
2023-06-08,1244
2023-06-09,1150
2023-06-10,1158
2023-06-11,903
2023-06-12,980
2023-06-13,977
2023-06-14,1152
2023-06-15,1111
2023-06-16,1016
2023-06-17,983
2023-06-18,904
2023-06-19,952
2023-06-20,838
2023-06-21,789
2023-06-22,784
2023-06-23,793
2023-06-24,842
2023-06-25,751
2023-06-26,777
2023-06-27,828
2023-06-28,919
2023-06-29,842
2023-06-30,979
2023-07-01,801
2023-07-02,804
2023-07-03,960
2023-07-04,995
2023-07-05,1061
2023-07-06,920
2023-07-07,998
2023-07-08,1001
2023-07-09,1128
2023-07-10,1091
2023-07-11,569
2023-07-12,385
2023-07-13,464
2023-07-14,642
2023-07-15,735
2023-07-16,780
2023-07-17,947
2023-07-18,919
2023-07-19,919
2023-07-20,998
2023-07-21,861
2023-07-22,571
2023-07-23,667
2023-07-24,686
2023-07-25,708
2023-07-26,721
2023-07-27,689
2023-07-28,676
2023-07-29,649
2023-07-30,645
2023-07-31,688
2023-08-01,902
2023-08-02,1063
2023-08-03,773
2023-08-04,859
2023-08-05,869
2023-08-06,844
2023-08-07,807
2023-08-08,1067
2023-08-09,976
2023-08-10,1035
2023-08-11,1157
2023-08-12,968
2023-08-13,1032
2023-08-14,1278
2023-08-15,1188
2023-08-16,1137
2023-08-17,1200
2023-08-18,861
2023-08-19,830
2023-08-20,913
2023-08-21,999
2023-08-22,1097
2023-08-23,1094
2023-08-24,1130
2023-08-25,1088
2023-08-26,913
2023-08-27,824
2023-08-28,940
2023-08-29,1000
2023-08-30,982
2023-08-31,1067
2023-09-01,1111
2023-09-02,1191
2023-09-03,1227
2023-09-04,1099
2023-09-05,1194
2023-09-06,1265
2023-09-07,1208
2023-09-08,1147
2023-09-09,987
2023-09-10,956
2023-09-11,1083
2023-09-12,1215
2023-09-13,1175
2023-09-14,1104
2023-09-15,1250
2023-09-16,1076
2023-09-17,989
2023-09-18,1184
2023-09-19,1106
2023-09-20,1105
2023-09-21,1103
2023-09-22,1069
2023-09-23,1128
2023-09-24,1109
2023-09-25,1131
2023-09-26,1083
2023-09-27,1026
2023-09-28,878
2023-09-29,857
2023-09-30,909
2023-10-01,852
2023-10-02,965
2023-10-03,1008
2023-10-04,950
2023-10-05,959
2023-10-06,866
2023-10-07,836
2023-10-08,849
2023-10-09,862
2023-10-10,363
2023-10-11,348
2023-10-12,417
2023-10-13,560
2023-10-14,514
2023-10-15,552
2023-10-16,638
2023-10-17,712
2023-10-18,709
2023-10-19,788
2023-10-20,818
2023-10-21,798
2023-10-22,739
2023-10-23,865
2023-10-24,892
2023-10-25,827
2023-10-26,888
2023-10-27,910
2023-10-28,872
2023-10-29,769
2023-10-30,925
2023-10-31,817
2023-11-01,886
2023-11-02,883
2023-11-03,873
2023-11-04,838
2023-11-05,858
2023-11-06,858
2023-11-07,873
2023-11-08,1056
2023-11-09,1024
2023-11-10,918
2023-11-11,845
2023-11-12,794
2023-11-13,749
2023-11-14,829
2023-11-15,880
2023-11-16,1012
2023-11-17,964
2023-11-18,930
2023-11-19,874
2023-11-20,1130
2023-11-21,976
2023-11-22,823
2023-11-23,771
2023-11-24,332
2023-11-25,340
2023-11-26,445
2023-11-27,373
2023-11-28,346
2023-11-29,506
2023-11-30,502
2023-12-01,501
2023-12-02,468
2023-12-03,445
2023-12-04,574
2023-12-05,661
2023-12-06,630
2023-12-07,772
2023-12-08,739
2023-12-09,720
2023-12-10,679
2023-12-11,822
2023-12-12,827
2023-12-13,782
2023-12-14,804
2023-12-15,685
2023-12-16,632
2023-12-17,572
2023-12-18,655
2023-12-19,562
2023-12-20,610
2023-12-21,680
2023-12-22,598
2023-12-23,536
2023-12-24,561
2023-12-25,779
2023-12-26,755
2023-12-27,634
2023-12-28,630
2023-12-29,613
2023-12-30,467
2023-12-31,563
2024-01-01,614
2024-01-02,660
2024-01-03,682
