,Sales Rank
2023-01-26,93497
2023-01-27,587
2023-01-28,605
2023-01-29,645
2023-01-30,652
2023-01-31,609
2023-02-01,667
2023-02-02,632
2023-02-03,653
2023-02-04,576
2023-02-05,573
2023-02-06,593
2023-02-07,601
2023-02-08,631
2023-02-09,631
2023-02-10,683
2023-02-11,632
2023-02-12,585
2023-02-13,484
2023-02-14,484
2023-02-15,563
2023-02-16,578
2023-02-17,610
2023-02-18,624
2023-02-19,525
2023-02-20,429
2023-02-21,488
2023-02-22,474
2023-02-23,398
2023-02-24,395
2023-02-25,322
2023-02-26,297
2023-02-27,374
2023-02-28,319
2023-03-01,318
2023-03-02,284
2023-03-03,335
2023-03-04,265
2023-03-05,229
2023-03-06,334
2023-03-07,304
2023-03-08,305
2023-03-09,368
2023-03-10,331
2023-03-11,377
2023-03-12,368
2023-03-13,385
2023-03-14,455
2023-03-15,448
2023-03-16,447
2023-03-17,474
2023-03-18,461
2023-03-19,448
2023-03-20,413
2023-03-21,386
2023-03-22,328
2023-03-23,333
2023-03-24,303
2023-03-25,296
2023-03-26,275
2023-03-27,340
2023-03-28,334
2023-03-29,360
2023-03-30,417
2023-03-31,454
2023-04-01,485
2023-04-02,442
2023-04-03,556
2023-04-04,491
2023-04-05,445
2023-04-06,501
2023-04-07,517
2023-04-08,513
2023-04-09,444
2023-04-10,477
2023-04-11,429
2023-04-12,478
2023-04-13,437
2023-04-14,476
2023-04-15,431
2023-04-16,385
2023-04-17,442
2023-04-18,449
2023-04-19,430
2023-04-20,424
2023-04-21,424
2023-04-22,414
2023-04-23,460
2023-04-24,463
2023-04-25,398
2023-04-26,353
2023-04-27,320
2023-04-28,322
2023-04-29,288
2023-04-30,262
2023-05-01,224
2023-05-02,242
2023-05-03,267
2023-05-04,243
2023-05-05,702
2023-05-06,626
2023-05-07,527
2023-05-08,870
2023-05-09,789
2023-05-10,787
2023-05-11,840
2023-05-12,948
2023-05-13,931
2023-05-14,903
2023-05-15,877
2023-05-16,932
2023-05-17,984
2023-05-18,958
2023-05-19,962
2023-05-20,911
2023-05-21,830
2023-05-22,765
2023-05-23,858
2023-05-24,838
2023-05-25,840
2023-05-26,935
2023-05-27,924
2023-05-28,963
2023-05-31,901
2023-06-01,902
2023-06-02,933
2023-06-03,991
2023-06-04,853
2023-06-05,776
2023-06-06,704
2023-06-07,641
2023-06-08,566
2023-06-09,547
2023-06-10,504
2023-06-11,483
2023-06-12,738
2023-06-13,684
2023-06-14,713
2023-06-15,706
2023-06-16,739
2023-06-17,898
2023-06-18,762
2023-06-19,1055
2023-06-20,1050
2023-06-21,1036
2023-06-22,520
2023-06-23,1261
2023-06-24,1400
2023-06-25,1378
2023-06-26,1293
2023-06-27,1390
2023-06-28,687
2023-06-29,449
2023-06-30,997
2023-07-01,1064
2023-07-02,976
2023-07-03,1000
2023-07-04,556
2023-07-05,607
2023-07-06,619
2023-07-07,681
2023-07-08,647
2023-07-09,538
2023-07-10,577
2023-07-11,792
2023-07-12,938
2023-07-13,788
2023-07-14,671
2023-07-15,620
2023-07-16,544
2023-07-17,534
2023-07-18,555
2023-07-19,550
2023-07-20,591
2023-07-21,558
2023-07-22,646
2023-07-23,608
2023-07-24,423
2023-07-25,436
2023-07-26,492
2023-07-27,457
2023-07-28,498
2023-07-29,470
2023-07-30,434
2023-07-31,501
2023-08-01,488
2023-08-02,525
2023-08-03,515
2023-08-05,566
2023-08-06,598
2023-08-07,552
2023-08-08,597
2023-08-09,648
2023-08-10,642
2023-08-11,660
2023-08-12,668
2023-08-13,563
2023-08-14,716
2023-08-15,585
2023-08-16,15491
2023-08-17,592
2023-08-18,628
2023-08-19,647
2023-08-20,545
2023-08-21,638
2023-08-22,565
2023-08-23,545
2023-08-24,564
2023-08-25,669
2023-08-26,671
2023-08-27,597
2023-08-28,636
2023-08-29,12485
2023-08-30,599
2023-08-31,605
2023-09-01,623
2023-09-02,660
2023-09-03,577
2023-09-04,393
2023-09-05,486
2023-09-06,494
2023-09-07,482
2023-09-08,494
2023-09-09,302
2023-09-10,244
2023-09-11,292
2023-09-12,530
2023-09-13,446
2023-09-14,460
2023-09-15,366
2023-09-16,375
2023-09-17,366
2023-09-18,350
2023-09-19,376
2023-09-20,414
2023-09-21,404
2023-09-22,470
2023-09-23,513
2023-09-24,423
2023-09-25,412
2023-09-26,445
2023-09-27,468
2023-09-28,431
2023-09-29,415
2023-09-30,475
2023-10-01,401
2023-10-02,460
2023-10-03,444
2023-10-04,448
2023-10-05,461
2023-10-06,591
2023-10-07,527
2023-10-08,451
2023-10-09,543
2023-10-10,584
2023-10-11,814
2023-10-12,677
2023-10-13,639
2023-10-14,618
2023-10-15,474
2023-10-16,13133
2023-10-17,562
2023-10-18,500
2023-10-19,462
2023-10-20,504
2023-10-21,466
2023-10-22,461
2023-10-23,471
2023-10-24,371
2023-10-25,410
2023-10-26,448
2023-10-27,448
2023-10-28,441
2023-10-29,352
2023-10-30,9538
2023-10-31,350
2023-11-01,365
2023-11-02,387
2023-11-03,380
2023-11-04,381
2023-11-05,342
2023-11-06,361
2023-11-07,351
2023-11-08,375
2023-11-09,370
2023-11-10,384
2023-11-11,395
2023-11-12,314
2023-11-13,341
2023-11-14,356
2023-11-15,323
2023-11-16,345
2023-11-17,441
2023-11-18,429
2023-11-19,372
2023-11-20,406
2023-11-21,490
2023-11-22,474
2023-11-23,533
2023-11-24,781
2023-11-25,785
2023-11-26,614
2023-11-27,729
2023-11-28,613
2023-11-29,596
2023-11-30,588
2023-12-01,620
2023-12-02,582
2023-12-03,535
2023-12-04,517
2023-12-05,515
2023-12-06,536
2023-12-07,492
2023-12-08,526
2023-12-09,519
2023-12-10,476
2023-12-11,541
2023-12-12,511
2023-12-13,473
2023-12-14,475
2023-12-15,513
2023-12-16,524
2023-12-17,403
2023-12-18,499
2023-12-19,489
2023-12-20,601
2023-12-21,514
2023-12-22,555
2023-12-23,477
2023-12-24,333
2023-12-25,381
2023-12-26,351
2023-12-27,382
2023-12-28,367
2023-12-29,428
2023-12-30,420
2023-12-31,308
2024-01-01,340
2024-01-02,326
2024-01-03,344
2024-01-04,372
2024-01-05,369
2024-01-06,377
2024-01-07,325
2024-01-08,415
2024-01-09,428
2024-01-10,479
2024-01-11,488
2024-01-12,489
2024-01-13,450
2024-01-14,447
2024-01-15,433
2024-01-16,453
2024-01-17,446
2024-01-18,413
2024-01-19,429
2024-01-20,420
2024-01-21,378
2024-01-22,410
2024-01-23,416
2024-01-24,447
2024-01-25,491
2024-01-26,513
2024-01-27,487
2024-01-28,392
2024-01-29,372
2024-01-30,342
2024-01-31,344
2024-02-01,312
2024-02-02,12417
2024-02-03,9679
2024-02-04,9532
2024-02-05,7298
2024-02-06,8394
2024-02-07,8350
2024-02-08,6951
2024-02-09,7710
2024-02-10,8131
2024-02-11,8113
2024-02-12,8690
2024-02-13,378
2024-02-14,303
2024-02-15,364
2024-02-16,449
2024-02-17,478
2024-02-18,418
2024-02-19,357
2024-02-20,337
