,Sales Rank
2023-03-17,74735
2023-03-18,103063
2023-03-19,119494
2023-03-20,136261
2023-03-22,166975
2023-03-23,193767
2023-03-26,220815
2023-03-28,235599
2023-03-29,243689
2023-03-31,249512
2023-04-03,264826
2023-04-04,272121
2023-04-07,284681
2023-04-09,293339
2023-04-11,302982
2023-04-12,309741
2023-04-16,326184
2023-04-18,334380
2023-04-25,358840
2023-04-26,362253
2023-04-27,369499
2023-04-30,376100
2023-05-02,384076
2023-05-03,386732
2023-05-05,389737
2023-05-08,399711
2023-05-09,401895
2023-05-10,403905
2023-05-14,409419
2023-05-16,413329
2023-05-19,416822
2023-05-21,418370
2023-05-22,418755
2023-05-23,420603
2023-05-25,422267
2023-05-26,423112
2023-05-27,423005
2023-05-28,423574
2023-06-03,427502
2023-06-05,428599
2023-06-06,429172
2023-06-07,429714
2023-06-09,430580
2023-06-10,430784
2023-06-11,73633
2023-06-12,69226
2023-06-13,88792
2023-06-15,128263
2023-06-18,158268
2023-06-20,174693
2023-06-26,207279
2023-06-27,210156
2023-07-03,241855
2023-07-04,243191
2023-07-05,250979
2023-07-08,261734
2023-07-10,271474
2023-07-11,278145
2023-07-14,292751
2023-07-17,303830
2023-07-18,307479
2023-07-19,308897
2023-07-20,314384
2023-07-21,315686
2023-07-24,326205
2023-07-25,329428
2023-07-26,331871
2023-07-29,338180
2023-07-31,342281
2023-08-07,354593
2023-08-08,356608
2023-08-10,89533
2023-08-11,101894
2023-08-12,70243
2023-08-13,93187
2023-08-14,91888
2023-08-15,65849
2023-08-16,72989
2023-08-17,89648
2023-08-18,52018
2023-08-19,48852
2023-08-20,82815
2023-08-21,37968
2023-08-22,68659
2023-08-23,56118
2023-08-24,61008
2023-08-25,50744
2023-08-26,48971
2023-08-27,47633
2023-08-28,57755
2023-08-29,81749
2023-08-30,99979
2023-08-31,105215
2023-09-01,116066
2023-09-02,58730
2023-09-03,58320
2023-09-04,62634
2023-09-05,67188
2023-09-06,87857
2023-09-07,75187
2023-09-08,56343
2023-09-09,88141
2023-09-10,98541
2023-09-11,50505
2023-09-12,78161
2023-09-13,84397
2023-09-14,39479
2023-09-15,47626
2023-09-16,53617
2023-09-17,114
2023-09-18,121
2023-09-19,132
2023-09-20,125
2023-09-21,144
2023-09-22,158
2023-09-23,176
2023-09-24,181
2023-09-25,187
2023-09-26,187
2023-09-27,193
2023-09-28,183
2023-09-29,158
2023-09-30,176
2023-10-01,175
2023-10-02,174
2023-10-03,172
2023-10-04,166
2023-10-05,172
2023-10-06,160
2023-10-07,146
2023-10-08,165
2023-10-09,155
2023-10-10,143
2023-10-11,219
2023-10-12,186
2023-10-13,130
2023-10-14,122
2023-10-15,107
2023-10-16,96
2023-10-17,120
2023-10-18,107
2023-10-19,97
2023-10-20,100
2023-10-21,94
2023-10-22,101
2023-10-23,99
2023-10-24,97
2023-10-25,111
2023-10-26,90
2023-10-27,90
2023-10-28,75
2023-10-29,78
2023-10-30,75
2023-10-31,80
2023-11-01,73
2023-11-02,67
2023-11-03,67
2023-11-04,76
2023-11-05,72
2023-11-06,65
2023-11-07,69
2023-11-08,57
2023-11-09,60
2023-11-10,54
2023-11-11,57
2023-11-12,60
2023-11-13,55
2023-11-14,59
2023-11-15,58
2023-11-16,62
2023-11-17,76
2023-11-18,81
2023-11-19,82
2023-11-20,78
2023-11-21,84
2023-11-22,92
2023-11-23,128
2023-11-24,182
2023-11-25,198
2023-11-26,178
2023-11-27,189
2023-11-28,149
2023-11-29,114
2023-11-30,96
2023-12-01,73
2023-12-02,68
2023-12-03,71
2023-12-04,86
2023-12-05,87
2023-12-06,82
2023-12-07,87
2023-12-08,90
2023-12-09,89
2023-12-10,96
2023-12-11,97
2023-12-12,113
2023-12-13,107
2023-12-14,104
2023-12-15,116
2023-12-16,138
2023-12-17,147
2023-12-18,144
2023-12-19,130
2023-12-20,119
2023-12-21,117
2023-12-22,108
2023-12-23,112
2023-12-24,109
2023-12-25,112
2023-12-26,89
2023-12-27,77
2023-12-28,78
2023-12-29,68
2023-12-30,66
2023-12-31,74
2024-01-01,81
2024-01-02,80
2024-01-03,72
2024-01-04,69
2024-01-05,66
2024-01-06,64
2024-01-07,82
2024-01-08,82
2024-01-09,72
2024-01-10,64
2024-01-11,66
2024-01-12,64
2024-01-13,56
2024-01-14,58
2024-01-15,61
2024-01-16,67
2024-01-17,67
2024-01-18,70
2024-01-19,69
2024-01-20,72
2024-01-21,75
2024-01-22,60
2024-01-23,63
2024-01-24,59
2024-01-25,57
2024-01-26,51
2024-01-27,58
2024-01-28,61
2024-01-29,57
2024-01-30,60
2024-01-31,54
2024-02-01,57
2024-02-02,59
2024-02-03,55
2024-02-04,69
2024-02-05,59
2024-02-06,65
2024-02-07,62
2024-02-08,63
2024-02-09,63
2024-02-10,65
2024-02-11,79
2024-02-12,80
2024-02-13,82
2024-02-14,88
2024-02-15,73
2024-02-16,69
2024-02-17,70
2024-02-18,79
2024-02-19,76
2024-02-20,71
2024-02-21,75
2024-02-22,78
2024-02-23,74
2024-02-24,79
2024-02-25,82
2024-02-26,83
2024-02-27,68
2024-02-28,63
2024-03-01,57
2024-03-02,65
2024-03-03,76
2024-03-04,66
2024-03-05,72
2024-03-08,65
2024-03-09,67
2024-03-10,71
2024-03-11,70
2024-03-12,71
2024-03-13,77
2024-03-14,79
2024-03-15,73
2024-03-16,74
2024-03-18,83
2024-03-20,91
2024-03-21,103
2024-03-22,92
2024-03-23,93
2024-03-24,102
2024-03-25,101
2024-03-26,89
2024-03-27,80
2024-03-28,78
2024-03-29,74
2024-03-30,76
2024-03-31,79
2024-04-01,75
2024-04-03,69
2024-04-04,68
2024-04-05,71
2024-04-06,72
2024-04-08,83
2024-04-09,93
2024-04-11,95
2024-04-12,96
2024-04-13,113
2024-04-14,109
2024-04-15,114
2024-04-16,108
2024-04-17,124
2024-04-18,118
2024-04-19,116
2024-04-20,118
2024-04-21,122
2024-04-22,117
2024-04-23,120
2024-04-24,131
2024-04-25,120
2024-04-26,122
2024-04-27,116
2024-04-28,130
2024-04-29,126
2024-04-30,108
2024-05-01,105
2024-05-02,111
2024-05-03,86
2024-05-04,96
2024-05-05,98
2024-05-06,95
2024-05-07,134
2024-05-08,140
2024-05-09,109
2024-05-10,95
2024-05-11,94
2024-05-12,103
2024-05-13,98
2024-05-14,84
2024-05-15,85
2024-05-16,74
2024-05-17,73
2024-05-18,66
2024-05-19,76
2024-05-20,73
2024-05-21,67
2024-05-22,68
2024-05-23,64
2024-05-24,61
2024-05-25,69
2024-05-26,68
2024-05-27,76
2024-05-28,73
2024-05-29,63
2024-05-30,65
2024-05-31,57
2024-06-01,58
2024-06-02,62
2024-06-03,58
2024-06-04,60
2024-06-05,76
2024-06-06,73
2024-06-07,74
2024-06-08,78
2024-06-09,88
2024-06-10,88
2024-06-11,86
2024-06-12,85
2024-06-13,83
2024-06-14,86
2024-06-15,85
2024-06-16,97
2024-06-17,91
2024-06-18,84
2024-06-19,81
2024-06-20,76
2024-06-21,73
2024-06-22,77
2024-06-23,88
2024-06-24,81
2024-06-25,74
2024-06-26,81
2024-06-27,77
2024-06-28,74
2024-06-29,81
2024-06-30,87
2024-07-01,76
2024-07-02,76
