,Sales Rank
2023-05-03,41403
2023-05-04,42391
2023-05-05,27904
2023-05-06,25050
2023-05-07,37170
2023-05-08,40144
2023-05-09,56348
2023-05-10,55133
2023-05-11,50811
2023-05-12,64836
2023-05-13,48688
2023-05-14,36878
2023-05-15,25094
2023-05-16,24846
2023-05-17,327
2023-05-18,335
2023-05-19,335
2023-05-20,327
2023-05-21,342
2023-05-22,358
2023-05-23,355
2023-05-24,330
2023-05-25,344
2023-05-26,337
2023-05-27,354
2023-05-28,401
2023-05-31,325
2023-06-01,344
2023-06-02,367
2023-06-03,388
2023-06-04,450
2023-06-05,445
2023-06-06,427
2023-06-07,458
2023-06-08,446
2023-06-09,454
2023-06-10,506
2023-06-11,493
2023-06-12,421
2023-06-13,377
2023-06-14,415
2023-06-15,451
2023-06-16,399
2023-06-17,363
2023-06-18,369
2023-06-19,419
2023-06-20,394
2023-06-21,365
2023-06-22,406
2023-06-23,399
2023-06-24,331
2023-06-25,350
2023-06-26,364
2023-06-28,336
2023-06-29,404
2023-06-30,360
2023-07-01,318
2023-07-02,356
2023-07-03,335
2023-07-04,271
2023-07-05,361
2023-07-06,416
2023-07-07,374
2023-07-08,336
2023-07-09,339
2023-07-10,324
2023-07-11,247
2023-07-12,137
2023-07-13,119
2023-07-14,204
2023-07-15,246
2023-07-16,340
2023-07-17,328
2023-07-18,379
2023-07-19,401
2023-07-20,342
2023-07-21,384
2023-07-22,300
2023-07-23,351
2023-07-24,362
2023-07-25,412
2023-07-26,378
2023-07-27,387
2023-07-28,418
2023-07-29,410
2023-07-30,443
2023-07-31,421
2023-08-01,363
2023-08-02,355
2023-08-03,404
2023-08-04,402
2023-08-05,390
2023-08-06,377
2023-08-07,360
2023-08-08,343
2023-08-09,334
2023-08-10,329
2023-08-11,313
2023-08-12,300
2023-08-13,304
2023-08-14,318
2023-08-15,335
2023-08-16,360
2023-08-17,342
2023-08-18,333
2023-08-19,327
2023-08-20,330
2023-08-21,275
2023-08-22,246
2023-08-23,267
2023-08-24,244
2023-08-25,271
2023-08-26,272
2023-08-27,249
2023-08-28,272
2023-08-29,84
2023-08-30,193
2023-08-31,195
2023-09-01,210
2023-09-02,231
2023-09-03,258
2023-09-04,258
2023-09-05,228
2023-09-06,277
2023-09-07,269
2023-09-08,232
2023-09-09,230
2023-09-10,253
2023-09-11,236
2023-09-12,228
2023-09-13,236
2023-09-14,250
2023-09-15,219
2023-09-16,219
2023-09-17,231
2023-09-18,235
2023-09-19,230
2023-09-20,230
2023-09-21,252
2023-09-22,239
2023-09-23,242
2023-09-24,257
2023-09-25,236
2023-09-26,208
2023-09-27,212
2023-09-28,183
2023-09-29,177
2023-09-30,182
2023-10-01,200
2023-10-02,190
2023-10-03,195
2023-10-04,190
2023-10-05,185
2023-10-06,155
2023-10-07,156
2023-10-08,170
2023-10-09,196
2023-10-10,174
2023-10-11,125
2023-10-12,90
2023-10-13,117
2023-10-14,136
2023-10-15,138
2023-10-16,165
2023-10-17,196
2023-10-18,182
2023-10-19,176
2023-10-20,167
2023-10-21,155
2023-10-22,165
2023-10-23,183
2023-10-24,192
2023-10-25,169
2023-10-26,168
2023-10-27,160
2023-10-28,159
2023-10-29,199
2023-10-30,197
2023-10-31,193
2023-11-01,200
2023-11-02,183
2023-11-03,185
2023-11-04,193
2023-11-05,192
2023-11-06,202
2023-11-07,206
2023-11-08,178
2023-11-09,187
2023-11-10,190
2023-11-11,162
2023-11-12,191
2023-11-13,206
2023-11-14,167
2023-11-15,184
2023-11-16,188
2023-11-17,186
2023-11-18,203
2023-11-19,207
2023-11-20,215
2023-11-21,220
2023-11-22,227
2023-11-23,197
2023-11-24,173
2023-11-25,162
2023-11-26,186
2023-11-27,196
2023-11-28,181
2023-11-29,193
2023-11-30,209
2023-12-01,184
2023-12-02,158
2023-12-03,161
2023-12-04,159
2023-12-05,150
2023-12-06,164
2023-12-07,151
2023-12-08,118
2023-12-09,126
2023-12-10,122
2023-12-11,134
2023-12-12,110
2023-12-13,104
2023-12-14,96
2023-12-15,86
2023-12-16,87
2023-12-17,89
2023-12-18,98
2023-12-19,106
2023-12-20,103
2023-12-21,100
2023-12-22,98
2023-12-23,97
2023-12-24,101
2023-12-25,110
2023-12-26,138
2023-12-27,128
2023-12-28,143
2023-12-29,132
2023-12-30,132
2023-12-31,126
2024-01-01,136
2024-01-02,140
2024-01-03,130
2024-01-04,125
2024-01-05,129
2024-01-06,126
2024-01-07,133
2024-01-08,140
2024-01-09,120
2024-01-10,131
2024-01-11,131
2024-01-12,132
2024-01-13,135
2024-01-14,138
2024-01-15,154
2024-01-16,154
2024-01-17,127
2024-01-18,135
2024-01-19,111
2024-01-20,134
2024-01-21,107
2024-01-22,114
2024-01-23,102
2024-01-24,100
2024-01-25,112
2024-01-26,114
2024-01-27,103
2024-01-28,130
2024-01-29,125
2024-01-30,134
2024-01-31,157
2024-02-01,143
2024-02-02,127
2024-02-03,129
2024-02-04,141
2024-02-05,125
2024-02-06,126
2024-02-07,117
2024-02-08,133
2024-02-09,119
2024-02-10,114
2024-02-11,123
2024-02-12,132
2024-02-13,127
2024-02-14,135
2024-02-15,133
2024-02-16,123
2024-02-17,129
2024-02-18,114
2024-02-19,120
2024-02-20,127
2024-02-21,118
2024-02-22,129
2024-02-23,129
2024-02-24,119
2024-02-25,101
2024-02-26,111
2024-02-27,113
2024-02-28,126
2024-02-29,128
2024-03-01,120
2024-03-02,118
2024-03-03,138
2024-03-04,135
2024-03-05,115
2024-03-06,130
2024-03-07,133
2024-03-08,129
2024-03-09,131
2024-03-10,133
2024-03-11,121
2024-03-12,85
2024-03-13,88
2024-03-14,99
2024-03-15,101
2024-03-16,103
2024-03-17,123
2024-03-18,116
2024-03-19,120
2024-03-20,119
2024-03-21,103
2024-03-22,96
2024-03-23,105
2024-03-24,108
2024-03-25,118
2024-03-26,113
2024-03-27,129
2024-03-28,110
2024-03-29,100
2024-03-30,89
2024-03-31,88
2024-04-01,100
2024-04-02,98
2024-04-03,98
2024-04-04,97
2024-04-05,89
2024-04-06,97
2024-04-07,100
2024-04-08,106
2024-04-09,96
2024-04-10,97
2024-04-11,106
2024-04-12,97
2024-04-13,103
2024-04-14,101
2024-04-15,113
2024-04-16,119
2024-04-17,115
2024-04-18,116
2024-04-19,108
2024-04-20,108
2024-04-21,114
2024-04-22,106
2024-04-23,115
2024-04-24,103
2024-04-25,104
2024-04-26,84
2024-04-27,89
2024-04-28,105
2024-04-29,105
2024-04-30,3994
2024-05-01,3633
2024-05-02,2449
2024-05-03,2491
2024-05-04,2244
2024-05-05,2512
2024-05-06,2314
2024-05-07,1520
2024-05-08,1420
2024-05-09,1647
2024-05-10,1764
2024-05-11,1961
2024-05-12,1909
2024-05-13,1999
2024-05-14,941
2024-05-15,991
2024-05-16,1018
2024-05-17,1005
2024-05-18,1066
2024-05-19,1048
2024-05-20,1151
2024-05-21,1157
2024-05-22,1175
2024-05-23,1119
2024-05-24,1107
2024-05-25,1024
2024-05-26,962
2024-05-27,1011
2024-05-28,1042
2024-05-29,955
2024-05-30,743
2024-05-31,781
2024-06-01,943
2024-06-02,964
2024-06-03,826
2024-06-04,763
2024-06-05,956
2024-06-06,891
2024-06-07,884
2024-06-08,855
2024-06-09,916
2024-06-10,885
2024-06-11,967
2024-06-12,1037
2024-06-13,1033
2024-06-14,752
2024-06-15,810
2024-06-16,838
2024-06-17,855
2024-06-18,858
2024-06-19,861
2024-06-20,904
2024-06-21,801
2024-06-22,871
2024-06-23,1020
2024-06-24,963
2024-06-25,1011
2024-06-26,710
2024-06-27,632
2024-06-28,675
2024-06-29,737
2024-06-30,852
2024-07-01,807
2024-07-02,807
2024-07-03,801
2024-07-04,717
2024-07-05,759
2024-07-06,794
2024-07-07,811
2024-07-08,893
2024-07-09,938
2024-07-10,819
2024-07-11,778
2024-07-12,765
2024-07-13,892
2024-07-14,946
2024-07-15,951
2024-07-16,1158
2024-07-17,967
2024-07-18,897
2024-07-19,848
2024-07-20,875
2024-07-21,967
2024-07-22,1004
