,Sales Rank
2023-04-21,89751
2023-04-22,106931
2023-04-23,126226
2023-04-24,140122
2023-04-25,27218
2023-04-26,47919
2023-04-27,45088
2023-04-28,49393
2023-04-29,30715
2023-04-30,35683
2023-05-01,24045
2023-05-02,37885
2023-05-03,22673
2023-05-04,18008
2023-05-05,16770
2023-05-06,13321
2023-05-07,16948
2023-05-08,17063
2023-05-09,14468
2023-05-10,9638
2023-05-11,12535
2023-05-12,7688
2023-05-13,8572
2023-05-14,6665
2023-05-15,6614
2023-05-16,6629
2023-05-17,339
2023-05-18,335
2023-05-19,314
2023-05-20,348
2023-05-21,375
2023-05-22,335
2023-05-23,348
2023-05-24,350
2023-05-25,308
2023-05-26,304
2023-05-27,362
2023-05-28,401
2023-05-31,325
2023-06-01,340
2023-06-02,376
2023-06-03,404
2023-06-04,450
2023-06-05,466
2023-06-06,449
2023-06-07,472
2023-06-08,446
2023-06-09,447
2023-06-10,506
2023-06-11,490
2023-06-12,403
2023-06-13,377
2023-06-14,415
2023-06-15,451
2023-06-16,430
2023-06-17,381
2023-06-18,393
2023-06-19,429
2023-06-20,394
2023-06-21,365
2023-06-22,410
2023-06-23,385
2023-06-24,331
2023-06-25,350
2023-06-26,364
2023-06-27,329
2023-06-28,381
2023-06-29,404
2023-06-30,343
2023-07-01,351
2023-07-02,420
2023-07-03,269
2023-07-04,350
2023-07-05,382
2023-07-06,409
2023-07-07,321
2023-07-08,340
2023-07-09,339
2023-07-10,324
2023-07-11,182
2023-07-12,137
2023-07-13,126
2023-07-14,204
2023-07-15,253
2023-07-16,340
2023-07-17,406
2023-07-18,359
2023-07-19,390
2023-07-20,342
2023-07-21,347
2023-07-22,320
2023-07-23,342
2023-07-24,381
2023-07-25,424
2023-07-26,395
2023-07-27,418
2023-07-28,419
2023-07-29,392
2023-07-30,444
2023-07-31,430
2023-08-01,368
2023-08-02,343
2023-08-03,375
2023-08-04,402
2023-08-05,390
2023-08-06,344
2023-08-07,360
2023-08-08,358
2023-08-09,365
2023-08-10,310
2023-08-11,313
2023-08-12,296
2023-08-13,297
2023-08-14,323
2023-08-15,335
2023-08-16,360
2023-08-17,339
2023-08-18,333
2023-08-19,327
2023-08-20,324
2023-08-21,275
2023-08-22,246
2023-08-23,267
2023-08-24,244
2023-08-25,271
2023-08-26,261
2023-08-27,256
2023-08-28,272
2023-08-29,101
2023-08-30,189
2023-08-31,195
2023-09-01,215
2023-09-02,239
2023-09-03,258
2023-09-04,251
2023-09-05,256
2023-09-06,286
2023-09-07,269
2023-09-08,232
2023-09-09,230
2023-09-10,236
2023-09-11,244
2023-09-12,228
2023-09-13,236
2023-09-14,250
2023-09-15,212
2023-09-16,236
2023-09-17,231
2023-09-18,235
2023-09-19,230
2023-09-20,230
2023-09-21,252
2023-09-22,239
2023-09-23,260
2023-09-24,257
2023-09-25,236
2023-09-26,218
2023-09-27,212
2023-09-28,183
2023-09-29,177
2023-09-30,185
2023-10-01,200
2023-10-02,198
2023-10-03,195
2023-10-04,196
2023-10-05,185
2023-10-06,155
2023-10-07,156
2023-10-08,154
2023-10-09,202
2023-10-10,139
2023-10-11,125
2023-10-12,102
2023-10-13,117
2023-10-14,134
2023-10-15,148
2023-10-16,165
2023-10-17,201
2023-10-18,182
2023-10-19,170
2023-10-20,167
2023-10-21,164
2023-10-22,165
2023-10-23,183
2023-10-24,159
2023-10-25,169
2023-10-26,175
2023-10-27,170
2023-10-28,191
2023-10-29,194
2023-10-30,193
2023-10-31,193
2023-11-01,200
2023-11-02,183
2023-11-03,177
2023-11-04,195
2023-11-05,192
2023-11-06,195
2023-11-07,189
2023-11-08,177
2023-11-09,196
2023-11-10,169
2023-11-11,169
2023-11-12,191
2023-11-13,199
2023-11-14,167
2023-11-15,184
2023-11-16,188
2023-11-17,186
2023-11-18,212
2023-11-19,203
2023-11-20,208
2023-11-21,220
2023-11-22,226
2023-11-23,188
2023-11-24,173
2023-11-25,167
2023-11-26,179
2023-11-27,196
2023-11-28,183
2023-11-29,193
2023-11-30,209
2023-12-01,184
2023-12-02,158
2023-12-03,164
2023-12-04,170
2023-12-05,150
2023-12-06,170
2023-12-07,144
2023-12-08,118
2023-12-09,121
2023-12-10,122
2023-12-11,134
2023-12-12,110
2023-12-13,102
2023-12-14,96
2023-12-15,86
2023-12-16,90
2023-12-17,96
2023-12-18,97
2023-12-19,106
2023-12-20,103
2023-12-21,100
2023-12-22,98
2023-12-23,97
2023-12-24,101
2023-12-25,127
2023-12-26,138
2023-12-27,132
2023-12-28,143
2023-12-29,132
2023-12-30,132
2023-12-31,125
2024-01-01,144
2024-01-02,140
2024-01-03,139
2024-01-04,125
2024-01-05,134
2024-01-06,126
2024-01-07,135
2024-01-08,130
2024-01-09,124
2024-01-10,131
2024-01-11,136
2024-01-12,120
2024-01-13,138
2024-01-14,143
2024-01-15,154
2024-01-16,163
2024-01-17,127
2024-01-18,135
2024-01-19,111
2024-01-20,134
2024-01-21,107
2024-01-22,107
2024-01-23,107
2024-01-24,105
2024-01-25,111
2024-01-26,102
2024-01-27,116
2024-01-28,130
2024-01-29,133
2024-01-30,129
2024-01-31,152
2024-02-01,143
2024-02-02,116
2024-02-03,129
2024-02-04,141
2024-02-05,125
2024-02-06,126
2024-02-07,126
2024-02-08,128
2024-02-09,119
2024-02-10,129
2024-02-11,133
2024-02-12,139
2024-02-13,127
2024-02-14,131
2024-02-15,130
2024-02-16,126
2024-02-17,131
2024-02-18,114
2024-02-19,123
2024-02-20,117
2024-02-21,118
2024-02-22,126
2024-02-23,129
2024-02-24,118
2024-02-25,101
2024-02-26,111
2024-02-27,117
2024-02-28,122
2024-02-29,134
2024-03-01,120
2024-03-02,121
2024-03-03,138
2024-03-04,135
2024-03-05,117
2024-03-06,132
2024-03-07,133
2024-03-08,118
2024-03-09,126
2024-03-10,124
2024-03-11,100
2024-03-12,85
2024-03-13,85
2024-03-14,99
2024-03-15,95
2024-03-16,103
2024-03-17,123
2024-03-18,118
2024-03-19,117
2024-03-20,117
2024-03-21,103
2024-03-22,96
2024-03-23,105
2024-03-24,108
2024-03-25,118
2024-03-26,116
2024-03-27,129
2024-03-28,110
2024-03-29,99
2024-03-30,89
2024-03-31,88
2024-04-01,100
2024-04-02,85
2024-04-03,94
2024-04-04,97
2024-04-05,84
2024-04-06,90
2024-04-07,100
2024-04-08,106
2024-04-09,96
2024-04-10,97
2024-04-11,106
2024-04-12,87
2024-04-13,103
2024-04-14,109
2024-04-15,113
2024-04-16,119
2024-04-17,113
2024-04-18,108
2024-04-19,110
2024-04-20,108
2024-04-21,117
2024-04-22,112
2024-04-23,115
2024-04-24,114
2024-04-25,99
2024-04-26,84
2024-04-27,91
2024-04-28,105
2024-04-29,104
2024-04-30,813
2024-05-01,749
2024-05-02,717
2024-05-03,698
2024-05-04,690
2024-05-05,746
2024-05-06,758
2024-05-07,613
2024-05-08,614
2024-05-09,595
2024-05-10,621
2024-05-11,666
2024-05-12,671
2024-05-13,719
2024-05-14,109
2024-05-15,119
2024-05-16,110
2024-05-17,111
2024-05-18,128
2024-05-19,132
2024-05-20,139
2024-05-21,136
2024-05-22,141
2024-05-23,150
2024-05-24,137
2024-05-25,140
2024-05-26,136
2024-05-27,151
2024-05-28,154
2024-05-29,152
2024-05-30,122
2024-05-31,108
2024-06-01,122
2024-06-02,124
2024-06-03,113
2024-06-04,121
2024-06-05,117
2024-06-06,127
2024-06-07,120
2024-06-08,128
2024-06-09,128
2024-06-10,138
2024-06-11,140
2024-06-12,152
2024-06-13,156
2024-06-14,112
2024-06-15,125
2024-06-16,130
2024-06-17,138
2024-06-18,137
2024-06-19,148
2024-06-20,127
2024-06-21,130
2024-06-22,127
2024-06-23,163
2024-06-24,157
2024-06-25,156
2024-06-26,136
2024-06-27,121
2024-06-28,115
2024-06-29,110
2024-06-30,136
2024-07-01,124
2024-07-02,131
2024-07-03,120
2024-07-04,125
2024-07-05,119
2024-07-06,123
2024-07-07,135
2024-07-08,129
2024-07-09,127
2024-07-10,138
2024-07-11,122
2024-07-12,125
2024-07-13,138
2024-07-14,157
2024-07-15,149
2024-07-16,181
2024-07-17,178
2024-07-18,148
2024-07-19,141
2024-07-20,140
2024-07-21,153
2024-07-22,154
2024-07-23,153
2024-07-24,140
2024-07-25,140
2024-07-26,122
2024-07-27,134
2024-07-28,140
2024-07-29,146
2024-07-30,140
