,Sales Rank
2023-05-03,14126
2023-05-04,18434
2023-05-05,18523
2023-05-06,16253
2023-05-07,17060
2023-05-08,15487
2023-05-09,19858
2023-05-10,20310
2023-05-11,112481
2023-05-12,99836
2023-05-13,19362
2023-05-14,22712
2023-05-15,28106
2023-05-16,115165
2023-05-17,13801
2023-05-18,11941
2023-05-19,17435
2023-05-20,13750
2023-05-21,13051
2023-05-22,13466
2023-05-23,11612
2023-05-24,13642
2023-05-26,12772
2023-05-27,19913
2023-05-28,18079
2023-05-30,22249
2023-05-31,14338
2023-06-01,14952
2023-06-02,12725
2023-06-03,9873
2023-06-05,14231
2023-06-06,10205
2023-06-07,9528
2023-06-08,11341
2023-06-09,12122
2023-06-10,13021
2023-06-11,12597
2023-06-12,11760
2023-06-13,11586
2023-06-14,12329
2023-06-15,11914
2023-06-16,13378
2023-06-17,17579
2023-06-18,14248
2023-06-19,10992
2023-06-20,12605
2023-06-21,13770
2023-06-22,12653
2023-06-23,10600
2023-06-24,11272
2023-06-25,10690
2023-06-26,11414
2023-06-27,11305
2023-06-28,9286
2023-06-29,10837
2023-06-30,12252
2023-07-01,12430
2023-07-02,12065
2023-07-03,12112
2023-07-04,9178
2023-07-05,12806
2023-07-06,14276
2023-07-07,11196
2023-07-08,15527
2023-07-09,16047
2023-07-10,16833
2023-07-11,18076
2023-07-12,23406
2023-07-13,25549
2023-07-14,15439
2023-07-15,14747
2023-07-16,10994
2023-07-17,15449
2023-07-19,13669
2023-07-20,15512
2023-07-21,10243
2023-07-22,12391
2023-07-23,12301
2023-07-24,12329
2023-07-25,11481
2023-07-26,10659
2023-07-27,11497
2023-07-29,9288
2023-07-30,10681
2023-07-31,10143
2023-08-02,7282
2023-08-04,6151
2023-08-05,6813
2023-08-06,8037
2023-08-07,7029
2023-08-08,27308
2023-08-09,31306
2023-08-10,21156
2023-08-11,18940
2023-08-12,22678
2023-08-13,31048
2023-08-14,24548
2023-08-15,30252
2023-08-16,21668
2023-08-17,21595
2023-08-18,20132
2023-08-19,28400
2023-08-20,25605
2023-08-21,22681
2023-08-22,22559
2023-08-23,19727
2023-08-24,25019
2023-08-25,25963
2023-08-26,28366
2023-08-27,18357
2023-08-28,21788
2023-08-29,7934
2023-08-30,15684
2023-08-31,23569
2023-09-01,21603
2023-09-02,27724
2023-09-03,21613
2023-09-04,25675
2023-09-05,22906
2023-09-06,19213
2023-09-07,19072
2023-09-08,16060
2023-09-09,20611
2023-09-10,26672
2023-09-11,22232
2023-09-12,23890
2023-09-13,24960
2023-09-14,17834
2023-09-15,22183
2023-09-16,21058
2023-09-17,24133
2023-09-18,20903
2023-09-19,21093
2023-09-20,21887
2023-09-21,24782
2023-09-22,29868
2023-09-23,25657
2023-09-24,23289
2023-09-25,22596
2023-09-26,22936
2023-09-27,21437
2023-09-28,25076
2023-09-29,34327
2023-09-30,24560
2023-10-01,25851
2023-10-02,27568
2023-10-03,19172
2023-10-04,18221
2023-10-05,18837
2023-10-06,21508
2023-10-07,26824
2023-10-08,21811
2023-10-09,18669
2023-10-10,16371
2023-10-11,22119
2023-10-12,21571
2023-10-13,22383
2023-10-14,22324
2023-10-15,21557
2023-10-16,29243
2023-10-17,22016
2023-10-18,22324
2023-10-19,21346
2023-10-20,19456
2023-10-21,21250
2023-10-22,21851
2023-10-24,27078
2023-10-25,23892
2023-10-26,22390
2023-10-27,22626
2023-10-28,23215
2023-10-29,21813
2023-10-30,22086
2023-10-31,18115
2023-11-01,15446
2023-11-02,21296
2023-11-03,16702
2023-11-04,22557
2023-11-05,28804
2023-11-06,30403
2023-11-07,27946
2023-11-08,22765
2023-11-09,29748
2023-11-10,34150
2023-11-11,25888
2023-11-12,24894
2023-11-13,22553
2023-11-14,22806
2023-11-15,27090
2023-11-16,27472
2023-11-17,30629
2023-11-18,19875
2023-11-19,26970
2023-11-20,31015
2023-11-21,35646
2023-11-22,22873
2023-11-23,24370
2023-11-24,24680
2023-11-25,24019
2023-11-26,24141
2023-11-27,28858
2023-11-28,26723
2023-11-29,29283
2023-11-30,21815
2023-12-01,30257
2023-12-02,37716
2023-12-03,23775
2023-12-04,26648
2023-12-05,25662
2023-12-06,25822
2023-12-07,18405
2023-12-08,20823
2023-12-09,20161
2023-12-10,19147
