,Sales Rank
2023-04-24,75795
2023-04-25,77171
2023-04-26,97615
2023-04-27,140256
2023-05-01,82878
2023-05-02,31876
2023-05-03,28098
2023-05-04,6164
2023-05-05,11044
2023-05-06,13892
2023-05-07,22412
2023-05-08,37950
2023-05-09,19071
2023-05-10,23270
2023-05-11,24465
2023-05-12,13521
2023-05-13,14453
2023-05-14,16502
2023-05-15,16799
2023-05-16,13627
2023-05-17,227
2023-05-18,228
2023-05-19,195
2023-05-20,212
2023-05-21,219
2023-05-22,219
2023-05-23,206
2023-05-24,205
2023-05-25,191
2023-05-26,170
2023-05-27,193
2023-05-28,187
2023-05-30,205
2023-05-31,215
2023-06-01,227
2023-06-02,225
2023-06-03,265
2023-06-04,275
2023-06-05,248
2023-06-06,247
2023-06-07,258
2023-06-08,238
2023-06-09,228
2023-06-10,261
2023-06-11,241
2023-06-12,221
2023-06-13,216
2023-06-14,228
2023-06-15,250
2023-06-16,235
2023-06-17,265
2023-06-18,270
2023-06-19,227
2023-06-20,226
2023-06-21,219
2023-06-22,228
2023-06-23,216
2023-06-24,193
2023-06-25,221
2023-06-26,207
2023-06-27,227
2023-06-28,231
2023-06-29,247
2023-06-30,223
2023-07-01,240
2023-07-02,252
2023-07-03,188
2023-07-04,229
2023-07-05,222
2023-07-06,217
2023-07-07,226
2023-07-08,222
2023-07-09,202
2023-07-10,221
2023-07-11,70
2023-07-12,50
2023-07-13,51
2023-07-14,98
2023-07-15,137
2023-07-16,164
2023-07-17,189
2023-07-18,178
2023-07-19,208
2023-07-20,193
2023-07-21,210
2023-07-22,214
2023-07-23,208
2023-07-24,188
2023-07-25,186
2023-07-26,193
2023-07-27,225
2023-07-28,200
2023-07-29,201
2023-07-30,206
2023-07-31,203
2023-08-01,196
2023-08-02,216
2023-08-03,231
2023-08-04,211
2023-08-05,212
2023-08-06,208
2023-08-07,222
2023-08-08,227
2023-08-09,214
2023-08-10,225
2023-08-11,198
2023-08-12,194
2023-08-13,231
2023-08-14,221
2023-08-15,218
2023-08-16,232
2023-08-17,202
2023-08-18,190
2023-08-19,190
2023-08-20,189
2023-08-21,203
2023-08-22,218
2023-08-23,228
2023-08-24,200
2023-08-25,195
2023-08-26,172
2023-08-27,175
2023-08-28,194
2023-08-29,63
2023-08-30,105
2023-08-31,113
2023-09-01,128
2023-09-02,155
2023-09-03,176
2023-09-04,182
2023-09-05,192
2023-09-06,184
2023-09-07,188
2023-09-08,182
2023-09-09,183
2023-09-10,177
2023-09-11,167
2023-09-12,166
2023-09-13,180
2023-09-14,185
2023-09-15,167
2023-09-16,176
2023-09-17,182
2023-09-18,177
2023-09-19,154
2023-09-20,154
2023-09-21,166
2023-09-22,162
2023-09-23,154
2023-09-24,155
2023-09-25,162
2023-09-26,153
2023-09-27,160
2023-09-28,135
2023-09-29,126
2023-09-30,114
2023-10-01,118
2023-10-02,129
2023-10-03,128
2023-10-04,141
2023-10-05,138
2023-10-06,124
2023-10-07,148
2023-10-08,134
2023-10-09,155
2023-10-10,126
2023-10-11,30
2023-10-12,42
2023-10-13,49
2023-10-14,72
2023-10-15,83
2023-10-16,83
2023-10-17,162
2023-10-18,145
2023-10-19,121
2023-10-20,118
2023-10-21,139
2023-10-22,152
2023-10-23,142
2023-10-24,114
2023-10-25,111
2023-10-26,94
2023-10-27,114
2023-10-28,122
2023-10-29,127
2023-10-30,129
2023-10-31,124
2023-11-01,126
2023-11-02,117
2023-11-03,103
2023-11-04,933
2023-11-05,964
2023-11-06,945
2023-11-07,937
2023-11-08,981
2023-11-09,893
2023-11-10,856
2023-11-11,910
2023-11-12,1012
2023-11-13,1026
2023-11-14,871
2023-11-15,944
2023-11-16,958
2023-11-17,960
2023-11-18,949
2023-11-19,1062
2023-11-20,1109
2023-11-21,1079
2023-11-22,1158
2023-11-23,665
2023-11-24,312
2023-11-25,290
2023-11-26,300
2023-11-27,277
2023-11-28,319
2023-11-29,262
2023-11-30,291
2023-12-01,339
2023-12-02,339
2023-12-03,418
2023-12-04,480
2023-12-05,359
2023-12-06,359
