,Sales Rank
2023-05-15,13560
2023-05-16,8313
2023-05-17,5415
2023-05-18,2804
2023-05-19,1877
2023-05-20,1239
2023-05-21,1519
2023-05-22,1072
2023-05-23,1141
2023-05-24,1223
2023-05-25,969
2023-05-26,921
2023-05-27,563
2023-05-28,491
2023-05-30,616
2023-05-31,627
2023-06-01,697
2023-06-02,656
2023-06-03,729
2023-06-04,678
2023-06-05,745
2023-06-06,743
2023-06-07,751
2023-06-08,726
2023-06-09,662
2023-06-10,664
2023-06-11,677
2023-06-12,517
2023-06-13,537
2023-06-14,600
2023-06-15,617
2023-06-16,555
2023-06-17,562
2023-06-18,563
2023-06-19,510
2023-06-20,527
2023-06-21,488
2023-06-22,552
2023-06-23,562
2023-06-24,574
2023-06-25,599
2023-06-26,520
2023-06-27,500
2023-06-28,519
2023-06-29,408
2023-06-30,513
2023-07-01,467
2023-07-02,503
2023-07-03,531
2023-07-04,527
2023-07-05,549
2023-07-06,510
2023-07-07,575
2023-07-08,424
2023-07-09,407
2023-07-10,407
2023-07-11,364
2023-07-12,239
2023-07-13,219
2023-07-14,266
2023-07-15,372
2023-07-16,366
2023-07-17,398
2023-07-18,400
2023-07-19,501
2023-07-20,483
2023-07-21,466
2023-07-22,449
2023-07-23,472
2023-07-24,511
2023-07-25,601
2023-07-26,580
2023-07-27,555
2023-07-28,617
2023-07-29,579
2023-07-30,630
2023-07-31,582
2023-08-01,572
2023-08-02,609
2023-08-03,623
2023-08-06,2064
2023-08-07,1475
2023-08-08,957
2023-08-09,845
2023-08-13,1355
2023-08-14,984
2023-08-15,971
2023-08-16,870
2023-08-17,792
2023-08-18,733
2023-08-19,634
2023-08-20,663
2023-08-21,699
2023-08-22,670
2023-08-23,740
2023-08-24,654
2023-08-25,750
2023-08-26,740
2023-08-27,742
2023-08-28,796
2023-08-29,869
2023-08-30,989
2023-08-31,951
2023-09-01,1019
2023-09-02,979
2023-09-03,1014
2023-09-04,612
2023-09-05,432
2023-09-06,369
2023-09-07,318
2023-09-08,311
2023-09-09,267
2023-09-10,307
2023-09-11,477
2023-09-12,565
2023-09-13,649
2023-09-14,717
2023-09-15,674
2023-09-16,733
2023-09-17,624
2023-09-18,760
2023-09-19,1165
2023-09-20,838
2023-09-21,972
2023-09-22,910
2023-09-23,888
2023-09-24,921
2023-09-25,1025
2023-09-26,1020
2023-09-27,1029
2023-09-28,983
2023-09-29,988
2023-09-30,967
2023-10-01,970
2023-10-02,960
2023-10-03,1011
2023-10-04,935
2023-10-05,890
2023-10-06,821
2023-10-07,768
2023-10-08,749
2023-10-09,784
2023-10-10,838
2023-10-11,802
2023-10-12,811
2023-10-13,820
2023-10-14,738
2023-10-15,760
2023-10-16,868
2023-10-17,958
2023-10-18,1039
2023-10-19,964
2023-10-20,818
2023-10-21,850
2023-10-22,829
2023-10-23,865
2023-10-24,913
2023-10-25,870
2023-10-26,946
2023-10-27,1058
2023-10-28,952
2023-10-29,1010
2023-10-30,1194
2023-10-31,1148
2023-11-01,1232
2023-11-02,1394
2023-11-03,1369
2023-11-04,1248
2023-11-05,1200
2023-11-06,1476
2023-11-07,1192
2023-11-08,1206
2023-11-09,1334
2023-11-10,1275
2023-11-11,1285
2023-11-12,1355
2023-11-13,1395
2023-11-14,1403
2023-11-15,1393
2023-11-16,1627
2023-11-17,1802
2023-11-18,1539
2023-11-19,1470
2023-11-20,1296
2023-11-21,1180
2023-11-22,1210
2023-11-23,1175
2023-11-24,1703
2023-11-25,1645
2023-11-26,1614
2023-11-27,1742
2023-11-28,1444
2023-11-29,1605
2023-11-30,1526
2023-12-01,1158
2023-12-02,1047
2023-12-03,1111
2023-12-04,1302
2023-12-05,1369
2023-12-06,1347
2023-12-07,1432
2023-12-08,1438
2023-12-09,1491
2023-12-10,1373
2023-12-11,1380
2023-12-12,1408
2023-12-13,1494
2023-12-14,1736
2023-12-15,1655
2023-12-16,1798
2023-12-17,1875
2023-12-18,2164
2023-12-19,2088
2023-12-20,1834
2023-12-21,1825
2023-12-22,1710
2023-12-23,1720
2023-12-24,1539
2023-12-25,1795
2023-12-26,1505
2023-12-27,1446
2023-12-28,1407
2023-12-29,1390
2023-12-30,1275
2023-12-31,1357
2024-01-01,1596
2024-01-02,1584
2024-01-03,1548
2024-01-04,1544
2024-01-05,1571
2024-01-06,1662
2024-01-07,1545
2024-01-08,1688
2024-01-09,1771
2024-01-10,2005
2024-01-11,1888
2024-01-12,1800
2024-01-13,1894
2024-01-14,1764
2024-01-15,1973
2024-01-16,1970
2024-01-17,2056
2024-01-18,1995
2024-01-19,1829
2024-01-20,1952
2024-01-21,1760
2024-01-22,1853
2024-01-23,2077
2024-01-24,2061
2024-01-25,1807
2024-01-26,1862
2024-01-27,1594
2024-01-28,1396
2024-01-29,1632
2024-01-30,1910
2024-01-31,2151
2024-02-01,2178
2024-02-02,2232
2024-02-03,1985
2024-02-04,2177
2024-02-05,1973
2024-02-06,2068
2024-02-07,2194
2024-02-08,2147
2024-02-09,1887
2024-02-10,1738
2024-02-11,1613
2024-02-12,1655
2024-02-13,1806
2024-02-14,1897
2024-02-15,1702
2024-02-16,1773
2024-02-17,1678
2024-02-18,1390
2024-02-19,1624
2024-02-20,1674
2024-02-21,2000
2024-02-22,1969
2024-02-23,2273
2024-02-24,1878
2024-02-25,1790
2024-02-26,1906
2024-02-27,2028
2024-02-28,1895
2024-02-29,2014
2024-03-01,1962
2024-03-02,2044
2024-03-03,1264
2024-03-04,466
2024-03-05,347
2024-03-06,278
2024-03-07,300
2024-03-08,351
2024-03-09,257
2024-03-10,408
2024-03-11,523
2024-03-12,552
2024-03-13,607
2024-03-14,631
2024-03-15,593
2024-03-16,534
2024-03-17,571
2024-03-18,662
2024-03-19,721
2024-03-20,721
2024-03-21,662
2024-03-22,584
2024-03-23,528
2024-03-24,475
2024-03-25,605
2024-03-26,615
2024-03-27,720
2024-03-28,704
2024-03-29,658
2024-03-30,585
2024-03-31,522
2024-04-01,702
2024-04-02,769
2024-04-03,762
2024-04-04,700
2024-04-05,732
2024-04-06,651
2024-04-07,614
2024-04-08,792
2024-04-09,883
2024-04-10,890
2024-04-11,911
2024-04-12,859
2024-04-13,804
2024-04-14,858
2024-04-15,676
2024-04-16,579
2024-04-17,559
2024-04-18,558
2024-04-19,524
2024-04-20,472
2024-04-21,404
2024-04-22,556
2024-04-23,730
2024-04-24,737
2024-04-25,677
2024-04-26,661
2024-04-27,596
2024-04-28,483
2024-04-29,510
2024-04-30,526
2024-05-01,539
2024-05-02,510
2024-05-03,596
2024-05-04,459
2024-05-05,425
2024-05-06,424
2024-05-07,492
2024-05-08,503
2024-05-09,587
2024-05-10,515
2024-05-11,531
2024-05-12,427
2024-05-13,487
2024-05-14,468
2024-05-15,460
2024-05-16,467
2024-05-17,489
2024-05-18,429
2024-05-19,390
2024-05-20,386
2024-05-21,468
2024-05-22,466
2024-05-23,462
2024-05-24,412
2024-05-25,353
2024-05-26,407
2024-05-27,348
2024-05-28,432
2024-05-29,582
2024-05-30,551
2024-05-31,607
2024-06-01,603
2024-06-02,498
2024-06-03,503
2024-06-04,408
2024-06-05,424
2024-06-06,440
2024-06-07,371
2024-06-08,365
2024-06-09,312
2024-06-10,346
2024-06-11,469
2024-06-12,544
2024-06-13,609
2024-06-14,578
2024-06-15,535
2024-06-16,533
2024-06-17,623
2024-06-18,642
2024-06-19,674
2024-06-20,682
2024-06-21,654
2024-06-22,592
2024-06-23,616
2024-06-24,551
2024-06-25,538
2024-06-26,581
2024-06-27,637
2024-06-28,636
2024-06-29,608
2024-06-30,532
2024-07-01,664
2024-07-02,706
2024-07-03,694
2024-07-04,689
2024-07-05,702
2024-07-06,702
2024-07-07,426
2024-07-08,500
2024-07-09,571
2024-07-10,635
2024-07-11,690
2024-07-12,668
2024-07-13,643
2024-07-14,595
2024-07-15,618
2024-07-16,806
2024-07-17,732
2024-07-18,678
2024-07-19,701
2024-07-20,529
2024-07-21,524
2024-07-22,627
2024-07-23,726
2024-07-24,791
2024-07-25,862
2024-07-26,864
2024-07-27,869
2024-07-28,872
2024-07-29,824
2024-07-30,688
2024-07-31,721
2024-08-01,646
2024-08-02,625
2024-08-03,545
2024-08-04,625
2024-08-05,643
2024-08-06,746
2024-08-07,717
2024-08-09,962
2024-08-10,920
2024-08-11,962
2024-08-12,1067
2024-08-13,1098
2024-08-14,1112
2024-08-15,962
2024-08-16,974
2024-08-17,921
2024-08-18,865
2024-08-19,915
2024-08-20,916
2024-08-21,1049
2024-08-22,971
