,Sales Rank
2023-06-22,64566
2023-06-23,48715
2023-06-24,45282
2023-06-25,47739
2023-06-26,43704
2023-06-27,46950
2023-06-28,35370
2023-06-29,51723
2023-06-30,60102
2023-07-01,28988
2023-07-02,27048
2023-07-03,43497
2023-07-04,46186
2023-07-05,45310
2023-07-06,32953
2023-07-07,40467
2023-07-08,26223
2023-07-09,30922
2023-07-10,33177
2023-07-11,40208
2023-07-12,50625
2023-07-13,41335
2023-07-14,49487
2023-07-15,40087
2023-07-16,35835
2023-07-17,40009
2023-07-18,33604
2023-07-19,36711
2023-07-20,40469
2023-07-21,55488
2023-07-22,32773
2023-07-23,29701
2023-07-24,28121
2023-07-25,28149
2023-07-26,28316
2023-07-27,22857
2023-07-28,24080
2023-07-29,20997
2023-07-30,21899
2023-07-31,26013
2023-08-01,20135
2023-08-03,14507
2023-08-06,16882
2023-08-07,13735
2023-08-08,11533
2023-08-09,13217
2023-08-10,14139
2023-08-11,13652
2023-08-12,14815
2023-08-13,14924
2023-08-14,14976
2023-08-15,13629
2023-08-16,14307
2023-08-17,12199
2023-08-18,14103
2023-08-19,11605
2023-08-20,11592
2023-08-21,11576
2023-08-22,12242
2023-08-23,12196
2023-08-24,907
2023-08-25,2929
2023-08-26,5189
2023-08-27,5628
2023-08-28,6060
2023-08-29,4720
2023-08-30,4927
2023-08-31,4967
2023-09-01,5223
2023-09-02,5082
2023-09-03,5268
2023-09-04,3887
2023-09-05,5418
2023-09-06,4745
2023-09-07,4419
2023-09-08,968
2023-09-09,1030
2023-09-10,1023
2023-09-11,4007
2023-09-12,4834
2023-09-13,5139
2023-09-14,5339
2023-09-15,5403
2023-09-16,959
2023-09-17,989
2023-09-18,961
2023-09-19,914
2023-09-20,960
2023-09-21,1022
2023-09-22,996
2023-09-23,969
2023-09-24,1047
2023-09-25,910
2023-09-26,880
2023-09-27,847
2023-09-28,816
2023-09-29,860
2023-09-30,914
2023-10-01,955
2023-10-02,874
2023-10-03,823
2023-10-04,838
2023-10-05,877
2023-10-06,901
2023-10-07,969
2023-10-08,964
2023-10-09,885
2023-10-10,1153
2023-10-11,1312
2023-10-12,1053
2023-10-13,971
2023-10-14,993
2023-10-15,1082
2023-10-16,901
2023-10-17,941
2023-10-18,932
2023-10-19,852
2023-10-20,865
2023-10-21,961
2023-10-22,1015
2023-10-23,854
2023-10-24,900
2023-10-25,911
2023-10-26,859
2023-10-27,889
2023-10-28,969
2023-10-29,1008
2023-10-30,855
2023-10-31,775
2023-11-01,822
2023-11-02,845
2023-11-03,957
2023-11-04,974
2023-11-05,872
2023-11-06,803
2023-11-07,849
2023-11-08,862
2023-11-09,863
2023-11-10,815
2023-11-11,884
2023-11-12,877
2023-11-13,857
2023-11-14,3486
2023-11-15,4064
2023-11-16,3923
2023-11-17,3759
2023-11-18,4190
2023-11-19,3701
2023-11-20,3941
2023-11-21,3366
2023-11-22,3821
2023-11-23,3409
2023-11-24,4826
2023-11-25,5290
2023-11-26,4876
2023-11-27,5023
2023-11-28,4945
2023-11-29,3801
2023-11-30,3545
2023-12-01,3707
2023-12-02,3819
2023-12-03,4169
2023-12-04,3553
2023-12-05,3876
2023-12-06,3994
2023-12-07,3861
2023-12-08,4055
2023-12-09,3950
2023-12-10,3785
2023-12-11,3776
2023-12-12,3272
2023-12-13,4022
2023-12-14,3729
2023-12-15,4678
2023-12-16,4129
2023-12-17,4718
2023-12-18,4558
2023-12-19,3922
2023-12-20,3805
2023-12-21,3823
2023-12-22,3865
2023-12-23,3702
2023-12-24,3603
2023-12-25,2951
2023-12-26,3333
2023-12-27,3256
2023-12-28,3117
2023-12-29,2887
2023-12-30,2916
2023-12-31,2935
2024-01-01,2683
2024-01-02,2410
2024-01-03,2711
2024-01-04,2862
2024-01-05,2583
2024-01-06,2762
2024-01-07,964
2024-01-08,846
2024-01-09,823
2024-01-10,824
2024-01-11,755
2024-01-12,725
2024-01-13,834
2024-01-14,836
2024-01-15,847
2024-01-16,820
2024-01-17,814
2024-01-18,827
2024-01-19,757
2024-01-20,790
2024-01-21,849
2024-01-22,810
2024-01-23,789
2024-01-24,815
2024-01-25,822
2024-01-26,779
2024-01-27,770
2024-01-28,764
2024-01-29,748
2024-01-30,722
2024-01-31,758
2024-02-01,759
2024-02-02,787
2024-02-03,829
2024-02-04,798
2024-02-05,778
2024-02-06,786
2024-02-07,733
2024-02-08,764
2024-02-09,734
2024-02-10,831
2024-02-11,786
2024-02-12,740
2024-02-13,834
2024-02-14,807
2024-02-15,797
2024-02-16,764
2024-02-17,811
2024-02-18,774
2024-02-19,738
2024-02-20,723
2024-02-21,692
2024-02-22,707
2024-02-23,641
2024-02-24,805
2024-02-25,885
2024-02-26,716
2024-02-27,746
2024-02-28,774
2024-02-29,723
2024-03-01,735
2024-03-02,3208
2024-03-03,3370
2024-03-04,2706
2024-03-05,2899
2024-03-06,2867
2024-03-07,2777
2024-03-08,2482
2024-03-09,2691
2024-03-10,2990
2024-03-11,2573
2024-03-12,2616
2024-03-13,763
2024-03-14,711
2024-03-15,702
2024-03-16,724
2024-03-17,856
2024-03-18,777
2024-03-19,748
2024-03-20,732
2024-03-21,763
2024-03-22,754
2024-03-23,746
2024-03-24,815
2024-03-25,750
2024-03-26,747
2024-03-27,731
2024-03-28,814
2024-03-29,2650
2024-03-30,771
2024-03-31,796
2024-04-01,752
2024-04-02,704
2024-04-03,706
2024-04-04,691
2024-04-05,746
2024-04-06,700
2024-04-07,809
2024-04-08,641
2024-04-09,683
2024-04-10,680
2024-04-11,776
2024-04-12,742
2024-04-13,740
2024-04-14,726
2024-04-15,685
2024-04-16,731
2024-04-17,736
2024-04-18,674
2024-04-19,648
2024-04-20,698
2024-04-21,786
2024-04-22,663
2024-04-23,644
2024-04-24,679
2024-04-25,708
2024-04-26,717
2024-04-27,751
2024-04-28,819
2024-04-29,731
2024-04-30,709
2024-05-01,691
2024-05-02,721
2024-05-03,691
2024-05-04,720
2024-05-05,765
2024-05-06,631
2024-05-07,733
2024-05-08,821
2024-05-09,744
2024-05-10,725
2024-05-11,783
2024-05-12,774
2024-05-13,648
2024-05-14,659
2024-05-15,756
2024-05-16,725
2024-05-17,705
2024-05-18,727
2024-05-19,832
2024-05-20,675
2024-05-21,622
2024-05-22,653
2024-05-23,615
2024-05-24,710
2024-05-25,677
2024-05-26,799
2024-05-27,728
2024-05-28,744
2024-05-29,727
2024-05-30,727
2024-05-31,769
2024-06-01,659
2024-06-02,706
2024-06-03,642
2024-06-04,646
2024-06-05,683
2024-06-06,705
2024-06-07,613
2024-06-08,659
2024-06-09,723
2024-06-10,670
2024-06-11,726
2024-06-12,691
2024-06-13,693
2024-06-14,713
2024-06-15,793
2024-06-16,850
2024-06-17,726
2024-06-18,737
2024-06-19,682
2024-06-20,631
2024-06-21,632
2024-06-22,701
2024-06-23,696
2024-06-24,677
2024-06-25,713
2024-06-26,768
2024-06-27,694
2024-06-28,690
2024-06-29,786
2024-06-30,834
2024-07-01,740
2024-07-02,677
2024-07-03,679
2024-07-04,666
2024-07-05,626
2024-07-06,700
2024-07-07,722
2024-07-08,658
2024-07-09,689
2024-07-10,678
2024-07-11,660
2024-07-12,628
2024-07-13,703
2024-07-14,667
2024-07-15,672
2024-07-16,1086
2024-07-17,1173
2024-07-18,1053
2024-07-19,838
2024-07-20,744
2024-07-21,708
2024-07-22,652
2024-07-23,698
2024-07-24,694
2024-07-25,724
2024-07-26,669
2024-07-27,660
2024-07-28,712
2024-07-29,657
2024-07-30,658
2024-07-31,670
2024-08-01,670
2024-08-02,676
2024-08-03,717
2024-08-04,745
2024-08-05,715
2024-08-06,675
2024-08-07,701
2024-08-09,671
2024-08-10,726
2024-08-11,776
2024-08-12,696
2024-08-13,663
2024-08-14,624
2024-08-15,665
2024-08-16,657
2024-08-17,704
2024-08-18,772
2024-08-19,615
2024-08-20,672
2024-08-21,742
2024-08-22,713
2024-08-23,664
2024-08-24,729
2024-08-25,759
2024-08-26,618
2024-08-27,646
2024-08-28,610
2024-08-29,684
2024-08-30,673
2024-08-31,718
2024-09-01,678
2024-09-02,708
2024-09-03,688
2024-09-04,669
2024-09-05,576
2024-09-06,668
2024-09-07,625
2024-09-08,683
2024-09-09,638
2024-09-10,661
2024-09-11,736
2024-09-12,629
2024-09-13,637
2024-09-14,714
2024-09-15,719
2024-09-16,719
2024-09-17,722
2024-09-18,690
2024-09-19,692
2024-09-20,608
2024-09-21,730
2024-09-22,777
2024-09-23,618
2024-09-24,610
2024-09-25,587
2024-09-26,667
2024-09-27,612
2024-09-28,694
2024-09-29,711
2024-09-30,653
2024-10-01,564
2024-10-02,549
2024-10-03,600
2024-10-04,644
2024-10-05,622
2024-10-06,675
2024-10-07,593
2024-10-08,885
2024-10-09,917
2024-10-10,874
2024-10-11,748
2024-10-12,764
2024-10-13,723
2024-10-14,640
2024-10-15,648
2024-10-16,664
2024-10-17,669
2024-10-18,675
2024-10-19,677
2024-10-20,688
2024-10-21,678
2024-10-22,652
2024-10-23,611
2024-10-24,757
2024-10-25,692
2024-10-26,644
2024-10-27,755
2024-10-28,603
2024-10-29,610
2024-10-30,640
2024-10-31,599
2024-11-01,582
2024-11-02,633
2024-11-03,705
2024-11-04,603
2024-11-05,621
2024-11-06,620
2024-11-07,666
2024-11-08,622
2024-11-09,695
2024-11-10,754
2024-11-11,669
2024-11-12,704
2024-11-13,616
2024-11-14,694
2024-11-15,694
2024-11-16,735
2024-11-17,793
2024-11-18,692
2024-11-19,721
2024-11-20,652
2024-11-21,760
2024-11-22,828
2024-11-23,798
2024-11-24,825
2024-11-25,740
2024-11-26,808
2024-11-27,818
2024-11-28,825
2024-11-29,1108
2024-11-30,1082
2024-12-01,1126
2024-12-02,991
2024-12-03,944
2024-12-04,794
2024-12-05,774
2024-12-06,759
2024-12-07,784
2024-12-08,734
2024-12-09,781
2024-12-10,739
2024-12-11,762
2024-12-12,812
2024-12-13,756
2024-12-14,778
2024-12-15,858
2024-12-16,804
2024-12-17,807
2024-12-18,776
2024-12-19,765
2024-12-20,732
2024-12-21,758
2024-12-22,756
2024-12-23,716
2024-12-24,703
2024-12-25,581
2024-12-26,530
2024-12-27,599
2024-12-28,587
2024-12-29,665
2024-12-30,619
2024-12-31,674
2025-01-01,610
2025-01-02,614
2025-01-03,584
2025-01-04,573
2025-01-05,672
2025-01-06,586
2025-01-07,575
2025-01-08,566
2025-01-09,531
2025-01-10,554
2025-01-11,605
2025-01-12,645
2025-01-13,605
