,Sales Rank
2023-05-30,31773
2023-05-31,19623
2023-06-01,17931
2023-06-02,11423
2023-06-03,4254
2023-06-04,3492
2023-06-05,2676
2023-06-06,2525
2023-06-07,2151
2023-06-08,2434
2023-06-09,2677
2023-06-10,1901
2023-06-11,2127
2023-06-12,2518
2023-06-13,2148
2023-06-14,2564
2023-06-15,2425
2023-06-16,3290
2023-06-17,3837
2023-06-18,7086
2023-06-19,9353
2023-06-20,8078
2023-06-21,7511
2023-06-22,4996
2023-06-23,3241
2023-06-24,3360
2023-06-25,2380
2023-06-26,2412
2023-06-27,1583
2023-06-28,1537
2023-06-29,1240
2023-06-30,1330
2023-07-01,1302
2023-07-02,1244
2023-07-03,1443
2023-07-04,1421
2023-07-05,1529
2023-07-06,1388
2023-07-07,1324
2023-07-08,1366
2023-07-09,1346
2023-07-10,1401
2023-07-11,1457
2023-07-12,3093
2023-07-13,4967
2023-07-14,6699
2023-07-15,6676
2023-07-16,7752
2023-07-17,10040
2023-07-18,12970
2023-07-19,14378
2023-07-20,15454
2023-07-21,17601
2023-07-22,17289
2023-07-23,16618
2023-07-24,13228
2023-07-25,12248
2023-07-26,11705
2023-07-27,12155
2023-07-28,11979
2023-07-29,8850
2023-07-30,4160
2023-07-31,4834
2023-08-01,3024
2023-08-02,2099
2023-08-03,2066
2023-08-04,1846
2023-08-05,1603
2023-08-06,1490
2023-08-07,1225
2023-08-08,1206
2023-08-09,1057
2023-08-10,1225
2023-08-11,994
2023-08-12,975
2023-08-13,973
2023-08-14,999
2023-08-15,1013
2023-08-16,864
2023-08-17,795
2023-08-18,797
2023-08-19,757
2023-08-20,696
2023-08-21,737
2023-08-22,677
2023-08-23,668
2023-08-24,649
2023-08-25,782
2023-08-26,638
2023-08-27,696
2023-08-28,713
2023-08-29,755
2023-08-30,812
2023-08-31,752
2023-09-01,727
2023-09-02,737
2023-09-03,715
2023-09-04,746
2023-09-05,959
2023-09-06,981
2023-09-07,899
2023-09-08,976
2023-09-09,883
2023-09-10,793
2023-09-11,954
2023-09-12,902
2023-09-13,1022
2023-09-14,1042
2023-09-15,1139
2023-09-16,1169
2023-09-17,1293
2023-09-18,1609
2023-09-19,1648
2023-09-20,2037
2023-09-21,1921
2023-09-22,1885
2023-09-23,1594
2023-09-24,1354
2023-09-25,1608
2023-09-26,1520
2023-09-27,1825
2023-09-28,1877
2023-09-29,1902
2023-09-30,1972
2023-10-01,1894
2023-10-02,2166
2023-10-03,2176
2023-10-04,1917
2023-10-05,1891
2023-10-06,1824
2023-10-07,1735
2023-10-08,1683
2023-10-09,1621
2023-10-10,992
2023-10-11,953
2023-10-12,1108
2023-10-13,1270
2023-10-14,1430
2023-10-15,1165
2023-10-16,900
2023-10-17,773
2023-10-18,736
2023-10-19,673
2023-10-20,554
2023-10-21,244
2023-10-22,265
2023-10-23,285
2023-10-24,290
2023-10-25,323
2023-10-26,340
2023-10-27,361
2023-10-28,310
2023-10-29,308
2023-10-30,357
2023-10-31,384
2023-11-01,448
2023-11-02,408
2023-11-03,436
2023-11-04,376
2023-11-05,279
2023-11-06,345
2023-11-07,332
2023-11-08,446
2023-11-09,479
2023-11-10,622
2023-11-11,626
2023-11-12,569
2023-11-13,660
2023-11-14,704
2023-11-15,734
2023-11-16,820
2023-11-17,840
2023-11-18,704
2023-11-19,580
2023-11-20,526
2023-11-21,550
2023-11-22,525
2023-11-23,564
2023-11-24,451
2023-11-25,474
2023-11-26,460
2023-11-27,463
2023-11-28,519
2023-11-29,707
2023-11-30,728
2023-12-01,691
2023-12-02,751
2023-12-03,602
2023-12-04,691
2023-12-05,764
2023-12-06,736
2023-12-07,842
