,Sales Rank
2023-09-08,312
2023-09-09,329
2023-09-10,308
2023-09-11,362
2023-09-12,279
2023-09-13,363
2023-09-14,345
2023-09-15,357
2023-09-16,323
2023-09-17,273
2023-09-18,330
2023-09-19,349
2023-09-20,371
2023-09-21,344
2023-09-22,334
2023-09-23,351
2023-09-24,300
2023-09-25,294
2023-09-26,327
2023-09-27,346
2023-09-28,399
2023-09-29,517
2023-09-30,377
2023-10-01,427
2023-10-02,384
2023-10-03,494
2023-10-04,495
2023-10-05,491
2023-10-06,456
2023-10-07,463
2023-10-08,382
2023-10-09,413
2023-10-10,478
2023-10-11,516
2023-10-12,493
2023-10-13,551
2023-10-14,555
2023-10-15,566
2023-10-16,593
2023-10-17,690
2023-10-18,667
2023-10-19,570
2023-10-20,642
2023-10-21,677
2023-10-22,629
2023-10-23,570
2023-10-24,631
2023-10-25,670
2023-10-26,576
2023-10-27,556
2023-10-28,540
2023-10-29,547
2023-10-30,518
2023-10-31,570
2023-11-01,642
2023-11-02,594
2023-11-03,598
2023-11-04,593
2023-11-05,484
2023-11-06,550
2023-11-07,572
2023-11-08,512
2023-11-09,551
2023-11-11,619
2023-11-12,487
2023-11-13,562
2023-11-14,500
2023-11-15,625
2023-11-16,605
2023-11-17,678
2023-11-18,728
2023-11-19,542
2023-11-20,556
2023-11-21,606
2023-11-22,634
2023-11-23,615
2023-11-24,636
2023-11-25,631
2023-11-26,691
2023-11-27,748
2023-11-28,853
2023-11-29,865
2023-11-30,895
2023-12-01,831
2023-12-02,860
2023-12-03,804
2023-12-04,807
2023-12-05,788
2023-12-06,758
2023-12-07,845
2023-12-08,934
2023-12-09,786
2023-12-10,779
2023-12-11,654
2023-12-12,694
2023-12-13,795
2023-12-14,829
2023-12-15,851
2023-12-16,831
2023-12-17,787
2023-12-18,727
2023-12-19,770
2023-12-20,797
2023-12-21,727
2023-12-22,775
2023-12-23,774
2023-12-24,564
2023-12-25,641
2023-12-26,758
2023-12-27,593
2023-12-28,575
2023-12-29,544
2023-12-30,561
2023-12-31,494
2024-01-01,533
2024-01-02,651
2024-01-03,618
2024-01-04,631
2024-01-05,590
2024-01-06,541
2024-01-07,527
2024-01-08,683
2024-01-09,682
2024-01-10,682
2024-01-11,677
2024-01-12,664
2024-01-13,672
2024-01-14,640
2024-01-15,692
2024-01-16,754
2024-01-17,689
2024-01-18,702
2024-01-19,660
2024-01-20,764
2024-01-21,773
2024-01-22,613
2024-01-23,633
2024-01-24,607
2024-01-25,642
2024-01-26,633
2024-01-27,485
2024-01-28,476
2024-01-29,571
2024-01-30,671
2024-01-31,706
2024-02-01,643
2024-02-02,616
2024-02-03,608
2024-02-04,525
2024-02-05,618
2024-02-06,648
2024-02-07,644
2024-02-08,575
2024-02-09,644
2024-02-10,509
2024-02-11,552
2024-02-12,543
2024-02-13,661
2024-02-14,619
2024-02-15,638
2024-02-16,686
2024-02-17,603
2024-02-18,551
2024-02-19,470
2024-02-20,450
2024-02-21,506
2024-02-22,458
2024-02-23,444
2024-02-24,383
2024-02-25,322
2024-02-26,461
2024-02-27,459
2024-02-28,550
2024-02-29,578
2024-03-01,539
2024-03-02,339
2024-03-03,425
2024-03-04,426
2024-03-05,524
2024-03-06,524
2024-03-07,527
2024-03-08,476
2024-03-09,454
2024-03-10,407
2024-03-11,483
2024-03-12,465
2024-03-13,421
2024-03-14,359
2024-03-15,405
2024-03-16,340
2024-03-17,249
2024-03-18,311
2024-03-19,325
2024-03-20,337
2024-03-21,366
2024-03-22,404
2024-03-23,403
2024-03-24,382
2024-03-25,456
2024-03-26,396
2024-03-27,407
2024-03-28,491
2024-03-29,601
2024-03-30,507
2024-03-31,434
2024-04-01,450
2024-04-02,540
2024-04-03,467
2024-04-04,502
2024-04-05,571
2024-04-06,483
2024-04-07,392
2024-04-08,422
2024-04-09,503
2024-04-10,490
2024-04-11,515
2024-04-12,407
2024-04-13,397
2024-04-14,328
2024-04-15,402
2024-04-16,345
2024-04-17,395
2024-04-18,409
2024-04-19,475
2024-04-20,352
2024-04-21,371
2024-04-22,320
2024-04-23,294
2024-04-24,289
2024-04-25,287
2024-04-26,261
2024-04-27,280
2024-04-28,214
2024-04-29,270
2024-04-30,360
2024-05-01,382
2024-05-02,371
2024-05-03,369
2024-05-04,408
2024-05-05,349
2024-05-06,349
2024-05-07,379
2024-05-08,489
2024-05-09,447
2024-05-10,405
2024-05-11,341
2024-05-12,317
2024-05-13,302
2024-05-14,322
2024-05-15,343
