,Sales Rank
2023-05-30,1195
2023-05-31,1250
2023-06-01,1235
2023-06-02,1563
2023-06-03,1284
2023-06-04,1248
2023-06-05,1323
2023-06-06,1122
2023-06-07,1171
2023-06-08,1099
2023-06-09,1066
2023-06-10,939
2023-06-11,1000
2023-06-12,1172
2023-06-13,1170
2023-06-14,1109
2023-06-15,1247
2023-06-16,1240
2023-06-17,1213
2023-06-18,1206
2023-06-19,934
2023-06-20,973
2023-06-21,917
2023-06-22,910
2023-06-23,952
2023-06-24,959
2023-06-25,990
2023-06-26,882
2023-06-27,894
2023-06-28,844
2023-06-29,832
2023-06-30,1010
2023-07-01,927
2023-07-02,854
2023-07-03,929
2023-07-04,933
2023-07-05,957
2023-07-06,910
2023-07-07,970
2023-07-08,994
2023-07-09,974
2023-07-10,999
2023-07-11,1323
2023-07-12,1517
2023-07-13,1555
2023-07-14,1528
2023-07-15,1400
2023-07-16,1464
2023-07-17,1370
2023-07-18,1382
2023-07-19,1369
2023-07-20,1382
2023-07-21,1337
2023-07-22,1281
2023-07-23,1326
2023-07-24,1356
2023-07-25,1352
2023-07-26,1281
2023-07-27,1272
2023-07-28,1295
2023-07-29,1206
2023-07-30,1203
2023-07-31,1147
2023-08-01,1118
2023-08-03,1057
2023-08-06,833
2023-08-07,798
2023-08-08,1054
2023-08-09,1121
2023-08-10,1224
2023-08-11,1162
2023-08-12,1193
2023-08-13,1308
2023-08-14,1171
2023-08-15,1041
2023-08-16,1080
2023-08-17,1017
2023-08-18,1141
2023-08-19,1057
2023-08-20,974
2023-08-21,1028
2023-08-22,989
2023-08-23,856
2023-08-24,982
2023-08-25,878
2023-08-26,880
2023-08-27,795
2023-08-29,780
2023-08-30,807
2023-09-01,771
2023-09-03,649
2023-09-04,782
2023-09-05,786
2023-09-06,770
2023-09-07,757
2023-09-08,674
2023-09-09,777
2023-09-10,799
2023-09-11,610
2023-09-12,714
2023-09-13,782
2023-09-14,811
2023-09-15,804
2023-09-16,819
2023-09-17,794
2023-09-18,701
2023-09-20,878
2023-09-22,939
2023-09-23,934
2023-09-24,783
2023-09-26,640
2023-09-27,781
2023-09-28,836
2023-09-29,844
2023-10-01,675
2023-10-02,595
2023-10-03,750
2023-10-04,768
2023-10-05,694
2023-10-07,891
2023-10-08,769
2023-10-09,762
2023-10-10,794
2023-10-11,1020
2023-10-12,901
2023-10-13,883
2023-10-14,917
2023-10-15,810
2023-10-17,789
2023-10-18,845
2023-10-19,807
2023-10-20,783
2023-10-21,635
2023-10-22,649
2023-10-24,535
2023-10-25,575
2023-10-26,617
2023-10-27,694
2023-10-28,649
2023-10-30,690
2023-10-31,675
2023-11-01,678
2023-11-02,706
2023-11-03,681
2023-11-04,688
2023-11-05,625
2023-11-06,738
2023-11-07,713
2023-11-08,752
2023-11-10,889
2023-11-12,722
2023-11-13,776
2023-11-14,748
2023-11-15,872
2023-11-17,1006
2023-11-18,1015
2023-11-21,1126
2023-11-22,1235
2023-11-23,1372
2023-11-24,1853
2023-11-25,1630
2023-11-27,1577
2023-11-28,1565
2023-12-01,1229
2023-12-02,1086
2023-12-03,928
2023-12-04,938
2023-12-05,1029
2023-12-06,968
2023-12-08,901
2023-12-09,912
2023-12-11,859
2023-12-12,947
2023-12-13,907
2023-12-15,1025
2023-12-16,1021
2023-12-18,751
2023-12-19,895
2023-12-20,886
2023-12-21,866
2023-12-22,922
2023-12-23,967
2023-12-24,1052
2023-12-26,955
2023-12-27,889
2023-12-30,902
2023-12-31,962
2024-01-01,893
2024-01-04,837
2024-01-05,947
2024-01-06,833
2024-01-08,847
2024-01-09,889
2024-01-10,965
2024-01-11,956
2024-01-12,954
2024-01-13,888
2024-01-14,789
2024-01-15,744
2024-01-16,893
2024-01-17,927
2024-01-18,935
2024-01-20,881
2024-01-21,876
2024-01-23,845
2024-01-24,849
2024-01-25,930
2024-01-26,700
2024-01-27,664
2024-01-28,592
2024-01-30,630
2024-01-31,721
2024-02-02,661
2024-02-03,705
2024-02-04,578
2024-02-06,671
2024-02-07,716
2024-02-08,640
2024-02-09,735
2024-02-10,672
2024-02-11,652
2024-02-12,641
2024-02-13,732
2024-02-14,667
2024-02-15,711
2024-02-16,616
2024-02-17,631
2024-02-18,543
2024-02-19,635
2024-02-20,638
2024-02-21,630
2024-02-22,607
2024-02-24,656
2024-02-25,549
2024-02-26,521
2024-02-27,642
2024-02-28,626
2024-03-01,586
2024-03-02,659
2024-03-03,588
2024-03-04,658
2024-03-05,589
2024-03-06,702
2024-03-07,679
2024-03-08,689
2024-03-09,749
2024-03-10,631
2024-03-11,561
2024-03-12,583
2024-03-13,653
2024-03-14,694
2024-03-15,677
2024-03-16,684
2024-03-17,516
2024-03-19,552
2024-03-20,611
2024-03-21,680
2024-03-22,718
2024-03-23,704
2024-03-25,734
2024-03-26,759
2024-03-27,690
2024-03-28,698
2024-03-29,807
2024-03-30,748
2024-04-01,560
2024-04-03,664
2024-04-04,686
2024-04-05,622
2024-04-06,594
2024-04-07,574
2024-04-09,539
2024-04-10,595
2024-04-12,554
2024-04-13,567
2024-04-14,511
2024-04-15,603
2024-04-17,658
2024-04-18,644
2024-04-19,676
2024-04-20,692
2024-04-22,726
2024-04-23,726
2024-04-24,799
2024-04-25,796
2024-04-26,673
2024-04-27,765
2024-04-28,733
2024-04-29,716
2024-04-30,715
2024-05-01,732
2024-05-04,657
2024-05-05,550
2024-05-07,597
2024-05-08,727
2024-05-10,674
2024-05-11,619
2024-05-12,560
2024-05-14,604
2024-05-15,605
2024-05-16,586
2024-05-17,614
2024-05-18,527
2024-05-19,528
2024-05-21,556
2024-05-22,499
2024-05-23,610
2024-05-25,575
2024-05-26,525
2024-05-28,534
2024-05-30,614
2024-05-31,633
2024-06-01,584
2024-06-02,571
2024-06-03,574
2024-06-04,559
2024-06-05,593
2024-06-06,555
2024-06-07,509
2024-06-08,550
2024-06-09,478
2024-06-10,556
2024-06-11,506
2024-06-12,573
2024-06-13,638
2024-06-14,634
2024-06-15,650
2024-06-16,585
2024-06-17,586
2024-06-18,616
2024-06-19,587
2024-06-21,602
2024-06-22,558
2024-06-24,490
2024-06-25,563
2024-06-26,613
2024-06-27,463
2024-06-28,543
2024-06-29,507
2024-07-01,478
2024-07-02,488
2024-07-03,541
2024-07-04,564
2024-07-05,609
2024-07-06,588
2024-07-07,522
2024-07-09,612
2024-07-10,658
2024-07-11,742
2024-07-14,795
2024-07-15,889
2024-07-17,1424
2024-07-18,1342
2024-07-19,1202
2024-07-20,1071
2024-07-21,1026
2024-07-22,1027
2024-07-23,936
2024-07-24,946
2024-07-25,1036
2024-07-26,902
2024-07-27,854
2024-07-28,775
2024-07-29,780
2024-07-30,822
2024-07-31,1025
2024-08-01,1066
2024-08-03,933
2024-08-04,925
2024-08-06,797
2024-08-07,847
2024-08-08,851
2024-08-09,770
2024-08-11,653
2024-08-12,632
2024-08-13,615
2024-08-15,641
2024-08-17,618
2024-08-18,543
2024-08-20,562
2024-08-22,688
2024-08-23,749
2024-08-24,724
2024-08-25,716
2024-08-26,764
2024-08-27,629
2024-08-28,719
2024-08-29,702
2024-08-30,693
2024-08-31,668
2024-09-01,655
2024-09-02,639
2024-09-03,581
2024-09-04,603
2024-09-05,589
2024-09-06,671
2024-09-07,710
2024-09-09,650
2024-09-10,611
2024-09-11,659
2024-09-12,700
2024-09-13,697
2024-09-14,848
2024-09-16,749
2024-09-18,797
2024-09-19,926
2024-09-20,861
2024-09-21,822
2024-09-23,817
2024-09-25,1010
2024-09-26,979
2024-09-27,868
2024-09-28,748
2024-09-29,777
2024-09-30,821
2024-10-01,921
2024-10-02,843
2024-10-03,750
2024-10-04,876
2024-10-05,674
2024-10-06,726
2024-10-07,738
2024-10-08,799
2024-10-09,794
2024-10-10,840
2024-10-11,795
2024-10-12,684
2024-10-13,600
2024-10-15,589
2024-10-16,535
2024-10-17,594
2024-10-19,602
2024-10-20,462
2024-10-22,547
2024-10-23,541
2024-10-24,530
2024-10-26,560
2024-10-27,450
2024-10-28,499
2024-10-29,542
2024-10-30,656
2024-10-31,630
2024-11-01,707
2024-11-02,688
2024-11-03,710
2024-11-04,693
2024-11-05,751
2024-11-06,636
2024-11-07,665
2024-11-08,733
2024-11-09,719
2024-11-10,712
2024-11-11,750
2024-11-12,754
2024-11-13,852
2024-11-14,886
2024-11-15,762
2024-11-16,799
2024-11-17,664
2024-11-18,691
2024-11-19,752
2024-11-20,781
2024-11-21,876
2024-11-22,951
2024-11-23,871
2024-11-24,884
2024-11-25,1016
2024-11-26,1058
2024-11-28,1150
2024-11-29,1237
2024-11-30,1202
2024-12-01,1155
2024-12-02,1163
2024-12-03,1154
2024-12-05,1235
2024-12-06,1458
2024-12-08,1301
2024-12-09,1250
2024-12-10,1371
2024-12-13,1516
2024-12-14,1364
2024-12-15,1503
2024-12-17,1576
2024-12-18,1604
2024-12-20,1681
2024-12-21,1477
2024-12-22,1596
2024-12-23,1525
2024-12-24,1603
2024-12-25,1551
2024-12-26,1533
2024-12-27,1299
2024-12-28,1078
2024-12-29,1029
2024-12-30,964
2024-12-31,1001
2025-01-01,945
2025-01-02,1035
2025-01-03,953
2025-01-04,946
2025-01-05,751
2025-01-06,680
2025-01-07,670
2025-01-08,763
2025-01-09,889
2025-01-10,931
2025-01-11,767
2025-01-12,849
