,Sales Rank
2023-06-15,92989
2023-06-17,100373
2023-06-18,116226
2023-06-19,87287
2023-06-24,162347
2023-06-25,64561
2023-06-26,92928
2023-06-27,103905
2023-07-01,79059
2023-07-02,72176
2023-07-03,60795
2023-07-04,32972
2023-07-05,41705
2023-07-06,13416
2023-07-07,212
2023-07-08,1267
2023-07-09,1785
2023-07-10,2165
2023-07-11,3160
2023-07-12,4748
2023-07-13,5071
2023-07-14,3163
2023-07-15,3142
2023-07-16,2863
2023-07-17,2034
2023-07-18,2064
2023-07-19,2270
2023-07-20,2071
2023-07-21,2005
2023-07-22,2085
2023-07-23,2160
2023-07-24,2082
2023-07-25,2142
2023-07-26,2120
2023-07-27,2121
2023-07-28,2363
2023-07-29,3226
2023-07-30,3708
2023-07-31,3524
2023-08-01,2698
2023-08-02,3161
2023-08-03,3105
2023-08-04,3451
2023-08-05,3154
2023-08-06,3651
2023-08-07,4583
2023-08-08,1485
2023-08-09,1665
2023-08-10,2265
2023-08-11,3234
2023-08-12,3709
2023-08-13,3696
2023-08-14,3653
2023-08-15,4057
2023-08-16,2808
2023-08-17,3421
2023-08-18,3408
2023-08-19,5111
2023-08-20,6892
2023-08-21,3984
2023-08-22,3624
2023-08-23,2960
2023-08-24,3125
2023-08-25,267
2023-08-26,296
2023-08-27,325
2023-08-28,246
2023-08-29,249
2023-08-30,251
2023-08-31,291
2023-09-01,308
2023-09-02,353
2023-09-03,383
2023-09-04,322
2023-09-05,291
2023-09-06,290
2023-09-07,290
2023-09-08,292
2023-09-09,317
2023-09-10,300
2023-09-11,233
2023-09-12,235
2023-09-13,247
2023-09-14,250
2023-09-15,239
2023-09-16,54222
2023-09-17,83415
2023-09-18,93422
2023-09-19,101692
2023-09-20,13
2023-09-21,15
2023-09-22,16
2023-09-23,19
2023-09-24,20
2023-09-25,17
2023-09-26,14
2023-09-27,21
2023-09-28,13
2023-09-29,14
2023-09-30,20
2023-10-01,18
2023-10-02,18
2023-10-03,28
2023-10-04,24
2023-10-05,22
2023-10-06,23
2023-10-07,26
2023-10-08,22
2023-10-09,22
2023-10-10,20
2023-10-11,46
2023-10-12,38
2023-10-13,24
2023-10-14,27
2023-10-15,18
2023-10-16,25
2023-10-17,19
2023-10-18,13
2023-10-19,14
2023-10-20,16
2023-10-21,16
2023-10-22,13
2023-10-23,14
2023-10-24,16
2023-10-25,14
2023-10-26,12
2023-10-27,14
2023-10-28,17
2023-10-29,15
2023-10-30,17
2023-10-31,17
2023-11-01,14
2023-11-02,17
2023-11-03,16
2023-11-04,17
2023-11-05,14
2023-11-06,15
2023-11-07,16
2023-11-08,14
2023-11-09,16
2023-11-10,15
2023-11-11,14
2023-11-12,17
2023-11-13,16
2023-11-14,21
2023-11-15,18
2023-11-16,21
2023-11-17,9
2023-11-18,14
2023-11-19,19
2023-11-20,16
2023-11-21,25
2023-11-22,21
2023-11-23,23
2023-11-24,41
2023-11-25,40
2023-11-26,35
2023-11-27,45
2023-11-28,37
2023-11-29,25
2023-11-30,21
2023-12-01,19
2023-12-02,20
2023-12-03,19
2023-12-04,21
2023-12-05,23
2023-12-07,22
2023-12-08,25
2023-12-09,27
2023-12-10,26
2023-12-11,25
2023-12-12,28
2023-12-13,19
2023-12-14,22
2023-12-15,28
2023-12-16,30
2023-12-17,34
2023-12-18,39
2023-12-19,44
2023-12-20,36
