,Sales Rank
2023-09-12,184
2023-09-13,152
2023-09-14,160
2023-09-15,152
2023-09-16,209
2023-09-17,253
2023-09-18,250
2023-09-19,177
2023-09-20,187
2023-09-21,169
2023-09-22,186
2023-09-23,217
2023-09-24,286
2023-09-25,225
2023-09-26,163
2023-09-27,162
2023-09-28,136
2023-09-29,150
2023-09-30,177
2023-10-01,178
2023-10-02,193
2023-10-03,167
2023-10-04,173
2023-10-05,176
2023-10-06,189
2023-10-07,210
2023-10-08,230
2023-10-09,225
2023-10-10,203
2023-10-11,301
2023-10-12,273
2023-10-13,231
2023-10-14,200
2023-10-15,243
2023-10-16,263
2023-10-17,231
2023-10-18,211
2023-10-19,196
2023-10-20,202
2023-10-21,192
2023-10-22,188
2023-10-23,213
2023-10-24,180
2023-10-25,156
2023-10-26,160
2023-10-27,172
2023-10-28,193
2023-10-29,211
2023-10-30,251
2023-10-31,216
2023-11-01,193
2023-11-02,202
2023-11-03,187
2023-11-04,204
2023-11-05,264
2023-11-06,265
2023-11-07,201
2023-11-08,170
2023-11-09,168
2023-11-10,184
2023-11-11,222
2023-11-12,243
2023-11-13,247
2023-11-14,191
2023-11-15,192
2023-11-16,180
2023-11-17,213
2023-11-18,235
2023-11-19,234
2023-11-20,252
2023-11-21,227
2023-11-22,272
2023-11-23,243
2023-11-24,412
2023-11-25,527
2023-11-26,656
2023-11-27,655
2023-11-28,678
2023-11-29,312
2023-11-30,257
2023-12-01,259
2023-12-02,350
2023-12-03,454
2023-12-04,407
2023-12-05,314
2023-12-06,257
2023-12-07,290
2023-12-08,303
2023-12-09,304
2023-12-10,414
2023-12-11,368
2023-12-12,367
2023-12-13,288
2023-12-14,303
2023-12-15,419
2023-12-16,452
2023-12-17,442
2023-12-18,601
2023-12-19,478
2023-12-20,403
2023-12-21,392
2023-12-22,400
2023-12-23,424
2023-12-24,487
2023-12-25,569
2023-12-26,339
2023-12-27,286
2023-12-28,225
2023-12-29,218
2023-12-30,227
2023-12-31,297
2024-01-01,360
2024-01-02,312
2024-01-03,213
2024-01-04,179
2024-01-05,196
2024-01-06,251
2024-01-07,296
2024-01-08,313
2024-01-09,219
2024-01-10,222
2024-01-11,226
2024-01-12,194
2024-01-13,225
2024-01-14,334
2024-01-15,312
2024-01-16,281
2024-01-17,215
2024-01-18,211
2024-01-19,188
2024-01-20,265
2024-01-21,354
2024-01-22,229
2024-01-23,155
2024-01-24,108
2024-01-25,104
2024-01-26,119
2024-01-27,131
2024-01-28,156
2024-01-29,196
2024-01-30,159
2024-01-31,192
