,Sales Rank
2023-08-08,823
2023-08-09,763
2023-08-10,793
2023-08-11,807
2023-08-12,833
2023-08-13,810
2023-08-14,821
2023-08-15,762
2023-08-16,714
2023-08-17,733
2023-08-18,812
2023-08-19,801
2023-08-20,768
2023-08-21,803
2023-08-22,677
2023-08-23,726
2023-08-24,698
2023-08-25,834
2023-08-26,723
2023-08-27,778
2023-08-28,702
2023-08-29,653
2023-08-30,718
2023-08-31,734
2023-09-01,783
2023-09-02,944
2023-09-03,830
2023-09-04,789
2023-09-05,784
2023-09-06,837
2023-09-07,813
2023-09-08,801
2023-09-09,807
2023-09-10,732
2023-09-11,728
2023-09-12,761
2023-09-13,706
2023-09-14,702
2023-09-15,692
2023-09-16,739
2023-09-17,818
2023-09-18,709
2023-09-19,641
2023-09-20,591
2023-09-21,584
2023-09-22,645
2023-09-23,613
2023-09-24,588
2023-09-25,663
2023-09-26,709
2023-09-27,697
2023-09-28,808
2023-09-29,818
2023-09-30,820
2023-10-01,827
2023-10-02,732
2023-10-03,763
2023-10-04,732
2023-10-05,688
2023-10-06,719
2023-10-07,774
2023-10-08,804
2023-10-09,731
2023-10-10,766
2023-10-11,717
2023-10-12,581
2023-10-13,689
2023-10-14,748
2023-10-15,843
2023-10-16,744
2023-10-17,787
2023-10-18,830
2023-10-19,827
2023-10-20,829
2023-10-21,884
2023-10-22,834
2023-10-23,910
2023-10-24,637
2023-10-25,756
2023-10-26,751
2023-10-27,820
2023-10-28,797
2023-10-29,833
2023-10-30,746
2023-10-31,937
2023-11-01,1018
2023-11-02,982
2023-11-03,989
2023-11-04,995
2023-11-05,853
2023-11-06,875
2023-11-07,862
2023-11-08,756
2023-11-09,874
2023-11-10,874
2023-11-11,893
2023-11-12,803
2023-11-13,778
2023-11-14,870
2023-11-15,840
2023-11-18,710
2023-11-19,861
2023-11-21,822
2023-11-22,841
2023-11-23,788
2023-11-25,605
2023-11-26,536
2023-11-27,612
2023-11-28,446
2023-11-29,788
2023-11-30,863
2023-12-01,922
2023-12-02,929
2023-12-03,975
2023-12-04,800
2023-12-05,721
2023-12-06,766
2023-12-07,845
2023-12-08,866
2023-12-09,754
2023-12-10,780
2023-12-11,730
2023-12-12,739
2023-12-13,747
2023-12-14,768
2023-12-15,774
2023-12-16,781
2023-12-17,657
2023-12-18,659
2023-12-19,661
2023-12-20,683
2023-12-21,737
2023-12-22,763
2023-12-23,772
2023-12-24,847
2023-12-25,925
2023-12-26,962
2023-12-27,854
2023-12-28,830
2023-12-29,820
2023-12-30,837
2023-12-31,913
2024-01-01,798
2024-01-02,766
2024-01-03,728
2024-01-04,512
2024-01-05,523
2024-01-06,554
2024-01-07,632
2024-01-08,748
2024-01-09,843
2024-01-10,915
2024-01-12,783
2024-01-13,738
2024-01-14,750
2024-01-15,780
2024-01-16,999
2024-01-17,1023
2024-01-18,1018
2024-01-19,1062
2024-01-20,1171
2024-01-21,989
2024-01-23,1076
2024-01-24,943
2024-01-25,942
