,Sales Rank
2023-06-24,1354
2023-06-25,1781
2023-06-26,2181
2023-06-27,2001
2023-06-28,2289
2023-06-29,2216
2023-06-30,2378
2023-07-01,2108
2023-07-02,2072
2023-07-03,2033
2023-07-04,2024
2023-07-05,2131
2023-07-06,1509
2023-07-07,1366
2023-07-08,1052
2023-07-09,759
2023-07-10,810
2023-07-11,1298
2023-07-12,1571
2023-07-13,1308
2023-07-14,1301
2023-07-15,870
2023-07-16,758
2023-07-17,728
2023-07-18,732
2023-07-19,651
2023-07-20,747
2023-07-21,856
2023-07-22,919
2023-07-23,854
2023-07-24,1033
2023-07-25,1086
2023-07-26,1456
2023-07-27,2099
2023-07-28,2708
2023-07-29,2514
2023-07-30,3049
2023-07-31,2850
2023-08-01,3030
2023-08-02,2602
2023-08-03,2698
2023-08-04,2381
2023-08-05,2105
2023-08-06,1892
2023-08-07,1859
2023-08-08,1780
2023-08-09,1697
2023-08-10,1311
2023-08-11,1258
2023-08-12,853
2023-08-13,882
2023-08-14,948
2023-08-15,782
2023-08-16,750
2023-08-17,907
2023-08-18,833
2023-08-19,746
2023-08-20,719
2023-08-21,836
2023-08-22,735
2023-08-23,661
2023-08-24,671
2023-08-25,687
2023-08-26,709
2023-08-27,669
2023-08-28,714
2023-08-29,713
2023-08-30,704
2023-08-31,741
2023-09-01,719
2023-09-02,737
2023-09-03,742
2023-09-04,721
2023-09-05,772
2023-09-06,689
2023-09-07,730
2023-09-08,736
2023-09-09,727
2023-09-10,739
2023-09-11,741
2023-09-12,767
2023-09-13,812
2023-09-14,854
2023-09-15,837
2023-09-16,803
2023-09-17,798
2023-09-18,829
2023-09-19,856
2023-09-20,803
2023-09-21,856
2023-09-22,879
2023-09-23,849
2023-09-24,908
2023-09-25,930
2023-09-26,936
2023-09-27,916
2023-09-28,967
2023-09-29,946
2023-09-30,947
2023-10-01,997
2023-10-02,890
2023-10-03,978
2023-10-04,960
2023-10-05,849
2023-10-06,1054
2023-10-07,874
2023-10-08,791
2023-10-09,821
2023-10-10,755
2023-10-11,1149
2023-10-12,984
2023-10-13,951
2023-10-14,898
2023-10-16,784
2023-10-17,932
2023-10-18,779
2023-10-19,765
2023-10-20,750
2023-10-21,683
2023-10-22,745
2023-10-23,795
2023-10-24,728
2023-10-25,781
2023-10-26,770
2023-10-27,850
2023-10-28,752
2023-10-29,719
2023-10-30,747
2023-10-31,695
2023-11-01,674
2023-11-02,653
2023-11-03,708
2023-11-04,753
2023-11-05,744
2023-11-06,816
2023-11-07,805
2023-11-08,722
2023-11-09,776
2023-11-10,706
2023-11-11,659
2023-11-12,614
2023-11-13,702
2023-11-14,646
2023-11-15,656
2023-11-16,703
2023-11-17,726
2023-11-18,674
2023-11-19,681
2023-11-20,578
2023-11-21,656
2023-11-22,612
2023-11-23,734
2023-11-24,874
2023-11-25,706
2023-11-26,700
2023-11-27,856
2023-11-28,781
2023-11-29,676
2023-11-30,625
2023-12-01,660
2023-12-02,620
2023-12-03,665
2023-12-04,765
2023-12-05,754
2023-12-06,743
2023-12-07,667
2023-12-08,804
2023-12-09,718
2023-12-10,697
2023-12-11,711
2023-12-12,686
2023-12-13,693
2023-12-14,715
2023-12-15,739
2023-12-16,741
2023-12-17,751
2023-12-18,787
2023-12-19,716
2023-12-20,708
2023-12-21,739
2023-12-22,757
2023-12-23,617
2023-12-24,707
2023-12-25,741
2023-12-26,700
2023-12-27,657
2023-12-28,656
2023-12-29,681
2023-12-30,608
2023-12-31,646
2024-01-01,728
2024-01-02,616
2024-01-03,629
2024-01-04,605
2024-01-05,619
2024-01-06,472
2024-01-07,495
2024-01-08,562
2024-01-09,542
2024-01-10,490
2024-01-11,509
2024-01-12,440
2024-01-13,431
2024-01-14,228
2024-01-15,229
2024-01-16,229
2024-01-17,213
2024-01-18,298
2024-01-19,281
2024-01-20,316
2024-01-21,282
2024-01-22,347
2024-01-23,406
2024-01-24,429
2024-01-25,507
2024-01-26,511
2024-01-27,524
2024-01-28,488
2024-01-29,580
2024-01-30,588
2024-01-31,637
2024-02-01,652
2024-02-02,548
2024-02-03,496
2024-02-04,516
2024-02-05,575
2024-02-06,565
2024-02-07,573
2024-02-08,604
2024-02-09,533
2024-02-10,498
2024-02-11,514
2024-02-12,545
2024-02-13,553
2024-02-14,542
2024-02-15,505
2024-02-16,541
2024-02-17,534
2024-02-18,467
2024-02-19,557
2024-02-20,546
2024-02-21,570
2024-02-22,701
2024-02-23,713
2024-02-24,563
2024-02-25,622
2024-02-26,602
2024-02-27,602
2024-02-28,630
2024-02-29,623
2024-03-01,619
2024-03-02,543
2024-03-03,538
2024-03-04,552
2024-03-05,603
2024-03-06,625
2024-03-07,589
2024-03-08,597
2024-03-09,535
2024-03-10,549
2024-03-11,517
2024-03-12,531
2024-03-13,525
2024-03-14,572
2024-03-15,595
2024-03-16,522
2024-03-17,546
2024-03-18,567
2024-03-19,545
2024-03-20,508
2024-03-21,513
2024-03-22,477
2024-03-23,501
2024-03-24,472
2024-03-25,574
2024-03-26,543
2024-03-27,488
2024-03-28,481
2024-03-29,456
2024-03-30,414
2024-03-31,408
2024-04-01,479
2024-04-02,526
2024-04-03,562
2024-04-04,540
2024-04-05,513
2024-04-06,460
2024-04-07,472
2024-04-08,529
2024-04-09,518
2024-04-10,531
2024-04-11,549
2024-04-12,542
2024-04-13,519
2024-04-14,539
2024-04-15,560
2024-04-16,519
2024-04-17,519
2024-04-18,530
2024-04-19,559
2024-04-20,597
2024-04-21,598
2024-04-22,549
2024-04-23,619
2024-04-24,589
2024-04-25,569
2024-04-26,608
2024-04-27,573
2024-04-28,593
2024-04-29,615
2024-04-30,595
2024-05-01,643
2024-05-02,639
2024-05-03,596
2024-05-04,569
2024-05-05,594
2024-05-06,590
2024-05-07,690
2024-05-08,732
2024-05-09,640
2024-05-10,601
2024-05-11,536
2024-05-12,527
2024-05-13,607
2024-05-14,613
2024-05-15,670
2024-05-16,803
2024-05-17,754
2024-05-18,756
2024-05-19,755
2024-05-20,657
2024-05-21,596
2024-05-22,614
2024-05-23,668
2024-05-24,763
2024-05-25,786
2024-05-26,826
2024-05-27,874
2024-05-28,871
2024-05-29,867
2024-05-30,797
2024-05-31,872
2024-06-01,794
2024-06-02,878
2024-06-03,869
2024-06-04,802
2024-06-05,765
2024-06-06,648
2024-06-07,563
2024-06-08,598
2024-06-09,535
2024-06-10,675
2024-06-11,623
2024-06-12,592
2024-06-13,600
2024-06-14,528
2024-06-15,440
2024-06-16,432
2024-06-17,455
2024-06-18,456
2024-06-19,487
2024-06-20,505
2024-06-21,432
2024-06-22,405
2024-06-23,446
2024-06-24,452
2024-06-25,466
2024-06-26,473
2024-06-27,426
2024-06-28,457
2024-06-29,415
2024-06-30,442
2024-07-01,448
2024-07-02,427
2024-07-03,421
2024-07-04,392
2024-07-05,389
2024-07-06,403
2024-07-07,386
2024-07-08,416
2024-07-09,408
2024-07-10,400
2024-07-11,400
2024-07-12,403
2024-07-13,401
2024-07-14,465
2024-07-15,456
2024-07-16,859
2024-07-17,952
2024-07-18,739
2024-07-19,550
2024-07-20,411
2024-07-21,416
2024-07-22,437
2024-07-23,408
2024-07-24,407
2024-07-25,423
2024-07-26,404
2024-07-27,405
2024-07-28,408
2024-07-29,448
2024-07-30,449
2024-07-31,445
2024-08-01,452
2024-08-02,441
2024-08-03,438
2024-08-04,419
2024-08-05,408
2024-08-06,425
2024-08-07,427
2024-08-09,463
2024-08-10,453
2024-08-11,379
2024-08-12,397
2024-08-13,425
2024-08-14,403
2024-08-15,441
2024-08-16,441
2024-08-17,405
2024-08-18,420
2024-08-19,434
2024-08-20,398
2024-08-21,455
2024-08-22,464
2024-08-23,496
2024-08-24,387
2024-08-25,369
2024-08-26,451
2024-08-27,413
2024-08-28,420
2024-08-29,442
2024-08-30,474
2024-08-31,393
2024-09-01,425
2024-09-02,428
2024-09-03,388
2024-09-04,395
2024-09-05,394
2024-09-06,383
2024-09-07,338
2024-09-08,344
2024-09-09,382
2024-09-10,363
2024-09-11,372
2024-09-12,431
2024-09-13,448
2024-09-14,380
2024-09-15,398
2024-09-16,400
2024-09-17,401
2024-09-18,440
2024-09-19,425
2024-09-20,440
2024-09-21,416
2024-09-22,424
2024-09-23,488
2024-09-24,462
2024-09-25,490
2024-09-26,472
2024-09-27,490
2024-09-28,457
2024-09-29,409
2024-09-30,460
2024-10-01,490
2024-10-02,469
2024-10-03,452
2024-10-04,444
2024-10-05,450
2024-10-06,448
2024-10-07,467
2024-10-08,800
2024-10-09,794
2024-10-10,720
2024-10-11,500
2024-10-12,427
2024-10-13,415
2024-10-14,453
2024-10-15,590
2024-10-16,656
2024-10-17,656
2024-10-18,684
2024-10-19,611
2024-10-20,705
2024-10-21,758
2024-10-22,658
2024-10-23,777
2024-10-24,811
2024-10-25,827
2024-10-26,686
2024-10-27,701
2024-10-28,671
2024-10-29,543
2024-10-30,544
2024-10-31,496
2024-11-01,552
2024-11-02,448
2024-11-03,426
2024-11-04,483
2024-11-05,449
2024-11-06,493
2024-11-07,505
2024-11-08,464
2024-11-09,368
2024-11-10,413
2024-11-11,402
2024-11-12,392
2024-11-13,457
2024-11-14,449
2024-11-15,393
2024-11-16,357
2024-11-17,341
2024-11-18,395
2024-11-19,414
2024-11-20,424
2024-11-21,450
2024-11-22,438
2024-11-23,473
2024-11-24,448
2024-11-25,482
2024-11-26,476
2024-11-27,462
2024-11-28,546
2024-11-29,643
2024-11-30,536
2024-12-01,513
2024-12-02,617
2024-12-03,479
2024-12-04,496
2024-12-05,428
2024-12-06,405
2024-12-07,355
2024-12-08,357
2024-12-09,456
2024-12-10,442
2024-12-11,448
2024-12-12,411
2024-12-13,383
2024-12-14,387
2024-12-15,400
2024-12-16,439
2024-12-17,506
2024-12-18,496
2024-12-19,496
2024-12-20,457
2024-12-21,377
2024-12-22,337
2024-12-23,340
2024-12-24,331
2024-12-25,425
2024-12-26,388
2024-12-27,428
2024-12-28,400
2024-12-29,392
2024-12-30,436
2024-12-31,437
2025-01-01,443
2025-01-02,407
2025-01-03,380
2025-01-04,311
2025-01-05,299
2025-01-06,324
2025-01-07,285
2025-01-08,296
2025-01-09,301
2025-01-10,339
2025-01-11,290
2025-01-12,316
