,Sales Rank
2023-07-25,91626
2023-07-26,120272
2023-07-27,130994
2023-07-28,144068
2023-07-30,108870
2023-07-31,128736
2023-08-01,138040
2023-08-02,93527
2023-08-03,107259
2023-08-04,81752
2023-08-05,104678
2023-08-06,122350
2023-08-07,84817
2023-08-08,61624
2023-08-09,74600
2023-08-11,132015
2023-08-12,142188
2023-08-13,150034
2023-08-14,158495
2023-08-15,163892
2023-08-16,168050
2023-08-17,87788
2023-08-18,57448
2023-08-19,90244
2023-08-20,109386
2023-08-21,54772
2023-08-22,93321
2023-08-23,77055
2023-08-24,84433
2023-08-25,101701
2023-08-26,115746
2023-08-27,127295
2023-08-28,69080
2023-08-29,71464
2023-08-30,84513
2023-08-31,92955
2023-09-01,62731
2023-09-02,50014
2023-09-03,80016
2023-09-04,108311
2023-09-05,79581
2023-09-06,98100
2023-09-07,109612
2023-09-08,124601
2023-09-09,128493
2023-09-10,136957
2023-09-11,78307
2023-09-12,64691
2023-09-13,91632
2023-09-14,113338
2023-09-15,122600
2023-09-16,137866
2023-09-17,144452
2023-09-18,151326
2023-09-19,85125
2023-09-20,109177
2023-09-21,67841
2023-09-22,89328
2023-09-23,111675
2023-09-24,121904
2023-09-25,141156
2023-09-26,68380
2023-09-27,82430
2023-09-28,71
2023-09-29,65
2023-09-30,61
2023-10-01,50
2023-10-02,62
2023-10-03,66
2023-10-04,72
2023-10-05,70
2023-10-06,73
2023-10-07,52
2023-10-08,56
2023-10-09,60
2023-10-10,81
2023-10-11,83
2023-10-12,70
2023-10-13,70
2023-10-14,56
2023-10-15,54
2023-10-16,50
2023-10-17,61
2023-10-18,53
2023-10-19,52
2023-10-20,49
2023-10-21,44
2023-10-22,50
2023-10-23,48
2023-10-24,54
2023-10-25,64
2023-10-26,64
2023-10-27,66
2023-10-28,58
2023-10-29,59
2023-10-30,65
2023-10-31,72
2023-11-01,73
2023-11-02,62
2023-11-03,57
2023-11-04,50
2023-11-05,48
2023-11-06,49
2023-11-07,50
2023-11-08,51
2023-11-09,55
2023-11-10,55
