,Sales Rank
2023-10-03,3645
2023-10-04,4286
2023-10-05,3758
2023-10-06,4071
2023-10-07,4049
2023-10-08,4001
2023-10-09,4137
2023-10-10,3062
2023-10-11,2292
2023-10-12,2539
2023-10-13,3458
2023-10-14,4260
2023-10-15,3936
2023-10-16,5070
2023-10-17,4771
2023-10-18,4738
2023-10-19,4544
2023-10-20,4383
2023-10-21,4704
2023-10-22,5035
2023-10-23,5998
2023-10-24,5765
2023-10-25,5557
2023-10-26,5002
2023-10-27,4738
2023-10-28,6119
2023-10-29,5650
2023-10-30,5571
2023-10-31,4779
2023-11-01,6230
2023-11-02,5487
2023-11-03,5604
2023-11-04,7161
2023-11-05,5828
2023-11-06,5047
2023-11-07,6507
2023-11-08,5090
2023-11-09,5844
2023-11-10,6763
2023-11-11,5299
2023-11-12,5940
2023-11-13,6462
2023-11-14,6089
2023-11-15,6137
2023-11-16,5330
2023-11-17,4733
2023-11-18,4551
2023-11-19,4678
2023-11-20,4881
2023-11-21,5585
2023-11-22,5196
2023-11-23,3883
2023-11-24,4090
2023-11-25,4693
2023-11-26,4454
2023-11-27,5595
2023-11-28,5284
2023-11-29,5747
2023-11-30,5419
2023-12-01,6499
2023-12-02,6570
2023-12-03,7940
2023-12-04,7098
2023-12-05,6964
2023-12-06,6750
2023-12-07,7088
2023-12-08,7581
2023-12-09,9230
2023-12-10,8473
2023-12-11,7266
2023-12-12,7210
2023-12-13,8573
2023-12-14,7019
2023-12-15,8355
2023-12-16,8102
2023-12-18,7453
2023-12-19,8417
2023-12-20,8157
2023-12-21,8070
2023-12-22,7682
2023-12-23,6974
2023-12-24,6605
2023-12-25,7326
2023-12-26,7245
2023-12-27,6962
2023-12-28,6454
2023-12-29,5950
2023-12-30,6886
2023-12-31,7090
2024-01-01,6476
2024-01-02,6545
2024-01-03,6306
2024-01-04,7139
2024-01-05,7856
2024-01-06,7958
2024-01-07,6571
2024-01-08,7217
2024-01-09,8897
2024-01-10,8686
2024-01-11,8914
2024-01-12,6762
2024-01-13,7383
2024-01-14,7589
2024-01-15,7969
2024-01-16,7514
2024-01-17,7260
2024-01-18,6053
2024-01-19,7134
2024-01-20,5822
2024-01-21,6494
