,Sales Rank
2023-09-01,19802
2023-09-02,20920
2023-09-04,19297
2023-09-05,22717
2023-09-06,17343
2023-09-07,13281
2023-09-08,12524
2023-09-09,-1
2023-09-14,11307
2023-09-15,10488
2023-09-16,11963
2023-09-17,12207
2023-09-19,12801
2023-09-20,13995
2023-09-22,10530
2023-09-23,9048
2023-09-24,15860
2023-09-25,12985
2023-09-26,13757
2023-09-27,17338
2023-09-30,12231
2023-10-01,23326
2023-10-02,24647
2023-10-03,16362
2023-10-04,14409
2023-10-05,22317
2023-10-06,17513
2023-10-07,19544
2023-10-08,28903
2023-10-09,30373
2023-10-10,22039
2023-10-11,23398
2023-10-12,19219
2023-10-13,15789
2023-10-15,18619
2023-10-18,11008
2023-10-20,11266
2023-10-21,12242
2023-10-23,13069
2023-10-26,9632
2023-10-27,9484
2023-10-28,8047
2023-10-29,12913
2023-10-30,12361
2023-10-31,9743
2023-11-01,10161
2023-11-03,11749
2023-11-04,9282
2023-11-05,12497
2023-11-07,11053
2023-11-09,10595
2023-11-11,12293
2023-11-12,12351
2023-11-13,14331
2023-11-15,14344
2023-11-16,13185
2023-11-17,14308
2023-11-18,16904
2023-11-19,16980
2023-11-21,1361
2023-11-22,15007
2023-11-23,17225
2023-11-24,17035
2023-11-25,14378
2023-11-26,13702
2023-11-27,12635
2023-11-28,16093
2023-11-29,12170
2023-11-30,9195
2023-12-01,11392
2023-12-02,11420
2023-12-03,10315
2023-12-04,12786
2023-12-05,13258
2023-12-06,12554
2023-12-09,15275
2023-12-12,18160
2023-12-14,12990
2023-12-15,17802
2023-12-16,19527
2023-12-17,17925
2023-12-18,21309
2023-12-19,16281
2023-12-20,15279
2023-12-21,20311
2023-12-22,18829
2023-12-23,13234
2023-12-24,15275
2023-12-25,19240
2023-12-26,25794
2023-12-28,16468
2023-12-30,14150
2023-12-31,14229
2024-01-01,13677
2024-01-02,14131
2024-01-03,10297
2024-01-05,12811
2024-01-06,11022
2024-01-09,10699
2024-01-10,9719
2024-01-11,12366
2024-01-12,9958
2024-01-13,10636
2024-01-16,9052
2024-01-17,11046
2024-01-19,6263
2024-01-20,9042
2024-01-21,9875
2024-01-23,11282
2024-01-25,11607
2024-01-26,11989
2024-01-27,12216
2024-01-29,12475
2024-01-30,11472
2024-01-31,9763
2024-02-01,11020
2024-02-02,11246
2024-02-03,8195
2024-02-04,11618
2024-02-05,11519
2024-02-06,9765
2024-02-08,7582
2024-02-10,11039
2024-02-11,12298
2024-02-13,9819
2024-02-15,10582
2024-02-16,10711
2024-02-17,11000
2024-02-18,10649
2024-02-19,14171
2024-02-20,15062
2024-02-21,11441
2024-02-22,15112
2024-02-23,15436
2024-02-24,13507
2024-02-25,13276
2024-02-26,15285
2024-02-27,11458
2024-02-29,12208
2024-03-01,11579
2024-03-02,12110
2024-03-05,10140
2024-03-06,12222
2024-03-07,11547
2024-03-08,11407
2024-03-09,13488
2024-03-12,17600
2024-03-14,14972
2024-03-15,12937
2024-03-16,14729
2024-03-18,16335
2024-03-20,11858
2024-03-22,17229
2024-03-24,17805
2024-03-25,17568
2024-03-26,608
2024-03-27,674
2024-03-28,607
2024-03-29,651
2024-03-30,730
2024-03-31,803
2024-04-01,712
2024-04-02,600
2024-04-03,672
2024-04-04,569
2024-04-05,555
2024-04-06,575
2024-04-07,619
2024-04-08,778
2024-04-09,594
2024-04-10,459
2024-04-11,484
2024-04-12,356
2024-04-13,504
2024-04-14,610
2024-04-16,576
2024-04-17,515
2024-04-19,629
2024-04-20,579
2024-04-22,561
2024-04-27,613
2024-04-28,842
2024-04-29,812
2024-04-30,490
2024-05-01,465
2024-05-02,442
2024-05-03,491
2024-05-04,454
2024-05-05,551
2024-05-06,581
2024-05-07,479
2024-05-08,423
2024-05-09,379
2024-05-10,415
2024-05-11,446
2024-05-12,549
2024-05-13,425
2024-05-14,354
2024-05-15,274
2024-05-16,285
