,Sales Rank
2023-10-05,375
2023-10-06,329
2023-10-07,307
2023-10-08,280
2023-10-09,310
2023-10-10,102
2023-10-11,76
2023-10-12,89
2023-10-13,145
2023-10-14,178
2023-10-15,201
2023-10-16,232
2023-10-17,241
2023-10-18,270
2023-10-19,278
2023-10-20,278
2023-10-21,266
2023-10-22,244
2023-10-23,277
2023-10-24,304
2023-10-25,348
2023-10-26,186
2023-10-27,258
2023-10-28,263
2023-10-29,268
2023-10-30,186
2023-10-31,133
2023-11-01,127
2023-11-02,131
2023-11-03,121
2023-11-04,87
2023-11-05,90
2023-11-06,150
2023-11-07,201
2023-11-08,236
2023-11-09,260
2023-11-10,561
2023-11-12,573
2023-11-14,68279
2023-11-15,74376
2023-11-18,75647
2023-11-19,79516
2023-11-21,89428
2023-11-22,92023
2023-11-24,101226
2023-11-25,106177
2023-11-26,106844
2023-11-27,111474
2023-11-29,111525
2023-11-30,111523
2023-12-01,115496
2023-12-02,114263
2023-12-03,83807
2023-12-04,107435
2023-12-05,114087
2023-12-06,108993
2023-12-07,122724
2023-12-08,126759
2023-12-09,127782
2023-12-11,133713
2023-12-13,75
2023-12-14,77
2023-12-15,77
2023-12-16,70
2023-12-17,72
2023-12-18,102
2023-12-19,105
2023-12-20,122
2023-12-21,153
2023-12-22,175
2023-12-23,206
2023-12-24,201
2023-12-25,221
2023-12-26,252
2023-12-27,283
2023-12-28,343
2023-12-29,341
2023-12-30,361
2023-12-31,232
2024-01-01,244
2024-01-02,299
2024-01-03,407
2024-01-04,401
2024-01-05,399
2024-01-06,404
2024-01-07,396
2024-01-08,348
2024-01-09,180
2024-01-10,174
2024-01-11,163
2024-01-12,157
2024-01-13,128
2024-01-14,128
2024-01-15,204
2024-01-16,233
2024-01-17,288
2024-01-18,356
2024-01-19,371
2024-01-20,478
2024-01-21,505
2024-01-22,619
2024-01-23,418
2024-01-24,462
2024-01-25,701
2024-01-26,714
2024-01-27,684
2024-01-28,625
2024-01-29,704
2024-01-30,634
2024-01-31,566
2024-02-01,658
2024-02-02,634
2024-02-03,543
2024-02-04,515
2024-02-05,481
2024-02-06,463
2024-02-07,366
2024-02-08,368
2024-02-09,377
2024-02-10,365
2024-02-11,344
2024-02-12,481
2024-02-13,589
2024-02-14,627
2024-02-15,653
2024-02-16,617
2024-02-17,592
2024-02-18,544
2024-02-19,496
2024-02-20,482
2024-02-21,578
2024-02-22,602
2024-02-23,482
2024-02-24,481
2024-02-25,402
2024-02-26,460
2024-02-27,469
2024-02-28,458
2024-02-29,504
2024-03-01,484
2024-03-02,453
2024-03-03,263
2024-03-04,324
2024-03-05,278
2024-03-06,266
2024-03-07,224
2024-03-08,201
2024-03-09,171
2024-03-10,151
2024-03-11,189
2024-03-12,261
2024-03-13,361
2024-03-14,393
2024-03-15,383
2024-03-16,412
2024-03-17,423
2024-03-18,496
2024-03-19,457
2024-03-20,410
2024-03-21,517
2024-03-22,552
2024-03-23,554
2024-03-24,571
2024-03-25,601
2024-03-26,568
2024-03-27,608
2024-03-28,586
2024-03-29,625
2024-03-30,377
2024-03-31,538
2024-04-01,370
2024-04-02,317
2024-04-03,272
2024-04-04,261
2024-04-05,217
2024-04-06,194
2024-04-07,169
2024-04-08,179
2024-04-09,276
2024-04-10,371
2024-04-11,482
2024-04-12,525
2024-04-13,559
2024-04-14,567
2024-04-15,567
2024-04-16,655
2024-04-17,643
2024-04-18,619
2024-04-19,568
2024-04-20,572
2024-04-21,578
2024-04-22,642
2024-04-23,661
2024-04-24,535
2024-04-25,616
2024-04-26,613
2024-04-27,567
2024-04-28,539
2024-04-29,464
2024-04-30,363
2024-05-01,360
2024-05-02,336
2024-05-03,312
2024-05-04,292
2024-05-05,292
2024-05-06,487
2024-05-07,623
2024-05-08,553
2024-05-09,708
2024-05-10,688
2024-05-11,692
2024-05-12,707
2024-05-13,803
2024-05-14,835
2024-05-15,873
2024-05-16,823
2024-05-17,852
2024-05-18,816
2024-05-19,841
2024-05-20,774
2024-05-21,806
2024-05-22,922
2024-05-23,1042
2024-05-24,795
2024-05-25,864
2024-05-26,889
2024-05-27,534
2024-05-28,429
2024-05-29,441
2024-05-30,377
2024-05-31,360
2024-06-01,263
2024-06-02,256
2024-06-03,394
2024-06-04,465
2024-06-05,492
2024-06-06,531
2024-06-07,432
2024-06-08,504
2024-06-09,519
2024-06-10,580
2024-06-11,500
2024-06-12,532
2024-06-13,506
2024-06-14,519
2024-06-15,529
2024-06-16,532
2024-06-17,614
2024-06-18,601
2024-06-19,609
2024-06-20,548
2024-06-21,610
2024-06-22,617
2024-06-23,596
2024-06-24,676
2024-06-25,645
2024-06-26,651
2024-06-27,680
2024-06-28,708
2024-06-29,701
2024-06-30,666
2024-07-01,691
2024-07-02,610
2024-07-03,630
2024-07-04,498
2024-07-05,595
2024-07-06,636
2024-07-07,546
2024-07-08,599
2024-07-09,601
2024-07-10,409
2024-07-11,530
2024-07-12,514
2024-07-13,534
2024-07-14,529
2024-07-15,562
2024-07-16,132
2024-07-17,167
2024-07-18,233
2024-07-19,287
2024-07-20,342
2024-07-21,451
2024-07-22,560
2024-07-23,561
2024-07-24,612
2024-07-25,696
2024-07-26,636
2024-07-27,664
2024-07-28,653
2024-07-29,618
