,Sales Rank
2023-11-28,622
2023-11-29,614
2023-11-30,597
2023-12-01,592
2023-12-02,474
2023-12-03,485
2023-12-04,600
2023-12-05,669
2023-12-06,674
2023-12-07,713
2023-12-08,819
2023-12-09,747
2023-12-10,549
2023-12-11,720
2023-12-12,709
2023-12-13,675
2023-12-14,682
2023-12-15,634
2023-12-16,428
2023-12-17,458
2023-12-18,559
2023-12-19,482
2023-12-20,595
2023-12-21,510
2023-12-22,453
2023-12-23,352
2023-12-24,312
2023-12-25,277
2023-12-26,213
2023-12-27,177
2023-12-28,162
2023-12-29,139
2023-12-30,113
2023-12-31,112
2024-01-01,159
2024-01-02,134
2024-01-03,174
2024-01-04,188
2024-01-05,224
2024-01-06,180
2024-01-07,162
2024-01-08,170
2024-01-09,175
2024-01-10,189
2024-01-11,225
2024-01-12,168
2024-01-13,147
2024-01-14,138
2024-01-15,163
2024-01-16,129
2024-01-17,131
2024-01-18,149
2024-01-19,105
2024-01-20,140
2024-01-21,108
2024-01-22,95
2024-01-23,91
2024-01-24,74
2024-01-25,82
2024-01-26,77
2024-01-27,85
2024-01-28,61
2024-01-29,89
2024-01-30,99
2024-01-31,87
2024-02-01,109
2024-02-02,103
2024-02-03,112
2024-02-04,107
2024-02-05,115
2024-02-06,115
2024-02-07,116
2024-02-08,122
2024-02-09,127
2024-02-10,127
2024-02-11,122
2024-02-12,159
2024-02-13,158
2024-02-14,178
2024-02-15,195
2024-02-16,185
2024-02-17,107
2024-02-18,138
2024-02-19,109
2024-02-20,101
2024-02-21,102
2024-02-22,117
2024-02-23,95
2024-02-24,80
2024-02-25,75
2024-02-26,117
2024-02-27,138
2024-02-28,151
2024-02-29,160
2024-03-01,174
2024-03-02,154
2024-03-03,157
2024-03-04,156
2024-03-05,147
2024-03-06,127
2024-03-07,164
2024-03-08,187
2024-03-09,172
2024-03-10,172
2024-03-11,180
2024-03-12,174
2024-03-13,167
2024-03-14,191
2024-03-15,177
2024-03-16,169
2024-03-17,155
2024-03-18,121
2024-03-19,125
2024-03-20,116
2024-03-21,113
2024-03-22,103
2024-03-23,90
2024-03-24,84
2024-03-25,126
2024-03-26,156
2024-03-27,188
2024-03-28,203
2024-03-29,204
2024-03-30,208
2024-03-31,194
2024-04-01,205
2024-04-02,228
2024-04-03,243
2024-04-04,254
2024-04-05,238
2024-04-06,213
2024-04-07,187
2024-04-08,224
2024-04-09,245
2024-04-10,260
2024-04-11,244
2024-04-12,293
2024-04-13,233
2024-04-14,221
2024-04-15,207
2024-04-16,168
2024-04-17,160
2024-04-18,179
2024-04-19,150
2024-04-20,148
2024-04-21,157
2024-04-22,207
2024-04-23,248
2024-04-24,259
2024-04-25,280
2024-04-26,296
2024-04-27,270
2024-04-28,260
2024-04-29,305
2024-04-30,330
2024-05-01,419
2024-05-02,413
2024-05-03,471
2024-05-04,486
2024-05-05,530
2024-05-06,555
2024-05-07,564
2024-05-08,552
2024-05-09,532
2024-05-10,535
2024-05-11,518
2024-05-12,520
2024-05-13,23471
2024-05-14,18893
2024-05-15,17774
2024-05-16,16160
2024-05-17,21989
2024-05-18,331
2024-05-19,320
2024-05-20,439
2024-05-21,455
2024-05-22,518
2024-05-23,561
2024-05-24,594
2024-05-25,581
2024-05-26,580
2024-05-27,699
2024-05-28,690
2024-05-29,734
2024-05-30,770
2024-05-31,750
2024-06-01,756
2024-06-02,513
2024-06-03,594
2024-06-04,761
2024-06-05,708
2024-06-06,706
2024-06-07,782
2024-06-08,706
2024-06-09,576
2024-06-10,412
2024-06-11,374
2024-06-12,313
2024-06-13,296
2024-06-14,278
2024-06-15,256
2024-06-16,242
2024-06-17,350
2024-06-18,417
2024-06-19,477
2024-06-20,528
2024-06-21,549
2024-06-22,498
2024-06-23,529
2024-06-24,563
2024-06-25,563
2024-06-26,553
2024-06-27,483
2024-06-28,492
2024-06-29,454
2024-06-30,426
2024-07-01,469
2024-07-02,413
2024-07-03,428
2024-07-04,456
2024-07-05,427
2024-07-06,286
2024-07-07,212
2024-07-08,203
2024-07-09,209
2024-07-10,243
2024-07-11,142
2024-07-12,186
2024-07-13,184
2024-07-14,168
2024-07-15,183
2024-07-16,272
2024-07-17,243
2024-07-18,158
2024-07-19,164
2024-07-20,136
2024-07-21,141
2024-07-22,114
2024-07-23,80
2024-07-24,62
2024-07-25,206
2024-07-26,645
2024-07-27,700
2024-07-28,1439
2024-07-29,2016
2024-07-30,2448
2024-07-31,2997
2024-08-01,635
2024-08-02,365
2024-08-03,196
2024-08-04,155
2024-08-05,159
2024-08-06,137
2024-08-07,167
2024-08-09,154
2024-08-10,136
2024-08-11,133
2024-08-12,143
2024-08-13,117
2024-08-14,139
2024-08-15,115
2024-08-16,126
2024-08-17,121
2024-08-18,125
2024-08-19,123
2024-08-20,121
2024-08-21,146
2024-08-22,145
2024-08-23,141
2024-08-24,114
2024-08-25,69
2024-08-26,103
2024-08-27,46
2024-08-28,48
2024-08-29,45
2024-08-30,47
2024-08-31,50
2024-09-01,48
2024-09-02,70
2024-09-03,87
2024-09-04,101
2024-09-05,146
2024-09-06,263
2024-09-07,258
2024-09-08,216
2024-09-09,209
2024-09-10,176
2024-09-11,210
2024-09-12,193
2024-09-13,183
2024-09-14,95
2024-09-15,130
2024-09-16,138
2024-09-17,138
2024-09-18,114
2024-09-19,183
2024-09-20,225
2024-09-21,224
2024-09-22,198
2024-09-23,296
2024-09-24,323
2024-09-25,356
2024-09-26,414
2024-09-27,459
2024-09-28,437
2024-09-29,444
2024-09-30,499
2024-10-01,476
2024-10-02,653
2024-10-03,850
2024-10-04,953
2024-10-05,1005
2024-10-06,1073
2024-10-07,1148
