,Sales Rank
2023-10-10,63355
2023-10-11,105901
2023-10-12,103174
2023-10-13,111413
2023-10-14,62074
2023-10-15,77939
2023-10-16,47085
2023-10-17,77508
2023-10-18,93374
2023-10-19,107350
2023-10-20,124828
2023-10-21,135761
2023-10-22,142213
2023-10-23,144722
2023-10-24,170928
2023-10-25,175196
2023-10-26,181670
2023-10-27,186086
2023-10-28,188991
2023-10-29,192923
2023-10-30,200252
2023-10-31,203328
2023-11-01,27437
2023-11-02,22048
2023-11-03,6023
2023-11-04,4872
2023-11-05,4446
2023-11-06,4135
2023-11-07,3141
2023-11-08,2841
2023-11-09,50
2023-11-10,438
2023-11-11,1070
2023-11-12,1851
2023-11-13,2406
2023-11-14,2468
2023-11-15,651
2023-11-16,684
2023-11-17,669
2023-11-18,656
2023-11-19,958
2023-11-20,700
2023-11-21,811
2023-11-22,524
2023-11-23,486
2023-11-24,337
2023-11-25,244
2023-11-26,244
2023-11-27,244
2023-11-28,642
2023-11-29,527
2023-11-30,679
2023-12-01,570
2023-12-02,594
2023-12-03,629
2023-12-04,433
2023-12-05,446
2023-12-06,499
2023-12-07,468
2023-12-08,506
2023-12-09,524
2023-12-10,518
2023-12-11,508
2023-12-12,539
2023-12-13,583
2023-12-14,592
2023-12-15,608
2023-12-16,647
2023-12-17,698
2023-12-18,609
2023-12-19,704
2023-12-20,766
2023-12-21,754
2023-12-22,727
2023-12-23,720
2023-12-24,849
2023-12-25,570
2023-12-26,533
2023-12-27,478
2023-12-28,495
2023-12-29,438
2023-12-30,488
2023-12-31,731
2024-01-01,562
2024-01-02,714
2024-01-03,673
2024-01-04,490
2024-01-05,467
2024-01-06,487
2024-01-07,543
2024-01-08,414
2024-01-09,403
2024-01-10,353
2024-01-11,321
2024-01-12,272
2024-01-13,284
2024-01-14,283
2024-01-15,255
2024-01-16,206
2024-01-17,178
2024-01-18,144
2024-01-19,129
2024-01-20,133
2024-01-21,124
2024-01-22,114
2024-01-23,133
2024-01-24,168
2024-01-25,152
2024-01-26,150
2024-01-27,156
2024-01-28,165
2024-01-29,150
2024-01-30,158
2024-01-31,163
2024-02-01,155
2024-02-02,132
2024-02-03,144
2024-02-04,150
2024-02-05,143
2024-02-06,156
2024-02-07,163
2024-02-08,150
2024-02-09,197
2024-02-10,266
2024-02-11,288
2024-02-12,311
2024-02-13,454
2024-02-14,1000
2024-02-15,1936
2024-02-16,530
2024-02-17,144
2024-02-18,236
2024-02-19,275
2024-02-20,232
2024-02-21,253
2024-02-22,209
2024-02-23,214
2024-02-24,244
2024-02-25,257
2024-02-26,233
2024-02-27,225
2024-02-28,221
2024-02-29,222
2024-03-01,225
2024-03-02,228
2024-03-03,249
2024-03-04,199
