,Sales Rank
2023-12-03,36
2023-12-04,32
2023-12-05,30
2023-12-06,33
2023-12-07,29
2023-12-08,27
2023-12-09,14
2023-12-10,12
2023-12-11,14
2023-12-12,15
2023-12-13,14
2023-12-14,16
2023-12-15,12
2023-12-16,4
2023-12-17,7
2023-12-18,4
2023-12-19,5
2023-12-20,5
2023-12-21,6
2023-12-22,7
2023-12-23,20
2023-12-24,33
2023-12-25,47
2023-12-26,67
2023-12-27,87
2023-12-28,107
2023-12-29,152
2023-12-30,134
2023-12-31,124
2024-01-01,167
2024-01-02,145
2024-01-03,159
2024-01-04,190
2024-01-05,188
2024-01-06,170
2024-01-07,173
2024-01-08,212
2024-01-09,218
2024-01-10,237
2024-01-11,244
2024-01-12,248
2024-01-13,230
2024-01-14,172
2024-01-15,167
2024-01-16,172
2024-01-17,154
2024-01-18,132
2024-01-19,124
2024-01-20,143
2024-01-21,133
2024-01-22,176
2024-01-23,185
2024-01-24,185
2024-01-25,204
2024-01-26,208
2024-01-27,225
2024-01-28,181
2024-01-29,217
2024-01-30,260
2024-01-31,248
2024-02-01,280
2024-02-02,226
2024-02-03,220
2024-02-04,219
2024-02-05,237
2024-02-06,234
2024-02-07,232
2024-02-08,259
2024-02-09,238
2024-02-10,213
2024-02-11,218
2024-02-12,174
2024-02-13,159
2024-02-14,160
2024-02-15,155
2024-02-16,143
2024-02-17,129
2024-02-18,137
2024-02-19,187
2024-02-20,213
2024-02-21,251
2024-02-22,290
2024-02-23,286
2024-02-24,249
2024-02-25,273
2024-02-26,305
2024-02-27,301
2024-02-28,291
2024-02-29,278
2024-03-01,292
2024-03-02,278
2024-03-03,290
2024-03-04,9185
2024-03-05,370
2024-03-06,6698
2024-03-07,6087
2024-03-08,354
2024-03-09,335
2024-03-10,329
2024-03-11,410
2024-03-12,327
2024-03-13,343
2024-03-14,328
2024-03-15,334
2024-03-16,316
2024-03-17,325
2024-03-18,356
2024-03-19,367
2024-03-20,295
2024-03-21,303
2024-03-22,284
2024-03-23,294
2024-03-24,277
2024-03-25,266
2024-03-26,234
2024-03-27,188
2024-03-28,189
2024-03-29,169
2024-03-30,168
2024-03-31,172
2024-04-01,288
2024-04-02,299
2024-04-03,337
2024-04-04,354
2024-04-05,328
2024-04-06,311
2024-04-07,320
2024-04-08,454
2024-04-09,387
2024-04-10,377
2024-04-11,375
2024-04-12,310
2024-04-13,262
2024-04-14,303
2024-04-15,388
2024-04-16,384
2024-04-17,373
2024-04-18,342
2024-04-19,326
2024-04-20,316
2024-04-21,350
2024-04-22,274
2024-04-23,251
2024-04-24,231
2024-04-25,242
2024-04-26,186
2024-04-27,185
2024-04-28,201
2024-04-29,293
2024-04-30,337
2024-05-01,335
2024-05-02,309
2024-05-03,326
2024-05-04,318
2024-05-05,342
2024-05-06,411
2024-05-07,394
2024-05-08,421
2024-05-09,395
2024-05-10,373
2024-05-11,328
2024-05-12,20440
2024-05-13,23016
2024-05-14,29163
2024-05-15,32722
2024-05-16,30400
2024-05-17,29874
2024-05-18,34460
2024-05-19,38631
2024-05-20,377
2024-05-21,390
2024-05-22,461
2024-05-23,437
2024-05-24,417
2024-05-25,419
2024-05-26,489
2024-05-27,467
2024-05-28,494
2024-05-29,533
2024-05-30,538
2024-05-31,575
2024-06-01,473
2024-06-02,491
2024-06-03,387
2024-06-04,270
2024-06-05,258
2024-06-06,212
2024-06-07,210
2024-06-08,185
2024-06-09,194
2024-06-10,276
2024-06-11,325
2024-06-12,300
2024-06-13,330
2024-06-14,285
2024-06-15,278
2024-06-16,280
2024-06-17,316
2024-06-18,320
2024-06-19,318
2024-06-20,357
2024-06-21,393
2024-06-22,344
2024-06-23,343
2024-06-24,414
2024-06-25,365
2024-06-26,386
2024-06-27,348
2024-06-28,298
2024-06-29,193
2024-06-30,227
2024-07-01,197
2024-07-02,210
2024-07-03,247
2024-07-04,247
2024-07-05,249
2024-07-06,219
2024-07-07,249
2024-07-08,293
2024-07-09,274
2024-07-10,198
2024-07-11,179
2024-07-12,165
2024-07-13,159
2024-07-14,169
2024-07-15,231
2024-07-16,98
2024-07-17,94
2024-07-18,101
2024-07-19,124
2024-07-20,135
2024-07-21,132
2024-07-22,185
2024-07-23,266
2024-07-24,256
2024-07-25,262
2024-07-26,250
2024-07-27,257
2024-07-28,283
2024-07-29,356
2024-07-30,389
2024-07-31,395
2024-08-01,320
2024-08-02,301
2024-08-03,224
2024-08-04,248
2024-08-05,288
2024-08-06,306
2024-08-07,297
2024-08-09,283
2024-08-10,248
2024-08-11,251
2024-08-12,287
2024-08-13,282
2024-08-14,278
2024-08-15,253
2024-08-16,258
2024-08-17,264
2024-08-18,250
2024-08-19,277
2024-08-20,284
2024-08-22,235
2024-08-23,158
2024-08-24,140
2024-08-25,161
2024-08-26,218
2024-08-27,215
2024-08-28,205
2024-08-29,181
2024-08-30,175
2024-08-31,142
2024-09-01,146
2024-09-02,164
2024-09-03,173
2024-09-04,178
2024-09-05,165
2024-09-06,143
2024-09-07,132
2024-09-08,149
2024-09-09,169
2024-09-10,161
2024-09-11,178
2024-09-12,157
2024-09-13,181
2024-09-14,158
2024-09-15,187
2024-09-16,184
2024-09-17,190
2024-09-18,175
2024-09-19,185
2024-09-20,136
2024-09-21,125
2024-09-22,130
2024-09-23,181
2024-09-24,193
2024-09-25,174
2024-09-26,161
2024-09-27,121
2024-09-28,85
2024-09-29,102
2024-09-30,112
2024-10-01,140
2024-10-02,142
2024-10-03,118
2024-10-04,108
2024-10-05,97
2024-10-06,106
2024-10-07,153
2024-10-08,109
2024-10-09,81
2024-10-10,80
2024-10-11,89
2024-10-12,93
2024-10-13,95
2024-10-14,120
2024-10-15,131
2024-10-16,152
2024-10-17,163
2024-10-18,153
2024-10-19,129
2024-10-20,142
2024-10-21,198
2024-10-22,177
2024-10-23,231
2024-10-24,176
2024-10-25,178
2024-10-26,119
2024-10-27,161
2024-10-28,201
2024-10-29,221
2024-10-30,213
2024-11-01,206
2024-11-02,180
2024-11-03,199
2024-11-04,234
2024-11-05,246
2024-11-06,251
2024-11-07,239
2024-11-08,210
2024-11-09,115
2024-11-10,103
2024-11-11,203
2024-11-12,183
2024-11-13,176
2024-11-14,245
2024-11-15,267
2024-11-16,225
2024-11-17,228
2024-11-18,233
2024-11-19,242
2024-11-20,241
2024-11-21,119
2024-11-22,114
2024-11-23,78
2024-11-24,82
2024-11-26,97
2024-11-27,87
2024-11-28,91
2024-11-29,86
2024-11-30,52
2024-12-01,76
2024-12-02,80
2024-12-03,89
2024-12-04,103
2024-12-05,110
2024-12-06,111
2024-12-07,87
2024-12-08,58
2024-12-09,53
2024-12-10,56
2024-12-12,58
2024-12-13,40
2024-12-14,38
2024-12-15,31
2024-12-16,29
2024-12-17,35
2024-12-18,39
2024-12-19,45
2024-12-20,54
2024-12-22,42
2024-12-23,47
2024-12-24,49
2024-12-25,64
2024-12-26,63
2024-12-27,73
2024-12-28,74
2024-12-29,66
2024-12-30,98
2024-12-31,96
2025-01-01,112
2025-01-02,104
2025-01-03,98
2025-01-04,96
2025-01-05,90
2025-01-06,98
2025-01-07,162
2025-01-08,179
2025-01-09,191
2025-01-10,213
