,Sales Rank
2023-10-31,442
2023-11-01,489
2023-11-03,364
2023-11-04,383
2023-11-05,371
2023-11-06,378
2023-11-07,335
2023-11-08,365
2023-11-09,343
2023-11-10,345
2023-11-11,344
2023-11-12,311
2023-11-13,329
2023-11-14,348
2023-11-15,388
2023-11-16,386
2023-11-17,432
2023-11-18,309
2023-11-19,317
2023-11-20,336
2023-11-21,237
2023-11-22,224
2023-11-23,206
2023-11-24,204
2023-11-25,209
2023-11-26,219
2023-11-27,226
2023-11-28,215
2023-11-29,264
2023-11-30,250
2023-12-01,257
2023-12-02,285
2023-12-03,263
2023-12-05,267
2023-12-07,285
2023-12-08,302
2023-12-09,262
2023-12-10,296
2023-12-11,294
2023-12-12,319
2023-12-13,366
2023-12-14,393
2023-12-15,390
2023-12-16,375
2023-12-17,380
2023-12-18,391
2023-12-19,464
2023-12-20,491
2023-12-21,475
2023-12-22,501
2023-12-23,526
2023-12-24,478
2023-12-25,546
2023-12-26,454
2023-12-27,489
2023-12-28,529
2023-12-29,367
2023-12-30,478
2023-12-31,346
2024-01-01,350
2024-01-02,327
2024-01-03,429
2024-01-04,404
2024-01-05,421
2024-01-06,444
2024-01-07,403
2024-01-08,397
2024-01-09,368
2024-01-10,407
2024-01-13,404
2024-01-14,390
2024-01-15,453
2024-01-16,494
2024-01-17,473
2024-01-18,555
2024-01-19,460
2024-01-21,445
2024-01-22,438
2024-01-24,452
2024-01-25,465
2024-01-26,529
2024-01-28,401
2024-01-30,386
2024-01-31,382
2024-02-01,433
2024-02-02,449
2024-02-04,292
2024-02-05,339
2024-02-06,315
2024-02-07,394
2024-02-08,372
2024-02-09,398
2024-02-10,384
2024-02-11,393
2024-02-12,396
2024-02-13,367
2024-02-14,393
2024-02-15,408
2024-02-16,451
2024-02-17,433
2024-02-18,362
2024-02-19,405
2024-02-21,350
2024-02-22,453
2024-02-23,456
2024-02-24,416
2024-02-25,392
2024-02-26,365
2024-02-27,368
2024-02-28,404
2024-02-29,418
2024-03-01,442
2024-03-02,378
2024-03-03,309
2024-03-04,365
2024-03-05,338
2024-03-06,355
2024-03-07,372
2024-03-08,378
2024-03-09,317
2024-03-11,365
2024-03-12,310
2024-03-13,309
2024-03-14,344
2024-03-15,347
2024-03-16,305
2024-03-18,314
2024-03-20,339
2024-03-21,352
2024-03-22,383
2024-03-23,389
2024-03-24,343
2024-03-25,377
2024-03-26,369
2024-03-27,392
2024-03-28,379
2024-03-29,389
2024-03-30,366
2024-04-01,372
2024-04-02,308
2024-04-03,309
2024-04-04,304
2024-04-05,383
2024-04-07,305
2024-04-08,282
2024-04-09,337
2024-04-10,303
2024-04-12,341
2024-04-13,299
2024-04-14,302
2024-04-15,257
2024-04-16,263
2024-04-17,281
2024-04-19,289
2024-04-21,292
2024-04-22,239
2024-04-23,204
2024-04-24,197
2024-04-25,189
2024-04-26,166
2024-04-27,182
2024-04-28,160
2024-04-29,177
2024-05-01,219
2024-05-02,258
2024-05-03,268
2024-05-04,217
2024-05-05,229
2024-05-06,246
2024-05-07,281
2024-05-09,266
2024-05-10,251
2024-05-12,230
2024-05-13,231
2024-05-14,265
2024-05-15,271
2024-05-16,286
2024-05-17,287
2024-05-18,258
2024-05-19,299
2024-05-20,203
2024-05-21,220
2024-05-22,200
2024-05-23,186
2024-05-24,170
2024-05-25,156
2024-05-26,148
2024-05-27,212
2024-05-28,235
2024-05-29,246
2024-05-30,298
2024-05-31,329
2024-06-01,291
2024-06-02,318
2024-06-03,310
2024-06-04,328
2024-06-05,310
2024-06-06,287
2024-06-07,343
2024-06-08,303
2024-06-09,276
2024-06-10,311
2024-06-11,284
2024-06-12,328
2024-06-13,309
2024-06-14,331
2024-06-15,302
2024-06-16,291
2024-06-17,338
2024-06-18,316
2024-06-19,292
2024-06-20,304
2024-06-21,315
2024-06-22,287
2024-06-23,290
2024-06-25,291
2024-06-26,375
2024-06-27,324
2024-06-28,366
2024-06-29,342
2024-07-01,315
2024-07-02,282
2024-07-03,309
2024-07-04,334
2024-07-05,342
2024-07-06,273
2024-07-07,320
2024-07-08,284
2024-07-09,294
2024-07-10,290
2024-07-11,247
2024-07-12,243
2024-07-13,251
2024-07-14,219
2024-07-15,274
2024-07-16,126
2024-07-17,112
2024-07-18,117
2024-07-19,155
2024-07-20,154
2024-07-21,173
2024-07-22,187
2024-07-23,202
2024-07-24,212
2024-07-25,270
2024-07-26,253
2024-07-27,210
2024-07-28,226
2024-07-29,236
2024-07-30,257
2024-07-31,260
2024-08-01,277
2024-08-02,300
2024-08-03,317
2024-08-04,251
2024-08-05,235
2024-08-06,263
2024-08-07,267
2024-08-08,262
2024-08-10,295
2024-08-11,314
2024-08-12,368
2024-08-13,278
2024-08-14,316
2024-08-15,355
2024-08-16,339
2024-08-17,361
2024-08-18,367
2024-08-19,389
2024-08-20,357
2024-08-22,387
2024-08-23,404
2024-08-24,378
2024-08-25,385
2024-08-27,374
2024-08-28,349
2024-08-29,368
2024-08-30,386
2024-09-01,391
2024-09-02,377
2024-09-03,243
2024-09-04,190
2024-09-05,199
2024-09-06,192
2024-09-07,197
2024-09-08,154
2024-09-09,193
2024-09-10,199
2024-09-11,231
2024-09-12,220
2024-09-13,222
2024-09-14,211
2024-09-15,193
2024-09-16,202
2024-09-17,222
2024-09-18,224
2024-09-19,256
2024-09-20,267
2024-09-21,231
2024-09-22,200
2024-09-23,256
2024-09-25,340
2024-09-26,290
2024-09-27,369
2024-09-29,290
2024-09-30,372
2024-10-01,369
2024-10-02,340
2024-10-03,285
2024-10-04,291
2024-10-05,325
2024-10-06,251
2024-10-07,282
2024-10-08,271
2024-10-09,354
2024-10-10,284
2024-10-11,317
2024-10-12,268
2024-10-13,183
2024-10-14,234
2024-10-15,223
2024-10-16,262
2024-10-17,299
2024-10-18,332
2024-10-19,245
2024-10-20,247
2024-10-21,260
2024-10-22,283
2024-10-23,273
2024-10-24,281
2024-10-25,268
2024-10-26,276
2024-10-27,260
2024-10-28,295
2024-10-29,262
2024-10-30,250
2024-10-31,260
2024-11-01,293
2024-11-04,276
2024-11-05,293
2024-11-06,319
2024-11-07,317
2024-11-08,307
2024-11-09,236
2024-11-10,280
2024-11-11,225
2024-11-12,266
2024-11-13,301
2024-11-14,277
2024-11-15,316
2024-11-16,288
2024-11-17,285
2024-11-18,287
2024-11-19,280
2024-11-20,336
2024-11-21,218
2024-11-22,219
2024-11-23,220
2024-11-24,207
2024-11-25,216
2024-11-26,248
2024-11-27,246
2024-11-28,232
2024-11-29,288
2024-11-30,230
2024-12-01,213
2024-12-02,229
2024-12-03,196
2024-12-04,284
2024-12-05,320
2024-12-06,292
2024-12-07,288
2024-12-08,271
2024-12-09,273
2024-12-10,272
2024-12-11,281
2024-12-12,330
2024-12-13,327
2024-12-14,352
2024-12-15,349
2024-12-16,326
2024-12-18,295
2024-12-19,340
2024-12-21,374
2024-12-22,332
2024-12-23,294
2024-12-24,334
2024-12-25,360
2024-12-26,334
2024-12-28,293
2024-12-29,280
2024-12-30,286
2024-12-31,259
2025-01-01,277
2025-01-02,287
2025-01-03,288
2025-01-04,248
2025-01-06,283
2025-01-07,305
2025-01-08,313
2025-01-09,318
2025-01-10,331
