,Sales Rank
2023-12-13,1928
2023-12-14,1505
2023-12-15,1592
2023-12-16,1247
2023-12-17,1191
2023-12-18,1254
2023-12-19,833
2023-12-20,854
2023-12-21,763
2023-12-22,684
2023-12-23,643
2023-12-24,588
2023-12-25,812
2023-12-26,878
2023-12-27,896
2023-12-28,899
2023-12-29,926
2023-12-30,718
2023-12-31,761
2024-01-01,900
2024-01-02,869
2024-01-03,890
2024-01-04,950
2024-01-05,921
2024-01-06,883
2024-01-07,508
2024-01-08,857
2024-01-09,1071
2024-01-10,1194
2024-01-11,1102
2024-01-12,1191
2024-01-13,946
2024-01-14,870
2024-01-15,654
2024-01-16,692
2024-01-17,667
2024-01-18,712
2024-01-19,607
2024-01-20,609
2024-01-21,589
2024-01-22,804
2024-01-23,973
2024-01-24,1069
2024-01-25,1191
2024-01-26,1258
2024-01-27,1005
2024-01-28,956
2024-01-29,1069
2024-01-30,1145
2024-01-31,1010
2024-02-01,1081
2024-02-02,1056
2024-02-03,939
2024-02-04,863
2024-02-05,1020
2024-02-06,914
2024-02-07,948
2024-02-08,1153
2024-02-09,1191
2024-02-10,1157
2024-02-11,988
2024-02-12,1197
2024-02-13,1222
2024-02-14,900
2024-02-15,1285
2024-02-16,1225
2024-02-17,1228
2024-02-18,1203
2024-02-19,825
2024-02-20,683
2024-02-21,672
2024-02-22,618
2024-02-23,544
2024-02-24,412
2024-02-25,383
2024-02-26,648
2024-02-27,800
2024-02-28,897
2024-02-29,961
2024-03-01,677
2024-03-02,893
2024-03-03,891
2024-03-04,901
2024-03-05,1118
2024-03-06,938
2024-03-07,1022
2024-03-08,1306
2024-03-10,1244
2024-03-11,1290
2024-03-12,1395
2024-03-13,1515
2024-03-14,1404
2024-03-15,1301
2024-03-16,1262
2024-03-17,1040
2024-03-19,725
2024-03-20,522
2024-03-21,446
2024-03-22,412
2024-03-23,372
2024-03-24,301
2024-03-25,451
2024-03-26,592
2024-03-27,744
2024-03-28,547
2024-03-29,710
2024-03-30,655
2024-03-31,637
2024-04-01,779
2024-04-02,758
2024-04-03,799
2024-04-04,874
2024-04-05,865
2024-04-06,716
2024-04-07,617
2024-04-08,660
2024-04-09,615
2024-04-10,644
2024-04-11,748
2024-04-12,714
2024-04-13,743
2024-04-14,574
2024-04-15,500
2024-04-16,370
2024-04-18,323
2024-04-19,305
2024-04-20,223
2024-04-21,207
2024-04-22,318
2024-04-23,542
2024-04-24,637
2024-04-25,615
2024-04-26,672
2024-04-27,725
2024-04-28,709
2024-04-29,779
2024-04-30,912
2024-05-01,939
2024-05-02,680
2024-05-03,905
2024-05-04,731
2024-05-05,762
2024-05-06,806
2024-05-07,664
2024-05-08,565
2024-05-09,770
2024-05-10,837
2024-05-11,757
2024-05-12,779
2024-05-13,537
2024-05-14,433
2024-05-15,490
2024-05-16,425
2024-05-17,419
2024-05-18,360
2024-05-19,342
2024-05-20,433
2024-05-21,609
2024-05-22,775
2024-05-23,789
2024-05-24,851
2024-05-25,772
2024-05-26,772
2024-05-27,791
2024-05-28,810
2024-05-29,830
2024-05-30,841
2024-05-31,866
2024-06-01,841
2024-06-02,654
2024-06-03,664
2024-06-04,625
2024-06-05,738
2024-06-06,790
2024-06-07,876
2024-06-08,766
2024-06-09,757
2024-06-10,536
2024-06-11,442
2024-06-12,448
2024-06-13,438
2024-06-14,424
2024-06-15,295
2024-06-16,290
2024-06-17,486
2024-06-18,647
2024-06-19,697
2024-06-20,746
2024-06-21,728
2024-06-22,620
