,Sales Rank
2023-12-16,562
2023-12-17,751
2023-12-18,682
2023-12-19,678
2023-12-20,726
2023-12-21,745
2023-12-22,626
2023-12-23,606
2023-12-24,452
2023-12-25,575
2023-12-26,673
2023-12-27,509
2023-12-28,639
2023-12-29,724
2023-12-30,623
2023-12-31,591
2024-01-01,663
2024-01-02,691
2024-01-03,751
2024-01-04,539
2024-01-05,635
2024-01-06,681
2024-01-07,549
2024-01-08,645
2024-01-09,760
2024-01-10,653
2024-01-11,716
2024-01-12,772
2024-01-13,752
2024-01-14,733
2024-01-15,545
2024-01-16,606
2024-01-17,502
2024-01-18,657
2024-01-19,404
2024-01-20,552
2024-01-21,359
2024-01-22,498
2024-01-23,653
2024-01-24,664
2024-01-25,747
2024-01-26,675
2024-01-27,679
2024-01-28,550
2024-01-29,657
2024-01-30,674
2024-01-31,719
2024-02-01,758
2024-02-02,718
2024-02-03,644
2024-02-04,494
2024-02-05,612
2024-02-06,679
2024-02-07,690
2024-02-08,632
2024-02-09,536
2024-02-10,445
2024-02-11,512
2024-02-12,463
2024-02-13,487
2024-02-14,570
2024-02-15,514
2024-02-16,456
2024-02-17,408
2024-02-18,321
2024-02-19,448
2024-02-20,545
2024-02-21,527
2024-02-22,552
2024-02-23,612
2024-02-24,543
2024-02-25,480
2024-02-26,524
2024-02-27,667
2024-02-28,711
2024-02-29,1512
2024-03-01,690
2024-03-02,756
2024-03-03,467
2024-03-04,554
2024-03-05,584
2024-03-06,592
2024-03-07,605
2024-03-08,617
2024-03-09,627
2024-03-10,609
2024-03-11,456
2024-03-12,456
2024-03-13,491
2024-03-14,358
2024-03-15,373
2024-03-16,397
2024-03-17,346
2024-03-18,454
2024-03-19,601
2024-03-20,672
2024-03-21,740
2024-03-22,726
2024-03-23,700
2024-03-24,566
2024-03-25,716
2024-03-26,775
2024-03-27,624
2024-03-28,692
2024-03-29,648
2024-03-30,535
2024-03-31,564
2024-04-01,620
2024-04-02,616
2024-04-03,620
2024-04-04,616
2024-04-05,662
2024-04-06,486
2024-04-07,360
2024-04-08,380
2024-04-09,366
2024-04-10,442
2024-04-11,390
2024-04-12,339
2024-04-13,328
2024-04-14,269
2024-04-15,369
2024-04-16,438
2024-04-17,542
2024-04-18,540
2024-04-19,551
2024-04-20,394
2024-04-21,428
2024-04-22,506
2024-04-23,607
2024-04-24,558
2024-04-25,605
2024-04-26,619
2024-04-27,656
2024-04-28,573
2024-04-29,547
2024-04-30,580
2024-05-01,616
2024-05-02,613
2024-05-03,610
2024-05-04,616
2024-05-05,370
2024-05-06,469
2024-05-07,396
2024-05-08,361
2024-05-09,355
2024-05-10,386
2024-05-11,370
2024-05-12,324
2024-05-13,495
2024-05-14,566
2024-05-15,518
2024-05-16,580
2024-05-17,647
2024-05-18,567
2024-05-19,582
2024-05-20,542
2024-05-21,612
2024-05-22,652
2024-05-23,684
2024-05-24,607
2024-05-25,554
2024-05-26,358
2024-05-27,437
2024-05-28,469
2024-05-29,520
2024-05-30,581
2024-05-31,592
2024-06-01,564
2024-06-02,499
2024-06-03,423
2024-06-04,431
2024-06-05,432
2024-06-06,421
2024-06-07,419
2024-06-08,412
2024-06-09,388
2024-06-10,463
2024-06-11,590
2024-06-12,587
2024-06-13,663
2024-06-14,567
2024-06-15,557
2024-06-16,541
2024-06-17,630
2024-06-18,649
2024-06-19,631
2024-06-20,670
2024-06-21,640
2024-06-22,536
2024-06-23,430
2024-06-24,566
2024-06-25,666
2024-06-26,707
2024-06-27,584
2024-06-28,640
2024-06-29,618
2024-06-30,582
2024-07-01,558
2024-07-02,611
2024-07-03,648
2024-07-04,650
2024-07-05,689
2024-07-06,656
2024-07-07,737
2024-07-08,779
2024-07-09,839
2024-07-10,830
2024-07-11,812
2024-07-12,621
2024-07-13,594
2024-07-14,632
2024-07-15,771
2024-07-16,296
2024-07-17,291
2024-07-18,304
2024-07-19,411
2024-07-20,528
2024-07-21,567
2024-07-22,649
2024-07-23,650
2024-07-24,759
2024-07-25,761
2024-07-26,830
2024-07-27,673
2024-07-28,458
2024-07-29,602
2024-07-30,687
2024-07-31,552
2024-08-01,723
2024-08-02,749
2024-08-03,630
2024-08-04,626
2024-08-05,641
2024-08-06,651
2024-08-07,651
2024-08-09,685
2024-08-10,645
2024-08-11,537
2024-08-12,517
2024-08-13,554
2024-08-14,553
2024-08-15,514
2024-08-16,536
2024-08-17,429
2024-08-18,403
2024-08-19,554
2024-08-20,553
2024-08-22,603
2024-08-23,671
2024-08-24,613
2024-08-25,730
2024-08-26,729
2024-08-27,569
2024-08-28,671
2024-08-29,721
2024-08-30,772
2024-08-31,721
2024-09-01,610
2024-09-02,622
2024-09-03,650
2024-09-04,636
2024-09-05,689
2024-09-06,710
2024-09-07,594
2024-09-08,633
2024-09-09,504
2024-09-10,456
2024-09-11,502
2024-09-12,493
2024-09-13,500
2024-09-14,377
2024-09-15,354
2024-09-16,516
2024-09-17,603
2024-09-18,600
2024-09-19,649
2024-09-20,685
2024-09-21,664
2024-09-22,516
2024-09-23,635
2024-09-24,774
2024-09-25,788
2024-09-26,712
2024-09-27,780
2024-09-28,790
2024-09-29,568
2024-09-30,607
2024-10-01,708
2024-10-02,711
2024-10-03,821
2024-10-04,776
2024-10-05,783
2024-10-06,723
2024-10-07,761
2024-10-08,609
2024-10-09,538
2024-10-10,446
2024-10-11,572
2024-10-12,535
2024-10-13,648
2024-10-14,663
2024-10-15,722
2024-10-16,858
2024-10-17,844
2024-10-18,762
2024-10-19,711
2024-10-20,565
2024-10-21,658
2024-10-22,803
2024-10-23,821
2024-10-24,897
2024-10-25,924
2024-10-26,710
2024-10-27,702
2024-10-28,808
2024-10-29,997
2024-10-30,787
2024-10-31,918
2024-11-01,863
2024-11-02,811
2024-11-03,716
2024-11-04,763
2024-11-05,740
2024-11-06,857
2024-11-07,897
2024-11-08,873
2024-11-09,765
2024-11-10,725
2024-11-11,695
2024-11-12,732
2024-11-13,816
2024-11-14,894
2024-11-15,840
2024-11-16,838
2024-11-17,721
2024-11-18,802
2024-11-19,813
2024-11-20,878
2024-11-21,700
2024-11-22,644
2024-11-23,620
2024-11-24,576
2024-11-25,592
2024-11-26,616
2024-11-27,562
2024-11-28,592
2024-11-29,544
2024-11-30,547
2024-12-01,590
2024-12-02,609
2024-12-03,625
2024-12-04,782
2024-12-05,807
2024-12-06,797
2024-12-07,615
2024-12-08,636
2024-12-09,572
