,Sales Rank
2024-01-15,98117
2024-01-16,120842
2024-01-17,69912
2024-01-18,57389
2024-01-19,43343
2024-01-20,38752
2024-01-21,40391
2024-01-22,38004
2024-01-23,50725
2024-01-24,45327
2024-01-25,20921
2024-01-26,17561
2024-01-27,15555
2024-01-28,18899
2024-01-29,14735
2024-01-30,12808
2024-01-31,20635
2024-02-01,12336
2024-02-02,15683
2024-02-03,12718
2024-02-04,11832
2024-02-05,10076
2024-02-06,11801
2024-02-07,13734
2024-02-08,10208
2024-02-09,9257
2024-02-10,9141
2024-02-11,10478
2024-02-12,9602
2024-02-13,7398
2024-02-14,6863
2024-02-15,7257
2024-02-16,7299
2024-02-17,6798
2024-02-18,6917
2024-02-19,7960
2024-02-20,5723
2024-02-21,6228
2024-02-22,5810
2024-02-23,6133
2024-02-24,6471
2024-02-25,6771
2024-02-26,7194
2024-02-27,6871
2024-02-28,6926
2024-02-29,8924
2024-03-01,10677
2024-03-02,8379
2024-03-03,12195
2024-03-04,12478
2024-03-05,2907
2024-03-06,2884
2024-03-07,2344
2024-03-08,1942
2024-03-09,1896
2024-03-10,1929
2024-03-11,1749
2024-03-12,1243
2024-03-13,1154
2024-03-14,1127
2024-03-15,1011
2024-03-16,968
2024-03-17,981
2024-03-18,1006
2024-03-19,995
2024-03-20,874
2024-03-21,825
2024-03-22,796
2024-03-23,884
2024-03-24,906
2024-03-25,1017
2024-03-26,1067
2024-03-27,1023
2024-03-28,1081
2024-03-29,978
2024-03-30,1025
2024-03-31,1076
2024-04-01,960
2024-04-02,913
2024-04-03,569
2024-04-04,528
2024-04-05,529
2024-04-06,517
2024-04-07,486
2024-04-08,502
2024-04-09,515
2024-04-10,586
2024-04-11,459
2024-04-12,484
2024-04-13,513
2024-04-14,530
2024-04-15,606
2024-04-16,627
2024-04-17,575
2024-04-18,565
2024-04-19,609
2024-04-20,600
2024-04-21,631
2024-04-22,612
2024-04-23,505
2024-04-24,570
2024-04-25,543
2024-04-26,523
2024-04-27,550
2024-04-28,583
2024-04-29,777
2024-04-30,918
2024-05-01,823
2024-05-02,837
2024-05-03,797
2024-05-04,841
2024-05-05,983
2024-05-06,990
2024-05-07,1171
2024-05-08,1236
2024-05-09,1128
2024-05-10,1056
2024-05-11,1060
2024-05-12,1068
2024-05-13,947
2024-05-14,909
2024-05-15,970
2024-05-16,892
2024-05-17,932
2024-05-18,1060
2024-05-19,1109
2024-05-20,1108
2024-05-21,1060
2024-05-22,898
2024-05-23,915
2024-05-24,986
2024-05-25,902
2024-05-26,1045
2024-05-27,961
2024-05-28,940
2024-05-29,1092
2024-05-30,1067
2024-05-31,1199
2024-06-01,1249
2024-06-02,1395
2024-06-03,1309
2024-06-04,1010
2024-06-05,1014
2024-06-06,935
2024-06-07,916
2024-06-08,1005
2024-06-09,997
2024-06-10,1014
2024-06-11,1098
2024-06-12,1314
2024-06-13,1191
2024-06-14,1222
2024-06-15,1242
2024-06-16,1471
2024-06-17,1394
2024-06-18,1334
2024-06-19,1221
2024-06-20,1367
2024-06-21,1289
2024-06-22,1293
2024-06-23,1362
2024-06-24,1277
2024-06-25,1323
2024-06-26,1140
2024-06-27,1225
2024-06-28,1099
2024-06-29,1230
2024-06-30,1180
2024-07-01,1201
2024-07-02,1215
2024-07-03,1248
2024-07-04,1176
