,Sales Rank
2023-12-31,352
2024-01-01,391
2024-01-02,424
2024-01-03,427
2024-01-04,395
2024-01-05,427
2024-01-06,356
2024-01-07,404
2024-01-08,303
2024-01-09,227
2024-01-10,183
2024-01-11,169
2024-01-12,174
2024-01-13,157
2024-01-14,160
2024-01-15,168
2024-01-16,291
2024-01-17,301
2024-01-18,336
2024-01-19,339
2024-01-20,393
2024-01-21,411
2024-01-22,407
2024-01-23,451
2024-01-24,383
2024-01-25,361
2024-01-26,372
2024-01-27,393
2024-01-28,424
2024-01-29,458
2024-01-30,521
2024-01-31,529
2024-02-01,509
2024-02-02,509
2024-02-03,471
2024-02-05,459
2024-02-06,487
2024-02-07,520
2024-02-08,466
2024-02-09,477
2024-02-10,443
2024-02-11,458
2024-02-12,470
2024-02-13,483
2024-02-14,483
2024-02-15,514
2024-02-16,512
2024-02-17,442
2024-02-18,487
2024-02-19,513
2024-02-21,572
2024-02-22,666
2024-02-23,614
2024-02-24,430
2024-02-25,428
2024-02-26,511
2024-02-27,522
2024-02-28,512
2024-02-29,542
2024-03-01,546
2024-03-02,511
2024-03-03,507
2024-03-04,483
2024-03-05,376
2024-03-06,285
2024-03-07,265
2024-03-08,264
2024-03-09,213
2024-03-10,213
2024-03-11,293
2024-03-12,386
2024-03-13,420
2024-03-14,433
2024-03-15,471
2024-03-16,437
2024-03-17,465
2024-03-18,506
2024-03-19,521
2024-03-20,548
2024-03-21,596
2024-03-22,591
2024-03-23,534
2024-03-24,484
2024-03-25,589
2024-03-26,557
2024-03-27,546
2024-03-28,572
2024-03-29,592
2024-03-30,633
2024-03-31,625
2024-04-01,483
2024-04-02,375
2024-04-03,339
2024-04-04,359
2024-04-05,295
2024-04-06,281
2024-04-07,275
2024-04-08,274
2024-04-09,451
2024-04-10,533
2024-04-11,498
2024-04-12,538
2024-04-13,505
2024-04-14,564
2024-04-15,589
2024-04-16,658
2024-04-17,668
2024-04-18,686
2024-04-19,650
2024-04-20,599
2024-04-21,560
2024-04-22,685
2024-04-23,729
2024-04-24,732
2024-04-25,766
2024-04-26,641
2024-04-27,665
2024-04-28,618
2024-04-29,494
2024-04-30,433
2024-05-01,384
2024-05-02,384
2024-05-03,353
2024-05-04,308
2024-05-05,278
2024-05-06,332
2024-05-07,565
2024-05-08,637
2024-05-09,608
2024-05-10,583
2024-05-11,481
2024-05-12,505
2024-05-13,629
2024-05-14,624
2024-05-15,592
2024-05-16,620
2024-05-17,587
2024-05-18,561
2024-05-19,573
2024-05-20,597
2024-05-21,620
2024-05-22,714
2024-05-23,633
2024-05-24,649
2024-05-25,680
2024-05-26,697
2024-05-27,492
2024-05-28,459
2024-05-29,454
2024-05-30,403
2024-05-31,395
2024-06-01,355
2024-06-02,337
2024-06-03,469
2024-06-04,518
2024-06-05,545
2024-06-06,588
2024-06-07,672
2024-06-08,611
2024-06-09,713
2024-06-10,701
2024-06-11,673
2024-06-12,749
2024-06-13,791
2024-06-14,733
2024-06-15,714
2024-06-16,692
2024-06-17,812
2024-06-18,808
2024-06-19,785
2024-06-20,797
2024-06-21,754
2024-06-22,728
2024-06-23,645
2024-06-24,714
2024-06-25,657
2024-06-26,615
2024-06-27,597
2024-06-28,646
2024-06-29,589
2024-06-30,565
2024-07-01,651
2024-07-02,598
2024-07-03,578
2024-07-04,526
2024-07-05,583
2024-07-06,600
2024-07-07,539
2024-07-08,565
2024-07-09,535
2024-07-10,568
2024-07-11,585
2024-07-12,551
2024-07-13,532
2024-07-14,528
2024-07-15,548
2024-07-16,614
2024-07-17,503
2024-07-18,435
2024-07-19,505
2024-07-20,545
2024-07-21,450
2024-07-22,502
2024-07-23,538
2024-07-24,502
2024-07-25,539
2024-07-26,507
2024-07-27,489
2024-07-28,586
2024-07-29,570
2024-07-30,574
2024-07-31,589
2024-08-01,545
2024-08-02,608
2024-08-03,546
2024-08-04,543
2024-08-05,603
2024-08-06,547
2024-08-07,543
2024-08-10,507
2024-08-11,503
2024-08-12,441
2024-08-13,434
2024-08-14,424
2024-08-15,411
2024-08-16,405
2024-08-17,358
2024-08-18,289
2024-08-19,419
2024-08-20,425
2024-08-21,525
2024-08-22,582
2024-08-23,589
2024-08-24,615
2024-08-25,561
2024-08-26,643
2024-08-27,676
2024-08-28,620
2024-08-29,617
2024-08-30,650
2024-08-31,688
2024-09-01,681
2024-09-02,714
2024-09-03,640
2024-09-04,715
2024-09-05,664
2024-09-06,613
2024-09-07,605
2024-09-08,599
2024-09-09,589
2024-09-10,478
2024-09-11,450
2024-09-12,429
2024-09-13,403
2024-09-14,355
2024-09-15,290
2024-09-16,294
2024-09-17,465
2024-09-18,552
2024-09-19,509
2024-09-20,553
2024-09-21,552
2024-09-22,558
2024-09-23,589
2024-09-24,657
2024-09-25,630
2024-09-26,573
2024-09-27,644
2024-09-28,663
2024-09-29,662
2024-09-30,723
2024-10-01,592
2024-10-02,559
2024-10-03,617
2024-10-04,612
2024-10-05,601
2024-10-06,503
2024-10-07,630
2024-10-08,634
2024-10-09,589
2024-10-10,526
2024-10-11,551
2024-10-12,519
2024-10-13,490
2024-10-14,557
2024-10-15,562
2024-10-16,612
2024-10-17,616
2024-10-18,619
2024-10-19,600
2024-10-20,640
2024-10-21,766
2024-10-22,799
2024-10-23,902
2024-10-24,807
2024-10-25,833
2024-10-26,796
2024-10-27,805
2024-10-28,862
2024-10-29,755
2024-10-30,661
2024-10-31,672
2024-11-01,690
2024-11-02,697
2024-11-03,654
2024-11-04,645
2024-11-05,631
2024-11-06,682
2024-11-07,630
2024-11-08,573
2024-11-09,536
2024-11-10,568
2024-11-11,637
2024-11-12,608
2024-11-13,583
2024-11-14,588
2024-11-15,569
2024-11-16,547
2024-11-17,518
2024-11-18,626
2024-11-19,512
2024-11-20,575
2024-11-21,515
2024-11-22,488
2024-11-23,469
2024-11-24,417
2024-11-25,424
2024-11-26,426
2024-11-27,465
2024-11-28,469
2024-11-29,494
2024-11-30,553
2024-12-01,554
2024-12-02,540
2024-12-03,665
2024-12-04,646
2024-12-05,614
2024-12-06,630
2024-12-07,538
2024-12-08,579
2024-12-09,633
2024-12-10,637
2024-12-11,590
2024-12-12,623
2024-12-13,660
2024-12-14,625
2024-12-15,609
2024-12-16,688
2024-12-17,636
2024-12-18,639
2024-12-19,628
2024-12-20,602
2024-12-21,513
2024-12-22,537
2024-12-23,542
2024-12-24,500
2024-12-25,534
2024-12-26,480
2024-12-27,475
2024-12-28,393
2024-12-29,375
2024-12-30,461
2024-12-31,495
2025-01-01,498
2025-01-02,510
2025-01-03,526
2025-01-04,470
2025-01-05,460
2025-01-06,557
2025-01-07,516
2025-01-08,558
2025-01-09,532
2025-01-10,512
2025-01-11,423
2025-01-12,433
