,Sales Rank
2024-04-25,691
2024-04-26,593
2024-04-27,493
2024-04-28,610
2024-04-29,656
2024-04-30,911
2024-05-01,960
2024-05-02,1013
2024-05-03,1070
2024-05-04,1136
2024-05-05,1235
2024-05-06,1068
2024-05-07,1195
2024-05-08,745
2024-05-09,940
2024-05-10,1081
2024-05-11,768
2024-05-12,767
2024-05-13,903
2024-05-14,929
2024-05-15,882
2024-05-16,1166
2024-05-17,1109
2024-05-18,1050
2024-05-19,776
2024-05-20,711
2024-05-21,553
2024-05-22,496
2024-05-23,511
2024-05-24,490
2024-05-25,413
2024-05-26,355
2024-05-27,511
2024-05-28,707
2024-05-29,892
2024-05-30,895
2024-05-31,1053
2024-06-01,812
2024-06-02,824
2024-06-03,820
2024-06-04,1010
2024-06-05,1124
2024-06-06,1229
2024-06-07,1112
2024-06-08,970
2024-06-09,954
2024-06-10,1154
2024-06-11,1229
2024-06-12,1410
2024-06-13,1421
2024-06-14,950
2024-06-15,948
2024-06-16,1096
2024-06-17,1249
2024-06-18,1433
2024-06-19,1477
2024-06-20,1193
2024-06-21,897
2024-06-22,752
2024-06-23,689
2024-06-24,500
2024-06-25,606
2024-06-26,522
2024-06-27,524
2024-06-28,489
2024-06-29,464
2024-06-30,429
2024-07-01,629
2024-07-02,752
2024-07-03,729
2024-07-04,842
2024-07-05,940
2024-07-06,945
2024-07-07,583
2024-07-08,868
2024-07-09,1047
2024-07-10,1072
2024-07-11,1127
2024-07-12,1146
2024-07-13,1146
2024-07-14,1148
2024-07-15,891
2024-07-16,518
2024-07-17,294
2024-07-18,313
2024-07-19,526
2024-07-20,690
2024-07-21,697
2024-07-22,622
2024-07-23,487
2024-07-24,534
2024-07-25,480
2024-07-26,358
2024-07-27,377
2024-07-28,309
2024-07-29,492
2024-07-30,519
2024-07-31,603
2024-08-01,650
2024-08-02,679
2024-08-03,540
2024-08-04,589
2024-08-05,685
2024-08-06,760
2024-08-07,728
2024-08-08,704
2024-08-09,866
2024-08-11,707
2024-08-12,739
2024-08-13,815
2024-08-14,843
2024-08-15,839
2024-08-16,832
2024-08-17,649
2024-08-18,533
2024-08-19,520
2024-08-20,499
2024-08-21,536
2024-08-22,508
2024-08-23,481
2024-08-24,468
2024-08-25,382
2024-08-26,545
2024-08-27,740
2024-08-28,774
2024-08-29,828
2024-08-30,866
2024-08-31,787
2024-09-01,840
2024-09-02,797
2024-09-03,920
2024-09-04,1008
2024-09-05,827
2024-09-06,926
2024-09-07,898
2024-09-08,920
2024-09-09,737
2024-09-10,821
2024-09-11,1066
2024-09-12,1238
2024-09-13,1275
2024-09-14,1225
2024-09-15,1004
2024-09-16,811
2024-09-17,727
2024-09-18,765
2024-09-19,709
2024-09-20,714
2024-09-21,648
2024-09-22,593
2024-09-23,834
2024-09-24,990
2024-09-25,1165
2024-09-26,1029
2024-09-27,1250
2024-09-28,989
2024-09-29,1074
2024-09-30,1252
2024-10-01,1376
2024-10-02,1456
2024-10-03,1529
2024-10-04,1592
2024-10-05,1563
2024-10-06,1751
2024-10-07,1850
2024-10-08,701
2024-10-09,810
2024-10-10,1071
2024-10-11,1253
2024-10-12,1782
2024-10-13,1727
2024-10-14,2032
2024-10-15,2035
2024-10-16,2142
2024-10-17,2517
2024-10-18,2554
2024-10-19,2696
2024-10-20,2720
2024-10-21,1990
2024-10-22,1820
2024-10-23,1671
2024-10-24,1475
2024-10-25,1313
2024-10-26,1321
2024-10-27,1229
2024-10-28,1780
2024-10-29,1861
2024-10-30,1876
2024-10-31,1258
2024-11-01,1599
2024-11-02,1757
2024-11-03,1567
2024-11-04,1199
2024-11-05,1650
2024-11-06,2017
2024-11-07,1740
2024-11-08,1898
2024-11-09,1653
2024-11-10,1767
2024-11-11,2087
2024-11-12,1597
2024-11-13,1365
2024-11-14,1865
2024-11-15,2053
2024-11-16,1816
2024-11-17,1784
2024-11-18,2466
2024-11-19,2243
2024-11-20,2539
2024-11-21,1590
2024-11-22,1529
2024-11-23,1373
2024-11-24,1249
2024-11-25,1475
2024-11-26,1456
2024-11-27,1366
2024-11-28,1534
2024-11-29,1434
2024-11-30,1280
2024-12-01,1393
2024-12-02,1399
2024-12-03,1230
2024-12-04,1609
2024-12-05,1726
2024-12-06,1937
2024-12-07,1259
2024-12-08,1418
2024-12-09,1145
2024-12-10,1475
2024-12-11,1636
2024-12-12,1691
2024-12-13,1743
2024-12-14,1720
2024-12-15,1268
2024-12-16,1492
2024-12-17,1741
2024-12-18,1820
2024-12-19,1660
2024-12-20,1665
2024-12-21,1626
2024-12-22,1195
2024-12-23,1617
2024-12-24,1857
2024-12-25,1929
2024-12-26,1816
2024-12-27,1947
2024-12-28,1822
2024-12-29,1690
2024-12-30,1916
2024-12-31,1769
2025-01-01,1850
2025-01-02,2079
2025-01-03,2141
2025-01-04,2141
2025-01-05,2148
2025-01-06,2256
2025-01-07,2256
2025-01-08,2421
2025-01-09,2079
2025-01-10,2107
2025-01-11,1902
2025-01-12,2017
2025-01-13,1966
