,Sales Rank
2024-04-11,145
2024-04-12,153
2024-04-13,162
2024-04-14,148
2024-04-15,106
2024-04-16,67
2024-04-17,72
2024-04-18,63
2024-04-19,60
2024-04-20,50
2024-04-21,44
2024-04-22,62
2024-04-23,74
2024-04-24,72
2024-04-25,86
2024-04-26,96
2024-04-27,96
2024-04-28,102
2024-04-29,113
2024-04-30,98
2024-05-01,109
2024-05-02,112
2024-05-03,119
2024-05-04,109
2024-05-05,148
2024-05-06,188
2024-05-07,216
2024-05-08,179
2024-05-09,210
2024-05-10,227
2024-05-11,203
2024-05-12,171
2024-05-13,140
2024-05-14,144
2024-05-15,138
2024-05-16,115
2024-05-17,116
2024-05-18,107
2024-05-19,96
2024-05-20,123
2024-05-21,151
2024-05-22,178
2024-05-23,177
2024-05-24,154
2024-05-25,123
2024-05-26,87
2024-05-27,86
2024-05-28,114
2024-05-29,153
2024-05-30,146
2024-05-31,156
2024-06-01,130
2024-06-02,135
2024-06-03,149
2024-06-04,144
2024-06-05,145
2024-06-06,104
2024-06-07,96
2024-06-08,88
2024-06-09,91
2024-06-10,78
2024-06-11,59
2024-06-12,65
2024-06-13,59
2024-06-14,57
2024-06-15,46
2024-06-16,46
2024-06-17,65
2024-06-18,73
2024-06-19,84
2024-06-20,84
2024-06-21,94
2024-06-22,68
2024-06-23,95
2024-06-24,124
2024-06-25,127
2024-06-26,155
2024-06-27,177
2024-06-28,156
2024-06-29,160
2024-06-30,160
2024-07-01,162
2024-07-02,167
2024-07-03,170
2024-07-04,170
2024-07-05,186
2024-07-06,188
2024-07-07,118
2024-07-08,173
2024-07-09,192
2024-07-10,241
2024-07-11,195
2024-07-12,283
2024-07-13,255
2024-07-14,204
2024-07-15,231
2024-07-16,160
2024-07-17,160
2024-07-18,547
2024-07-19,5406
2024-07-20,170
2024-07-21,191
2024-07-22,268
2024-07-23,992
2024-07-24,1100
2024-07-25,289
2024-07-26,231
2024-07-27,220
2024-07-28,215
2024-07-29,259
2024-07-30,305
2024-07-31,297
2024-08-01,285
2024-08-02,241
2024-08-03,212
2024-08-04,193
2024-08-05,224
2024-08-06,232
2024-08-07,218
2024-08-09,280
2024-08-10,238
2024-08-11,228
2024-08-12,373
2024-08-13,369
2024-08-14,395
2024-08-15,383
2024-08-16,301
2024-08-17,315
2024-08-18,267
2024-08-19,331
2024-08-20,310
2024-08-21,317
2024-08-22,291
2024-08-23,323
2024-08-24,294
2024-08-25,326
2024-08-26,353
2024-08-27,397
2024-08-28,400
2024-08-29,369
2024-08-30,295
2024-08-31,285
2024-09-01,291
2024-09-02,296
2024-09-03,312
2024-09-04,341
2024-09-05,356
2024-09-06,333
2024-09-07,333
2024-09-08,310
2024-09-09,345
2024-09-10,378
2024-09-11,373
2024-09-12,402
2024-09-13,430
2024-09-14,375
2024-09-15,389
2024-09-16,472
2024-09-17,437
2024-09-18,478
2024-09-19,468
2024-09-20,438
2024-09-21,396
2024-09-22,412
2024-09-23,490
2024-09-24,475
2024-09-25,489
2024-09-26,457
2024-09-27,451
2024-09-28,451
2024-09-29,441
2024-09-30,462
2024-10-01,503
2024-10-02,535
2024-10-03,482
2024-10-04,488
2024-10-05,440
2024-10-06,424
2024-10-07,469
2024-10-08,532
2024-10-09,506
2024-10-10,442
2024-10-11,410
2024-10-12,334
2024-10-13,285
2024-10-14,384
2024-10-15,370
2024-10-16,379
2024-10-17,302
2024-10-18,365
2024-10-19,344
2024-10-20,305
2024-10-21,358
2024-10-22,351
2024-10-23,394
2024-10-24,341
2024-10-25,394
2024-10-26,360
2024-10-27,359
2024-10-28,419
2024-10-29,367
2024-10-30,385
2024-10-31,338
2024-11-01,359
2024-11-02,300
2024-11-03,311
2024-11-04,349
2024-11-05,370
2024-11-06,370
2024-11-07,405
2024-11-08,374
2024-11-09,323
2024-11-10,304
2024-11-11,366
2024-11-12,415
2024-11-13,398
2024-11-14,424
2024-11-15,429
2024-11-16,374
2024-11-17,320
2024-11-18,414
2024-11-19,461
2024-11-20,482
2024-11-21,524
2024-11-22,486
2024-11-23,487
2024-11-24,442
2024-11-25,549
2024-11-26,586
2024-11-27,606
2024-11-28,514
2024-11-29,551
2024-11-30,486
2024-12-01,578
2024-12-02,786
2024-12-03,851
2024-12-04,825
2024-12-05,859
2024-12-06,674
2024-12-07,512
2024-12-08,449
2024-12-09,443
2024-12-10,450
2024-12-11,559
2024-12-12,595
2024-12-13,607
2024-12-14,551
2024-12-15,575
2024-12-16,635
2024-12-17,622
2024-12-18,621
2024-12-19,635
2024-12-20,571
2024-12-21,497
2024-12-22,500
2024-12-23,567
2024-12-24,501
2024-12-25,390
2024-12-26,374
2024-12-27,370
2024-12-28,316
2024-12-29,339
2024-12-30,380
2024-12-31,358
2025-01-01,322
2025-01-02,353
2025-01-03,7370
2025-01-04,364
2025-01-05,383
2025-01-06,421
2025-01-07,8831
2025-01-08,492
2025-01-09,472
